[00:06] 开了一扇窗户
[02:24] 大家好小俊好
[02:25] 我来这栋楼感觉还挺恍惚的
[02:27] 因为从23年开始
[02:30] 我经常来这栋楼进行采访
[02:32] 然后那个时候这里有很多公司
[02:34] 比如说你们
[02:35] 然后有百川
[02:36] 还有当年的光年之外
[02:38] 今天这些公司感觉命运已经开始分化和编的迥异了
[02:42] 你有什么想说的
[02:43] 说长吧
[02:45] 你说六年多时间
[02:48] 你从23年开始算到现在可能就三年时间
[02:50] 但是他我们
[02:52] 智普成立开始算有六年多时间
[02:54] 那些六年多时间说长不长
[02:56] 但是其实发生了非常非常多的事情
[02:59] 我们有时候经常的感慨
[03:00] 可能过去需要十年十五年发生的事情
[03:03] 可能就在这五六年的时间里面就发生了
[03:06] 所以确实是变化很大吧
[03:09] 但是也也很感慨
[03:11] 智普能走到今天也非常不容易
[03:13] 是怎么开始这段旅程的吧
[03:16] 可能我在有一些场合跟大家讲过我们出来创业的这个故事
[03:21] 因为我的履历也非常的简单
[03:23] 其实大家就是清华对
[03:25] 基本上从98年进了清华就没离开过
[03:27] 到现在为止也在给清华打工
[03:29] 因为是我们的股东嘛
[03:31] 那我毕业以后其实就在清华大学的计算机系工作
[03:34] 在实验室里面工作
[03:36] 叫知识工程
[03:37] 就是人工智能相关的这样一些事情
[03:39] 那到1516年左右的时候
[03:42] 其实是一个很关键的一个点
[03:43] 因为之前像我们实验室里面也走出去过
[03:47] 像唐文斌啊
[03:49] 杨木啊
[03:50] 这些学生
[03:51] 然后很成功的
[03:52] 对对对
[03:53] 很成功的创创办了匡视
[03:54] 对匡视联合创始人
[03:56] 对对对
[03:56] 也是上一代
[03:58] 我们叫上一代人工智能四小龙之一吧
[04:00] AI 1.0时代
[04:01] 对
[04:02] 所以在那个时候
[04:03] 1516年的时候
[04:04] 其实我们在内部就在讨论这个问题
[04:06] 当然是在实验室里面讨论这个问题
[04:08] 看到这些企业其实非常的成功
[04:11] 也在市场上也取得了一定的成就
[04:13] 面临一些问题
[04:15] 但是因为我们当时在学校里面更多要关注的是说
[04:17] 技术本身的演进到底有什么样的一些问题
[04:22] 其实那时候很多大家其实对于未来人工智能技术的演进
[04:25] 这个事情其实看得更远
[04:27] 他们会觉得说
[04:29] 其实像CV像早期的NLP和机器学习的这些方法
[04:34] 可能也就挺好把你就在这了
[04:37] 可能也做不到我们说理想当中的通用人工智能啊
[04:40] 等等这些事情
[04:41] 那时候还没有这个概念吧
[04:42] 通用人工智能
[04:43] AGI是有的
[04:43] AGI是有
[04:45] 但是当时的第一代人工智能企业之后再往后是什么
[04:50] 这大家其实想不太清楚
[04:52] 所以大家是借着这个问题看到了这个现象
[04:55] 借着这个问题在讨论说我们下一代应该怎么办
[04:58] 像张伯渊时带着我们系里面很多老师
[05:01] 包括我们年轻的一些人一起在bringstorming
[05:05] 然后在聊这个事情
[05:06] 所以那个时候其实就逐渐的有一点想法
[05:09] 说我们要去做下一代的人工智能这个事
[05:11] 当时就想做下一代人工智能
[05:13] 没错
[05:13] 其实有两个点
[05:14] 第一个就是说技术上现有的这些技术
[05:18] 它确实有天花板的
[05:20] 你再怎么样做
[05:21] 它比如人类识别
[05:22] 它超过人又怎么样呢
[05:23] 超过人之后没有意义了
[05:25] 就是再往上已经无法再去突破了
[05:28] 它能取得的产业效果也就这个样子
[05:30] 那下一代的技术是什么
[05:32] 第二个点是说
[05:34] 也看到了这一代
[05:36] 是上一代的人工智能企业的成功
[05:39] 也吸取了一个经验
[05:40] 人工智能这些事情
[05:42] 它本身不是一个纯科学
[05:43] 不是理论科学
[05:45] 它是一个工程实践加理论科学
[05:46] 同步演进的这样一个综合性的学科
[05:50] 所以做下一代人工智能不光是学校的事情
[05:54] 不光是研究的事情
[05:55] 也要到产业里去做
[05:57] 所以当时就这两个方面
[05:58] 一个是说我们技术上还需要突破
[06:00] 做下一代到底是什么
[06:02] 我们要把它想清楚
[06:03] 下一个这个事情也需要在产业里面慢慢去孵化它
[06:07] 去成熟它
[06:08] 所以那个时候就其实给了我们一个契机
[06:12] 就是讨论说下一代
[06:13] 到底是什么
[06:14] 然后这下一代的这个事情到底要怎么去办
[06:17] 怎么去做
[06:18] 跟企业到底是什么关系
[06:20] 产业是什么关系
[06:22] 所以那是大概16年左右的事情
[06:24] 16年的第一个问题的结论就是说我们产生了一个词叫认知智能
[06:29] 认知智能对叫认知智能
[06:31] 就是那个时候大概是在那个时候16年左右的时候
[06:34] 那时候还不叫通用智能对吧
[06:36] 通用人工智能只是一个很大的目标
[06:38] 很大的目标
[06:40] 但我们认为认知智能是我们说的感知智能的下一代
[06:43] 就是它是迈向通用人工智能的一个下一个台阶
[06:47] 是第二阶段
[06:48] 对它并不等同于通用人工智能
[06:51] 因为那个时候其实大家对通用人工智能觉得很遥远
[06:53] 我也定义不清楚
[06:55] 就不用强行去定义它
[06:57] 但是如果是下一步
[07:00] next step这个事情
[07:02] 我是可以尝试去定义它的
[07:03] 清华当时就已经有很多这种跟产业界的合作对吧
[07:07] 非常多很多
[07:08] 它有这种渊源
[07:09] 对清华一直是在人工智能这一块是非常重视
[07:13] 产业落地的
[07:14] 做了很多的跟企业的合作
[07:17] 对吧
[07:18] 不光是纯粹在实验室里面做研究
[07:21] 做应用
[07:22] 做落地
[07:22] 当时我们实验室其实还是非常厉害的
[07:26] 当时我们在那个年代的时候是少有的
[07:28] 可以拿我们的技术去挣美金的
[07:30] 怎么挣
[07:31] 就跟国外企业合作
[07:32] 它付我们都是美金
[07:34] 少有能挣美金的实验室
[07:36] 就是说明那个时候
[07:38] 其实中国的人工智能技术和研究还是比较靠前的
[07:42] 比较靠前
[07:43] 那个是在那个年代
[07:45] 到16年的时候
[07:45] 我们就基本上心里就有这个准备
[07:48] 就要去做一个企业
[07:50] 拿我们的一些阶段性的研究性的成果来去寻找下一代人工智能
[07:55] 就认知智能的这个路径
[07:56] 为什么是要你们几个人来开始做
[07:59] 这个是有渊源的吗
[08:00] 这个不是别人要我们怎么做
[08:02] 是你们想做
[08:03] 这是我们自己想做
[08:04] 我当时在实验室里做工作的时候
[08:07] 其实负责的就是就叫工程转化的一块
[08:10] 教授们带着学生们做研究
[08:12] 博士们说什么做研究
[08:13] 做完研究的这个东西
[08:14] 他可能发paper了
[08:16] 做了一个prototype
[08:16] 做了一些简单的代码
[08:19] 但是我要去deliver给这个我的企业的客户
[08:23] 说企业的客户的要求肯定不只是说一篇paper
[08:27] 或者说几个prototype的代码
[08:30] 我需要是一个system
[08:31] 需要是一个product
[08:32] 那段时候我就带着一帮人在做这些事情
[08:35] 清华一直有这个工程转化的这个职位
[08:37] 对我们清华的一个非常有意思的事情
[08:40] 一直有
[08:41] 我们系也一直有
[08:43] 我们
[08:43] 实验室优胜
[08:45] 所以这是我们的传统
[08:46] 就是从我的导师建立这个实验室开始
[08:49] 他就非常重视这个事情
[08:50] 他提了一个概念叫
[08:52] 我到现在还记得特别清楚
[08:53] 叫P2P
[08:55] 不是那个暴雷的那个网贷P2P
[08:58] 他叫paper to project
[09:00] 或者叫paper to product
[09:02] 就是你的paper研究成果
[09:03] 一定要转换成实际能用的产品或者系统
[09:08] 你看现在这个清华基本上工科类的这种院系
[09:11] 现在基本上推广这个概念
[09:13] 就普遍了
[09:14] 就对于原来博士生来说
[09:16] 可能你交一篇博士论文
[09:18] 然后理论上有突破OK就可以了
[09:21] 但现在基本上都要求要有实际的system
[09:24] 要有实际的应用
[09:25] 这其实就是一个推广的过程
[09:26] 大家都接受了这个概念
[09:28] 所以早期的时候
[09:28] 其实我们就有这个基因
[09:29] 就有这个想法做这个事情
[09:32] 所以我们当时就认为说
[09:33] 我们既有研究上的这个前沿
[09:35] 又有这个水平
[09:37] 那工程上呢
[09:38] 我们把研究成果转换成工程呢
[09:40] 我们又有这样的基因
[09:41] 又有这样的这个能力
[09:43] 那其实
[09:43] 这个事情就满足了这两个条件
[09:45] 我可以去把它在产业化的这个角度来说
[09:48] 把它落地
[09:49] 同时反补
[09:51] 用我们的工程时间来反补我们的研究工作
[09:54] 所以这个就是我们选择做这个事情的动因
[09:57] 不是谁要求我们去做这种事情
[09:59] 当然有一些老师们倒是也还提过这件事
[10:04] 就比如说张博士
[10:05] 他很清楚的跟我们讲过
[10:07] 他说人工智能这件事情
[10:08] 它就是一个跟产业紧密不可分的事情
[10:12] 你们就应该去产业里面去做
[10:13] 去做这个事
[10:15] 不管是研究还是真正的去商业化
[10:19] 这个都是一个产业的事情
[10:21] 是浦游几位联合创始人
[10:22] 你们当时的分工是什么样的
[10:24] 在学校里面
[10:25] 当时其实在实验室里面没那么复杂
[10:28] 都比较简单
[10:29] 你比如说像几位教授
[10:31] 唐老师李老师徐老师
[10:32] 他们主要是做科研
[10:34] 做研究核心的技术的突破
[10:36] 带着学生一起做研究写paper
[10:38] 然后做一些事情
[10:39] 然后我会带着工程师团队们一起去把这些东西
[10:43] 承接下来做一些系统
[10:45] 做一些product
[10:47] 然后去交付一些客户的一些需求
[10:50] 所以当时我们还能挣外国人的钱
[10:53] 像德宾他也是做知识产权出身
[10:55] 他博士毕业以后
[10:56] 他高文院士的学生
[10:58] 毕业以后在做知识产权专利相关的事情做了一段时间
[11:02] 所以他在这一块比较熟悉成果的转化
[11:04] 怎么去做IP
[11:06] 怎么去做这个推广技术的推广合作
[11:09] 然后三门是后来加入我们实验室之后
[11:12] 就是我们总裁啊
[11:13] 王少兰
[11:14] 他是因为在一个上市公司的北京这边
[11:17] 中国区这边当老大
[11:19] 就市场他非常熟悉
[11:21] 而且他也是工科出身
[11:22] 做芯片的企业出身
[11:24] 所以他也非常熟悉我们这个行业
[11:27] 要帮助我们去做一些推广
[11:28] 做一些联合生态这些事情
[11:31] 所以其实他这个分工就跟我们现在基本上是很类似的
[11:35] 所以很自然的我们组合到一起来做这件事情
[11:38] 当时要负责工程转化吗
[11:40] 你当时想认知智能应该怎么转化
[11:42] 其实这里边有一些
[11:43] 讨论出来的一些结论
[11:45] 就是首先第一个工程转化这件事情呢
[11:48] 除了你要把这个原来的pro type变成一个生产环境里面可用的产品
[11:56] 这个相当于是个software的东西
[11:58] 对吧
[11:58] 第二个呢
[11:59] 你还要去真正的逻辑去结合真正的这个实际生产场景里面的各种各样的硬件
[12:06] 软件各种条件
[12:08] 所以这是一个适配性的问题
[12:10] 更复杂的就是你要真正的推到市场上去
[12:13] 跟客户去售卖这些东西的话
[12:16] 它还有一个商业的问题
[12:19] 就是你的成本
[12:20] 你的收益之间怎么样去平衡的问题
[12:23] 对所以这些这些事情就是在那几年里边或者说那十几年里边慢慢的去学会的
[12:29] 我也不是干这个出身
[12:31] 就比如说尤其商务那一套东西商务那一套东西
[12:34] 你怎么跟他报价
[12:35] 你报什么样的价格是合适的
[12:37] 你的成本该怎么核算
[12:39] 这些事情其实以前你在学校实验室里面肯定是不太考虑这些东西
[12:43] 的
[12:44] 但是你真正面临商业客户的时候肯定就会人家说
[12:47] 那那那你报个价格给我
[12:49] 第一次报价紧张吗
[12:50] 其实挺紧张的心里没啥底
[12:52] 因为那个时候也不像在公司里面有这么完整的财务啊什么之类的
[12:57] 你能知道说我每个人花多少钱
[12:59] 对吧
[13:00] 我每天的办公费用是多少
[13:01] 其实也没有什么太大的概念
[13:03] 所以很多时候就拍脑袋拍大概估了一个
[13:06] 对所以早期的时候其实很多的项目大概大家就是收了点新户钱
[13:12] 对挣了点成本
[13:13] 然后大家发了点学生们老师们发了点那个奖金
[13:17] 也就那样了
[13:18] 16年还没有想过要创业吧
[13:20] 16年其实在考虑这个问题已经开始考虑已经在考虑这个问题
[13:23] 真正我们开始行动是17年17年我就尝试在学校这个体制底下
[13:29] 科研院所这个体制底下怎么去把这个商业化这个转化这个路径走通
[13:33] 因为那个时候其实
[13:34] 学校里面的这些这个叫体制内人员去开公司这个事儿其实是不允许的
[13:42] 敏感对对对
[13:43] 他是不允许的
[13:44] 大家之前没有先例吗
[13:45] 有在职人员有
[13:47] 但是呢
[13:48] 大家都是就是不是这种正式的官方的渠道
[13:51] 就是你一个老师在外面开公司
[13:54] 好像你没人举报你什么的
[13:56] 你也就过去了
[13:58] 但是严格来讲
[13:59] 这个事情是需要跟学校去报备批准的
[14:02] 对吧
[14:02] 或者是不是可能公司如果开得好
[14:04] 的话就慢慢就离职了
[14:05] 从学校严格来讲
[14:07] 这点事情不他不能联系起来
[14:09] 还是变形的两条线
[14:10] 但学校呢
[14:11] 就是这个事情发生多了之后呢
[14:13] 像这种学校的他会有些考量
[14:15] 他会有一些规管理规定出现
[14:18] 这不允许啊
[14:18] 为什么你要报备啊
[14:19] 什么就出现这件事情
[14:21] 所以在1617年的时候开始做这件事情
[14:23] 我们就找想找一个官方的路径
[14:25] 就专门做这个事情的路径
[14:27] 正式的没有想过先悄悄的做
[14:30] 然后悄悄的做被发现了
[14:32] 再说这个总会留下一些
[14:34] 手
[14:34] 位嘛
[14:35] 我们还是希望说这个事情呢
[14:37] 走的比较顺畅
[14:38] 不要给自己留下一些守卫一些问题
[14:41] 所以1617年的时候
[14:42] 其实他找这个路径
[14:43] 学校其实也想干这个事
[14:45] 他想做一些
[14:46] 比如说学校那个时候成立了一些
[14:49] 产业转化的一些机构
[14:51] 像数据科学研究院
[14:53] 像巴拉巴拉的一些机构二级机构
[14:56] 其实他就想做这个事
[14:57] 而且请来的这个负责的人都是原来在产业界待过的啊
[15:01] 你看这个意图就很明显啊
[15:04] 他也
[15:04] 学校也觉得我有很好的这种科研成果
[15:07] 那为什么不能把它转换成商业价值呢
[15:10] 但这个路径怎么做呢
[15:11] 也在探索
[15:12] 后来这个契机是到18年的时候
[15:15] 国家包括教育部
[15:17] 包括几个部委吧
[15:19] 联合给了一个意见
[15:21] 就给了一个专门针对这种事情的一个意见
[15:25] 一个一个办法
[15:26] 就允许这个科研院所的这个在职人员用已有的研究成果
[15:34] 做
[15:34] 科技成果转化
[15:36] 然后规定了说怎么分配啊
[15:38] 一部分给到这个原来科研院所
[15:41] 一部分给到这个创始的团队或者研究团队
[15:45] 他们自由支配啊
[15:47] 这是开了一个窗户
[15:48] 那这个分配比例好吗
[15:50] 条件好吗
[15:50] 当时的分配比例其实没有特别明确的说到底这个比例是是多少
[15:55] 我印象当中啊
[15:56] 没有白纸黑字的写下来还是要谈的要聊的
[16:00] 好像是定了一个底线还是什么
[16:03] 我忘记了这个细节
[16:04] 就有点记不太清楚了
[16:05] 如果学校把自己的比例抬得过高的话
[16:08] 对创业公司也不好
[16:09] 不是很有利嘛
[16:09] 对吧
[16:10] 所以那个时候其实当然当然这个事情我就跟说了
[16:13] 他开了一扇窗户就大家看到了外面还可以有这条路
[16:17] 他并不是开了一个很敞开很大的一个门
[16:20] 说你随便走吧
[16:21] 他也没有那么方便
[16:23] 所以出了这个意见之后
[16:24] 他怎么执行
[16:26] 这个比例到底定多少
[16:27] 谁拿多少
[16:27] 谁拿什么分
[16:29] 怎么约定
[16:29] 怎么评估这个成果
[16:31] 其实细节都没有
[16:33] 所以我们是什么
[16:33] 我们是首先吃螃蟹的人
[16:35] 我们就拿这东西
[16:36] 你看国家给了这个东西
[16:38] 那跟学校谈说学校怎么办
[16:40] 我要我想办怎么办
[16:41] 这个是你负责谈吗
[16:43] 这个当时还不就是我们董事长去谈的
[16:45] 他对这块比较熟悉
[16:46] 我刚才讲了他做IP什么相关的事情
[16:49] 然后就跟学校去沟通这个事
[16:51] 学校这边其实也挺麻爪的
[16:52] 他说我只有这个文件底下的这个操作细节是什么
[16:55] 我也不知道呀
[16:56] 你们是第一个
[16:57] 或者说我们你们是最先开始来聊这个事情的人
[17:01] 那我们就一起来聊这个事呗
[17:03] 所以学校到我还特别记得当时那个科研院的院长啊
[17:07] 金院长还有当时管这个成果转化复化啊
[17:13] 也是我们的一个师姐叫志鹏吧
[17:16] 反正还有很多人啊
[17:17] 包括学校的领导都很支持这个事
[17:20] 大家一起坐在一起聊这个事情啊
[17:21] 怎么办怎么分怎么样合理对吧
[17:25] 因为刚开始国家意图也很明显
[17:28] 就鼓励大家去做这个科技成果转化吗
[17:30] 对吧
[17:30] 不要躺在这个这个这个保险柜里
[17:33] 然后
[17:33] 把它转化成产业的这个这个这个价值
[17:36] 所以就开始聊
[17:37] 其实有意愿
[17:38] 其实还是其实双方都很有意愿
[17:40] 无非就是说在这个过程当中怎么把这个东西厘清
[17:44] 操作的流程怎么来定这个东西之后
[17:47] 大家不要留下一些疑虑的问题
[17:50] 没考虑到的细节等等等等
[17:51] 所以当时我们就开始走这个事情
[17:53] 他真正走通就已经到19年
[17:55] 我们说两年一年多一年多那个办法是18年的
[17:59] 我记得是应该是18年的一月份出来的
[18:03] 然后研究这个细节走通整个流程公司注册到6月19年的6月份
[18:07] 你能慢时间
[18:08] 我们是第一家
[18:09] 我们系里面第一家
[18:11] 所有整个清华都是第一家
[18:13] 至少我们计算机系是第一家
[18:14] 其他学习效果不是很清楚
[18:16] 不太了解
[18:17] 这一年半主要就是时间耗在哪
[18:20] 就是谈这个中间这个过程啊
[18:22] 比如说大家分多少是三七开二八开还是一九开啊
[18:26] 你评估多少就是你整个这个东西
[18:28] 我们有科技成果
[18:30] 我们也有拿奖的成果
[18:31] 这成果都做过一些鉴定
[18:32] 那到底他值多少钱
[18:35] 以前都不拿钱来评判的嘛
[18:37] 顶多是说是一个什么样的一个水平
[18:40] 对吧
[18:40] 他没有拿钱
[18:41] 因为你一旦产业化这多东西最后都归到钱上
[18:45] 对吧
[18:46] 因为做账股本啊
[18:47] 什么之类的
[18:47] 你都需要作为用钱作为单位来衡量
[18:50] 所以他最后一个这个评估的过程怎么来定义这个价值是多少
[18:56] 货币上怎么定义这个事情弹就弄了很久
[19:00] 最后让你满意吗
[19:01] 我觉得还挺好的吧
[19:02] 我觉得还挺好的
[19:03] 还算是比较顺利
[19:05] 虽然耗去了一年多时间
[19:07] 但是我刚才讲了
[19:08] 因为你毕竟是第一个吃螃蟹的嘛
[19:10] 你前面没有人走过这个路
[19:13] 就学校也没走过
[19:14] 就现在不太清楚这个是应该怎么办
[19:16] 所以大家是在互相理解互相的配合
[19:20] 找到这个契合点合适的契合点
[19:22] 又不要给大家造成一些后续的麻烦
[19:26] 因为他们可能也体制内满他重换
[19:28] 也还有一些国资啊
[19:30] 什么的这些事情的一些要求
[19:32] 怎么把这个事情能这么快的走下来
[19:34] 我觉得是非常不容易的
[19:35] 肯定是学校我们还有各方大家配合把这事情走下来的
[19:40] 当时有没有参考一些
[19:41] 比如说海外散佛教授在我们开公司
[19:44] 因为海外这个非常多
[19:46] 所以当时确实是看了很多
[19:48] 然后学校这边肯定是广泛的调研和看过这个事情
[19:53] 然后我们也就反正也举过一些例子
[19:56] 跟大家解释这些事情
[19:58] 谈这些事情
[19:59] 但这个细节我有点不太清楚
[20:00] 因为主要是董事长在等着他们的时候
[20:02] 跟他们去跟学校去谈的嘛
[20:05] 我那时候这个事我没参与太多
[20:06] 但这个历程我知道确实不容易
[20:09] 搞了挺久的
[20:10] 其实我们的团队运转是17年就开始
[20:13] 我们就在相对比较独立的在运转
[20:16] 但是公司注册成立是19年
[20:18] 完全转出来
[20:19] 那个时候就19年注册以后
[20:21] 就把这个团队从学校的实验室里面全部都转出来
[20:24] 这个还挺有意思的
[20:25] 因为其实这个政策出的时候是18年
[20:27] 然后第一个你们作为第一个吃螃蟹的人
[20:30] 是其实你们在很主动在push这件事情
[20:32] 所以你们才是一帮非常想创业的人
[20:36] 对吧
[20:36] 相对于其他人来说
[20:37] 所以刚才你说的是谁让你去让你去创业
[20:39] 其实没有
[20:40] 其实我们自己想做这个事
[20:41] 所以我一直说
[20:42] 智普这个包括我们的团队还是非常幸运的一帮人
[20:46] 很多事情恰好就在那个时间发生了
[20:49] 你碰到了最好的事情
[20:50] 然后对发生了
[20:52] 然后你正好又踩在这个点上
[20:54] 这是17年到19年
[20:55] 其实一条线你们是在跟学校谈在公司这条线上
[20:58] 你们当时在做那些事情
[21:00] 以及有哪些尝试
[21:01] 当时的话
[21:02] 因为我们
[21:02] 这个团队从实验室那个时候就已经有一个不小的团队
[21:09] 大概有一二十人
[21:11] 一团队专门做这些事
[21:13] 当时我们主要做的是一个科技情报的一个平台
[21:16] 一个产品
[21:17] 这产品在国际上还是非常有
[21:19] 包括国内也有很大的一个影响力
[21:22] 叫MI呢
[21:24] 那当时我们有专门的一个团队在做这些产品化
[21:26] 做这个服务商业化转化
[21:29] 那个时候我们就已经在通过这个产品
[21:31] 通过这个技术服务
[21:32] 很多的客户包括这个一些高科技企业
[21:36] 刚才说正美元
[21:38] 当时的什么谷歌啊
[21:40] 克斯美服务啊
[21:41] 这些包括IBM啊
[21:43] 什么全部是我们的客户
[21:45] 那时候公司是盈利的吗
[21:47] 那时候没公司
[21:48] 但我们肯定很赚钱
[21:49] 赚钱就是按项目去一个一个去给他交付
[21:54] 能赚多少钱
[21:54] 那时候这个我倒是不是太关心这个事情
[21:57] 但是我当时有点印象是有一年
[21:59] 我们大概就这个整个实验室的就挣的
[22:02] 这种横向我们叫横向的科研经费
[22:05] 就项目经费啊
[22:06] 我们就挣了好像一年有接近两千万啊
[22:10] 所以你们当时已经是学校非常有钱的老师了
[22:12] 就进这个钱进不了个人兜
[22:15] 对一方面我是觉得其实挺好的
[22:17] 市场有很大的需求
[22:18] 这个技术确实也有它的领先性
[22:20] 我们就想做这个事情
[22:21] 而且也确实让我们看到了一些机会
[22:24] 说去像这个就刚才说的下一步的这个认知智能这个方向去迈进
[22:30] 对这个更新迭代的速度可能
[22:32] 在去产业界之后会更快
[22:34] 你们怎么定义这个感知智能到认知智能的这个技术区别
[22:39] 其实有一个很经典的问题
[22:40] 就是我们跟张博老师聊天的时候
[22:42] 张博老师老举的一个事情
[22:44] 那个时候啊
[22:45] 他说那个时候的上一代的人工智能是解决的是个感知的问题
[22:49] 其实他不知道他不知道对
[22:53] 你想想这个问题其实挺有意思
[22:54] 他画了一个象限
[22:55] 他在一个象限里面一个二维的象限里面
[22:58] 他画了一下叫现在的问题
[23:00] 人工智能解决的这个问题就是说
[23:02] 就是一些非常小的一个范围的这个问题
[23:06] 然后再往外就是认知上就是我知道我不知道
[23:11] 对吧
[23:12] 就人有这个这个这个这个能力嘛
[23:14] 然后还有一块呢是我不知道我不知道
[23:17] 所以其实我们现在探索的事情就是想让机器具备类类似这样的认知的能力
[23:23] 还不是简单的就说我识别个图片或者是理解个语是翻译个语音这样的一个事情
[23:28] 就这个东西他没有脑子
[23:30] 就原来的这个技术
[23:31] 他其实不是个脑子
[23:32] 嗯他只是一些技能
[23:34] 嗯单个的技能
[23:35] 现在人工智能具备认知了吗
[23:37] 我看前几个月吧
[23:38] 唐洁老师还发了一个微博说大家觉得人工智能有认知吗
[23:41] 可以跟我交流
[23:42] 现在现在解决这个问题了吗
[23:44] 我觉得正在解决的途径当中还没有解决完
[23:48] 因为认知的本质是什么
[23:50] 这件事情还没有得到最终答案
[23:53] 这个事是一直是计算机科学家
[23:57] 还有这个脑科学还有认知科学有专门的认知科学认知
[24:02] 这些科学家们一起在研究的一个问题
[24:06] 这人的认知能力到底是因为什么
[24:08] 不知道还现在还没有彻底把这个奥秘解开
[24:12] 所以现在的包括带大模型之内在内的这些技术是不是真的模拟了人的这个认知
[24:20] 或者说掌握了人人的认知的这个本质
[24:23] 我觉得肯定不是还没有到那个地步
[24:26] 因为你自己都没搞清楚这个本质是啥
[24:28] 对吧
[24:29] 所以你很难说这个事情已经解决掉了
[24:32] 但是站在
[24:32] 那个时间窗口上
[24:34] 你们当时看到的下一代人工智能就是这个认知智能
[24:36] 所以想做这个认知智能和那个情报系统
[24:39] 他们是什么关系
[24:40] 我们是把这个认知智能的能力应用在某一个领域里面去去做
[24:45] 这个研究以及体现他的能力
[24:47] 因为为什么做情报这个事情呢
[24:50] 其实我不知道你了不了解那个情报学原来情报学的定义
[24:54] 其实在学科定义里面情报学的定义是在图书馆下面
[24:58] 就是原来就很多的这种图书馆
[25:00] 他保存了大量的科技文献
[25:02] 然后所谓的情报学就是通过大量的这种文献数据的这种分析和研究
[25:08] 得出新的知识或者新的信息
[25:11] 这个叫我理解我理解
[25:13] 他就是情报学要做的事情
[25:15] 那你想想为什么这些顶级的这个研究人员
[25:21] 才能做这个事情
[25:22] 因为他需要引用新出新的知识
[25:24] 对他要理解原有的那些文献表达的那些知识
[25:28] 首先这是第一理解的能力
[25:30] 第二
[25:30] 你要把能把这些理解的
[25:32] 这些能
[25:32] 这些知识综合起来
[25:33] 重新演绎
[25:34] 重新按照你的目标
[25:36] 你的想要解决的问题
[25:38] 重新演绎去推理
[25:40] 并且第三得到一个新的东西
[25:42] 得到新的知识
[25:43] 这个事情很伟大
[25:44] 人类的知识就是这样出来的
[25:46] 不断的增长不断的增长不断的增长
[25:48] 因为用旧的东西
[25:49] 然后融合
[25:49] 然后推演得到新的东西
[25:51] 其实本质上就是这么来的
[25:54] 对所以情报学研究的这个东西
[25:56] 他特别像我们刚才说的那个认知的能力就不是像他本质就是认知能力的一种应用
[26:01] 非常密集的一种应用
[26:03] 非常典型的一种应用
[26:05] 所以我们一开始就做这件事
[26:07] 他就难度很高
[26:08] 大公司为什么买单
[26:09] 比如说Google你知道他们找我们做什么事吗
[26:12] 不知道那非常有意思
[26:14] 就大公司上网买单的就是找我们做这件事
[26:16] 他问的问题也非常简单
