[00:05] Hello大家好,我是小骏
[02:56] 分享一些对Coding这个变化最新的一些理解和认识
[03:01] 为什么Coding是今天的主线人物
[03:04] 第三也讲一讲硅谷叫核心域三家模型的一些观察
[03:10] 尤其是战略组织和文化
[03:13] 然后也可以讨论讨论未来模型的终极形态会是什么
[03:18] 为什么是操作系统
[03:19] 后面也可以聊一下对社会的潜在影响
[03:23] 失业 通缩和投资这几个方向
[03:26] 去年我其实还有点担心大模型的技术进步曲线会就此放缓了
[03:32] 会不会2026年有点无聊
[03:34] 但是刚刚过去的第一季度的感受是完全相反的
[03:38] 很多人都会反馈感觉有点跟不上了
[03:41] 那你觉得过去一季度
[03:43] 哪些事情是最值得给听众朋友们画重点的
[03:47] 我觉得就一件事吧
[03:48] 过去一个季度最本质
[03:51] 最关键的一个转折点就是
[03:54] Anthropic的Opus 4.5-4.6
[03:56] 这个模型的跨越吧
[03:58] 我觉得算是一个从GPT-3到GPT-4水平的
[04:02] 叫跨时代的提升
[04:04] 就是让我们从chat问问题
[04:07] 变成了真正的agent模式
[04:11] 可以做高价值任务了
[04:13] 因为你做的任务的价值量提升了
[04:16] 所以它的价值就提升
[04:18] usage也在提升
[04:19] 我的体感是过去一个季度
[04:22] 模型水平进步的幅度可能超过了
[04:25] 2025年全年的进步幅度
[04:28] 你包括Anthropic和OpenAI这两家
[04:31] 都会有新的模型
[04:33] Misos跟Spard马上要发布对吧
[04:39] 我觉得这两个是真正的GPT-5的时刻吧
[04:42] 然后之前还不算是吧
[04:44] 对之前我感觉OpenAI的GPT-5一直跳票嘛
[04:48] 就是Opus 4.5-4.6有这个意思了
[04:51] 我感觉像半代
[04:52] 可能接下来的真的算是真正意义上的
[04:55] 夸上了GPT-5吧
[04:57] 因为过去就是一个model
[05:00] 你可以跟他chat
[05:01] 可以对话问问题
[05:03] 可以联网搜索对吧
[05:04] 那今天是agentic能力上来了
[05:07] 可以帮我们做复杂任务了
[05:09] 复杂任务的高价值量就上来了吧
[05:14] 而且我感觉加速度特别快
[05:16] 有可能今年夏天六七月份之前
[05:19] 可能还有一个GPT-3到GPT-4的跨越
[05:25] 就即便说Anthropic OpenAI新的Mesos Spark很强也好
[05:30] 但可能他们的下一代更强
[05:33] 因为下一代也已经开始在训练过程当中了
[05:37] 对所以过去一个季度的推背感非常强
[05:42] 我是感觉AI的基点时刻应该已经到了
[05:46] 过去一个季度
[05:47] 是的以前我们还觉得AGI挺遥远的
[05:49] 但是现在身边有些朋友也觉得两年内肯定AGI就实现了
[05:55] 你对硅谷一线的生态都很熟悉
[05:57] 有哪些真实的case能够给大家分享一下
[06:01] 让大家能够感受到这种真实的代际的跨越
[06:04] 可以描述的更有体感一点
[06:06] 对我觉得硅谷这边一线的体感
[06:10] 可以说一些case让大家更好的体会的
[06:13] 就是你在这边的朋友就是前沿实验室的这些AI的research上面
[06:19] 包括很强的程序员
[06:21] 他们基本上不写代码了
[06:23] 去年可能
[06:24] 一个系统当中可能还有七八成的代码是人写的
[06:28] 今年可能是小于1%的
[06:30] 大家日常的工作可能就是
[06:33] 就像leader或者教授带着学生和team member去工作一样
[06:37] 就是AI来写人来审
[06:40] 可能人来审的能力都不够了
[06:43] 今天Cloud Code和Codex在很多任务上
[06:46] 其实已经到了很多公司的CTO或者首席架构师这个水平了
[06:50] 就对标一个Meta的R8或R9
[06:54] 其实你看它开发一个feature
[06:57] 可能两三次的迭代就跑通了
[07:00] 我们认识的身边的人基本上每天都消耗几百美金的token
[07:06] 一周几千美金
[07:07] 这个量还是挺夸张的
[07:10] 所以这个就带来一个效果
[07:12] 就是你过去做研发和做研究
[07:16] 以前一个想法到跑通代码可能两三个星期
[07:20] 现在可能又一两天两三天
[07:22] 所以这是一个大幅的加速
[07:24] coding和agentic变成了一个AGA加速最关键的一个要素之一
[07:32] 可能仅次于GPU本身
[07:34] 然后我觉得还有特别有意思的
[07:36] 也有朋友跟我说
[07:38] 最近很多AI research上的突破不是人类工程师带来的
[07:43] 而是Codex Cloud Code带来的
[07:46] 我觉得这是一个更质变的信号
[07:48] 就是说AI今天可以显著的加速AI
[07:52] 而且带来一些突破了
[07:54] 你以前解一个很难的数学AMO的题
[07:59] 可能解个半天
[08:00] 今天Codex帮你解可能很快
[08:02] 对吧
[08:03] 也不是很多人都很擅长解题或者debug
[08:08] 你包括它对整个其他领域的研究加速也很大
[08:14] 你比如说做多模态的朋友说
[08:16] 他们以前做一个多模态的模型
[08:18] 整个数据迭代可能就一两个月
[08:20] 现在基本上几天或者一个星期
[08:24] Coding加速后你发现对多模态的研究加速也很大
[08:29] 这个让整个数据处理的Pipeline其实提效挺快的
[08:34] 主要的变化就是模型处理数据的效率是比人要高的
[08:41] 然后你包括还有一线的体感
[08:44] 就是这个是公开的
[08:45] 就是Anthropic他们过去50多个工作日发了70多款产品和features
[08:52] 对吧
[08:53] 这个在互联网时代
[08:54] 好像是根本做不到的
[08:56] 我估计大家可能在网上都看到过那张图
[08:59] 所以Coding我觉得是过去一个季度最关键的关键词吧
[09:03] 它会让最顶尖的1%甚至千分之一的人
[09:07] 他的生产力放大了几十倍
[09:11] 我觉得这个是一个很大的变化
[09:14] 那你觉得Coding和Agentic带来的变化这么大
[09:17] 有给这几家公司在营收上带来显著的变化吗
[09:21] 我觉得这个是一个更有意思的
[09:24] 你看Anthropic他们已经官宣说AR超过了OpenAI
[09:29] 对吧
[09:30] 但更重要的是他可能头上的一两百万用户贡献的收入
[09:35] 超过了OpenAI可能五六千万订阅的这些用户
[09:40] 所以之前你觉得ChatGP在C端已经赢了
[09:45] 但发现C端好像没有Coding或者Agent这个更大
[09:49] 所以今天我感觉更有意思的是不再是只追求DAU
[09:54] 或者广告这个规模
[09:56] 而是追求Token usage这个指标
[10:00] 尤其是超级开发者或者Target的用户
[10:04] 这个感觉更重要
[10:05] 所以你看Coding的爆发性
[10:08] 我感觉比ChatGP当年还要陡峭
[10:11] 就是如果这个势头下去
[10:14] 年底OpenAI和Anthropic他们的AR有可能就到800亿美金
[10:19] 或者1000亿美金
[10:20] 那明年可能就奔着2000多亿美金去了
[10:23] 其实他两个已经成功了
[10:24] 成为了新时代的Mega7这种公司了
[10:28] 所以你看他明年如果盖的一个2000多亿美金的AR
[10:32] 其实给个十几倍的PS好像也非常make sense
[10:37] 所以你看历史上几乎没有出现过两家公司
[10:42] 齐头并进
[10:43] 这么短的时间内做到千亿美金营收
[10:46] Coding的run rate从过去两三年就超过了Google Cloud
[10:51] 做了可能十七八年的一个规模
[10:54] 那个Google Gemini其实规模也很大
[10:56] 所以你看模型的revenue增长是非常陡峭的
[11:01] 听起来Coding是智能的一支非常重要的推手
[11:04] 突然让很多不可能的任务都变成了可能
[11:07] 也让产品形态从Chatbot走向了agent
[11:12] 那我们去年Q1的播客就在聊AGI的主线任务嘛
[11:16] 你当时就一直在说Coding Coding Coding
[11:19] 包括你去年也跟很多人去说了Coding Coding Coding
[11:22] 你觉得当时你对于Coding的能力呢?
[11:24] 你的理解已经足够深刻了吗?
[11:26] 那今天你对于Coding的理解有什么新的变化?
[11:29] 我觉得新的变化可能更多是几个强观点或者视角吧
[11:35] 我觉得第一个观点就是说
[11:37] 你相不相信code可以表达数字世界的绝大多数任务
[11:42] 因为自然语言是对世界的描述
[11:44] code是对solution的描述
[11:47] 就是语言即世界
[11:49] 代码即方案
[11:50] 对吧
[11:51] 因为语言和代码是高度的浓缩抽象
[11:54] 而且覆盖范围非常非常广
[11:56] 如果这个假设成立
[11:58] Coding agent做好了
[11:59] 是不是就可以把白领知识工作者的大部分任务都可以自动化了
[12:05] 就是今天我们在办公室电脑上操作的大部分工作任务
[12:10] 基本上都可以被自动化了
[12:13] 我觉得这是第一个观点吧
[12:15] 我觉得第二个观点是
[12:16] 如果领先的模型公司不重视Coding
[12:20] 他大概会掉出第一梯队的
[12:22] 而且也不存在
[12:24] 只给自己用的Coding model
[12:26] 因为你自家的任务数据分布是不够全的
[12:29] 肯定是落后的
[12:30] 而且如果你作为一个领先的模型公司
[12:32] 你过度依赖Anthropic
[12:34] 一旦你做到第一梯队对他有威胁了
[12:36] Anthropic大概率是给你断供的
[12:39] OpenAI被断供了
[12:40] XAI被断供了
[12:42] 可能Google大部分被断供了
[12:44] 可能Sum好哪一天Meta也要被断供了
[12:48] 有可能Coding这个跟GPU是一样的
[12:50] 所以你看Coding它不只是一个行业
[12:52] 也不只是一个业务
[12:54] 应用场景
[12:55] 也不是一个产品
[12:56] 不只是一个产品
[12:57] 其实它反而变成了AI整个路线途中一个重要的加速器
[13:02] 所以我觉得它应该是一个当下最主线的人物
[13:07] 你没有最领先的Coding model
[13:09] 就像是没有最领先的GPU
[13:11] 你用A100跟别人用GB
[13:13] 这个差别是很大的
[13:14] 还是要追求先进生产力嘛
[13:17] 不然你研发上就是很落后的
[13:20] 我觉得第三个观点就是
[13:22] Coding就很像
[13:24] 亚马逊当年卖书一样
[13:26] 你借助卖书把所有的仓储物流用户供应链都拉通了
[13:33] 然后你再横向Skill其他的SKU
[13:36] 这样就很容易
[13:37] 所以那你又从长期来看
[13:40] Coding又只是整个AGA实现后
[13:42] 可能很小的一部分
[13:44] 因为AGA自动化了全球大部分的GDP
[13:48] Coding其实更多还是在整个AGA实现中
[13:52] 起到一个加速
[13:53] 和打样的一个意义吧
[13:55] 我觉得之所以Coding最先跑出来
[13:57] 还是因为反馈闭环最短
[13:59] 就是整个所谓的Feedback loop最清晰
[14:03] 其实你看过去几年
[14:05] AI跑得最快的地方
[14:07] 都是Feedback loop最清晰的
[14:09] 我觉得第四个还有一个比较有意思的观点
[14:12] 就是Coding在整个AGA的历史进程中
[14:16] 到底处在什么位置
[14:18] 因为第一幕我们看到是Chatbot对吧
[14:21] ChatGP
[14:22] 模型可以对话了
[14:23] 也可以联网搜索了
[14:24] 但其实整个商业价值还是有限的
[14:27] 第二幕今天走到了Coding Agent对吧
[14:30] Agent帮我们直接完成任务
[14:33] 本质是能帮我们干活了
[14:35] 进而还可以加速整个AGA
[14:38] 或者说Coding Agent实现了
[14:40] 有可能AGA的90%已经实现了
[14:44] 我觉得好像也不用什么范式创新
[14:47] 就可以把大多数的知识工作者的任务自动化了
[14:51] 第三幕可能就是自动化的AI研究员了
[14:55] 这也是OpenAI可能最想做的
[14:57] 每个人可能都有一个强大的研究助理
[15:00] 你让研究助理去解决各种各样的问题
[15:03] 那时候可能会去解决基础科学的问题
[15:06] 比如说脑科学
[15:07] 神经科学
[15:08] 材料学
[15:09] 对吧
[15:10] 所以我们画一个AGA的路线图
[15:12] 就像爬一座科学的高山
[15:15] 但每个AI Lab可能有自己的路线图
[15:18] 那今天我们处在什么样的位置
[15:20] Coding也处在什么样的位置
[15:22] 有可能今天还只是整个科学的高山攀登的开始吧
[15:27] 对你说到这个我也觉得很感慨
[15:29] 因为去年其实你说Coding Coding Coding的时候
[15:32] 很多人可能会觉得Coding还只是一个垂直场景的事情
[15:36] 他没有意识到Coding能带来这么强的泛化性
[15:39] 我觉得就一个精辟的总结
[15:41] 叫语言及世界代码及方案
[15:45] 因为只有这两个它的泛化性是充分被证明了的
[15:50] 其他领域的泛化性还没有被充分证明
[15:53] 你比如说我想通过数学来提升智能能力
[15:58] 可能可以
[15:59] 但是数学能表达的东西太有限了
[16:02] 很明显我们今天是从第一幕走到了第二幕
[16:06] 那从Chatbot进入了Coding Agent的时代
[16:09] 那据你观察
[16:10] 现在所有人已经充分地意识到Coding非常重要了吗
[16:13] 那既然重要
[16:14] 为什么有些人没有all in资源去做呢
[16:17] 我知道的好几个AI Lab好几个
[16:20] 好像都把Coding放到了最高最高优先级
[16:23] 但基本上也是过去一到三个月的事情
[16:29] 你发现实际做好好像也没有那么容易
[16:33] 所以我觉得大家心里可以打个分
[16:36] 就是做好Coding的难度系数
[16:38] 一到十分你到底打几分
[16:40] 如果低于四分呢
[16:42] 那大家每家都能做好
[16:44] 非常居然对吧
[16:45] 如果高于八分九分呢
[16:48] 那有可能领先的AnswerPick
[16:50] 可能会一家独当
[16:51] 大概率会继续领先
[16:52] 其实你也没有其他什么理由能继续超过它
[16:56] 我觉得取决于难度系数和竞争吧
[17:01] 那你觉得做好Coding的难点到底在哪里啊
[17:04] 就是大家既然都知道Coding很重要了
[17:06] 能不能给大家讲讲
[17:08] 就是如果要做好Coding
[17:09] 应该最重视的最头目的三件事情是什么
[17:12] 我觉得最重要的可能就两件事
[17:14] 一个是组织和文化
[17:17] 第二个是数据
[17:18] 就是其实我觉得Coding
[17:20] 不只是一个技术know-how的问题了
[17:23] 更多还是一个战略和组织的问题
[17:25] 我认识的研究院朋友
[17:27] 好像都跟我说
[17:28] Coding最重要的是数据这个壁垒
[17:31] 但问题是你觉得哪一个AI Lab
[17:34] 能组织好最聪明的
[17:36] 非常有想法的几百个人
[17:38] 就all in搞Coding一个事
[17:40] 因为这里面有很多脏活
[17:41] 很多苦活
[17:42] 就是搞数据的活
[17:43] 因为每个Lab里头最聪明的人
[17:45] 都想做自己的一些Bat
[17:47] 搞自己的实验对吧
[17:48] 搞一些新的突破0到1
[17:50] 都想成为一例
[17:52] 我觉得这个可能是一个问题的根本
[17:55] 那Anthropic可能不一样的点
[17:57] 就是说他们这几个Founder
[17:59] 可能一开始就意识到
[18:01] 数据可能是所有问题的根本
[18:04] 叫模型基因应用
[18:06] 数据基因模型对吧
[18:07] 所以我感觉他们重视数据
[18:09] 可能是刻在骨子里的
[18:11] 有个Rumor就说
[18:13] 他们的首席科学家Jarrett Kaplan
[18:15] 就亲自在日谈的过数据
[18:17] 这个好像是比较少见的
[18:19] 我觉得更重要的还是说
[18:21] 不做什么对吧
[18:23] 你看Anthropic就完全放弃了多摩泰
[18:26] 对吧
[18:27] 可能多摩泰不在科技书的主线上
[18:29] 也没有跟风做Resident Model
[18:33] 那2C也放弃了对吧
[18:35] 然后就是在Coding比较专注
[18:38] 这是第一个
[18:41] 我感觉组织上和不做什么
[18:44] 第二个可能是数据吧
[18:45] 第二个就是说
[18:46] 数据这个点可能更难一些
[18:48] 以前Chatbot就是Chat那些文本类的数据
[18:51] 但今天可能更复杂了
[18:53] 就Coding和Agentic它是一套的
[18:56] 它既有任务又有环境又有整个的评估
[18:59] 所以这个数据比以前的数据难了很多
[19:02] 而且你要造出来很多数据
[19:04] 所以Coding做好可能没有想象的那么简单
[19:07] 我觉得更重要的还是说
[19:09] 每个公司在战略组织文化上
[19:12] 其实并没有真的重视起来
[19:14] 其实你看过去半年
[19:16] Google和OpenAI
[19:18] 它还是过去在争2C的
[19:20] 其实对Coding也有很大的战略误判
[19:22] 其实是严重低估了Coding的重要性和优先级的
[19:26] 除了Anthropic
[19:28] 当然现在一到三个月内
[19:30] 很多人都已经开始把它当作最重要的优先级了
[19:33] 那在之前呢
[19:34] 其他团队为什么没有专注的去做Coding
[19:36] 他们没有意识到Coding这么重要吗
[19:38] 我觉得每家都有自己的战略优先级的选择
[19:41] 包括过去的一些思维上的包袱
[19:44] 因为你看现在有两条AGI的路线
[19:47] 第一条是追求C端的流量
[19:49] ChatGPT
[19:50] Gemini
[19:51] 豆包
[19:52] 第二条是追求高价值的任务
[19:54] Anthropic这比较领先
[19:56] 那就看你想要哪个
[19:58] Anthropic也许是被迫只能选Coding了
[20:01] 因为C端窗口它错过了
[20:04] 其实你说C端重要吗
[20:06] 有可能也重要
[20:07] 就是有可能C端未来也是会覆盖掉高价值任务的
[20:12] 其实你看25年其实是C端窗口很关键的一年
[20:16] 其实很多模型公司都已经错过了C端的窗口了
[20:19] ChatGPT和Google忙着抢C端的窗口才错过了Coding这个窗口
[20:26] 我觉得可能战略你选择什么可能更重要
[20:30] 这个可能是每个模型公司管理层最高思考的问题
[20:35] 你今天资源很有限
[20:37] 你到底是搞C端还是搞Coding
[20:41] 因为资源精力是有限的
[20:43] 然后可能是要放弃一些东西的
[20:46] 你还要选择你到底优化一个什么样的目标
[20:48] 到底要什么
[20:49] 这个可能是更关键的
[20:51] 那你觉得这第一条路和第二条路
[20:53] 一个是C端窗口一个是高价值任务
[20:55] 它们未来会merge吗
[20:56] 它们会融合吗
[20:57] 它们会成为统一的一件事情吗
[21:00] 现在看还是两条路径
[21:02] 我觉得融合的概率是非常大的
[21:04] 包括ChatGPT后面把Chat跟agent code这些东西都融合起来
[21:10] all in one一个平台本身是对的
[21:13] 但是有可能存在另外一个情况就是说
[21:16] 有的人只做塔尖的用户
[21:19] 塔尖的用户就像量化一样
[21:21] 只有极少数的人可能一两百万人
[21:24] 贡献了很大的usage
[21:26] 这是有可能的
[21:27] 我也不知道未来C端的DAU还有没有意义
[21:32] 有可能有意义
[21:33] 但有可能塔尖用户的token usage可能更有意义
[21:39] 因为它也是数据的一种
[21:41] 它其实补充了预训练的数据
[21:43] 数据的费用我觉得还不知道
[21:46] 因为我也不知道大多数人在未来这个时代中的重要性
[21:50] 还有没有以前那么强
[21:52] 有可能塔尖的人会贡献整个世界的生产力更加集中
[21:58] 我感觉强者恒强是很残酷的
[22:02] 但这又是一个趋势
[22:04] 这是会带来整个社会的整个分工的变化
[22:07] 这个我们后面也会聊到
[22:09] 那接下来能不能分别展开聊一聊
[22:11] 就是据你观察这每一家的模型公司
[22:14] 它的战略组织和文化特点
[22:16] 能不能分别跟我们讲一讲
[22:18] 第一个应该是Anthropic吧
[22:20] 因为你对Anthropic相对是熟悉的
[22:23] 你觉得他们是最早看到了什么迹象就battle coding这个事情呢
[22:28] 是怎么做的这个关键的技术决策
[22:31] 关键的推动者是谁呀
[22:33] all in coding其实也不是他们day one就能想清楚的
[22:39] 我觉得一方面是C端没有机会了
[22:41] 第二是24年夏天
[22:44] Solnet 3.5其实那个给了coding正反馈
[22:48] 其实也是在摸索的过程中
[22:50] 把coding这条路线给摸清楚了
[22:53] 但这个公司更值得关注的是它的几个特点
[22:57] 就是在那之后24年夏天在那之后
[23:01] 只all in了一件事就是coding
[23:03] 今天做成了而且巨大对吧
[23:05] 而且他们放弃了C端
[23:07] 放弃了多么泰
[23:08] 战略上是非常top down的
[23:11] OpenAI是特别bottom up的
[23:13] 所以Anthropia有一个非常恶滥一致的目标
[23:16] 就是搞好这个东西
[23:17] 有一个自己的一个路线图对吧
[23:20] 而且创始人特别酣脏
[23:22] 懂技术
[23:23] 带着大家搞数据搞工程对吧
[23:25] 重视数据可能是写在基因里刻在骨子里的
[23:29] 而且Anthropia这个团队好像也一直比较稳定
[23:32] 不像OpenAI团队
[23:34] 没那么稳定人才流失之类的
[23:37] 以及你跟Anthropia的人交流
[23:39] 我感觉他们每个人都很相信AGI
[23:41] 就特别AGI为人
[23:43] 就是原生的那种状态吧
[23:45] 可能这个创始人也特别有洗脑能力吧
[23:48] 经常会传递一些比较像宗教一样的发言
[23:53] 其实你看Anthropia过去说的
[23:56] 包括融资讲的
[23:57] 好像全都实现了
[23:59] 我觉得这可能是一个优秀公司应该有的样子吧
[24:03] 就是弄清楚战略之后
[24:05] 就坚定的执行
[24:07] 组织和文化也都跟进对吧
[24:09] 我觉得坚定最重要
[24:11] 就不要摇摆
[24:13] 其实你看他们很早就不做多摸泰了
[24:16] 或者投入非常小
[24:17] 可能这就不是他们所认为的科技书的主线
[24:21] 很多人去年说预训练撞墙了
[24:24] 他们好像也没觉得撞墙
[24:25] 依然坚持做
[24:26] 也是他们擅长的
[24:27] 很多人觉得RO这个事封神了
[24:31] 他们也没有把RO封神
[24:33] 也没有去做所谓的Resident Model
[24:35] 好像他们没有刻意神化一个人
[24:38] 或者某一块
[24:40] 最终目的好像就是做好一个模型
[24:42] 也没有觉得非得就一个环节重要
[24:45] 更像是一个集体
[24:46] 一个球队
[24:47] 一个工业化的体系
[24:48] 每个环节都做好
[24:50] 就是相比之下
[24:51] 欧派可能有些做的不好的地方
[24:53] 其实可能比较像VC对吧
[24:55] 喜欢造新的概念
[24:57] 把某些概念可能推得很高
[24:59] 或者容易神化某一个环节
[25:01] 就是以前神化Pertrin
[25:03] 后面Postrin对吧
[25:04] 后面这个O1
[25:06] O3对吧
[25:07] 嗯
[25:08] 但好像SRK就不太会
[25:10] 就
[25:11] 这个动荡摇摆很大
[25:14] 嗯
[25:15] 我觉得这可能是
[25:17] 嗯
[25:18] 文化特点可能比较重要的
[25:20] 其实你看组织上的Anthropic
[25:22] 可能是一帮人就做一件事
[25:24] 欧派你跟他小伙伴交流一下
[25:26] 经常是一个人做一个新的事
[25:29] 这个所以专注度聚焦
[25:32] 我觉得可能是一个比较关键的
[25:34] 而且Anthropic好像一直是
[25:37] 不怎么招那些Big Name
[25:39] 都是招Underdog
[25:41] 嗯
[25:42] 而且对文化面试也比较严
[25:44] 经常会问你很多文化问题
[25:45] 比如说AGI实现了之后
[25:47] 种种种种各种选择
[25:48] 你会怎么做
[25:49] 我的感觉好像Anthropic早期的人
[25:52] 都还是比较AGI mission驱动的
[25:56] 就是你看Alpha当时比OpenFD风险也大
[25:59] 很多人还是进来了
[26:00] 可能也是一个筛选吧
[26:02] 然后这些人都还是比较AGI原生的
[26:05] 所以他们的文化也一直比较稳定
[26:07] 人才流失也比较少
[26:09] 你说到Anthropic我想到
[26:10] 我觉得他们除了模型
[26:12] 他们在产品上做的也挺有sense的
[26:14] 他们产品有什么方法论吗
[26:16] 就是感觉他的产品非常的AI native
[26:18] 非常懂产品
[26:19] 对
[26:20] 我是感觉他们的产品文化
[26:22] 和产品sense都是蛮好的
[26:24] 其实随着模型能力的提升
[26:26] 他们好像是把模型能力
[26:28] 转化到产品
[26:29] 转化到用户体验
[26:30] 这个效率是更高的
[26:32] 因为他们做产品的很多人
[26:33] 还是工程师或者研究员
[26:35] 很懂模型能力
[26:36] 你比如说Cloud Code的创始人Boris
[26:39] Boris其实是很强的code
[26:41] 他其实是想deliver一个最强的
[26:44] coding的工作方式
[26:46] 在引领整个开发范式
[26:49] 其实你看Cursor火了以后
[26:51] 很多人在讨论说
[26:52] 模型公司要不要再做一个IDE
[26:54] 好像Anthropic没有做IDE
[26:57] 而是他做了一个终端的形式
[26:59] 就是今天的Cloud Code
[27:01] 因为这个可能是更能承接住
[27:03] 模型的红利的
[27:05] 因为模型是指数级增长的
[27:08] 但你产品也得
[27:09] 指数级接住这个东西
[27:11] 我是感觉他们的产品sense
[27:13] 还是挺在线的
[27:14] 就是产品比较面向AGI
[27:18] 面向模型指数增长的这个红利上
[27:21] 我觉得他们用户体验也确实不错
[27:23] 然后产品的harness
[27:25] 这些东西做的也比较好
[27:27] 对
[27:28] 你刚才也提到
[27:29] Anthropic的组织和文化
[27:30] 它的founding team是什么样的呀
[27:32] 能不能评价一下
[27:33] 他们的核心团队
[27:35] 以及这些做产品也都是来自模型team
[27:38] 对吧
[27:39] 对
[27:40] 其实你看他们其中两个founder
[27:43] 一个是CEODario
[27:45] 还有一个手艺科学家Jerry Kaplan
[27:47] 他们俩是物理学家出身
[27:49] 其实他们对AI的理解
[27:50] 更多是从一个物理观察的角度出发的
[27:53] 他也没想着创造新的什么transformer架构
[27:56] 但就是会把transformer这个架构
[27:58] scale的比较好
[27:59] 其实是像物理学家一样
[28:01] 洞察了这个AI的规律
[28:03] 找到了data efficiency
[28:05] 架构的efficiency
[28:06] 工程的efficiency对吧
[28:07] 好像也没有像欧盘一样有执念
[28:10] 非得做下一个方式
[28:11] 就是踏踏实实执行的比较好
[28:13] 好像也没有绝对的各种secret
[28:16] 别人不知道的
[28:17] 但好像就是把工程把细节做的比较好
[28:20] 产品团队其实很多还是工程师和researcher
[28:27] 其实是比较像早年姑姑的文化的
[28:30] 你说他们没什么secret
[28:33] 但他们其实是防泄密
[28:35] 然后做信息保护的
[28:37] 互作最严的一家微股模型公司
[28:39] 对不
[28:40] 我觉得是他们的文化吧
[28:41] 就是内部很透明
[28:42] 然后防止信息外泄
[28:46] 可能一旦出现信息泄漏
[28:48] 可能就开除
[28:49] 或者很严格的
[28:50] 大家也都比较尊重这个事
[28:52] 所以你看大家对AnswerPick的了解
[28:55] 还是比较少的
[28:56] 那你觉得
[28:58] 因为AnswerPick
[28:59] 它其实有一两年的时间窗口
[29:01] 因为直到去年
[29:02] 都只有一部分人看懂了coding
[29:04] 今年似乎所有人都开始
[29:06] 因为
[29:07] 用了
[29:08] 你觉得它在coding上的护城壳高吗
[29:11] 有多高呢
[29:12] 以及现在市场对于AnswerPick是不是高估了
[29:15] 因为他们产品线或者revenue
[29:18] 是高度集中在coding或者agent tech
[29:21] 可能
[29:22] maybe百分之七八十的revenue都来自于这块
[29:25] 我觉得就看这件事的难度系数吧
[29:28] 未来竞争肯定还是非常激烈的
[29:30] 但我感觉也主要是头上的三四加吧
[29:34] AnswerPick还是有危机感的吧
[29:36] 如果就是现有方式不动
[29:38] 就是往前skill
[29:39] 可能他们还是有信心保持一定的优势的
[29:43] 但技术变化总是很快的
[29:45] 大家又很担心OpenAI搞出一个惊天动地的新的东西
[29:50] 我自己的判断是OpenAI和Google
[29:53] 最终都是能追上来的
[29:55] 如果你说风险的话
[29:57] 我觉得算力可能是一个
[29:59] 之前
[30:00] 包括他们自己内部可能
[30:02] 也没有预估过去一个季度需求的爆发吧
[30:05] 所以算力规划也保守了
[30:07] 我感觉今年实现1000亿美金的AR
[30:09] 最大的bottleneck可能就是算力
[30:12] 我估计可能后面要到处扫货各种GPU吧
[30:17] 然后AnswerPick我觉得有一个比较有意思的是
[30:21] 它定位的是高价格带的用户群
[30:25] 它的定价是很高的
[30:27] 一直也没有降价
[30:28] 其实OpenAI以前是不敢把模型做的很大的
[30:31] 因为它的用户量太大了
[30:33] 很多人不付费
[30:34] 但是你要是去定位一个高价格带的用户
[30:38] 那我就给我很大的模型
