[00:03] Hello 大家好,我是小骏
[00:04] 2026年除了嘉宾访谈
[14:57] 抛反力也在challenge自己
[15:00] 就是凭什么我就认为我是仿真做的最好的
[15:03] 因为其实当时那个阶段
[15:05] 威某有威某自己的做法
[15:07] Cruise有Cruise自己的做法
[15:09] 整个行业还没有完全收敛
[15:11] 所以也很难说谁对谁错
[15:13] 那我觉得英伟达他的优势就是
[15:15] 他作为一个供应商
[15:17] 那我认为我应该从一个
[15:19] 我认为我已经具备了
[15:21] L4的这个角度了
[15:22] 我再去威某可能意义不大
[15:24] 但是呢我如果去一个供应商
[15:27] 我能够从供应商的角度
[15:28] 去看应该怎么去做仿真
[15:30] 那时候英伟达多大
[15:32] 21年的时候
[15:33] 那个时候
[15:34] 可能一万人
[15:36] 啊
[15:37] 但是他的这个自动驾驶团队
[15:39] 已经发展了几年的时间了
[15:41] 其实英伟达
[15:42] 在自动驾驶上投入还是比较高的
[15:44] 那时候
[15:45] 从Cruise跳槽到英伟达是一个主流选择吗
[15:49] 其实当时
[15:50] 我觉得很多人还没有看懂英伟达
[15:52] 实话实说
[15:54] 我当时也没有那么看懂
[15:56] 直到我进入了英伟达我才看懂他
[15:58] 现在后悔离职吗
[15:59] 没有后悔离职
[16:01] 对但是就是说我确实当时在英伟达内部的时候
[16:05] 当时真正让我感觉到
[16:06] 英伟达是一家极其硬科技的公司
[16:09] 我当时记得我跟我太太说
[16:11] 我说
[16:11] 其实不要小看英伟达
[16:13] 他不是一个游戏卡的公司
[16:15] 他不只是一个GPU的公司
[16:16] 他是一个
[16:17] 加速计算的平台的公司
[16:19] 他是一个全站的一个公司
[16:21] 这个是我当时真正在内部的时候看到的
[16:23] 那当然就是说
[16:24] 我觉得在英伟达其实让我看到了
[16:26] 从供应商角度应该如何去做仿真
[16:29] 但是我为什么去未来一方面
[16:31] 我觉得是回国
[16:33] 另外一方面呢
[16:34] 我觉得我希望从一个客户角度
[16:36] 从一个因为如果说我认为将来
[16:39] 最大的
[16:40] 仿真的需求会是来自于主机厂
[16:43] 因为他们都会自研自己的自动驾驶
[16:45] 那么我应该从一个主机厂角度
[16:48] 真正看
[16:48] 应该如何去利用仿真
[16:50] 同时我觉得
[16:51] 我也很难去回答我自己另外一个问题就是
[16:55] 为什么这件事一定要出来做
[16:57] 是不是在里头做就够了
[16:59] 所以我觉得我需要从多方的视角
[17:01] 真正让我自己
[17:03] 真正的理解透
[17:04] 这件事
[17:05] 真正在外部做
[17:06] 有这么一个机会
[17:07] 你说仿真不是玩具
[17:09] 那仿真是什么呢
[17:10] 这是一个很好的问题
[17:12] 实话是说我最早的时候
[17:14] 我一直管仿真叫时间机器
[17:16] 假如说没有仿真
[17:18] 可能自动驾驶要花
[17:20] 15年的时间
[17:21] 有了仿真
[17:22] 没准5年的时间可以达到
[17:23] 我认为它是一个加速器
[17:25] 为什么这么说
[17:26] 因为
[17:26] 自动驾驶最主要的数据来源
[17:29] 还是来自于真实世界
[17:30] 来自于车开回来的数据
[17:32] 它的数据好采集
[17:33] 它的数据很好采集
[17:34] 它其实本质上来讲是一个
[17:36] 被动的
[17:37] 因为都是
[17:38] 买了车的司机
[17:39] 对吧然后开回来的数据
[17:41] 它其实更加
[17:42] 希望通过仿真做的是两件事
[17:44] 一件事是补充一些边角的场景
[17:47] 就是俗称的corner case
[17:49] 那么可能是路上的一些
[17:51] 比较偶发的事件
[17:52] 还有一个是用仿真
[17:54] 去做一些评测
[17:56] 因为
[17:56] 在仿真里头
[17:58] 可以有更好的一个重复性
[18:00] 那么可以重复的去验证
[18:02] 他们算法的有效性
[18:04] 做回归的测试
[18:05] 但是呢
[18:06] 我当时
[18:06] 的想法是
[18:07] 仿真难道
[18:08] 只可以作为一个时间机器吗
[18:10] 有没有可能
[18:11] 它对于AI
[18:12] 对于后面AI的发展
[18:14] 会类似于英伟达的卡一样
[18:16] 没有英伟达
[18:17] AI就不会发展
[18:18] 而不是说
[18:19] 有了它
[18:20] 它只会发展的更快
[18:22] 那在这个时间点上呢我就开始去
[18:24] 看机器人这个产业
[18:26] 当时其实我觉得在英伟达给我的触动很大的一件事就是
[18:30] 我当时有机会跟
[18:32] 詹森
[18:33] 当时有机会跟
[18:34] 英伟达的可能Omniverse
[18:36] 的几个leader
[18:38] 有比较深入的交流
[18:40] 那我当时感受到其实英伟达在下一盘大棋
[18:43] 他其实真正侧重的
[18:45] 是机器人的仿真
[18:47] 那这件事他把它做成了一套平台
[18:50] 因为他特别相信
[18:52] 通过合成数据
[18:53] 通过仿真
[18:54] 这个是唯一的路径
[18:56] 来真正的让机器人
[18:58] 将来可以部署到世界各地
[19:00] 我当时其实也越来越
[19:02] 认为这个确实是后面的一个大趋势
[19:05] 在这样一个阶段呢
[19:06] 我认为就是说
[19:08] 我真正应该出来去创业做的
[19:10] 不是一个自动驾驶的仿真
[19:12] 合成数据而是去
[19:14] 真正作为整个机器人产业的
[19:17] 数据的这个基建
[19:18] 整个机器人产业的这个数据的这个引擎
[19:21] 为什么要在外面做为什么不是在某一家公司做为什么这些机器人公司不是自己来做这件事情
[19:26] 怎么说呢其实我也是花了很长的时间去理解
[19:29] 我觉得在这儿呢其实更多的还是要去
[19:32] 想这件事的难度
[19:34] 它的市场的机会
[19:35] 以及呢
[19:36] 我觉得可以与
[19:37] 比方说这个行业的一些公司去类比
[19:39] 比如说像scale ai
[19:41] 这样的公司去类比
[19:43] 我认为
[19:44] 当这个市场的机会足够大
[19:47] 它的难度
[19:49] 相对的大
[19:50] 在这样的一个情况的时候
[19:53] 我认为在外部做
[19:54] 其实有更大的优势为什么
[19:56] 因为其实你可以招到更好的
[19:59] 更优秀的人才
[20:00] 举一个例子就是
[20:01] 在Cruise
[20:02] 可能
[20:03] 最好的算法的人才
[20:05] 很难给到仿
[20:06] 真团队
[20:07] 他一定会给到
[20:08] 感知的团队或者当时的预测的团队
[20:11] 对吧
[20:12] 那么在vmall
[20:14] 可能最好的数据的人才
[20:16] 并不见得会给到数据的基建团队
[20:18] 可能会给到算法团队
[20:20] 而在scale ai
[20:22] 对吧
[20:22] 他会吸引到全世界最优秀的
[20:25] 算法的人才和数据的人才来为他
[20:28] 去打造一套数据的飞轮
[20:29] 我觉得一样的道理
[20:31] 就是我认为其实
[20:32] 只要这件事足够的难
[20:34] 这件事它的
[20:36] 商业的机会足够的大
[20:38] 我认为他就应该在外面做
[20:40] 除非就是说这件事可能比方说如果
[20:42] 他只是一个
[20:43] 自动驾驶的仿真
[20:45] 对吧那我觉得确实有可能
[20:47] 这件事并不值得完完全全在外面去做这件事
[20:50] 其实我们今天这个节目是想聊一个就是很专业相对niche
[20:54] 但是也很本质的一个话题就是数据
[20:57] 因为现在不管是大语言模型还是
[21:00] 巨神智能还是robotics都非常关切数据问题
[21:03] 不过两边阶段可能是不一样的大语言模型遇到的是
[21:06] 数据撞墙了
[21:08] 没有更多的数据了互联网数据都已经吃完了
[21:11] 那对于robotics来说数据仍然是一片荒漠
[21:14] 那在你看来你觉得数据问题
[21:17] 有多重要啊它是本质问题吗
[21:19] 数据的问题其实
[21:21] 我认为它对于AI是一个本质的问题
[21:23] 我觉得如果从
[21:25] 第一项原理上去思考的话
[21:28] 我其实
[21:29] 认为数据可能应该跟
[21:32] 人的
[21:33] 教育的行业去类比
[21:34] 就是数据对于
[21:36] 模型
[21:38] 或者数据对于智能
[21:39] 我觉得有点类似于
[21:41] 教育的行业
[21:42] 对于人的学习
[21:44] 数据约等于教育
[21:46] 我认为数据对于这个智能是极其关键的
[21:49] 因为我认为就是
[21:51] 数据对于智能就要类似于咱们人
[21:54] 去获取知识
[21:56] 来不断地去自我提升
[21:58] 那我认为知识
[21:59] 对于人的智能是极其关键的
[22:02] 第一性的这个需求
[22:04] 那
[22:04] 所以同理我认为
[22:06] 数据对于这个智能是
[22:07] 至关重要的一件事
[22:09] 你会怎么定义数据
[22:11] 我觉得我可能更多的是从
[22:13] AI数据发展的不同阶段
[22:15] 来帮助
[22:16] 咱们去想一下怎么去定义
[22:18] AI数据这件事
[22:20] 我认为最早的这个数据
[22:22] 更多的类似于是
[22:24] 在最早的机器视觉的这个阶段
[22:27] 那当时李飞飞教授
[22:28] 去定义了ImageNet
[22:30] 那这个时候的数据更多的是一个数据集
[22:34] 对吧它是一个静态的
[22:36] 包括图片
[22:37] 包括相对的真值标注的一个数据集
[22:41] 这个是最早的一个阶段
[22:42] 它是一个静态数据集的一个阶段
[22:44] 那么我觉得与人的这个
[22:46] 教育类比的话呢
[22:48] 它其实可能更多的是一个
[22:51] 偏一次性的
[22:53] 填鸭式的一个教育
[22:54] 比方说
[22:55] 一次性的买了一些教材
[22:57] 提供给了
[22:58] 一些同学们去学习
[23:00] 在后面的时候呢其实我觉得
[23:03] 就到了scale AI
[23:04] 真正的去
[23:05] 工业化数据的生产这件事
[23:08] 那这个时候我觉得数据呢可能更多的是一个
[23:12] 基于大规模的
[23:13] 工厂式的流程
[23:15] 包括后面的工艺
[23:17] 对吧把它
[23:19] 相对高时效性的
[23:22] 大规模的
[23:23] 保证质量的去生产出来
[23:25] 所以它更多的是一个工厂的生产大规模数据的一个流程
[23:29] 在这个时候呢我觉得有点类似于是一个偏量范式的教育
[23:34] 那再往后呢
[23:35] 其实就到了我觉得大语言模型的时代
[23:38] 那大语言模型的时代我认为数据呢
[23:41] 由于可能预训练
[23:43] 已经把整个互联网的数据都给用够了
[23:46] 那么数据的
[23:47] 重点呢开始转移到
[23:49] 后训练
[23:50] 以及评价这个阶段
[23:52] 那么更多的是基于
[23:54] 越来越多的高阶的这些人
[23:56] 比如说
[23:57] 能力很强的工程师
[23:59] 物理学家
[24:00] 数学的金牌
[24:02] 律师医生
[24:04] 那么基于他们呢
[24:05] 一方面来说去出题
[24:07] 然后提供评价标准
[24:09] 二
[24:10] 基于这些题就以及考核这个大模型的这些反馈
[24:15] 发现相应的问题又针对这些问题
[24:17] 去给他们更多的信息
[24:19] 给他们更多的经验传授
[24:21] 帮助他们去提升
[24:23] 在这个时候我觉得数据
[24:25] 就更加
[24:25] 类似于是比方说教育的这个
[24:28] 更加高阶的一个阶段
[24:30] 就是这个施者
[24:32] 所以传道授业解惑也
[24:34] 那是啊
[24:35] 一个老师
[24:36] 根据你的这个
[24:38] 因材施教根据你的能力根据你的这个阶段基于一些
[24:41] 对你的评价
[24:43] 发现了一些问题
[24:44] 并且基于这些问题给你
[24:46] 足够的
[24:47] 有经验的传授
[24:48] 反馈
[24:49] 来帮助你去提升
[24:51] 所以我认为这个其实是数据的一个演变
[24:54] 那当然我认为从巨神来讲的话呢
[24:57] 他的数据又更加的复杂
[24:59] 比如说在大圆模型的时候
[25:01] 数据可能是更多的是在数字的世界
[25:05] 那么
[25:05] 基于
[25:06] 从评价的角度出发
[25:08] 给到这个模型更多的反馈
[25:10] 而巨神呢
[25:11] 其实我认为来讲可能更多的会在
[25:14] 物理的世界
[25:15] 那无论是在
[25:16] 真实的物理的世界还是在仿真的物理世界
[25:19] 基于评价
[25:20] 基于信号
[25:21] 提供更有效的
[25:24] 经验的传授
[25:25] 以及反馈
[25:26] 对
[25:27] 那么这个我认为可能是数据发展的不同的阶段
[25:30] 那么从这个角度来讲呢我觉得数据
[25:34] 可能更多的应该被
[25:35] 定义为
[25:36] 它是一个能够帮助你去学习的
[25:39] 信号
[25:40] 以及相应的这些经验的传授
[25:42] 所以它从一个静态的数据可能慢慢的变成一个教育的系统
[25:46] 对那我觉得这个其实也很有意思
[25:48] 比如说
[25:49] 我还记得
[25:51] 最早的时候在自动驾驶
[25:54] 当时其实
[25:56] 数据的团队
[25:57] 他们提供的数据集
[25:59] 其实是没有什么反馈的
[26:01] 没有什么反馈的
[26:03] 比如说可能更多是算法团队提出了一些数据集
[26:05] 一些需求
[26:06] 对吧
[26:06] 然后数据的团队去交付
[26:08] 然后算法团队后面再提出更多的需求
[26:11] 对吧
[26:12] 那么咱们去看
[26:13] 现在的很多的数据标注页
[26:16] 自动驾驶的数据标注页
[26:18] 我觉得还是在这样一个阶段
[26:20] 对吧其实
[26:21] 这些数据的厂商公司
[26:23] 或者说内部的团队
[26:25] 他们其实对算法的状态
[26:27] 是没有了解的
[26:29] 他们更多的是被动性的去接受
[26:32] 算法提出的需求
[26:33] 嗯
[26:34] 并且提供
[26:35] 相应的数据的交付
[26:37] 但是咱们再去看
[26:39] 比如说
[26:40] 大圆模型
[26:41] 这个产业
[26:42] 那当然一个是scale
[26:44] 后面的比方说像Macor
[26:46] 像search
[26:47] 那他们更多的是
[26:49] 找了更多
[26:51] 高阶的人
[26:52] 去给
[26:53] 他的模型的客户的算法
[26:55] 提出了更多的评价
[26:57] 通过这些评价去
