[00:02] 今天其实非常清晰,美股有三条主线,第一条肯定是AI,第二条叫re-industrialization,就是再工业化,第三条叫digitization of finance,就是一个金融产业的创新。
[00:16] 是最早看出来OpenAI是一个产品公司,而不只是模型公司的时候下注的。
[06:15] 但是在2020年之后,我们就经历了3次,所以这个频率是有明显变高的。
[06:21] 那你看23年之后,突然一下整个市场就被AI主导了。
[06:25] 回头来看,你觉得在当初有没有一些端倪有可能更早的预见吗?
[06:31] 还是说还就是非常的突然?
[06:32] 我觉得其实是有非常明显的预兆的。
[06:36] 22年当时市场是一片灰暗,但当时有非常奇怪的融资现象。
[06:41] 有一个公司叫Inflexion AI,就是Mustafa他的大模型公司。
[06:45] 当时也算是大模型至少前五前十这样子,他在A轮就融了两亿美金。
[06:52] 而且不只是他一家,很多家公司,包括Anthropic, Cohere, Stability,都是内部的模型公司,每个人都融了几个亿的A轮。
[07:00] 这里面我觉得其实有几个点都非常奇怪,第一就是他们实际上是在用VC的钱去做资本支出,第二就是从来没有人A轮融两个亿,平均可能也就应该融个一千万的样子吧。
[07:14] 第三就是整个二级市场都在暴跌了,对VC应该是有一个传导的,所以这种热度是完全不应该的。
[07:22] 因为我其实一二级都会做,所以会去见这些创始人,我印象特别深,当时跟他们聊,就发现这个逻辑异常简单。
[07:29] 他们就说这几个词,就是skating law,我要买卡,然后英伟达的卡就是这么贵。
[07:36] 所以有的时候赶上这个正确的时间和机会,投资这个逻辑就是这么简单。
[07:42] 就是说VC的钱都冲去了英伟达到最后。
[07:45] 对,可以这么说。
[07:47] 这里面也说到一个crossover接近的好处,就是一二级都做。
[07:50] 二三年初的时候,市场上有二三十家都是自己做大模型的公司。
[07:56] 那个时候其实真的很难判断哪家能成功成为第一T。
[07:59] 对,但因为我们基金是一个crossover的结构,一二级都做,又是同一个团队。
[08:04] 所以我发现可以很容易的用英伟达在二级市场去表达我们对模型,对AI的观点。
[08:10] 这两年其实做AI的标的绝大多数都在二级市场,包括云,包括电力,包括AI受益受损两边的标的。
[08:19] 二三年开始,其实AI的进展到现在也两年了。
[08:23] 我们的博客也请过非常多的AI的方对来聊天。
[08:26] 那到了今天,你觉得美国一线的顶级投资人们,他们都在投什么呀?他们整体的情绪是什么样呢?
[08:34] 今天其实非常清晰,美股有三条主线,第一条肯定是AI,第二条叫re-industrialization,就是再工业化,第三条叫digitization of finance,就是一个金融产业的创新。
[08:47] 这三条主线其实非常有意思,因为它们中间有千丝万缕的联系。
[08:51] AI这条大家都很熟悉了,就是芯片和云。
[08:54] 那再工业化这一条主线呢?
[08:55] 那再工业化这一条主线呢?
[08:55] 那再工业化这一条主线呢?
[08:55] 那再工业化这一条主线呢?
[08:57] 其实包括非常多的东西,包括稀土,包括美国本土制造业的回归,包括数据中心,那再长期就要看机器人能不能拉平美国和新兴市场劳动力的水平。
[09:09] 我觉得大家可能还没有意识到,比如这次4月份特朗普闹了一通关税的交易,像日本韩国这两个国家就合起来答应要投超过一万亿到美国。
[09:20] 这个钱其实是会被用来投资美国的基建项目的,包括能源,包括数据中心。
[09:25] 那么这两个国家的投资是什么?
[09:25] 那么这两个国家的投资是什么?
[09:25] 那么这里呢,其实就和我们刚刚讲的第一条线,就是AI实现了一个闭环。
[09:30] 那现在市场可能最担心的就是说,AI投资是不是一个泡沫,这些钱从哪里来?
[09:36] 我觉得其中一部分其实是要把这一块考虑进来的,因为我们已经看到像日本,已经投了超过有一千亿在美国的能源相关的项目,就是去power这些数据中心的。
[09:48] 然后第三条刚刚讲的叫金融产业的创新,也非常有意思。
[09:52] 今年在7月份的时候,美国有一个非常重要的法案,叫
[09:55] 它是一个稳定币法案。
[09:58] 稳定币支付就是我们所说的cheaper, faster, better。
[10:01] 你等下个月如果有agentic commerce出来,
[10:04] 让agent帮我去付款买东西,
[10:06] 那token或者说稳定币这个概念,
[10:08] 我觉得就会被重新提起来。
[10:10] 那这里也就和我们刚刚讲的第一条,
[10:12] AI又形成了一个闭环。
[10:14] 我觉得如果这三条主线之上,
[10:17] 还有一个层面,
[10:20] 那就是这一届非常有自己想法的政府,
[10:22] 以及明年美国中期选举,
[10:25] 也是他们非常有想法的政府。
[10:25] 所以我觉得这三条主线之上,
[10:25] 还有一个层面,
[10:25] 也是他们非常重视的一个事件。
[10:27] 我很好奇,
[10:27] 美国投资人现在是怎么看待中国市场呢?
[10:30] 很热闹,
[10:31] 但是我跟踪下来,
[10:33] 我觉得实际的投资金额,
[10:35] 其实和过去几年没有明显的变化。
[10:38] 但确实是今年开始,
[10:39] 一批又一批的美国投资人都去中国参观,
[10:42] 然后所有人去参观,
[10:43] 都对我们这个EVE还有机器人感到非常的震撼。
[10:46] 我了解下来,
[10:47] 美国投资人最重视两件事,
[10:49] 一个肯定是中美谈判的结果,
[10:51] 另外一个是港股IPU的活跃度。
[10:54] IPU这块我看从量的角度,
[10:55] 今年已经是上来了,
[10:57] 但是更多的是一些消费类型的公司在港股上市。
[11:01] 如果之后能有更多的科技IPO,
[11:03] 我相信美国一些投资的金额是会回溜到中国市场的。
[11:06] 你刚才也提到你们投了一些美国的大公司嘛,
[11:10] 而且是重仓,
[11:11] 你能不能也聊一下这几家具体的公司,
[11:14] 比如OpenEye,
[11:15] 你们是它的股东,
[11:16] 你们当时是在什么时候看到这样的趋势开始下注的?
[11:21] 当时它属于一个什么样的状况呀?
[11:23] 是最早看出来OpenEye是一个,
[11:25] 产品公司而不只是模型公司的时候下注的。
[11:30] 这大概在什么时间啊?
[11:32] 就是最早看出来OpenEye是一个产品公司,
[11:34] 而不只是模型公司的时候。
[11:36] 那个时候从月活的角度可能就是一个两个亿的水平,
[11:43] 然后市场也非常的混乱,
[11:45] 大家并分不清谁才是真正的一线的模型公司。
[11:49] 这个结论现在听起来非常的共识,
[11:52] 但23年大家是很担心2C这边竞争格局的,
[11:55] 觉得GPT没有粘性,
[11:57] 那个时候包括Perplexity,
[11:59] 包括Cloud,
[11:59] Grok,
[12:00] 竞争格局并不清晰。
[12:02] 你做一个好的产品,
[12:04] 远不止是需要模型,
[12:06] 用户体验也是很大的一部分。
[12:08] GPT如果你细想,
[12:09] 其实并不是一个像Meta那样有非常强网络效应的商业模式,
[12:14] 它就是一个一对一的分发,
[12:16] 但就是它的先发优势以及更好的用户体验,
[12:19] 让这个产品有更强的粘性。
[12:22] 最近OpenEye它完成了5000亿的融资,
[12:24] 那我们看到,
[12:25] 媒体报道说它收入预测2030年是有2000亿的收入,
[12:29] 但是现在烧钱还是非常的多啊,
[12:32] 能不能给我们讲讲你们对于它的商业模式是怎么思考的?
[12:35] 对,首先像你说的OpenEye包括Unprofit的数字,
[12:38] 其实媒体都有报道了7788,
[12:41] 所以我今天说的所有数字都是用媒体披露的。
[12:44] 那这个商业模式的本质非常的简单暴力,
[12:47] 它成本的大头就是用卡,
[12:50] 其中又包括Inference,
[12:51] 包括Training,
[12:52] 然后训练的成本大概是按照,
[12:55] Skating Law,
[12:55] 就是每年可能上涨10倍这样子。
[12:58] 所以如果你上一年的训练成本为1的话,
[13:01] 你第二年大概是能以2这个收入去收回上一年的训练成本,
[13:06] 但同时你需要减去10,
[13:08] 也就是你新的这一代模型的训练成本,
[13:10] 所以就是一个很简单的你加2减10,
[13:13] 你就变成了一个-8。
[13:14] 大模型这个商业模式本质是一个负向滚雪球,
[13:18] 每一年都会比上一年的现金流烧得更多。
[13:21] 如果说有一天现金流能翻正的话,
[13:24] 那从逻辑上来说,
[13:25] 就只有两个可能,
[13:26] 要么就是你第二年的收入不再是前一年训练成本的两倍,
[13:30] 而是一个更大的数字,
[13:32] 要么就是你不再去烧一个新的10倍的模型,
[13:35] 只有这两个可能性。
[13:37] 这个Anthropic的CEO Dario也讲过这个逻辑,
[13:40] 他又把后者就是烧钱停止这件事情做了细分,
[13:43] 他说烧钱停止又有两个可能性,
[13:46] 要么就是你到了一个物理限制了,
[13:48] 模型太大了,
[13:49] 你纯从一个训练的角度你训不动了,
[13:52] 或者说你要把全世界的钱都烧进去,
[13:54] 那第二个可能性,
[13:55] 就是说模型的大小本身还可以,
[13:58] 但是因为Skinning Law变慢了,
[14:00] 所以你不值得再烧一个10倍这么大的模型了。
[14:04] 那在结束的这个时间点,
[14:06] 其实非常有暴力美学,
[14:08] 这个公司的利润表会非常好看,
[14:11] 因为就像我们刚才举的最简单的这个例子,
[14:13] 你加2但你不减10了嘛,
[14:14] 所以就是一个非常简单的数学问题。
[14:17] 所以那个Skinning Law消失,
[14:19] 对于投资人来说还是个好事儿是吧,
[14:22] 从算术上来看。
[14:24] 对,在那个时间点,
[14:26] 投资人会看到他们最想看到的这个利润率。
[14:29] OPI确实是很神奇的商业模式,
[14:32] 在科技领域本身其实很少有资本密集型的业务,
[14:36] 但也不是没有发生过,
[14:37] 比如说Netflix,
[14:39] Netflix的现金流前几年都是负的,
[14:42] 而且也是负向滚雪球,
[14:43] 每年都比前几前一年负的更多,
[14:46] 因为Netflix也是,
[14:47] 你前期要花很多的钱去拍剧做内容,
[14:50] 而且它的那个内容其实也是有折旧的,
[14:52] 也是4年的一个折旧,
[14:54] 所以如果你细想,
[14:56] 很多地方跟数据中心还挺像的,
[14:58] 那现金流上Netflix最惨的是在19年,
[15:02] 是负的30亿,
[15:03] 然后非常有意思的就是在2020年,
[15:06] 它现金流突然大幅翻增到20亿,
[15:09] 这个涨幅非常迅猛,
[15:10] 然后你去看为什么,
[15:12] 就是因为疫情了,
[15:13] 所以大家不能再出来拍电影拍电视剧了,
[15:16] 所以你叫内容成本或者叫训练成本就没有了,
[15:20] 所以就是用最直白的话说,
[15:22] 你烧钱的东西只有在不烧了那一天,
[15:26] 才真正会有现金流,
[15:27] 这个就是模型公司的本质,
[15:29] 但是像Netflix这种内容平台,
[15:31] 它如果不投入做内容的话,
[15:33] 品牌优势是会消失的,
[15:35] 你想迪士尼也不可能不做内容啊,
[15:37] 对,
[15:38] 我觉得你说的是对的,
[15:39] 但Netflix它也不是现在完全没有内容投入,
[15:43] 只是它这个增长的幅度下来了,
[15:45] 不像它前期在出用户数的时候,
[15:47] 需要扩张内容,
[15:48] 扩张那么猛了,
[15:49] 现在全世界它应该有超过,
[15:52] 3个亿的订阅用户,
[15:54] 年轻都很强,
[15:55] 它只需要维护住自己的位置就好了,
[15:57] 模型公司其实我想也是一样的,
[16:00] 我不觉得有一天它会彻底不训练了,
[16:02] 但就是训练成本不再像现在每年几倍的增加,
[16:06] 对于公司的利润率来讲就足够了。
[16:08] OK,
[16:09] 之前确实没有听说过把Netflix去和OpenAI对比,
[16:12] 那你觉得这个行业的格局未来会类似于流媒体吗?
[16:15] 嗯,
[16:16] 内容是没有排他性的,
[16:19] 所以,
[16:20] 媒体本身,
[16:21] 竞争格局都比较分散,
[16:24] 你看YouTube,
[16:25] Netflix,
[16:25] 像你刚才讲的迪斯尼,
[16:27] 每个人可能都是个位数的一个市场份额,
[16:29] 因为内容上来讲并不是一个完全商品化的内容,
[16:33] 就像我们不同的剧要在不同的平台去追,
[16:35] 而Chatbot你会希望一家能记下你所有的内容,
[16:39] GPT目前来看,
[16:41] 我觉得会更像搜索的格局,
[16:44] 就是市场集中度很高,
[16:45] 就是谷歌和微软的Bing这两家搜索占领整个市场,
[16:49] 然后用户去选择,
[16:51] 自己更喜欢用的。
[16:52] 对于OpenAI来说,
[16:53] 现在除了ChatGPT,
[16:54] 还有什么其他的收入吗?
[16:56] 它的收入结构是什么样的?
[16:57] 媒体有报道出来,
[16:59] 它有四条收入,
[17:00] 第一条肯定是ChatGPT,
[17:02] 占超过70%,
[17:04] 里面也包括企业的GPT,
[17:06] 那第二条就是API,
[17:07] 你今天来比较的话,
[17:09] OpenAI的API能对应Anthropic收入的一半,
[17:13] 然后但是中期长期,
[17:14] Anthropic自己是预测自己的这个增速要快很多,
[17:17] 能达到OpenAI API收入的5倍,
[17:19] 甚至更多。
[17:20] 第三条线,
[17:21] 就是Agent,
[17:22] 包括它和软银的合作也放到里面,
[17:24] 然后就是一些新产品。
[17:26] 今天市场上大部分讨论都集中在GPT,
[17:29] 但公司自己预测其实是后两条线,
[17:32] 会增长更快,
[17:33] 未来占比更大。
[17:34] 纯看GPT的话,
[17:36] 也可以看到一个3个亿的订阅,
[17:38] 因为Netflix就是这么一个数值,
[17:40] 然后每个月有30块钱,
[17:42] 那这个就是一个差不多1000亿的体量。
[17:44] 另外就是大家都在讨论2C的GPT,
[17:47] 把它当成一个纯面向消费者的公司在看,
[17:51] 但普通投资人可能看不到,
[17:53] 就是它今天个人和企业两边的占比是差不多的。
[17:58] 我觉得市场大大低估了它的企业端,
[18:00] 企业端用户本身也有几百万了,
[18:02] 比如说我就是企业端的用户之一,
[18:05] 我用GPT连上了我公司的邮件,
[18:07] slack,
[18:08] 我公司内部系统,
[18:09] 这个协同起来是非常好用,
[18:12] 想象空间很大的,
[18:13] 因为美国本来就是有很大的企业市场,
[18:16] 中国不是这个概念。
[18:17] 那报导出来的公司说,
[18:19] 年底有200亿的年份,
[18:21] 年化收入对应今年是130亿的收入。
[18:23] 很多人说OpenAI想做一个超级入口。
[18:26] 对,它其实是希望其他所有的应用程序,
[18:31] 都能在它上面构建。
[18:33] 那在消费端而言,
[18:35] 可能就会让这个Chatbot去做帮我买个东西,
[18:38] 或者叫个Uber。
[18:39] 那这里面现在有两个就现有的问题,
[18:42] 一个就是还是存在一个登录的问题,
[18:45] 因为第三方网站会监测和屏蔽agent的登录。
[18:48] 另外一个就是商家本身会非常抵触,
[18:50] 因为他都希望用户能直接来自己的平台。
[18:53] 比如说亚马逊,
[18:54] 只有我人过去了,
[18:56] 他才能在我买牙膏的时候,
[18:58] 推荐我买牙刷买牙线,
[19:00] 才能增加销售额。
[19:01] 而且亚马逊今天有超过700亿的广告收入,
[19:05] 如果换成agent去购买了,
[19:07] 那他这个广告收入还收不收得上来,
[19:09] 也是问题。
[19:10] 但你看在企业端其实反而会好很多,
[19:14] 谷歌和OpenAI这么竞争的关系,
[19:17] 谷歌的整个办公套件,
[19:18] 都很容易的让OpenAI直接调用,
[19:20] 因为软件的收费模式简单很多,
[19:22] 就是只要这个用户还在付费,
[19:24] 他们其实并不在乎自己是不是,
[19:27] 我们叫top of the funnel,
[19:28] 就是是不是货客漏斗的最上层。
[19:31] 所以这个算一个非共识吧,
[19:32] 就是我觉得OpenAI企业端作为超级入口,
[19:35] 可能发展会非常快,
[19:37] 有非常大的想象空间。
[19:38] 我看OpenAI是不是还要开始卖广告了呀?
[19:41] 还有没有其他的什么变现方式?
[19:43] 对,他今天没有广告收入,
[19:44] 但是广告这个逻辑太顺了,
[19:47] 他今天有超过8个亿的
[19:50] 周活跃,
[19:50] 然后其中差不多50%是付费用户,
[19:53] 他完全可以跟用户讲,
[19:54] 就是说如果你是一个免费用户,
[19:56] 那我肯定要赚钱,
[19:57] 所以我会通过广告,
[19:59] 比如说我搜索跑步鞋,
[20:01] 如果我是免费用户,
[20:03] 我可能会看到耐克的广告,
[20:04] 如果我是付费用户,
[20:07] GBT会向我保证,
[20:08] 就是他的结果是绝对公允的,
[20:10] 所以会看到很多其他小众的品牌,
[20:13] 广告本身上量会上的非常的快。
[20:16] 然后另外一个我觉得比较有意思的业务模式是云,
[20:20] 嗯,
[20:20] Sam Allman也有讲,
[20:22] 就是他业务非常自然的一个延展,
[20:25] 就是云这块业务,
[20:26] 因为如果你回想亚马逊AWS是怎么起来的,
[20:30] 其实也就是他自己先建数据中心给自己用,
[20:34] 然后发现他并不能完全控制他对数据中心的使用率,
[20:39] 因为数据中心本身又是一个非常看重使用率的一个商业模式嘛,
[20:43] 所以就是有点随手的事情,
[20:44] 就可能在自己不是那么需要的时候,
[20:47] 把这个云租出去,
[20:48] 慢慢的就成了一个很大的一个业务,
[20:50] GPU这一波我觉得也会是一样的,
[20:52] 所以云在美国的竞争格局,
[20:55] 我觉得会有挺大的改变的。
[20:57] 你觉得OpenAI和其他的模型公司今天的竞争是一个什么样的状态?
[21:00] OpenAI内部觉得自己的最大竞争对手从来不是unprofit或者XAI,
[21:05] 而是谷歌,
[21:06] 谷歌的站位实在是太好了,
[21:08] 就是一个完美的梯形,
[21:10] 它横向有面向消费者的搜索,
[21:13] YouTube,
[21:13] 有面向企业的这个work space,
[21:15] 就他的办公套件,
[21:17] 纵向从云一直延伸到自己的芯片,
[21:20] 那今天Gemini有6.5亿月活,
[21:23] 然后GBT有超过10个亿,
[21:25] 谷歌对OpenAI的价格战我觉得有几个角度都可以打,
[21:30] 第一就是绝对价格,
[21:32] 因为谷歌用TPU纵向整合,
[21:34] 所以同样的模型它能做到的利润率应该比OpenAI要高很多。
[21:39] 第二就是捆绑销售,
[21:41] 就是很经典的销售模式,
[21:42] 比如说现在我就是20块钱每个月的这个YouTube定位用户,
[21:46] 它完全可以说加一个10块钱,
[21:49] 啊,
[21:50] 给我这一块钱,
[21:50] 啊,
[21:50] Gemini只要你捆绑起来是很容易产生更高的利润的,
[21:54] 所以最近Gemini对OpenAI的用户市场有一定的冲击,
[21:58] 我觉得中长期可能比较合理的就是谷歌去吃下一个中低端的市场,
[22:04] 比如说20块钱每个月的订阅水平,
[22:08] 然后把高端的几百块钱,
[22:10] 甚至之后几千块钱一个月订阅市场留给GBT,
[22:13] 这两家你会站队哪一家?
[22:15] 我觉得目前看都是赢家,
[22:17] 但是我觉得现在整个市场对OpenAI的负面情绪,
[22:20] 以及对谷歌的正面情绪有一点太一边倒了,
[22:23] 因为你去细想谷歌面临的威胁其实并没有真正被解决,
[22:29] 今天谷歌的搜索广告确实没有掉,
[22:31] 是因为大家今天还是把GBT当成一个大型的Wikipedia在使用,
[22:37] 用它来做研究,
[22:38] 问他天为什么是蓝的,
[22:40] 那这些问答本身谷歌也是不变现的,
[22:42] 但是比如说保险,
[22:44] 比如说律所,
[22:45] 这些都是谷歌今天最大的广告商,
[22:48] 比如说我买车险,
[22:49] 我今天可能,
[22:50] Google一下,
[22:51] 然后选择最上面的广告位,
[22:52] 可能就是Geico这个公司,
[22:54] 但是这个问题本身太适合去问GBT了,
[22:58] GBT会给我一通比较,
[23:00] 然后我选择出最适合自己的,
[23:02] 那这个里面呢,
[23:03] GBT很可能已经有我的历史,
[23:05] 比如说知道我开车开得很差,
[23:07] 所以会定制一个最适合我的,
[23:09] 那你等GBT开始做广告,
[23:11] 你等他这个月开始做Argentic Commerce电商,
[23:14] 这个格局我觉得是会改变的,
[23:16] 所以往大了说,
[23:18] 每年,
[23:19] 我们美国的广告收入就这么多,
[23:22] 那今天是谷歌和Meta垄断这个市场,
[23:25] 那如果OpenAI想卖广告,
[23:28] 那就得从这两家出,
[23:30] 所以我总结来说的话,
[23:32] 就是OpenAI来自谷歌的竞争确实是存在的,
[23:36] 但是谷歌面临的威胁,
[23:38] 我觉得也是同样真实的,
[23:40] 这很有意思啊,
[23:41] OpenAI刚出的时候,
[23:42] 菜市BD刚出的时候,
[23:43] 都说这个要取代Google,
[23:44] 谷歌怎么突然格局就变好了,
[23:47] 我看巴菲特也买了,
[23:48] 对,
[23:48] 主要就是模型能力上来了,
[23:51] 以及大家发现他搜索广告目前还没有掉这个份额,
[23:55] 那模型能力这块也很有意思,
[23:57] 我听说内部是找到了优秀研究员的正确打开方式,
[24:01] 就是他把激励制度都绑定到这个模型榜单上,
[24:05] 就是谁能刷榜刷上去,
[24:07] 谁就升职加薪,
[24:08] 所以非常适合谷歌这些年的学霸文化,
[24:11] 然后江湖也有传言,
[24:13] 就是Nom Shazir这个人,
[24:15] 就是之前Character AI的创始人,
[24:17] 在他回到谷歌之后,
[24:18] 说是徒手改了一个bug,
[24:20] 从此Java 9的Pretraining就好用了,
[24:23] Java 9 3出来也发现证明这个Pretraining没有撞墙,
[24:26] 所以整个趋势都在持续变好,
[24:28] 那肯定是一个价值好几亿的bug,
[24:31] 对,
[24:31] 这个是一个天才研究员的事件,
[24:34] 我觉得Nom这个人去做这个研究员,
[24:38] 比他当时做一个2C公司的CEO可能也合适太多了,
[24:41] 谷歌搜索的格局你觉得会有变化吗?
[24:44] 变化太大了,
[24:45] 一度我其实很担心就是OpenAI没办法,
[24:48] 做搜索这件事情,
[24:50] 因为谷歌不给他用谷歌的搜索API,
[24:53] 而谷歌的搜索又是对吧,
[24:55] 最好用的这个API,
[24:56] 但是这一年用OpenAI或者用Proplacid用下来,
[25:00] 我发现他们的搜索效果都非常好,
[25:02] 因为我觉得搜索的护城河这件事情可能已经彻底改变了,
[25:06] 就是之前谷歌搜索确实是压倒性的好用,
[25:10] 这个好用是因为我作为一个人,
[25:12] 我总能在最上面的两三条里面找到我最想要的信息,
[25:17] 这个,
[25:18] 便捷对人是最重要的,
[25:20] 那第二页或者第三页的结果是完全没人看的,
[25:23] 但是现在你用模型去做搜索,
[25:26] 这个模型本身它非常的不辞辛苦,
[25:28] 它能一秒钟翻个几十页,
[25:30] 直到找出最符合问题的这个信息,
[25:33] 所以你用Bing或者说用自己的搜索引擎可能都不是很大的差别,
[25:39] 我觉得这件事情非常大,
[25:40] 因为搜索这个护城河就彻底的改变了,
[25:43] 你怎么看待OpenAI的管理层?
[25:45] 算不是技术背景,
[25:48] 但它能做一号位,
[25:49] 而且员工对它还是很服气的,
[25:51] 这个本身就挺有意思的,
[25:53] 我聊下来我觉得员工都很信任它,
[25:56] 也非常感谢Sam带领员工去支付,
[25:59] 然后另外一点我觉得一定要给Sam credit,
[26:02] 就是他真的是最早在这个市场上去相信AGI的,
[26:07] 这个是他引领了市场,
[26:09] 最近大家也都听到了1.4万亿这么一个数字,
[26:12] 其实他本意是很聪明的,
[26:15] 就是因为AI很烧钱,
[26:16] 所以他想把这一条,
[26:18] 这条线的公司都绑在一起,
[26:20] 但是我觉得他时间线上可能一下拉的太远了,
[26:23] 数字太大了,
[26:24] 下到市场了,
[26:25] 可能他如果只指引之后一年两年的支出,
[26:30] 效果可能会好很多,
[26:32] 但是我觉得给一点时间市场会慢慢消化的,
[26:35] OpenAI是不是最近这几年回报最好的投资,
[26:38] 你觉得?
[26:39] 这里面有一个概念,
[26:40] 就是我们从媒体报道上看到的,
[26:42] 不管是300亿还是5000亿,
[26:44] 说的都是估值,
[26:46] 但投资人实打实拿到的,
[26:48] 是每股的股价,
[26:49] 那这个里面OpenAI从300亿到5000亿,
[26:52] 他每股的这个股价并不是涨了接近20倍,
[26:56] 而是涨了6倍,
[26:57] 因为股权的稀释非常严重,
[26:59] 那你怎么看OpenAI最近的一系列上市的操作?
[27:03] 我觉得这个非常的合理,
[27:05] 而且最近OpenAI和微软把股权终于转清楚了,
[27:09] 这件事情很重要,
[27:11] 像比如媒体报道出来说,
[27:13] 2027年OpenAI可能有一个1万亿市值的这么一个IPO,
[27:18] 对应他收入预测是10倍的这个valuation,
[27:22] 所以只要他收入能做到,
[27:24] 这个估值是很合理的,
[27:25] 那我们开玩笑说,
[27:26] 就是在美国波士顿,
[27:28] 可能有一条街都是很大的基金,
[27:30] 包括Fidelity什么的,
[27:32] 每个人出个100亿,
[27:34] 这个1000亿的IPO就出来了,
[27:36] 我知道媒体上很多人在说,
