[00:04] Hello 大家好,我是小骏
[00:06] 春节前后,一款AI Native的产品Elise
[00:10] 引起了小圈层人的关注
[06:23] 所以当时其实很多人在用我们的产品
[06:27] 我们的热度也很高
[06:27] 但那个时候很多过来找我
[06:29] 说要找我聊融资的人
[06:32] 我其实当时都去了
[06:33] 因为当时我心里想
[06:34] 我应该去专心打磨产品
[06:37] 我不应该去聊融资
[06:38] 但是这是个完全错误的判断
[06:40] 对吧
[06:41] 你就是应该在你火的时候去融进很多的钱
[06:44] 因为你不知道下一步要发生什么
[06:46] 以及当时我甚至都没有理解这个行业的本质
[06:49] 那它原来是个
[06:49] 那就是一个
[06:49] 内容资源驱动型的行业
[06:51] 那理应你应该融更多的钱
[06:53] 所以一系列这样的误判
[06:55] 我觉得当时确实还是太幼稚
[06:57] 还是有很多东西没有想明白
[06:59] 就是自己只是一个非常纯粹做产品的人
[07:01] 但不是个好的CEO
[07:02] 而且当时还有个点就是
[07:04] 因为当时我觉得融钱这件事情
[07:06] 其实挺烦的
[07:07] 而且当时的产品
[07:09] 其实大家都不挣钱
[07:09] 都是烧VC的钱
[07:11] 所以当时我觉得说
[07:12] 那我应该去直接挣钱
[07:14] 然后又有什么能直接挣钱的
[07:16] 那可能游戏最直接能挣钱
[07:18] 所以后来就去做了游戏
[07:19] 所以发现内容平台
[07:22] 是一个非常烧钱的事情
[07:23] 然后觉得游戏是一个现金奶牛了
[07:26] 对 是的
[07:27] 因为游戏是能够直接挣钱的
[07:29] 那这样的话
[07:30] 我可能并不需要去
[07:31] 不断地在外面
[07:33] 就通过我的叙事来去融资
[07:35] 就可能会更直接一些
[07:36] 当时的简单的想法是这样
[07:38] 所以那是15年
[07:40] 然后你什么时候开始第二段创业了
[07:43] 其实就是紧随其后
[07:44] 因为当时我也有一款很想做的游戏
[07:46] 当时的手机游戏
[07:48] 应该是刚起来
[07:49] 当时一些刀打船系上的游戏
[07:51] 线下级的爆款一出来
[07:52] 手机游戏当时被证明是很能挣钱的
[07:55] 当时我是看到了
[07:56] 传统游戏的一个很大的品类
[07:59] 就是恋爱游戏
[08:00] 这一类的品类
[08:01] 其实在手机上还完全没有
[08:03] 然后这一类的品类
[08:04] 本身它比较适合小团队去做
[08:06] 因为当时我也没有再去融更多的钱
[08:09] 其实就是我们一个很小的团队在搞
[08:10] 那我觉得我们能做什么
[08:13] 好像能做这个
[08:14] 并且这个杠杆可能是最大的
[08:15] 所以当时就去选择了做游戏
[08:17] 这个需要融资吗
[08:19] 就不需要融资
[08:20] 反正就是靠自己的钱
[08:23] 然后十个人以内的一个小工作室
[08:25] 再去搞这款游戏
[08:26] 你是做的是男性向的游戏
[08:28] 还是女性向的游戏
[08:29] 当时做的是男性向的
[08:31] 就当时还没有女性向
[08:33] 因为当时直觉是觉得
[08:35] 男生爱玩游戏对吧
[08:36] 女生不玩游戏
[08:37] 一个是当时确实是男生玩游戏的多
[08:40] 现在可能比例已经接近于55开了
[08:42] 但当时的话确实还是
[08:43] 男生是明显偏多
[08:45] 并且当时
[08:47] 市面上还没有女性向游戏的概念
[08:49] 所以当时还没有女性向游戏
[08:49] 因为当时是15年左右
[08:51] 并且当时你顺推过来的一个逻辑是
[08:54] 传统的PC游戏
[08:56] 的一个品类叫Gal Game
[08:58] 从日本开始起源
[08:59] 一个很久远的一个经典品类
[09:01] 这个品类呢当然也有很多日本艺游
[09:03] 但确实是以男性向为主
[09:04] 所以你顺推过来一定是先做男性向
[09:07] 虽然本身我自己是男生
[09:08] 所以你从你第二段创业里面
[09:11] 学到了什么
[09:12] 我觉得我学会了做内容吧
[09:15] 学会了做更多的
[09:17] 游戏化设计
[09:18] 就学会了
[09:19] 做游戏这件事情
[09:20] 它跟做产品
[09:22] 做一个互联网产品
[09:23] 其实还是很不一样的
[09:24] 游戏我做的还是一款内容向游戏
[09:27] 所以第一我知道了游戏的循环
[09:29] 应该怎么做
[09:31] 然后第二就是我知道了
[09:33] 做内容应该怎么做
[09:34] 因为很多东西都是我要自己去写
[09:37] 自己去构建
[09:38] 连美术的审美我要去如何去判断
[09:41] 对我觉得还是
[09:43] 有很大的帮助
[09:44] 相当于我从一个纯语言模型
[09:46] 变成一个多么态模型
[09:47] 你第三段
[09:49] 创业是从哪一年到哪一年
[09:51] 第三段创业就这次吗
[09:54] 你不是说从打两段工出来
[09:57] 又做了一个游戏公司吗
[09:58] 那这个游戏公司就是现在的幻境游戏
[10:00] 然后这个公司其实现在也还在正常运行
[10:03] 我们还有一个在线上的游戏还在跑着
[10:05] 20年中开始做
[10:07] 然后一直做到现在
[10:09] 对它中间一个很大的节点是23年
[10:11] 上半年的时候我们上线了
[10:14] 起点时代那款游戏
[10:15] 在当时跟当时所有同期上线的一些游戏相比
[10:18] 我们还算是可以的
[10:19] 因为那一年是一个手游集中上线的爆发的年
[10:23] 但是到现在还在持续运营的可能
[10:27] 5%都不到
[10:28] 我们算是那5%吧
[10:31] 这个游戏挣钱吗
[10:33] 就是挣钱
[10:33] 我们团队这些年也是在被这款游戏养活
[10:37] 一直到现在
[10:39] 所以你有过一次内容平台的经历
[10:42] 然后多款游戏的开发经历
[10:46] 是的
[10:48] 这是你开始在AI创业之前的过往对吧
[10:52] 对 是的
[10:53] 所以22年底拆GPT出来之后对你的影响是什么
[10:58] 对 我应该是在GPT3.5出来的时候
[11:01] 我当时就很惊讶
[11:03] 我当时有做这些测试
[11:04] 但是可能还没有完全达到我的预知
[11:07] 我觉得真正达到了我所期望的那个点的时候
[11:09] 还是GPT4
[11:11] 那GPT4出来的时候
[11:12] 因为我要的点其实是我需要用它来去塑造一个灵魂
[11:16] 因为你知道之前做恋爱游戏
[11:18] 我们其实也是在塑造各种各样的灵魂
[11:20] 就是各种各样的人设
[11:22] 但是那些人设都是我们写死的剧本
[11:24] 那如果有一天我们能让这个灵魂真的活起来
[11:28] 这个人设真的活起来
[11:29] 那就是必须得用AI来去做它的灵魂
[11:32] 那GPT4让我看到了确实AI能不做到这一点
[11:35] 所以当时其实我是极度兴奋的
[11:37] 而且基本上是毫不犹豫地去新成立一家AI公司
[11:41] 也是毫不犹豫地来去做了EVE这个产品
[11:45] 因为在我看来它就是一个
[11:48] 过去所有经验的一个总和
[11:50] 它有互联网产品的部分
[11:51] 然后它有游戏化的部分
[11:53] 它有做内容的部分
[11:54] 做人设的部分
[11:55] 然后我们能够通过AI把它全部都串起来
[11:58] 所以对应该是在GPT4之后
[12:03] 你没有AI的背景为什么会关注AI的发展
[12:06] 因为在我看来关注AI的这一拨人
[12:08] 应该也是之前做移动互联网那拨人
[12:11] 相当于科技圈的这拨人
[12:13] 有些人可能已经所谓的现在成为了中灯或者老灯
[12:17] 看他可能就无所谓了
[12:18] 但有些人可能还是在持续关注新出来的东西
[12:21] 因为大家之前都会或多或少有很多想法
[12:23] 我其实在翻我之前的知乎
[12:25] 我发现好多东西
[12:26] 很多年前写的文字某一段
[12:28] 其实它就是现在反映到了现在产品上
[12:31] 现在EVE也好
[12:32] 现在ELIS也好
[12:33] 那就是之前我说的某一段话
[12:35] 所以我觉得大家都是内心中有很多思考
[12:38] 在等待一些东西降临的
[12:39] 那AI的降临就会点燃很多很多很多东西
[12:43] 那其实我可能也是其中一个被点燃的产品经理
[12:46] 所以时间线已经拉到了
[12:48] 2022年
[12:49] 你的公司是哪一年成立的
[12:51] 虽然选择是2024年的年初成立的
[12:54] 但是2023年的下半年我们在准备
[12:56] 那时间集中的学了一段时间AI
[13:00] 当时好像就有在听你的播客
[13:02] 你的播客当时出了吧
[13:03] 对我记得
[13:04] 2023年的下半年
[13:05] 有你听哪一期
[13:07] 对当时应该还是有一些是跟大模型相关的
[13:10] 当时应该是听了一些你的播客
[13:13] 你最早预期你会创业做一家什么样的公司
[13:16] 因为当时的叙事还是一个模型的叙事
[13:18] 你觉得AI时代的产品跟模型的关系是什么样的
[13:22] 当时说实话
[13:23] 我那个项目本身也叫Project HER
[13:26] 其实就是要把电影里面的HER做出来
[13:29] 但是现在这个东西我也不敢讲了
[13:31] 就是因为这个HER这个词其实已经脏掉了
[13:34] 因为太多人说要做对吧
[13:36] 但当时的初心确实也是做这件事情
[13:38] 并且我认为这件事情确实是AI时代
[13:40] 你肉眼可见的一个最高叙事的事情之一
[13:44] 为什么是肉眼可见的AI时代最高叙事
[13:48] 最高叙事之一
[13:50] 因为ChatGPT也要做HER
[13:52] 然后现在豆包也要做HER
[13:54] 那其实本质上大家都想成为那个
[13:56] 你身边陪你过去面对世界的那个AI agent
[14:01] 然后它里面存储了你的所有的记忆
[14:05] 它最了解你
[14:06] 外界世界的所有的东西都要经过它
[14:08] 这个入口才能到你这儿
[14:10] 而你的东西也会经过它来分发到外面
[14:13] 所以这件事情显然它是一个终极的入口
[14:16] 所以应该没有人会不认为这是一个AI时代
[14:18] 最大的叙事之一
[14:20] 对
[14:21] 我觉得这个说法应该是没有问题的
[14:23] 为什么是HER不是一个男他
[14:26] 因为HER主要是那个电影叫HER
[14:29] 当然它也可以是HIM对吧
[14:31] 主要大家说HER主要是因为那个电影嘛
[14:33] 所以你最早想做一个AI时代的HER
[14:36] 然后开始了这个创业
[14:37] 是的
[14:39] 你决定创业以后做的头几件事情是什么
[14:42] 你的团队是怎么搭起来的呀
[14:44] 我觉得首先是学习吧
[14:46] 首先就要学习AI
[14:47] 当然我觉得那段时间应该大家都在学
[14:49] 二三年应该在GPT-4左右的时候
[14:51] 大家都在开始疯狂的学习
[14:53] 那我也一样
[14:54] 那就是从最底层
[14:55] 从最底层的Transformer开始
[14:57] 再到各种上层
[14:59] 再到所有的周边
[15:00] 那这些东西全部都要去搞清楚
[15:02] 然后就是找团队
[15:04] 我觉得我团队里面需要一些AI背景的人进来
[15:07] 同时在做这两件事情吧
[15:09] 对
[15:10] 然后同时就是我会很快的去搭产品的demo
[15:13] 我们也很快的做了产品的demo
[15:15] 你决定创业以后呢
[15:16] 你决定创业以后做头几件事情是什么
[15:19] 你的团队是怎么搭起来的呀
[15:21] 当时还是一些传统的AI公司
[15:23] 当时新的AI公司也并不多
[15:25] 比如说超参数这种做游戏AI的
[15:29] 做强化学习的
[15:30] 然后比如商汤对吧
[15:33] 我在深圳我能reach到的就是这些公司
[15:35] 那会从这些公司里面交了一些人过来
[15:38] 你是因为去深圳工作
[15:40] 所以你把公司放在了深圳吗
[15:42] 为什么你没有因为要AI创业
[15:44] 然后回到北京或者到上海
[15:46] 你为什么选择了深圳
[15:49] 因为当时我还是有家游戏公司嘛
[15:51] 这家公司在深圳
[15:53] 所以基本上人各方面来了就是深圳人嘛
[15:56] 有很多东西都在这边了
[15:58] 所以就在这儿
[15:59] 但深圳确实AI人才会偏少
[16:01] 肯定没有北京那么好
[16:03] 深圳的AI创业氛围怎么样
[16:05] 我觉得氛围应该也很火热吧
[16:07] 我们公司在深圳
[16:08] 我觉得跟其他公司还是比较格格不入的
[16:10] 因为这边可能偏AI硬件
[16:12] 或者偏直接AI出海搞钱那种
[16:16] 我们的话还是偏一些宏大叙事吧
[16:18] 对
[16:19] 就是命运的流转就怎么样就过来了
[16:22] 嗯
[16:24] 那我们先来聊聊你们最近的这款
[16:26] 关注度比较高的一个产品
[16:28] ELIS
[16:29] 能不能讲讲这款产品是怎么出现的
[16:31] 因为我们去年聊的时候
[16:32] 其实你还没有这个产品的规划对吗
[16:34] 我们去年应该是10月份见了
[16:36] 当时其实已经有了
[16:38] 当时我的心中已经是热血沸腾了
[16:41] 当时出了SORROW对吧
[16:42] 然后当时我记得咱们也聊了SORROW
[16:44] 我记得我
[16:45] 好像跟你把Sam Altman就是彻底吹了一波
[16:49] 觉得他是世界上最牛逼的CEO什么之类的
[16:52] 当然我现在依然认为他是世界上最牛逼的CEO之一
[16:55] 当时见你的时候
[16:57] 咱们那次聊
[16:58] 我从欧洲回来
[16:59] 其实ELIS这个整个的想法的初心
[17:02] 我已经完全有了
[17:03] 而且我觉得终于我想明白了这件事情
[17:05] 也就是AI时代网络效应到底应该怎么做
[17:08] 当时我们决定做它
[17:10] 也是因为之前做EVE的时候
[17:13] 我记得上次咱们就聊了很多
[17:14] 我们的机器系统
[17:15] 以及我们对Context本身的处理
[17:17] 我认为我们有很好的理解
[17:19] 和我们的工程基础
[17:20] 但是过去的EVE它其实是个单机产品
[17:24] 就和过去的所有的AI工具类产品其实是一样的
[17:28] 过去三年所有的AI产品
[17:29] 大部分你会发现它都是去Empower单个节点
[17:33] 它是在单个节点提效
[17:34] 或者是如何
[17:35] 或者是陪伴
[17:36] 或者是怎么样
[17:37] 它是一个单机产品
[17:38] 但是我们从移动互联网走过来
[17:40] 这一帮所谓的古典互联网产品经理
[17:43] 我们其实都会在追求网络效应
[17:46] 如果我们看不到网络效应
[17:47] 那其实这个产品本身
[17:48] 我们天然就会认为它的想象空间
[17:50] 其实就已经
[17:51] 它的天花板就是比较低的
[17:53] 它不会有个终极的无限的想象力的天花板
[17:57] 所以ELIS它是一个
[17:59] 把我们的对Context的处理能力
[18:02] 去变成在网络效应里面去发挥
[18:04] 而不是在单点发挥的这样的一个产品
[18:07] 所以在那个点上
[18:08] 我们认为ELIS它可能是一个
[18:10] 甚至比EVE还要更大的一个产品
[18:13] 更大的一个叙事
[18:15] 所以就
[18:16] 在当时其实我们已经很忙了
[18:18] 因为当时EVE也要从此上线
[18:20] 我们已经非常非常忙的状态下
[18:22] 我们强行去分出了大概几个人
[18:25] 然后说OK我们现在有新的想法
[18:27] 这个项目可能必须得做
[18:30] 我知道大家现在很忙
[18:31] 但是我也没办法
[18:32] 大家现在就公司上再直接乘以二
[18:34] 对 但是我们必须得做这个产品
[18:36] 你是在欧洲出去玩
[18:38] 自己想清楚的是吗
[18:39] 就是欧洲之行想到的这个idea
[18:43] 也不是想到了这个idea
[18:45] 这个idea我们一直都在想
[18:46] 就是网络效应对吧
[18:48] 然后所谓的赛博分身
[18:50] 那因为其实我们始终在做一件事情
[18:54] 就是包括之前EVE的slogan也是
[18:57] 所谓陪伴就是一个跟你超级对齐的人
[19:00] 陪你去面对世界
[19:02] 我觉得这件事情其实
[19:04] 我认为它应该是AI世界最大的一件事情
[19:07] 包括现在open cloud其实也是
[19:09] 你会发现open cloud
[19:10] 可能是让很多人感受到的一个点是
[19:12] 有些人我在养他
[19:14] 然后他在工作也好
[19:15] 他在陪着我去外面的世界里面去逛
[19:17] 然后去帮我调把东西对吧
[19:19] 他其实有点这种感觉
[19:20] 所以这是个一以贯之的东西
[19:22] 然后我们发现就是elise
[19:24] 是能够彻底把这件事情
[19:26] 发挥到极致的一个事情
[19:29] 我觉得到elise出来之前
[19:31] 大家其实已经
[19:32] 好像有点接受AI这个产品
[19:34] 没有网络效应这件事情了
[19:36] 对 我觉得过去大家的产品
[19:38] 其实都还是比较工具化的产品
[19:40] 所以你在欧洲是想清楚了什么
[19:42] 你觉得网络效应还是可以做的
[19:44] 我觉得我是想清楚context的流动吧
[19:47] 因为对于单机的产品来讲
[19:50] context是固定的
[19:51] 其实你只需要去
[19:53] 人类去面对一个AI
[19:56] 然后这个AI有很多你的context
[19:58] 它来不断给你输出 对吧
[20:00] 但是在一个网络节点中
[20:02] 那其实就是有很多个节点
[20:04] 每个节点都是真人
[20:05] 每个真人背后都有很多很多的context
[20:08] 那这些context之间它如何交互
[20:10] 我可能那段时间把
[20:11] 这段时间的这个交互去想明白了
[20:13] 就是是通过我的分身和你的分身去交互
[20:18] 而不是我跟你直接通过AI去交互
[20:21] 对 相当于就是我们两个分身先去预交互
[20:24] 或者是我的分身先给你的真人交互
[20:26] 这些都OK
[20:27] 也就是前面的前置的步骤
[20:29] 前置的步骤是需要有AI来去参与
[20:33] 或者我这么说吧
[20:34] 我直接来说一下这个事情
[20:35] 当时我们想到它的最大的范式转移是什么
[20:38] 就传统的互联网
[20:39] 你会发现它的连接效率是非常非常低的
[20:41] 我可以大概去给你表述一下
[20:44] 就是过去的互联网和现在互联网的区别
[20:46] 我们还是用Tandem这个例子
[20:48] 你过去你如果在Tandem上找一个人
[20:50] 你需要去划1000张卡片
[20:53] 有30张可能跟你匹配上了
[20:56] 然后匹配上的这些人
[20:58] 你再去用同样的话术再去跟他们聊
[21:00] 每个聊几百轮
[21:01] 最终你可能获得几个有效的连接
[21:04] 它也不一定是有效的
[21:05] 这是过去的互联网
[21:06] 所以过去的互联网其实它就是一些低微的标签化的形式
[21:11] 比如说Tandem上面就是一些你的照片
[21:13] 对吧
[21:14] 大家都说看脸嘛
[21:15] 有一些你的什么爱好的标签
[21:17] 你喜欢滑雪
[21:18] 或者是你是什么学校毕业的
[21:19] 顶多是这些东西
[21:20] 你只能依据这些来去判断
[21:23] 然后人类去大量的做工
[21:25] 来去做这个信息商见
[21:26] 最终帮你去筛出一些可能跟你合适的人
[21:29] 这是过去的互联网
[21:30] 然后新的互联网
[21:31] 它跟过去互联网最大的区别是什么
[21:33] 其实就是新的互联网
[21:34] 第一次有了context
[21:36] 这也是我认为AI时代最重要的东西
[21:38] 就是AI时代终于有一个东西
[21:41] LM能够去真正的去智能化的理解
[21:44] 一个非常长的context
[21:46] 比如说几十万上百万的context
[21:48] 的长度的东西它是能够理解的
[21:50] 然后这是跟传统的地位标签最大的不同的地方
[21:54] 那么你可以理解为AI时代的互联网
[21:57] 它就是有很多的节点
[21:59] 这个跟之前是一样的
[22:00] 但是它不同的是每个节点
[22:02] 它会有大量的context在
[22:04] 那如果我们能用大模型
[22:07] 让这些context之间流动起来
[22:10] 让这些context
[22:11] 去连接起来
[22:12] 那么这就应该是一个全新范式的AI native的社交网络
[22:17] 所以是因为我看到了这样的一个新范式
[22:21] 然后我认为这件事情其实是个非常非常大的事情
[22:24] 所以我们在当时eve已经非常忙的情况下
[22:28] 我们也还是开了elis这个项目
[22:31] 因为这件事情实在是太大了
[22:32] 然后另外一个层面就是它和eve
[22:34] eve其实有非常好的synergy
[22:36] 因为eve之前的记忆系统
[22:39] 就是我们一直在
[22:40] 对外吹嘘的我们记忆系统很强
[22:43] 这个东西eve的记忆系统是
[22:45] 对单点的context处理
[22:47] 那现在其实我们要的只是说
[22:49] 依然是同样的记忆系统
[22:51] 让这些context去流动起来就好了
[22:53] 所以本身这两个产品也会有非常大的synergy吧
[22:58] 然后所以我们认为可以再开一个项目
[23:02] 就是我们当时立项elis这个项目的原因
[23:05] 那你怎么获得这些context呢
[23:08] 对
[23:09] 你问到了一个很关键的问题
[23:11] 其实这是这个产品设计的关键
[23:13] 就比如说你吧
[23:14] 就你刚提到的这个问题
[23:15] 对吧
[23:16] 你进来之后
[23:17] 其实那个onboarding流程很长
[23:19] 然后你好像也没有跟他聊什么
[23:21] 你其实很急
[23:22] 就是阿姨快点说完
[23:23] 我不想跟你聊
[23:24] 我想赶紧进到这个app
[23:25] 看看他到底是什么
[23:26] 那你进去之后呢
[23:27] 你就会发现你的分身
[23:28] 好像出去评论也不怎么像你
[23:30] 因为他确实没有多少你的记忆
[23:32] 他确实不是很像你
[23:35] 所以这个产品最难的点
[23:37] 在于它是一种双重人气
[23:39] 因为你的context要从零开始到一个足够像你的状态
[23:43] 然后你这个产品本身的网络效应
[23:45] 它里面的人也需要从零到一个足够多的人
[23:48] 它的人气其实是挺难的
[23:50] 双重人气
[23:51] 然后context水波其实是最难的
[23:53] 那么这是产品设计的关键
[23:55] 如果你也是体验了一下产品
[23:57] 你会发现
[23:58] 我们在这个里面的很多地方
[24:00] 它其实都会弹出你的记忆增加了
[24:03] 我不知道你有没有看到这个操作
[24:05] 就是在你去刷帖的时候
[24:08] 你去给这条评论
[24:09] 或者你去认可了你自己的评论
[24:10] 或者你跟人分身去布置个任务
[24:12] 或者怎么样
[24:13] 它都会弹出来一个说记忆增加
[24:16] 然后让你是否去确认还是否认
[24:19] 你如果确认的话你就增加那个记忆
[24:21] 它其实是无处不在的
[24:23] 这个是我认为这个产品最核心的关键
[24:25] 就是context飞了歪了脚
[24:27] 那也就是说你在这个产品里面所有的交互
[24:31] 都会是冲着你的context增加去的
[24:34] 当它增加的时候
[24:35] 你的记忆又完善了一些
[24:37] 你context又多了一些
[24:38] 然后当你看到它多的时候
[24:40] 你的分身就会从网络上去帮你叼回来一些更好的东西
[24:44] 当你意识到这个循环的时候
[24:46] 你就会再去增加自己的context
[24:49] 让你感受到这个飞轮效应
[24:51] 然后让你进入一个正向的循环
[24:53] 所以我们现在的流程的用户
[24:56] 其实他都是感受到这个循环
[24:58] 他就会不断再去达到自己的分身
[25:01] 所以这个分身越来越像我
[25:03] 它可能是我能在这个系统里获得的正反馈吗
[25:05] 就我作为一个用户
[25:06] 我获得的正反馈是什么
[25:08] 嗯
[25:10] 你获得正反馈是连接
[25:12] 我随便举个例子吧
[25:13] 我春节在我老家
[25:14] 我是新疆乌鲁木齐人
[25:16] 我在伊丽丝上约了一个局
[25:18] 然后这是一个真实的案例
[25:20] 我当时其实也想做个实验
[25:22] 我在伊丽丝对着我的分身说
[25:24] 我接下来三天
[25:25] 我要在乌鲁木齐的丝绸之路滑雪场滑雪
[25:28] 那现在其实我很想找一帮人共一块滑
[25:31] 因为我不想自己去滑
