[00:06] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:10] 这是一档由语言级世界工作室出品的深度访谈节目
[03:40] 因为那个时候从桌面互联网到移动互联网
[03:43] 我觉得是有一次
[03:43] 平台或者简单来说就有一个硬件媒介的变化
[03:47] 对吧
[03:47] 所以就是你有一个新的一个媒介出来
[03:49] 即使你是传统的大厂
[03:51] 比如说国内当时的BAT
[03:52] 然后海外这些公司
[03:53] 其实大家都是跟开发者一样众生平等
[03:56] 都在做一个全新的一个尝试
[03:57] 然后那个时候其实就会有段
[03:59] 在我看来可能是蛮荒期的一个阶段
[04:01] 所以你有很多的机会去做这样的事
[04:03] 大家还没有反应过来
[04:05] 后来的这个诸多的商业模式
[04:06] 但你看反过来现在
[04:07] 我可能就聊到哪说到哪
[04:09] 你就觉得很难的一点就是
[04:11] 虽然是一个新的一个技术突破
[04:13] 但是
[04:13] 但是实际上没有一个全新的一个平台出现
[04:15] 所以你看这回的话
[04:16] 我觉得没有存在那个蛮荒期
[04:18] 就是无论是巨头还是创业公司
[04:20] 还是个人开发者
[04:21] 大家的反应都一样快
[04:23] 做的都非常的干脆的利索
[04:25] 对
[04:25] 所以我觉得我算是改成了一个好时代吧
[04:28] 当时
[04:28] 这段创业怎么结束的呀
[04:30] 这段创业其实我觉得没有一个明确的结束的那一刻
[04:33] 其实它是我创业的一个起点
[04:35] 那时候我觉得还不能严格意义上来说称为创业
[04:38] 因为我只是一个学生个人开发者
[04:39] 用一个最朴素的商业模式去获得了一定的现金流
[04:43] 但当时的话你有一定的现金流
[04:45] 同时你要做一定的marketing对吧
[04:47] 当时我也没有团队
[04:48] 就一个人就自己在
[04:49] 比如说在国内外的论坛上发帖
[04:51] 然后当时国内也没有很成熟的那种就是支付渠道
[04:53] 因为你知道现在App Store你可以用
[04:55] 比如像那个支付宝微信
[04:57] 或者那种那个credit card
[04:59] 你可以去付款
[04:59] 但当时我记得其实只能支持国际credit card
[05:02] 所以中国国内基本是没有什么付费的
[05:05] 哎呀
[05:05] 这感觉跟现在AI也挺像的
[05:07] 对
[05:07] 反正当时呢
[05:08] 我就想那既然国内我很难去获得现金流
[05:10] 那我在国内就只能赚腰了
[05:12] 所以
[05:13] 我那时候会破解自己的软件
[05:14] 然后在国内论坛上发
[05:15] 就是你没钱你就给我捧个人场
[05:17] 对
[05:17] 然后你在这样做的同时期
[05:19] 你就获得了一些来自于比如说资本界的关注
[05:22] 嗯
[05:22] 所以那时候也很好玩
[05:23] 就是我当时高二高三的时候
[05:25] 然后当时就是在参加一个
[05:28] 当时感觉还是比较有创业氛围吧
[05:31] 那时候中文村
[05:32] 然后我应该就在中文村参加了一个创业活动
[05:34] 我就想不起来是哪一个了
[05:36] 然后当时的话就认识了真格基金
[05:39] 啊
[05:39] 对
[05:39] 然后这个故事就非常简单
[05:41] 就是当时徐老师
[05:42] 徐老师
[05:43] 对
[05:43] 徐老师
[05:43] 徐老师问我小伙不错
[05:44] 你想创业吗
[05:45] 然后我当然不想创业了
[05:46] 对吧
[05:47] 因为我既然有一个稳定的
[05:48] 我可以边上学边躺着赚钱的一个
[05:50] 先进流闹
[05:51] 何必要创业呢
[05:52] 对
[05:52] 然后但是我觉得就是毕竟这个徐老师对吧
[05:55] 这个大家可能当时都是都是比较熟悉的
[05:57] 因为他应该也是北大那个体系出来的
[06:00] 然后当时我就回家跟我父母提一下这个事
[06:02] 然后我这这方面确实感谢我父母
[06:05] 他们就说这个你是值得去好好考虑一下的
[06:07] 然后我觉得
[06:08] 那个时候对我来说也是陷入一个纠结
[06:11] 就是我可以有几个选择对吧
[06:12] 我
[06:13] 也许可以我申请学校去上一个好的大学
[06:15] 走现在跟大多数人一样的一条路
[06:17] 但另外一点就是我觉得App Store
[06:18] 给了我一个特别好的一个正反馈
[06:20] 就是你只要创新也许就能有回报
[06:22] 当时想会比较难以
[06:23] 比较天真
[06:24] 就是说我好像做出一个好东西
[06:25] 自然就会有一个好的结果
[06:27] 然后当时其实我渐渐意识到
[06:29] 这个不是一个常态
[06:30] 我是很幸运的踩中了一个时代的机遇
[06:32] 那好
[06:33] 其实我也许我什么时候都能继续去读书
[06:35] 所以我就想
[06:36] 那我其实现在优先考虑
[06:38] 应该是一个机会成本
[06:39] 对所以就是我当时就拿了term sheet
[06:42] 然后决定这大学我不上了
[06:45] 我要去创业
[06:45] 对但是当时的话就是为什么接受真格的
[06:48] offer 其实也是
[06:49] 他们给了我一个承诺
[06:50] 就我觉得一直是
[06:51] 就是这个承诺兑现至今
[06:53] 就是他们不会管我干什么
[06:55] 我爱干嘛干嘛
[06:56] 对所以我觉得这个其实对于一个学生来说
[06:58] 我呢觉得我能有的一个最好的一个选择
[07:01] 所以当时的话
[07:02] 我就拉上另外几个同学比我大两届
[07:04] 他们已经保送去北大了
[07:06] 然后但是又被我忽悠出来
[07:07] 那当时我们其实已经意识到就是
[07:09] 你如果还在做这样朴素的一个
[07:11] 按哪一个 copy
[07:12] 去
[07:12] 按前的这个模式已经不太 work 了
[07:14] 那个时候已经感觉到不 work 了
[07:15] 很明显
[07:16] 因为当时的话已经又过了两年了
[07:18] 然后这时候你会发现
[07:19] 无论是国内还国外
[07:20] 尤其像第三方
[07:21] iphone 浏览器的这个市场里头
[07:22] 其实已经出现很多不同的玩家了
[07:24] 嗯巨头已经回过味了
[07:26] 所以我们就觉得这个东西一定一定会走向一个
[07:29] 免费或者加免费加增值的这条路
[07:31] 但当时我们还做了一点最后的一个尝试
[07:34] 这也其实后面一切的起点
[07:35] 就是我们觉得
[07:36] 我们既然要卖一款付费的浏览器
[07:38] 我们应该在功能上有比较大的一个跃进
[07:41] 首先一点当时那个 name square browser
[07:43] 他的这个交互体验确实比较好的
[07:45] 但当时其实还有另外一个背景
[07:46] 就那时候无论是国内还国外
[07:48] 都是3 g 初期的一个阶段
[07:50] 那时候其实移动互联网
[07:51] 原来没有像现在这样就这么流畅
[07:53] 嗯那时候呢
[07:53] 可能大家还会更多关注
[07:55] 就说比如说网速慢的时候怎么办
[07:57] 弱网环境怎么办
[07:59] 所以当时我就提出要解决一个问题
[08:01] 就是我们能不能去预测用户的下一次点击
[08:03] 比如说那时候我还记得大家用 facebook
[08:05] 国内应该是用
[08:07] 人人网校内的那个
[08:09] 改名叫人人网吗
[08:10] 我记得
[08:10] 那时候
[08:11] 大家很多人
[08:11] 都觉得好像 web 版
[08:12] 就是移动端的网页
[08:14] 似乎比当时那些比较初期的客户端要好用
[08:16] 嗯所以很多人其实是在用
[08:18] 就是移动浏览器去进行一些社交媒体的使用
[08:21] 所以你会经常有那种翻页下页这个操作
[08:23] 然后呢
[08:24] 后来有更多人在手机上开始看新闻
[08:26] 其实我当时就觉得
[08:27] 如果我能准确预测用户下一次点击的话
[08:29] 我可以进行 preloading
[08:30] 就是提前加载下页的内容
[08:32] 让他的这个响应会更加的快
[08:34] 然后这个其实也就机缘巧合之下
[08:36] 让我进入了
[08:37] nlp
[08:38] 就 natural language processing 的这一个领域
[08:41] 就是自然源处理
[08:42] 嗯当然现在大家可能不太提这个词了
[08:44] 因为大模型已经把这一切给统一了
[08:46] 对然后那时候大概202011年开始
[08:48] 就是我因为这一个需求
[08:50] 所以开始研究这一个方向
[08:51] 然后当时真的是太早了
[08:53] 这我就就很
[08:54] 我很幸运点就是我感觉一直
[08:56] 我在学习的东西都是因为
[08:58] 具体的需求在牵引
[08:59] 对所以刚好也就跟自己兴趣的会比较align
[09:02] 所以就接触这个行当开始做
[09:03] 所以那个浏览器其实真正意义上
[09:05] 到后来它的结束是什么
[09:07] 是我发现了更好玩的东西
[09:09] 就是自然源处理
[09:10] 所以因为
[09:11] 它的模式一直是很单纯的
[09:13] 卖一份 copy 卖一份 copy 嘛
[09:14] 它就渐渐就变成了一个
[09:15] 没有人去维护的一个状态
[09:17] 然后随着比如说到最后应该是
[09:19] ios 系统不断更新
[09:20] 它的那个兼容的版本
[09:21] 已经就是跟 ios 不兼容了
[09:23] 所以你自然而然就被从 app store 下架了
[09:25] 所以这是一个自然死亡的一个
[09:27] 一个过程
[09:27] 当然我觉得这还是很幸运的
[09:29] 就是让我
[09:29] 人生的第一个产品就同时满足了出海
[09:32] 加 ai
[09:33] 加上变现这件事
[09:35] 所以有一个很好的一个开始
[09:37] 那再反过去去说的话
[09:38] 浏览器这个事情当时怎么做
[09:40] 有可能后来摸到移动互联网大牌吗
[09:43] 嗯有这种可能性吗
[09:44] 我觉得当时的话
[09:47] 我其实收到过一些收购的 offer
[09:49] 我觉得也许卖的也挺好的
[09:50] 因为我觉得其实啊
[09:51] 浏览器谁的offer
[09:53] 啊这个就不要说了对
[09:54] 不能点具体名
[09:55] 但我觉得就是浏览器可能从古至今
[09:57] 包括今天
[09:58] 包括很多团队也在做 ai 浏览器
[09:59] 待会也许我们会聊到
[10:01] 我觉得它一直都是有一个点
[10:02] 就是它其实不是特别适合
[10:05] 一个创业者或者说一个颠覆者
[10:07] 的形态来做
[10:08] 它其实更像是巨头
[10:10] 你已经有了分发的渠道之后
[10:12] 嗯去挤上天花这个事
[10:13] 嗯对所以我如果回看当时的话
[10:15] 我不认为以现在的我的经验或者阅历
[10:18] 我能做出什么更好的选择
[10:20] 第二段创业呢第二段创业的方向
[10:22] 第二段创业的方向
[10:23] 其实应该刚才刚才讲的
[10:24] 第一次真正的创业
[10:25] 就是因为在做这个浏览器之后
[10:26] 意识到就是
[10:27] nlp 这个领域真的非常有意思
[10:29] 但那时候其实也是很有趣
[10:30] 就是2011年
[10:32] 嗯距离一个石破天惊的 paper
[10:34] 我说的不是 transformer
[10:35] 其实2013年是
[10:36] t micolov
[10:37] 当时 google 推出一篇 paper
[10:39] 叫 word to back
[10:40] 就是第一次能够把也不是第一次
[10:42] 就是较为可靠且高效的
[10:44] 能够把自然语言文本
[10:45] 离散化的自然语言文本变成
[10:47] 稠密向量
[10:48] 这个其实对我来说是我认为我心中最
[10:51] 石破天惊的一个转折点
[10:52] 因为他
[10:53] 头一次能让我们比较方便的把一些
[10:55] 源自其他技学
[10:56] 这个深度学习领域的方法
[10:58] 应用的自然语言处理领域
[10:59] 像当时比如2011年前后
[11:01] 大家做自然语言处理可能关注几件事
[11:03] 比如说你要进行比较复杂的分析的话
[11:05] 可能会有一个技术叫做 dependency parsing
[11:07] 叫依存句法分析
[11:08] 当然现在可能这个词已经死透了
[11:10] 可能新一代做 ai 的人都不知道这个词了
[11:13] 然后中文的话
[11:13] 那时候我们还会关注额外的
[11:15] 就所谓的 tokenization
[11:16] 当然跟现在的大模型的 tokenize
[11:18] 相比可能会更原始一点
[11:19] 因为中文本身他会
[11:21] 有这个要切分这个问题
[11:22] 当然不止中文就是中文
[11:24] 日语然后其实德语
[11:27] 德语叫 decompose
[11:28] decomposition 就是拆词这个问题
[11:30] 所以那时候做的还是一些比较怎么说呢
[11:32] 为了自然语言
[11:33] 处理而做的一些比较专有的解决方案
[11:36] 他按现在话说是不太 scale 的
[11:38] 因为其实你需要很重的标注才能做好
[11:40] 而且你本身的模型也没有那么的强大
[11:43] 所以当时的话
[11:44] 我觉得给我最大的一个触动是
[11:46] 2013年的那个 word2vac
[11:47] 这个 paper 出来
[11:49] 然后我觉得这一下新世界的大门就打开了
[11:51] 然后这个让我真正意识到我的兴趣可能
[11:54] 其实是在 nlp 而不是在继续做浏览器
[11:57] 然后也很感谢就当时真格
[11:59] 备献他的承蒙
[12:00] 我说我不想做浏览器了
[12:02] 然后真哥说随便
[12:03] 哈哈哈
[12:03] 对然后当时的话我就看中了 nlp
[12:06] 但是其实也是看中另外一个
[12:08] 一个市场机遇
[12:09] 当然回过头看我觉得是错的
[12:11] 这是怎么回事呢
[12:12] 就是当时到2013年其实已经开始有传闻
[12:15] 就说苹果在筹备一款可穿戴式设备
[12:18] 其实也就后来的 apple watch
[12:20] 嗯然后这个当时给了我特别大的想象空间
[12:23] 因为我当时觉得
[12:24] 那个时候的搜索还是你输入一个
[12:26] 问题一个 query
[12:27] 然后他给你10个蓝色的链接
[12:29] 这个东西能够 work 的根本原因
[12:31] 是我们在于电脑这样一个大屏幕
[12:33] 进行交互
[12:34] 那假设未来比如可穿戴式设备
[12:36] 或者说语音的界面
[12:37] 就 voice interface 更加成熟的话
[12:39] 那这一个交互模式可能就不 work 了
[12:42] 所以当时我想解决的一个问题是什么
[12:43] 就说我能不能
[12:45] 以一种更结构化且更紧凑的形式
[12:48] 把知识跟用户之间的交互
[12:50] 进行一次革命
[12:51] 然后这个当时就引向了一个方向
[12:53] 就现在可能叫语意搜索叫 semantic search
[12:56] 这个东西我当时会觉得
[12:58] 这就是下一代的 google
[12:59] 我作为一个
[13:00] 啊创业者我会不会是当年的 google
[13:02] 像当年的 google 颠覆
[13:03] 呀
[13:03] 那样的
[13:04] 所以我们团队大家都很兴奋
[13:06] 然后我们想解决的这个问题
[13:07] 逐渐也就细化了下来
[13:08] 这其实是一个非常技术驱动的问题
[13:10] 我当时在想如果你想用一个紧凑的结构
[13:13] 去回答用户的任意问题的话
[13:15] 那其实你需要的不能是网页的原始信息
[13:18] 因为大家都知道其实搜索引擎的工作原理
[13:20] 当时可能就是用倒排索引
[13:21] 就说你输入一个关键词
[13:23] 他会把所有包含这个关键词的网页
[13:25] 通过一些排序算法进行排序
[13:27] 把 top 10 给你
[13:28] 所以你用户输入的问题最后获得的东西
[13:30] 仍然是原文是自由文本
[13:32] 但这个东西自由文本
[13:33] 你想象一下
[13:34] 如果你用 Apple Watch 吧
[13:35] 你不可能在上面就反复滚动去读完吗
[13:37] 对吧
[13:37] 如果你是车机或者像 Siri 这种 interface 的话
[13:40] 你也不能让他去朗诵那么长的文本
[13:42] 因为人的带宽听
[13:43] 听力的东西其实你会你会很着急
[13:46] 所以我们觉得当时从技术层面来
[13:48] 讲下来他缺的是什么
[13:49] 是一个高效紧凑的 representation
[13:51] 就表达形式
[13:53] 而那个时候
[13:54] 我们想到的一个概念其实是知识图谱
[13:56] 知识图谱现在也是一个
[13:57] 半截身子埋在土里的概念
[13:59] 老词
[13:59] 老词对
[14:00] 但是当时我们也是有追求的团队
[14:02] 然后我们在基知识图谱这事
[14:04] 我们再往下下转
[14:05] 看那到底是什么
[14:06] 限制了知识图谱这个概念真正落地呢
[14:09] 我们当时找到的一个切入点是
[14:11] 我们认为知识图谱其实完全都不够完备
[14:13] 因为那个时候你能找到的知识图谱
[14:15] 无论是通用的还是就是行业
[14:18] 对行业领域制度也是一个很久的一个词
[14:21] 他其实大量的依赖是人的编解
[14:23] 比如说如果你要在一个行业内
[14:25] 比如当时有做些什么
[14:26] 这个工业领域的知识图谱
[14:27] 比如科学领域知识图谱
[14:29] 其实都是需要一些专家进行去标注
[14:31] 比如你要标注
[14:32] spo
[14:32] 就是三元组这样的形式去进行标注
[14:35] 而通用或者说通识领域的知识图谱
[14:37] 其实当时世界上有几个比较大的平台
[14:39] 有一个叫做 freebase
[14:41] 好像后来是被谷歌收购了
[14:42] 他们就以一种重包的形式
[14:44] 让大家贡献这些知识
[14:45] 后来他应该演化成了
[14:46] wikimedia foundation
[14:47] 下面的一个项目叫做 wikidata
[14:49] 他里头做的就是比如说
[14:51] 关于你张老师你是一个实体叫 entity
[14:54] 你下面有各种你的属性
[14:56] 比如说你的这个
[14:57] 出生日期
[14:58] 你的之前工作的场景
[14:59] 你的节目是什么
[15:00] 这样你能形成各个实体之间的关系
[15:03] 这就是所谓知识图谱吗
[15:04] 但很明显这个东西完全依赖于人类
[15:06] 那这个东西
[15:07] 我觉得是我们探测到的一个瓶颈
[15:09] 所以我们想找到一种技术
[15:10] 来把这件事自动化
[15:12] 那当时的技术供给能做到什么呢
[15:14] 就是刚才讲到那一个年代的nlp
[15:16] 还在一个比较初期
[15:17] 比较混沌的一个阶段
[15:18] 当时要做的事情
[15:19] 可能已经有的方案是这样
[15:21] 你可以首先进行叫命名实体识别
[15:23] 叫 ner name entity recognition
[15:25] 就相对于你读一篇文章的时候
[15:27] 你把里头所有的实体
[15:29] 能够由一个 ai 模型来标记出来
[15:31] 但这样的话你其实只获得到了实体
[15:33] 就比如说张小俊这是一个实体
[15:35] 然后这档节目是一个实体
[15:37] 但是所谓知识图谱
[15:39] 图谱之间是要有边的 edge
[15:41] 那这个边是怎么来的呢
[15:42] 当时有另外一项技术叫做关系提取
[15:44] 叫 relation extraction
[15:45] 嗯就是对于两个实体之间
[15:47] 我能探测到嗯
[15:48] 比如说
[15:49] 张小俊是这一档节目的主持人
[15:51] 那么主持人这其实就是一个边
[15:53] 或者叫 predicate 谓语
[15:54] 然后这样的话
[15:55] 我们用这两套技术
[15:57] 能构建怎样的一个知识图谱呢
[15:58] 就是说我如果能限定领域
[16:00] 那么我能进行很好的实体识别
[16:03] 如果我能限定提取类
[16:04] 提取的关系的总类型
[16:07] 我也可以进行这个工作
[16:08] 比如说我提前知道这世界上有
[16:10] 主就是什么的节
[16:11] 节目的主持人是谁
[16:12] 这是一种关系
[16:13] 人的出生日期是什么时候
[16:14] 这是一种关系
[16:15] 那很明显这个东西好像不可枚举
[16:17] 对吧
[16:17] 因为任何两个实体之间的关系
[16:20] 它应该是一个无限节
[16:21] 嗯所以我们就意识到
[16:22] 当前的技术肯定是有局限性的
[16:24] 那么我们
[16:25] 当时就投入到了一种新技术的研发
[16:28] 后来的话
[16:28] 这个技术在学术界的定义
[16:30] 应该叫做open information extraction
[16:32] 叫open IE
[16:32] 开放式信息提取
[16:33] 它跟刚才这些技术的区别就是说
[16:36] 我不需要提前定义一套规则
[16:38] 或者schema
[16:38] 嗯
[16:39] 就是说我不用规定
[16:40] 哪些东西是实体
[16:41] 因为传统医生的命名实体识别
[16:43] 可能关注几类
[16:44] 比如说人名地名
[16:46] 然后组织名这些东西
[16:48] 你看这其实又是一个白名单机制
[16:50] 我们要避免这层面的白名单
[16:51] 同时在进行关系提取的时候
[16:54] 我们要避免提前预设的这些关系
[16:56] 而完全变成一个schemaless
[16:57] 就是说无大纲的形式的提取
[17:00] 所以最后我们做到的一个技术是什么
[17:02] 就是说AI在阅读一篇文本的时候
[17:05] 它能够自己识别出
[17:06] 这里头有哪些潜在的东西是实体
[17:08] 以及这些实体之间的关系是哪些
[17:11] 并把它们提取出三元组
[17:12] 并持续自动地构建一个知识图谱
[17:14] 所以这个在当时
[17:16] 我觉得还是很重要的一个技术
[17:17] 而且我们选择了最苦的一条路
[17:19] 就是我们从灵讯的模型
[17:21] 而且你想这件事是从2013年底
[17:23] 2014年
[17:24] 开始的
[17:24] 我非常幸运又不幸地赶上了
[17:26] LOP技术最跃进的那几年
[17:28] 所以我们一开始的话
[17:29] 当时是一条我们团队分两边
[17:32] 一边在做基于传统的一存俱法分析的
[17:34] 一个解决方案
[17:35] 同时我这边在做基于Word2Vec
[17:37] 相量化的一个解决方案
[17:39] 然后做了几年之后
[17:40] 我们发现这个东西好像可以去scale up
[17:42] 然后开始用LCM去做
[17:44] 后来是LCM加attention
[17:45] 再到后来我们觉得
[17:47] 其实Word2Vec或者是LCM加attention
[17:49] 它其实在输入层的信息损失就很大
[17:51] 因为那时候如果你用基于
[17:52] 纯词相量的方案去做
[17:54] 它无法分清楚一个完全同名的词的不同的含义
[17:58] 我举个例子
[17:59] 比如孙悟空
[18:00] 孙悟空可能是咱们中国传统西游记中的孙悟空
[18:03] 可能是我举例子像日本七龙珠里头的孙悟空
[18:06] 其实在后来还有王者荣耀里有孙悟空
[18:09] 对
[18:09] 你如果完全基于这个Word2Vec这种技术去做的话
[18:12] 你发现同样一个词
[18:13] 它在不同上下文中的意义
[18:15] 都被压缩在了同样的一个
[18:16] 512或768维的相量中
[18:19] 所以当时我们就很苦恼
[18:20] 说能不能再进一步
[18:21] 其实就需要有一个上下文相关的
[18:23] 编码方
[18:24] 然后那时候我觉得那几年是非常幸福的一方面是什么
[18:27] 就是你基本上想什么
[18:28] 这个世界上就会发生什么
[18:29] 那时候再后来Transformer出来了
[18:31] Bird出来
[18:31] 那很好解决了Contextual
[18:33] 就是上下文相关这个问题
[18:34] 但是不幸的就是
[18:36] 每一次这种技术迭代
[18:37] 你会发现我们过去几年积累基本都算了
[18:39] 不用去做了
[18:40] 所以很痛苦
[18:41] 然后我们就是当
[18:42] 等于从2014年底一直做到2018年才把这事做完
[18:45] 我们当时所有的模型是自己从预训练区开始做起的
[18:48] 是非常痛苦的一事
[18:50] 然后也很早就开始
[18:51] 这是多大的模型
[18:51] 总共加起来我们有两个模型
[18:53] 总共加起来大概是两个0.3B的模型
[18:57] 那时候这叫大模型
[18:58] 但是现在这已经都不算什么了
[19:00] 对然后也很早的遇见一些问题
[19:01] 比如当年像Bird的话
[19:02] 它默认情况下
[19:03] 我如果没记错了
[19:04] 它的Context Lens
[19:05] 或那时候我们还叫Sequence Lens
[19:06] 是512个Token
[19:07] 512我的天哪
[19:09] 就是你如果去掉
[19:10] 比如说它一开始的CLS跟SEP Token
[19:12] 你这510个Token
[19:13] 那这时候如果我要让AI去自动在互联网上去读网页的话
[19:16] 这个是完全不够的
[19:18] 所以我们当时从2018年底就开始解决Long Context的问题
[19:22] 但是那时候我们解决了
[19:23] Long Context在今天看来也很小儿科
[19:26] 我们解决了16K长度
[19:27] 对然后这个我如果没记错了
[19:29] 它那个模型后来我也太远了
[19:30] 反正我们当时就一直在做这个事
[19:31] 然后就当时做了一个产品叫做Maggie
[19:34] Maggie是来自于我很喜欢的一部动画里的一个超级计算机
[19:37] 对然后它做的事情就是如刚才所说
[19:40] 就是AI能够自己去到网络上去看各种各样类型的不限领域的文章
[19:45] 并持续构建并更新一个知识突破
[19:48] 然后当时我们做的这个事
[19:50] 按现在的学术定义应该叫Lifelong Learning或者Continuous Learning
[19:53] 对
[19:53] 对
[19:53] 对
[19:53] ,反正就很好玩
[19:55] 然后这个项目其实做的我们是自己很嗨的
[19:57] 我到今天也觉得这是我智力和我的编程和research能力的巅峰
[20:02] 对
[20:02] 再后来就是人就已经逐渐老灯化了
[20:04] 就水准开始下降
[20:05] 但是那段时间的话
[20:07] 我们做到后面就会觉得很痛苦
[20:08] 就是外界的创新实在太多太快了
[20:11] 直到2019年的某一天我拿到了GPT-3的early access
[20:15] 我觉得天要塌了
[20:17] 为什么
[20:18] 因为是这样
[20:19] 就我刚才讲的我们当时选择很苦的一条路
[20:22] 就是一切我们要做垂直整合
[20:23] 对吧
[20:24] 就是模型自己做产品自己做
[20:26] 那好
[20:27] 我其实每一次产品的迭代我等着我底下模型的完成
[20:31] 那时候模型现在还跟现在比简直非常非常小
[20:34] 但是同样evaluation这事也很恶心
[20:36] 对吧
[20:36] 你的infra要自己去搞
[20:37] 所以我们当时迭代的周期基本是两到三周能有一个模型的迭代
[20:41] 但是两到三周在当时的外部这简直是巨变了
[20:45] 然后拿到GP3的时候我测了一下
[20:47] 我觉得天塌了原因是什么
[20:49] 我们把同样的任务我拿GPT我随便写了个prompt
[20:51] 那时候大家没有什么prompt的艺术对吧
[20:53] 都胡写
[20:53] 我发现他有跟我们自己训练端端端模型五五开
[20:56] 你知道吗
[20:57] 而且我当时就意识到一个问题
[20:59] 就是他虽然现在很贵
[21:01] 但是他是一个通解
[21:03] 就是那个时候我们在比如NLP领域内大家互相交流
[21:06] 你会有很明确的感觉
[21:07] 就是比如我跟别人自我介绍的时候说
[21:09] 你好我是Maggie团队的
[21:10] 我们是做信息抽取的
[21:12] 然后这边可能是做这个机器翻译的
[21:15] 然后这边是做客服系统的
[21:17] 大家经未分明对吧
[21:18] 就互相握握手
[21:19] 互相学习互相学习
[21:21] 但GP3出来之后
[21:22] 其实他应该是
[21:23] 真正的一件事
[21:24] 就是好像我们做的不同任务是能够大一统的
[21:27] 其实他不是第一个工作
[21:28] 就之前其实Google一篇叫Flan T5的一个paper出来
[21:31] 已经当时有这个苗头了
