[00:01] 为什么你做这件事情比大部分人都早
[02:14] 他有许多有代表性的工作
[02:16] 我们的谈话从个体出发
[02:19] 共同探索由人
[02:20] 组织
[02:21] AI
[02:22] 人与机器的交互
[02:24] 所抵达的这个世界智能的边界
[02:27] 以及人类与机器的全景
[02:29] 前不久我刚刚创立了一家新的内容工作室
[02:32] 语言及世界工作室
[02:34] 顺于很意外的从另外一个角度帮我回答了
[02:37] 我们工作室创立的初心
[02:39] 为什么我们相信语言是这个世界的本质
[02:42] 本质奥秘
[02:44] 他的表达是
[02:45] 语言是人为了实现放话而发明出来的工具
[02:49] 这一点比其他东西更本质
[03:00] Hello 顺宇
[03:00] 先给听众朋友们打个招呼
[03:02] 大家好
[03:03] 我叫姚顺宇
[03:04] 然后现在在OpenAI做research
[03:06] 今天我们嘉宾是OpenAI的研究员姚顺宇
[03:09] 他的研究方向是agent
[03:10] 最近刚刚写了一篇非常有名的博文
[03:13] The Second Half
[03:14] 告诉大家AI的游戏已经进入了下半场
[03:16] 那这次节目我们第一次也尝试有两位主持人
[03:20] 还有大家也很熟悉的广密
[03:22] 广密你也来给大家打个招呼吧
[03:24] 大家好
[03:24] 我是广密
[03:26] 顺宇我看了你的很多资料和你自己写的文字
[03:29] 我从你的文章语言里整体能读到一种反叛精神
[03:32] 所以我对你这个人很感兴趣
[03:34] 你能不能先给大家做一个自我介绍
[03:36] 就是聊聊你的过往的经历
[03:39] 你说反叛精神
[03:40] 对啊
[03:42] 这很有意思
[03:43] 因为我感觉我是个非常乖的学生
[03:47] 我感觉从小到大就是按部就班
[03:50] 的学习
[03:52] 我本科从合肥考到清华
[03:57] 然后读摇班
[03:58] 然后在摇班大家都会告诉你去美国读PhD
[04:03] 然后我就去美国读PhD
[04:05] 然后我在普尼斯顿读PhD
[04:06] 然后读过PhD之后感觉很自然的
[04:11] 就是OpenAI是做research最好的地方
[04:14] 然后就加入了OpenAI
[04:16] 对感觉我前28年的人生
[04:19] 非常的
[04:20] 非常的乖
[04:22] 你是15到19在清华摇班
[04:26] 19到24在普尼斯顿
[04:27] 24年毕业季的OpenAI
[04:29] 对吧
[04:29] 你之前学的应该不是AI
[04:31] 就是在本科的时候
[04:32] 你是怎么进入AI领域
[04:33] 然后继而又进入了agent这个领域的
[04:36] 对摇班的传统是偏理论计算机科学
[04:43] 但是可能我还是有反叛精神的
[04:46] 我当时觉得重要的问题可能已经被解决了
[04:49] 就是
[04:49] 如果你去把一个比如图算法的复杂度
[04:54] 从N的2.834方降到N的2.824方
[04:59] 这个事情已经对实际没有什么意义了
[05:03] 然后我是16年的时候
[05:06] 在李健老师的一门课上面看到了一个multi-model
[05:12] Word2Wack的一个demo
[05:14] 就是说当时有一个
[05:16] 就比如说你可以有一个Word2Wack
[05:19] 有一个非常惊艳的example
[05:20] 就是说一个国王的embedding
[05:22] 减去一个man的embedding
[05:24] 再加上一个queen的embedding
[05:26] 可以等于一个比如woman的embedding
[05:28] 就这个事情我当时觉得非常神奇
[05:29] 然后这个事情可以做成比如一个图片
[05:32] 比如说一个国王图片的embedding
[05:35] 减去man的embedding
[05:36] 再加上queen的embedding
[05:39] 他能做的非常的
[05:40] 我当时觉得非常惊艳
[05:41] 对
[05:42] 然后
[05:44] 但是当时其实清华或者起码摇班没有什么
[05:47] 做deep learning的老师
[05:49] 或者资源
[05:50] 然后18年的时候
[05:52] 摇班有一个传统
[05:53] 就是每个人都要去海外做一学期的research
[05:57] 然后我去FIT
[05:59] 然后跟的是吴嘉俊学长
[06:01] 然后从那里才真正开始系统性的做deep learning
[06:05] 对
[06:06] 然后当时我做的其实更多是computer vision
[06:11] 但是我当时觉得好像vision你很难实现一个general的AI
[06:19] 然后intuition就是说感觉language是更重要
[06:23] 或者更central的一个东西
[06:25] 然后后来进了PhD之后就开始做language
[06:30] 对
[06:31] 那怎么进入agent
[06:32] 对这个事情其实我觉得也是有些机缘巧合
[06:37] 对我的导师他之前有一些research
[06:41] 就是说我怎么能在一个简单的语言游戏里面去做一个agent
[06:49] 这个可能是16年17年的时候的工作
[06:52] 就是说你用一个非常简陋的rnn
[06:55] 然后在一个非常小的文字游戏里面
[06:58] 你可以做一些这种动态的interaction
[07:01] 比如说你学着学就知道
[07:03] 比如过桥之后就可以比如说去河的对岸
[07:06] 就类似于这样非常简单的事情
[07:08] 我进入grass school之后
[07:10] 其实我是被computer vision录取的
[07:13] 但是我当时已经不想做computer vision了
[07:15] 然后我就去找做language的人聊天
[07:18] 然后
[07:19] 我记得我现在的导师carthic
[07:20] 然后我们就在bringstorm有什么idea
[07:23] 然后我就说现在这个语言模型对吧
[07:26] gbt2已经变得比你们当时要强很多了
[07:29] 他现在玩游戏是不是也会变得更强
[07:32] 然后他说maybe that's a good idea
[07:35] 然后我们就开始做这个事情了
[07:36] 然后从那开始就已经一直在做agent
[07:41] 做了已经有6年了
[07:44] 对
[07:44] 你觉得agent或者说language最吸引的是什么
[07:48] 我觉得是它的generality
[07:50] 对任何事情你都可以用语言去表示
[07:54] 或者说绝大多数事情你可以用语言去表示
[07:56] 我觉得很吸引我的一点
[07:59] 就是说我当时我觉得隐隐约约有intuition
[08:03] 就是说你最终比如你要实现一个AGI
[08:07] 当然当时大家没有人提AGI
[08:10] 但如果你要去实现一个非常general system
[08:12] 你需要去build一个agent
[08:16] 当时我觉得就是说
[08:18] 如果回看AI的历史的话
[08:20] 从很久很久以前
[08:23] 从就是Noel和Simon他们1960年代开始
[08:28] 其实大家一开始的想法就是想去做一个agent
[08:31] 当时大家的野心非常ambitious
[08:34] 对吧
[08:34] 就是说我们想用一个summer去解决
[08:37] Vision想用另一个summer去解决language
[08:39] 然后我们把这些东西拼在一起
[08:40] 我们去做一个agent
[08:41] 然后他就比人聪明了
[08:43] 包括你去看图灵一开始的想法
[08:45] 就是说大家都会想去很自然的想要去build一个agent
[08:46] 就是说大家都会想去很自然的想要去build一个agent
[08:47] 就是说大家都会想去很自然的想要去build一个agent
[08:48] 就是说大家都会想去很自然的想要去build一个agent
[08:49] 但是这个事情太难了
[08:51] 所以我觉得逐渐的AI就变得非常碎片化
[08:54] 然后大家研究的问题也越来越小
[08:56] 对吧
[08:57] 就是说有些人去研究我怎么去解决
[08:59] 比如说Vision的这一小部分问题
[09:01] 或者去解决language的这一小部分问题
[09:03] 或者更细一步
[09:04] 就translation的这一小部分问题
[09:06] 最后就变得越来越细分
[09:08] 越来越vertical
[09:09] 但是我觉得
[09:11] 115年以后
[09:13] 实际上Skinning Law的诞生
[09:16] 包括很多这个researcher
[09:17] 包括很多这个researcher
[09:18] breakthrough诞生
[09:19] 历史的大事就是说
[09:21] 我们应该从这种vertical thinking
[09:23] 重新回到一个更general的thinking
[09:25] 然后去试图构建一个更通用的系统
[09:30] 当你进入到agent系统做研究的时候
[09:34] 你意识到最重要的几个事情
[09:35] 就是当你要把语言模型让它行动起来
[09:40] 有一些收获
[09:41] 我觉得我第一年最大的收获就是说
[09:45] 要用GBT不要用BERT
[09:46] 然后这里解释一下
[09:48] 可能现在已经很多人不知道什么是BERT了
[09:49] 就是当时最火的语言这个领域
[09:53] 最火的模型叫做BERT
[09:54] 然后他的想法就是说
[09:56] 我去学一个表示
[09:59] 就是说我有一句话
[10:00] 然后我可以通过某种方式
[10:02] 学到这句话的一个表示
[10:03] 然后我可以通过这个表示
[10:04] 做很多下游的任务
[10:06] 比如说去做一些单选题
[10:10] 或者去做一些这种基于选择的任务
[10:14] 对
[10:14] 然后当时我觉得可能95%的人在做
[10:18] BERT
[10:18] 然后可能只有5%的人在做GBT
[10:21] 然后这也是因为当时自然语言处理的主要的任务都是一些
[10:27] 比如我有一句话
[10:30] 然后这句话是积极的还是不积极的
[10:34] 比如说我很讨厌这个电影
[10:35] 这是一个负面的句子
[10:38] 就是做一些非常简单的这种事情
[10:39] 在这种事情上
[10:40] BERT确实效果更好
[10:42] 但是你会发现
[10:43] 如果你要做一个agent
[10:45] 那你需要的不只是选择
[10:47] 能力
[10:48] 而是去自由产生新的动作的能力
[10:53] 当然如果你在玩围棋
[10:54] 或者你在玩视频游戏的话
[10:58] 你的选择是很有限的
[10:59] 比如你在玩马蒂奥兄弟
[11:01] 那他可能就上下左右
[11:03] 对吧
[11:03] 但是你如果去玩一个基于语言的游戏
[11:06] 那你动作是自由的
[11:09] 比如说我在这个游戏里面
[11:11] 我可以用剑杀怪兽
[11:13] 或者我可以去第三个房间
[11:15] 或者我可以用我的金色的钥匙
[11:17] 打开第一个房间的门
[11:19] 这个事情是BERT永远做不到的
[11:22] 所以我发现这个事情之后
[11:24] 我就再也没有用过BERT
[11:25] 我觉得第二个能力就是说
[11:28] 任务或者环境非常重要
[11:30] 就是当你有一个非常差的任务的时候
[11:32] 你永远不可能学到非常好的东西
[11:34] 从某种程度来说
[11:35] 就当时有很多人在做
[11:37] 现在来看很简单的任务
[11:39] 对吧
[11:39] 比如说这个句子是正面还是负面的
[11:41] 或者说我怎么去判断
[11:44] 比如说A这句话能不能
[11:47] 导致B这句话是不是成立
[11:49] 当时这些任务看上去很难
[11:50] 但是其实现在看上去非常简单
[11:52] 我觉得首先你要找一个
[11:54] 足够有挑战的任务
[11:56] 然后这个任务能够
[11:57] 做出有本质的新的方法
[12:00] 然后实际上
[12:02] 当时你想去做agent
[12:05] 或者想做语言的agent
[12:06] 没有什么选择
[12:07] 可能你只能去做
[12:09] 比如这些文字游戏
[12:10] 比如说Zork
[12:12] 是一个非常经典的文字游戏
[12:13] 就是说你在一个
[12:15] 文字基于文字的世界里面
[12:17] 就有点像一个互动的脚本一样
[12:19] 就是说你可以去往下走
[12:21] 往上走
[12:22] 你可以去各个房间
[12:23] 你可以去做各种各样的事情
[12:25] 但是你会发现
[12:27] 这个环境还有很多缺陷
[12:28] 就是说你能学到的东西
[12:30] 是局限在这个环境里的
[12:32] 就这个环境还是不够大
[12:33] 而且你如果要用RL去学这个环境的话
[12:38] 那就会像用RL学传统的视频游戏一样
[12:41] 就是说你可以把这个游戏打通关
[12:44] 但它对于其他任何的任务
[12:45] 没有任何的牵引
[12:47] 没有任何的利益作用
[12:49] 对吧
[12:49] 你可以把握气象特别好
[12:50] 但它对世界上任何其他事情
[12:52] 没有任何价值
[12:54] 我觉得可能我们需要一个更好的环境
[12:58] 你博士期间其实做了很多工作
[13:00] 而且很多知名度也很高
[13:02] 包括这种language agent
[13:04] 有react
[13:05] 有reflection
[13:06] 还有思维术
[13:07] 然后包括digital automation
[13:09] 数字自动化等等
[13:10] 这些研究的跨度大
[13:12] 他们之间的共性问题是什么
[13:14] 你是怎么按着你的兴趣点
[13:16] 做他们的延伸的
[13:17] 我觉得从我的角度是一个非常自然的过程
[13:21] 当我意识到环境有问题的时候
[13:24] 实际上我觉得我第一个比较重要的工作
[13:28] 就是web shop
[13:30] 我觉得首先我们要解决一个环境问题
[13:32] 因为如果没有一个好的任务或者环境
[13:34] 我把这个游戏刷得再高
[13:37] 其实我觉得没有意义
[13:38] 其实15年的时候就有一个非常好的工作
[13:41] 叫word of bits
[13:43] 当时的idea就是说
[13:44] 我们应该把电脑或者
[13:46] 互联网作为一个环境
[13:48] 这个环境比游戏更exciting
[13:51] 对
[13:52] 但是当时由于各种技术的局限性
[13:54] 就这个东西没有做的特别好
[13:57] 然后21年的时候我和导师在讨论
[14:01] 就是说现在可能是一个很自然的重新做这个事情的时候
[14:05] 当然当时我觉得技术还也还没有成熟
[14:07] 当时大多数人还是在研究
[14:10] 比如说A能不能导致B
[14:12] 或者翻译
[14:14] 或者我能不能从
[14:16] 这个文章中回答问题
[14:18] 当时想去做互联网的agent还是
[14:22] 我觉得技术还没有完全成熟
[14:23] 但是可能正因为技术没有成熟
[14:26] 所以是一个好的时候开始做了
[14:27] 然后做到22年我们做了webshop
[14:32] 这个environment
[14:33] 然后22年的时候
[14:35] 就是GBD3
[14:36] 包括后来chain of thought的出现
[14:39] 我觉得是带来了新的方法上的机会
[14:42] 然后我们做了react
[14:44] 我现在还是觉得
[14:46] 我可能我自己最喜欢的工作还是react
[14:49] 之后的话就是基于这两个线
[14:52] 就是很自然的去做更多的方法
[14:54] 还有task
[14:55] 但我觉得可能我的研究
[14:58] 就是一方面是怎么去做一些有价值的
[15:03] 然后更基于现实世界的任务和环境
[15:07] 另一方面就是说怎么去做一些简单
[15:10] 并且通用的方法
[15:11] react提出它有标志一个范式的变化吗
[15:14] 我觉得这个事情需要
[15:16] 可能比如10年后或者5年后再去看
[15:19] 很多时候一个东西刚提出的时候是很难看出来的
[15:23] 当时的学术圈还是不太能接受
[15:26] 就是说我去做一个prompting
[15:28] 然后去把它作为一个research
[15:31] 就是传统意义上你需要去提出一些fancy的
[15:36] 就是你需要提出一些数学公式
[15:38] 你需要去训练一个模型
[15:40] 你需要去证明你做了很多理论
[15:43] 或者做了很多工程上的事情
[15:46] 如果你只是去比如说使用一个模型
[15:49] 感觉这个太软了
[15:51] 不过我觉得从某种程度上来说
[15:55] 当时最有价值的事情就是去研究怎么去使用模型
[15:58] 因为如果你是想训练模型
[16:00] 那实际上你是落后OpenAI
[16:03] 或者落后这些公司好几年了
[16:06] 对吧
[16:07] 然后你做的事情很有可能几年前别人已经发现了
[16:10] 那如果你想要做些不一样的事情
[16:11] 那可能怎么去使用模型是更有价值的
[16:15] 为什么你做这件事情?
[16:16] 因为大部分人都知道
[16:17] 你觉得是为什么?
[16:18] 我觉得有幸运的部分
[16:19] 就是说我PhD做第一个事情
[16:22] 其实就是基于语言模型去做agent
[16:25] 然后这个事情我觉得当时做的人很少
[16:28] 因为这个事情我觉得可能太难了
[16:31] 或者说不是一个被不是一个共识类的事情
[16:34] 就是当时共识类的事情
[16:35] 就是说我去做问答
[16:38] 或者我去做翻译
[16:39] 或者我去做一些已经被社区接受的一些任务
[16:46] 我觉得我一直有这个非共识
[16:50] 就是说我想要去做agent
[16:52] 然后另一个点就是说我一直想做简单
[16:57] 并且通用的东西
[16:58] 我不想做一个很复杂
[17:00] 但是只能在一个领域奏效的东西
[17:04] 比如说当时有很多人就是说我去做
[17:08] 比如问答我会设计很复杂的架构
[17:10] 然后把这些retrieval
[17:13] 就是说我怎么把这些上下文放到你的
[17:16] 模型里面去做很多东西
[17:18] 但是最后发现这事情可能只能做一个任务
[17:21] 我觉得我一直还是想做简单又通用的东西
[17:27] 然后这个事情我觉得传统意义上是很难被接受的
[17:31] 因为大家已经习惯了
[17:33] 就是说ai就是说你把问题不停的细分
[17:35] 然后你去做很多细分的这些方法
[17:39] 大家可能并没有想要去做一个很简单很通用的事情
[17:44] 或者认为这个事情是可能的
[17:46] 在比如说20年之前或者
[17:50] 今天我们的话题是agent和强化学习
[17:53] 这也是你现在的研究方向
[17:55] 我们很好奇你会怎么定义agent
[17:58] 这是一个很好的问题
[18:01] 我觉得这个事情是基于你的context
[18:06] 就是基于你的讨论的背景的
[18:09] 对就是从历史的角度来说
[18:12] 我觉得从自然语言处理的角度来说
[18:15] agent是相对于
[18:16] 比如说一个产生文章或者产生对话的系统而言
[18:24] 我能够去和外界进行交互
[18:29] 比如说使用计算器或者使用互联网
[18:32] 或者使用这些tool
[18:34] 我觉得从自然语言处理的角度来说
[18:38] agent其实就是我不仅能够产生新的文章或者新的思考
[18:45] 我还能够和外界进行交互
[18:46] 但是从AI的更大的背景来说
[18:51] agent是一个非常古老的概念
[18:53] 就是说任何你可以去做自我决策和环境交互
[18:57] 然后optimize reward
[19:01] 就是让它的奖励变大的这样的系统
[19:05] 就都是agent
[19:06] 从这个角度来说
[19:07] 今天的agent这个词的含义
[19:11] 可能更多的是说
[19:12] 我怎么基于像语言模型这样大模型
[19:15] 能够有这样的成果呢?
[19:16] 我怎么可以去做自我决策的agent系统
[19:20] 而不是传统的
[19:21] 比如说单纯基于规则
[19:25] 或者基于在一个领域做强化学习所获得的agent
[19:30] 因为agent这个词在不同的年代有很多不同的形式
[19:34] 对吧
[19:35] 你也可以说AlphaGo是一个agent
[19:37] 你也可以说Vemo是一个agent
[19:39] 你可以说Robot是一个agent
[19:42] 我觉得这个词很基于你的情境
[19:44] 对吧
[19:45] 你提出这个语言agent
[19:46] 它和其他之前的传统的agent
[19:48] 它的本质区别是什么呢?
[19:50] 为什么语言agent更本质呢?
[19:51] 我觉得本质区别是可以推理
[19:54] 因为推理才可以犯话
[19:56] 就举个简单的例子
[19:57] 就是我觉得我做react一个很强的motivation
[20:01] 就是说我做完com
[20:03] 就是我的第一个工作之后
[20:05] 就是我在思考一个事情
[20:06] 就是说为什么我可以一下子就去玩一个新的游戏
[20:11] 但是现在这些系统或者AI需要比较多的时间
[20:14] 但是现在这些系统或者AI需要比较多的时间
[20:15] 就是说几十万步或者几万步或者几百万步的训练
[20:18] 你才能去做这个事情
[20:20] 然后我就发现
[20:23] 好像是因为我可以思考
[20:24] 对吧
[20:24] 就是说我看到一个全新的环境
[20:27] 我会思考
[20:27] 就是说这个灯是黑的
[20:30] 那可能有危险
[20:31] 然后基于这个常识可能会有怪兽
[20:34] 那可能我现在最重要的事情是要点亮灯
[20:38] 然后基于之前的上下文
[20:40] 灯在我后面
[20:41] 那我应该先向后走
[20:43] 那如果我没有这样的一个思考
[20:45] 能力
[20:45] 我直接从这样一个复杂的语言
[20:49] 直接去预测
[20:51] 我要去往后走
[20:52] 这个事情很难
[20:53] 就是没有推理是做不到的
[20:57] 所以我觉得最大的区别就是说
[21:00] 语言模型提供了一个足够强的鲜艳
[21:04] 这个鲜艳使得你可以推理
[21:06] 而推理又可以在不同环境间泛化
[21:09] 所以它核心是推理能力进而能泛化
[21:12] 因为你研究A症和智能体非常早
[21:15] 从你的视角A症它到底是一个什么样的演变历史
[21:18] 它是怎么一步步发展到今天的
[21:19] 对我可以说一下我自己的理解
[21:21] 但是可能并不完整或者是有一些错误
[21:24] 就是我觉得最早的AI
[21:28] 我们被叫成为good old fashion AI
[21:32] 或者说叫符号主义
[21:34] 其实想法就很简单
[21:36] 就是说我注重的是推理
[21:38] 然后我推理的方式就是说我是怎么想的
[21:42] 我就把这些规则设计出来
[21:45] 然后让AI也这么做
[21:48] 就是说如果我的温度高于30度
[21:53] 那这个空调就应该降温
[21:54] 就是基于这样的规则的AI
[21:58] 然后这个事情其实是可以造出来很多最早的智能体了
[22:02] 对包括最早的robot
[22:05] 最早的比如证明数学定理的
[22:09] 包括很多其他的系统都是这样创造出来的
[22:12] 但是很快比如说1980年的
[22:15] 大家发现这东西是有瓶颈的
[22:16] 就是你不管写多少规则
[22:19] 你还是很难涵盖这个世界上所有可能发生的情况
[22:25] 当时就是符号主义也没有到极致
[22:30] 就是说我们要去做这专家系统
[22:33] 或者做很多我们去找很多专家
[22:35] 我们把这世界上所有可能的规则全部写下来
[22:37] 我们是不是就有AGI
[22:39] 或者说有一个非常通用的有用的系统
[22:41] 但最后发现好像你不管写多少规则
[22:45] 特殊情况你处理不了
[22:46] 而且你写的这些规则也只能在这一个任务上面管用
[22:50] 对吧
[22:50] 比如说你写了一个怎么去诊断心脏病的这样一个系统
[22:55] 你写了很多规则
[22:57] 但是你还是没有办法去涵盖所有可能出现的情况
[23:00] 因为人是一个他会说任何事情
[23:05] 对吧
[23:05] 你没有办法去handle
[23:07] 然后你写了这样一个心脏病的系统
[23:09] 你没有办法去处理
[23:10] 比如说肺病
[23:11] 这个事情就导致了第一次AI的行动
[23:15] 然后我们有neural network
[23:18] 有了神经网络
[23:19] 然后我觉得第二波AGI的兴起
[23:22] 是deep reinforcement learning
[23:26] 就是深度强化学习
[23:28] 标志性的实践
[23:30] 就比如说DeepMind去做这些视频游戏
[23:32] 去做AlphaGo
[23:34] 然后包括我们有一些OpenAI玩机器手
[23:39] 或者Dota
[23:40] 或者这样的一些游戏
[23:41] 然后这个的核心就是说
[23:44] 我有一个
[23:45] 我有一个可以无穷次玩的这样一个虚拟的环境
[23:49] 然后我有一个奖励
[23:51] 然后我有一个非常通用的网络架构
[23:57] 然后我就去像黑河一样
[24:00] 就是去学怎么去把这个reward去improve
[24:02] 然后它就变强
[24:05] 然后这个事情我觉得取得了很多成功
[24:08] 我觉得可能最有名的事情是AlphaGo
[24:11] 对
[24:12] 但是我觉得还是有同样的问题
[24:15] 就是说你去做任何一个环境
[24:19] 你需要去做很多环境specific的工程
[24:26] 就是说我去做Dota
[24:27] 那我需要做很多基于这个环境的
[24:33] 比如说hyperparameter tuning
[24:35] 或者工程
[24:36] 或者很多其他东西
[24:37] 但是可能最大的问题还是他没有办法泛滑
[24:41] 你去学了一个围棋的agent
[24:42] 你没有办法去玩其他游戏
[24:43] 你去做一个围棋的agent你没有办法去玩其他游戏
[24:44] 你去做一个围棋的agent你没有办法去玩其他游戏
[24:44] 你去学了任何一个环境
[24:48] 你没有办法去泛滑到另一个环境
[24:49] 那这个事情肯定很不好
[24:51] 对吧
[24:52] 而且如果你的所有能solve的环境都是这些虚拟的环境
[24:56] 或者说可以无穷次玩的像游戏一样的环境
[25:01] 那你没有办法找到很好的真实世界的应用
[25:06] 我觉得可能第三波的agent就是从大语言模型开始
[25:10] 我们发现他可以去做推理
[25:13] 然后基于推理
[25:14] 你实际上是去可以做一些新的环境
[25:17] 比如说coding比如说互联网
[25:20] 比如说各种各样的数字环境
[25:22] 然后这些数字环境有很大的特点
[25:24] 就是他大多数情况下是基于语言的
[25:27] 然后是需要推理的
[25:28] 所以我觉得这一次agent主要的其实区别就有两方面
[25:35] 一方面是方法上我们使用语言模型
[25:39] 使用推理去构建了很多处理各种各样问题的整体环境
[25:42] 去构建了很多处理各种各样问题的整体环境
[25:44] 这样agent
[25:45] 但另一方面就是说agent的环境也发生了一个进化
[25:50] 就是从最早的符号主义的比如证明数学定理
[25:55] 到下围棋玩游戏
[25:58] 到今天我们去做互联网去做coding
[26:02] 去做computer去做这些真实世界的数字环境
[26:06] 所以我觉得是有两条线
[26:08] 大家可能往往会看到方法的这条线
[26:11] 但是会忽视了正物的这条线
[26:14] 这两条线其实是相浮相沉
[26:17] 我其实一直有一个很基础的疑问
[26:19] 就是OpenAI有一个五个分级
[26:21] 我们都很熟
[26:22] 从聊天机器人level1到推理者level2
[26:26] 到代理者agent level3
[26:28] 然后再到创新者和组织者
[26:30] 这个是level4和level5
[26:32] 这五个分级它内在逻辑是什么
[26:35] 为什么是先有聊天机器人推理者
[26:37] 然后再有了agent
[26:39] 对我觉得
[26:44] 就是首先你要有一个语言的鲜艳知识
[26:48] 然后基于语言的鲜艳知识
[26:51] 可能你能做出来最早的应用
[26:53] 其实就是对话机器人
[26:55] 然后基于语言的鲜艳知识
[26:57] 下一步你需要能够推理
[27:00] 就是我们说Step2就是Resonance
[27:03] 当你有了很好的语言鲜艳知识和推理能力之后
[27:07] 实际上你才能去做各种各样的agent
[27:09] 或者说能翻话的agent
[27:12] 然后我觉得很明显的就是今天
[27:14] agent最重要的几个进步的方向
[27:19] 一个就是说能让他有自己的reward
[27:23] 能让他自己探索
[27:24] 另一个是说Multi agent
[27:27] 能够让他形成组织
[27:29] 我觉得这两个事情
[27:31] 我觉得可能是正交的
[27:33] 或者说是可以平行发展的
[27:35] 我觉得就是说谁是level4谁是level5
[27:38] 我觉得这个我不确定
[27:39] 但是我觉得这两个事情是很显然
[27:41] 下一步需要做的
[27:43] 所以从level2到
[27:44] level3就是你做的这一步
[27:46] 用迅模型到用模型
[27:47] 这其实是一个很重要的跨越
[27:51] 或者说从单纯做推理
[27:54] 到把推理应用到做agent
[27:57] 去和环境交互
[27:59] agent目前有哪些主流的架构
[28:01] 这个形成共识了吗
[28:03] 我觉得我的感觉是
[28:06] 其实大多数时候
[28:09] 大家就是用类似于react的架构
[28:11] 就是说你能够去推理
[28:14] 去产生一个action
[28:15] 就是这是一个最简单的事情
[28:17] 但是again
[28:18] 我觉得最简单的事情
[28:19] 可能还是work的最好的
[28:21] 然后我觉得可能基于特定的任务
[28:23] 你会有很多就是workflow
[28:25] 或者更specific的方法
[28:27] 但是我觉得最通用的方法
[28:29] 还是类似于react这样的方法
[28:31] 广秘你说
[28:33] 你自己最看重提升agent的能力的
[28:35] 是哪几个关键能力
[28:36] 之前有人提context
[28:38] 甚至long context的resonate
[28:41] 或者说工具调用或者指令遵循
[28:44] 你刚才一直在提resonate
[28:47] 如果提升agent的能力
[28:48] 你自己最看重哪几个能力
[28:51] 我觉得这是一个很好的问题
[28:52] 然后我觉得现在没有一个特别好的
[28:56] 就是能力的taxonomy
[28:58] 或者说这种划分系统
[29:00] 对吧
[29:00] 或者说每个人有自己的一个划分系统
[29:03] 就比如可能一个人会划分
[29:05] 比如说这个基于工具的能力
[29:08] 比如说我的coding能力
[29:09] 我的上网的能力
[29:11] 我的使用计算机的能力
[29:12] 我就是这种划分方法对吧
[29:14] 这种划分方法
[29:15] 就比如说我的处理多模态的能力
[29:19] 我的处理长context的能力
[29:23] 然后我的resonate能力
[29:25] 我觉得这两种划分都是有道理的
[29:30] 对
[29:31] 然后可能对于现在来说
[29:34] 我觉得可能我最看重的是
[29:36] 处理context的能力
[29:39] 或者说memory的能力
[29:41] 然后基于它去做lifelong learning
[29:44] 或者online learning的能力
[29:46] 对
[29:47] 你刚才一直在提到环境
[29:49] 你感觉code代码是一个实现AGI最重要的一个环境吗
[29:55] 可以做多轮的r
[29:56] 这个反馈也是闭环的
[29:59] 也是可以验证的
[30:02] 那你感觉如果在这个环境搭agent
[30:06] 是不是会更快
[30:08] 对
[30:09] 我觉得毫无疑问
[30:10] 这是最重要的环境之一
[30:12] 我觉得coding就有点像人的事业
[30:14] 跟手一样
[30:15] 对吧
[30:16] 就是说它是某种程度上来说
[30:20] AI最重要的affordance
[30:23] 对于物理世界来说
[30:25] 人的affordance
[30:27] 我不知道这个词用中文怎么翻译
[30:29] 但是对于人来说最重要的affordance
[30:31] 就是说我要制造出手能够使用的工具
[30:35] 对吧
