[00:01] Hello 大家好 我是小骏
[00:15] 今天我们来到了美国硅谷
[02:18] 并且做一个简单的自我介绍
[02:20] 好
[02:20] Hello 小俊
[02:21] 谢谢你邀请我
[02:22] 我是洪乐彤
[02:23] AXIOM的创始人和CEO
[02:26] 对
[02:28] 我想我们的聊天可以从一个故事开始
[02:30] 就很多数学家在说自己被数学打动的那个时刻
[02:35] 都叫做被数学击中的时刻
[02:36] 比如说高斯就是说像闪电一样
[02:38] 你自己有过这样的时刻吗
[02:40] 我就是自己解题的过程中
[02:43] 这个
[02:43] 比较为就是低频率一些
[02:45] 但是我经常在看别人结果的时候有一种
[02:48] 哇这个东西怎么这么美的一个感受
[02:50] 我印象中特别深
[02:52] 其中一个例子就是说
[02:54] 第一次看到这个模型是椭圆曲线定理
[02:58] 就是说每一个这种模型是他都对应着一个椭圆曲线
[03:03] 相当于是把一个比较代数性的一些一个一个表达式和一个更几何性的一种几何物
[03:12] 几何物体就是联系起来
[03:15] 然后我觉得就是数学中这种两个领域
[03:18] 然后他们相当于中间有一个交集的这样的一个例子
[03:23] 还是每一次我都是觉得非常非常非常优美的
[03:26] 然后我印象中就是还有另外的比如说概率
[03:30] 然后物理那里面又有一堆的可以就是让我觉得非常就是有意思的结果
[03:36] 然后我自己解题的话还是就是小的时候可能见的不太多
[03:40] 就是觉得数学还能还能这么
[03:42] 然后我就是当时从初等数论的时候一直推推到这个二次互反率
[03:46] 我当时在美国的一个叫罗斯夏令营
[03:49] 然后他每一天就给你每一天给你一个题集
[03:53] 然后你要把它全部做完还挺多题呢
[03:55] 全部做完才能拿第二天的题集像游戏打怪一样
[03:58] 然后如果你做不完所有的题他就不给你下一个题集
[04:01] 然后你就看你隔壁的那个同学已经就比你就是多了三个题集
[04:06] 有更多有意思的可能是正确的东西
[04:08] 但是由于你的证明能力还没有跟上你一直到不了
[04:11] 然后到最后到
[04:12] 二次互反率的时候就是他给你呈现了很多的证明
[04:15] 我在这个过程中一定是觉得有被数学击中的时刻
[04:18] 然后就是觉得非常表达非常简洁的东西
[04:22] 他后面的这个证明可以很深
[04:24] 然后也可以有很创造力的一些解法
[04:26] 我有一个问题他可能会很好回答
[04:28] 也可能会很不好回答
[04:30] 就是有一天我跟AI在谈论数学的时候
[04:32] 他提到数学是一种结构的语言
[04:35] 所以我想知道从你的视角来定义数学到底是什么
[04:38] 对啊这个确实不太好回答
[04:41] 我觉得
[04:42] 数学它有一点像是说是人类
[04:45] 我们决定说去创造一个文明的体系
[04:50] 然后在这个文明的体系里面
[04:52] 由于一些就是我们愿意去说是
[04:56] 我们认为是对的一些公理
[05:00] 然后往上去搭建
[05:01] 就是我们我们他其实某种程度上是数学家
[05:04] 他有一个契约
[05:04] 就是说哪一些东西我们是愿意接受是理所当然的
[05:09] 然后在这些东西上面
[05:11] 最少的
[05:12] 理所当然或者说不一定是最少
[05:14] 看你从哪一个角度去看
[05:15] 有一些人他会去从compression压缩这里去去看
[05:19] 他希望是最少的公理
[05:20] 有一些人是去希望能找最有意思的
[05:24] 或者说就是搭配最合理的一套公理系统
[05:27] 然后往上再搭建
[05:29] 然后往上搭建的这个过程中
[05:31] 其实我觉得这个过程是很多人觉得数学是解题
[05:34] 就是我有一道题
[05:35] 然后我把它做出来
[05:36] 但就是往上搭理论的这个过程其实很有意思
[05:39] 一般是先从一些数学的一些
[05:42] 例子出发一些
[05:43] 他就是比如说是一个一个序列或者说是一个集合
[05:48] 然后你去发现一些规律
[05:50] 然后这个时候你觉得很自然而然的下面的一个题应该是怎么样的
[05:55] 然后再去证明他
[05:56] 所以这个过程其实有一点点像艺术
[05:58] 我觉得数学是一个介于艺术与科学之间的一个存在
[06:01] 所以数学到底是一个被发现的过程
[06:03] 还是一个被创造的过程
[06:05] 这是一个这个千古千古千古的难题的辩论辩论点
[06:10] 你是哪一派
[06:12] 就是如果就是一些数学家他们有一套比较相似的训练背景
[06:18] 或者说他们在同一个领域里面
[06:20] 他们阅读了同样的一批代表作
[06:24] 他们会有一个某种程度上比较大的一个默契
[06:28] 去说我们认为这个很自然而然的
[06:31] 他应该是是什么样的
[06:33] 然后如果说出现了一个
[06:35] 比如说最有意思的就是当拉玛努金他从印度来到了英国
[06:39] 他遇到了这个哈代和
[06:41] 他们就是他们两个人就是一直就他们两个写paper
[06:47] 他们写了很多很多的文章
[06:48] 然后拉玛努金来到这里就是像一个外星人一样
[06:51] 他说嘿这是我的这个草稿本
[06:53] 上面这些东西全都是对的
[06:55] 我从来没有接受过数学的这个训练
[06:57] 我不知道怎么去证明他
[06:59] 然后哈代和我我就会觉得这些东西看起来很有意思
[07:03] 他们很新
[07:04] 然后他们和我们之前做的东西又感觉是又感觉这个东西是对的
[07:09] 但是所以他们就开始用证明
[07:11] 所以某种程度
[07:11] 上证明是一个与原来的这一群数学家所不太一样的一个一些一些人
[07:20] 他们可以用证明来来来说服他们证明
[07:23] 其实某种程度上它是影响力
[07:25] 就是我只要能够去把这个东西严丝合缝的逻辑证明出来
[07:29] 我这个数学的发现就是可以被接受的
[07:31] 然后在他被接受的这个情况下
[07:33] 当然了就是又会说你这个证明是美还是不美
[07:36] 是自然还是不自然
[07:38] 这个我们之前看到很多国际的数论学家去看啊
[07:41] 张一堂先生的这个的的数论证明
[07:44] 他们就觉得这个证明是和他们熟悉的一些学派非常不一样的一种证明方式
[07:52] 但是在就是非常著名的那一个那个结果就是数数的这个固定的这个差
[08:00] 这个他们觉得是是正确的
[08:01] 所以他们又接受了这件事情
[08:03] 于是就是又开始去互相的去去学习和整理他们的证明方式
[08:08] 比如说James Maynard
[08:09] 2022年的菲尔兹奖
[08:11] 他有
[08:11] 另外的他的一套的证明的这个技巧
[08:14] 然后他的学生们去继承他的证明的技巧
[08:17] 然后他他和这个张一堂先生的这些就可以进行
[08:21] 大家可以进行比较
[08:22] 也可以进行简化
[08:23] 这个过程其实是非常非常有意思的一个一个治理过程
[08:27] 你是哪一派呀
[08:29] 是那种直觉派天才派还是证明派
[08:32] 我一直就是非常希望能当直觉派天才派
[08:36] 然后这其实我很小就是痛苦的一个根源
[08:39] 就是我一直发现我自己没有什么特别大的
[08:41] 数学天赋
[08:42] 就我是一个蛮力行选手
[08:44] 对我是蛮力行选手
[08:46] 就是你给我我小时候在打数学奥赛的时候
[08:49] 我记得他们说就是每个卷子的第一道题几何题
[08:52] 欧式几何题欧式几何题是必拿的分
[08:56] 你如果不拿欧式几何题
[08:57] 你连这个三等奖你都拿不到
[09:00] 然后我就一直做不出来欧式几何题
[09:02] 我我我倒是可能能做代数不等式
[09:04] 我的大脑可能更偏代数的符号的表达
[09:08] 然后几何和拓扑实在是差
[09:10] 所以
[09:11] 我一般就是去把每一个点
[09:13] 然后每一条线就用这个复数法
[09:15] 就是大力出奇迹
[09:17] 我最后我不需要去理解这个几何题
[09:19] 他背后的几何意义
[09:21] 我就把它完全是就是照本宣科的去拿一个套非常复杂的复数法
[09:26] 就把它就是解决出来
[09:27] 我可能会需要比别人多两到三倍的时间
[09:30] 导致我可能其他题目的时间分配不均
[09:33] 但是这是我做这个几何题的唯一方式
[09:35] 其实最有意思的是2021年开始就是Google DeepMind
[09:39] 他们从他们很秘密的开始
[09:41] 一个
[09:41] 这个Alpha Geometry的这个这个项目
[09:44] 就是说如果我们这个拿AI去证明欧式几何题非常困难
[09:48] 感到困难
[09:49] 能否把它变成符号表达
[09:51] 他这个不是复数法
[09:52] 跟我说的这个人类
[09:54] 我这个人类做的方式是不一样
[09:56] 但他这个背后的哲学是一样的
[09:58] 我把几何的图形变成这个符号表达式
[10:01] 于是这就是他们就能够通过这个东西去解决
[10:04] 好像81%的就是AI
[10:06] 就是AI能够解决81%历史上IMO的几何题
[10:10] 就这是一个很有意思的问题
[10:11] 这是一个我不是天赋型选手的这个解释
[10:15] 解释一
[10:15] 我有一个解释二
[10:16] 就是我在MIT的时候
[10:18] 我身边所有人他们都是天赋型选手
[10:20] 所以你只要就是看看左边
[10:22] 看看右边就知道自己不是天赋型选手
[10:24] 但是呢
[10:25] 我不放弃
[10:26] 我是打不死的小强
[10:27] 就是你给我一道题
[10:28] 我三个月我做不出来
[10:29] 我继续想
[10:29] 我记得当时Henry Kong教授他给了我一道sphere packing
[10:33] 让我去想一些关于28位的这个sphere packing的一些小的问题
[10:37] 这个东西当然不可能就是期待一个本科生完全解决
[10:41] 然后
[10:41] 我六个月我什么都没有想出来
[10:43] 但是我每一周我就去说
[10:44] 我这是我试过的
[10:45] 我没有成功
[10:46] 然后我又试了一周
[10:47] 我又没有成功
[10:48] 所以但这个这种蛮力型
[10:50] 其实某种程度上会和一些天赋型选手存在一个互补
[10:54] 就是说他们可能有一些脏活泪或不愿意干的
[10:57] 我可以把它去干完
[10:59] 所以你的这个过程有点类似于AI的过程
[11:02] AI是这种蛮力型选手
[11:04] AI是直觉派吗
[11:05] 现在AI里面它也分了这个比较天赋型聪明型的AI和
[11:11] 这个
[11:11] 和这个比较蛮力型的AI
[11:13] 比如说我们现在这个我们公司的这个AI系统
[11:16] 它里面就是它是一个系统
[11:18] 所以它中间有很多的模型
[11:19] 它有一些模型就是能够很很快的去认定这个题目
[11:26] 应该是被一二三四五六七步这么大概证明出来
[11:30] 然后就是偏形式化
[11:33] 见到了很多另这种形式化语言的AI
[11:35] 他就会说
[11:37] 哎反正我就是一个tactic一个tactic的tactic是另里面的一个
[11:41] 一个步骤或者说是策略
[11:43] 它能够让你就是从把你的一个很复杂的问题一步一步的去把它解决
[11:49] 它更是这种严丝合缝
[11:52] 就是小步小步走
[11:53] 然后不是之前刚才讲的那一个能够列提纲的AI
[11:56] 所以其实AI这系统里面两种就是类型的AI数学家
[12:01] 他也能相辅相成
[12:03] 某种情况下
[12:04] 其实最有意思的是
[12:05] 当看到一道题
[12:07] 就是我们发现在我们最近我们公司在这个普特南大学里面有一个计划
[12:10] 就是我们发现在我们最近我们公司在这个普特南大学里面有一个计划
[12:10] 就是我们发现在我们最近我们公司在这个普特南大学里面有一个计划
[12:10] 在这个普特南大学生数学竞赛中
[12:12] 就是这个Action Prover AI拿了满分
[12:15] 然后是人类历史上有五个满分
[12:19] 过去的98年
[12:21] 1927年开始第一次普特南数学竞赛
[12:25] 然后这是第六个满分是一个AI拿到的
[12:28] 然后我们就有看这个AI的解法
[12:30] 有一道题我印象特别深刻
[12:33] 我们队伍中有这么一个同学
[12:35] 他叫做Evan Chen
[12:36] 他是美国就是IMO数学竞赛队的这个教练
[12:40] 他是美国就是IMO数学竞赛队的这个教练
[12:40] 所以他是非常天赋型的一个选手
[12:43] 他看到这道题他画了一个图
[12:45] 然后我们所有人当时在那个会议室一看到这个图
[12:47] 我们就说那你是把它做出来了
[12:49] 就一个图的一个解法
[12:50] 这个AI果然就没有找到这个一个图的解法
[12:54] 我们看到了就是几千行的这个Lin代码
[12:56] 他是就是硬生生的把它某种类似枚举
[13:01] 类似分类讨论
[13:02] 然后就是一步一步一步核实去把它就是干出来的
[13:08] 所以就是这是一个大力出奇
[13:10] 他可以看到这个机器他会去
[13:13] 就算是一道很明显可以去做创造力解法的一道题目
[13:17] 他可以去通过他自己擅长的东西去给出
[13:20] 给出一个完全不一样的解法
[13:22] 其实我觉得去比较人类与AI就是得到的这个证明解法
[13:26] 背后的数学是一个非常有意思的过程
[13:30] 所以数学不是人类的特权对吧
[13:33] 现在感觉上这个自动定理证明这个领域发展的很好
[13:39] 其实
[13:40] 其实这个领域它不能够叫是AI的胜利
[13:45] 它在没有AI没有这个深度神经网络的时候
[13:49] 就有一群电脑计算机科学家
[13:52] 他们就是去希望能够使得基于规则的电脑系统
[13:58] 能够去帮助人类去解决能够解决的数学问题
[14:03] 然后这就叫做自动定理证明ATP
[14:06] 然后ITP就是交互性定理证明互动性定理证明
[14:10] 就是毕竟有一些ATP无法解决的
[14:13] 就是过去会有一些人类他们是数学家
[14:16] 他们也会去写这种LIN这种特定的这种程序编程语言
[14:21] 他们就会去与这个电脑系统一起去合作证明这件事情
[14:25] 现在其实我们只是把这个ITP中的人类换成了一个AI而已
[14:31] 它这个古老的这个学科
[14:34] 其实某种程度上是ATP与AI的这样的一个交集
[14:38] 嗯
[14:39] 我相信很多人都还是会对你很好奇
[14:42] 你虽然一直在说你不是天赋型选手
[14:44] 你是一个蛮力型选手
[14:46] 但是你的过往的背景非常的强
[14:48] 所以还是想聊聊你自己
[14:50] 你在广州长大广州是一座非常有烟火气的城市
[14:54] 所以你的小说的成长环境是什么样的
[14:57] 对广州是一个非常非常有烟火气的城市
[15:01] 其中我最深刻的一个童年记忆就是确实有很多好吃的
[15:05] 就是感觉到了后面长大就是留学
[15:09] 就是食物上比较比较匮乏
[15:10] 尤其是和家乡的家乡的美食比起来
[15:13] 我爸爸妈妈我们是在广州
[15:17] 我在广州出生长大
[15:18] 然后我们住在就是离学校很近
[15:20] 所以就是每天可以走路去上学
[15:22] 然后有些时候上学的时候就也会想想数学体育
[15:26] 然后也走到不知道哪里去
[15:28] 就是这种说是就是想数学的同学们经常犯的这样的这个习惯
[15:33] 我也有
[15:34] 走路到学校多远
[15:36] 就十分钟
[15:37] 然后就是有时候会
[15:39] 也会会开始游荡
[15:40] 因为就是就是有时候脑子会想想别的事情
[15:43] 其实我觉得这是一个非常快乐的一个状态
[15:46] 后面就是我最近创业
[15:49] 我有一个这个导师
[15:52] 他讲到一个概念就叫做Bonded Attention和Free Attention
[15:57] Bonded Attention的意思是说被框架住的注意力
[16:01] 然后Free Attention是说自由注意力
[16:04] 比如说我们每一天早上起来
[16:06] 我们会看到很多邮件
[16:07] 然后我们会有很多
[16:09] 执行的事情
[16:10] 因为我不执行这些事情可能说有一个期限性
[16:12] 你必须要把它执行掉
[16:14] 这个时候你的大脑是在一个被框架住的注意力的这样的一个情况下
[16:19] 对然后很多很成功的企业家
[16:23] 他们是非常有纪律性的执行家
[16:27] 他们就是每一天日复一日的去肯胖
[16:30] 复利他的这个执行
[16:32] 这个很好
[16:34] 然后所以我一开始就是创业的时候非常希望我每一天能做到事情做到事情
[16:39] 但是就是后面这一个自由注意力其实是能够区分一个平均的一个创业者和一个很很好的一个很有策略性和决策性的一个创业者的一个区别
[16:51] 其实是在自由注意力这里
[16:53] 或者说一个数学家自由注意力这里是可以把人与人之间的这个差距拉开了点
[16:59] 所以当你所有的时间自愿的去
[17:01] 由于说我要做一个像就是像军训一样
[17:05] 我每一天就是要干掉多少活
[17:07] 你可能会使得你这个自由注意力这一块反而是欠缺了
[17:11] 你丧失了很多的机会成本
[17:13] 所以我就是特别有时候怀念小时候就是走路上学的时候
[17:17] 就是有很多这种自由注意力
[17:18] 某种程度上就是就是人家说爱因斯坦的洗澡事件
[17:23] 这个这个过程中其实能够有很多很有意思的一些就是大脑能到一些很有意思的地方去
[17:30] 这可能是灵感和直觉来到你的大脑里的时候
[17:33] 对
[17:34] 但是这个事情是他不是一个线性
[17:37] 的不是说你投入多少自由注意力的时间
[17:40] 你其实也有可能自由注意的时间
[17:42] 你什么都没有想到
[17:44] 然后在后面的你可能在被逼迫做一些任务的时候
[17:48] 在中间你会就是有一个callback
[17:51] 就是回到了你其实自由注意力给你大脑里面打下的这样的一个一个一个基础
[17:57] 你反而会在那一刻可能可能你大脑也不想做那些无聊的事情
[18:01] 他就说我想到了这样的一个比较有创造性的一个一个想法
[18:05] 所以自由注意力和邦利的问题是什么呢
[18:07] 就是你自己的自我执行和限制性的注意力
[18:08] 他应该是结合的
[18:09] 他有配比吗
[18:11] 不知道
[18:11] 我觉得大家的配比不一样
[18:13] 人家说有三种创业者
[18:14] 第一种叫visionary
[18:15] 就是有前瞻性的野心家
[18:17] 第二种叫做execution
[18:20] execution
[18:21] 就是执行
[18:21] 他就是能够
[18:23] 其实扎克伯格
[18:24] 我们在这个Facebook小屋今天特别特别有意思的一个场地
[18:28] 扎克伯格他就是一个执行狂
[18:30] 就是他是一个执行执行执行执行执行的一个人
[18:33] 然后你可以看到他
[18:35] 嗯
[18:36] 每隔一段时间
[18:37] 会有一些行动去弥补可能前瞻性的决策落后
[18:44] 所以他是一个非常就是执行的执行派的一个企业家
[18:47] 然后第三种就是销售派
[18:49] 就是他是能够销售派
[18:51] 其实并不是一个负面的词
[18:53] 就是他有非常好的沟通能力
[18:55] 他有非常强的与不同的这个受众沟通的能力
[19:00] 然后他能够去影响别人
[19:02] 引领别人
[19:02] 然后把一个队伍就是这么建起来
[19:04] 我一直从来不觉得
[19:07] 我是销售派
[19:07] 这个是肯定肯定不是的
[19:09] 然后我也不是一个多好的执行派
[19:12] 其实我也我可能就是也不能叫做前瞻性
[19:15] 这个前瞻性是说是对的
[19:17] 我就是想做一些事情
[19:18] 然后我想做一些事情会极度乐观
[19:21] 然后我极度乐观的情况下
[19:23] 就算是往下就是跌一点
[19:25] 他好像也也还也还行
[19:27] 也还达成了一个一个KPI
[19:30] 所以你觉得你是第一种Victionary
[19:32] 我觉得我是Victionary
[19:32] 我我反正肯定不是Salesman或者是Executor
[19:36] 你刚才说
[19:37] 扎克伯格是属于第二类
[19:38] 属于他是第二类
[19:39] 对
[19:40] 你觉得像其他的一些企业家呢
[19:42] 在美国这边一些知名的企业家
[19:44] 知名的企业家
[19:46] 马斯克是是是是Visionary
[19:48] 这个是绝对的
[19:49] 然后Sam Ellman是Salesman
[19:52] 然后我觉得一定要互补
[19:55] 就是比如说扎克伯格他身边全是梦想家
[19:59] 看Shrap这个CTO梦想家
[20:03] 他也有其他很好的执行的
[20:06] 其他执行的人
[20:07] 就是我觉得光互补也不行
[20:08] 你要有一些是你的同类
[20:10] 然后有一些是互补
[20:12] 桑德伯格做了很长时间的很好的执行家
[20:15] 稳健的去把零到三千人的情况下
[20:19] 这个文化都把持的很好
[20:21] 其实我觉得Facebook非常强的一个点是
[20:24] 就是每一个Facebook的人
[20:26] 他们都Bleed Purple
[20:27] 就是他们的血液里面就是紫色
[20:29] 就是就是Facebook的这个颜色
[20:32] 他们紫色紫色代表什么
[20:34] 紫色就是Facebook的办公室有很多呃
[20:37] 很疯狂的颜色
[20:38] 其中有一个很明显的是紫色
[20:41] 其实这个是因为扎克伯格他是他是呃
[20:44] Color blind的
[20:44] 他是呃
[20:45] 有一些颜色光谱无法区分
[20:48] 所以说他的那个就是办公室有非常大胆的大胆的颜色和
[20:52] 其实去看那个Facebook的这个园区像是一个梦工厂
[20:56] 他有24小时的这个雪糕店
[20:58] 就冰淇淋店
[20:59] 然后有地方让呃
[21:01] 就是大家去玩鼓玩吉他玩乐队呃
[21:04] 我们公司大部分的人其实之前都是在Facebook
[21:07] 的所以你很了解他们对他们有一个非常强的一个叫做
[21:11] Bottoms of the culture就是由下往上
[21:13] 嗯而不是往而不是上行下效
[21:15] 他是就不是Topdown就是Topdown非常Google
[21:17] 然后Bottoms of非常的非常的Facebook
[21:20] 所以我们公司其实某种程度上呃
[21:22] 并没有一个定义文化的机会
[21:24] 我们某种程度上沿袭了呃
[21:27] 呃我们大部分的早期创始员工他们本来的文化
[21:31] 好的关于Facebook我们后面还会聊到好
[21:33] 我们先回来嗯
[21:34] 你在广州那个城市是怎么长大的
[21:36] 对
[21:37] 就是呃打打数学竞赛
[21:39] 然后呃我看看百家讲坛
[21:41] 我是非常喜欢这个百家讲坛
[21:43] 对我非常喜欢就是所有的就是呃中国的这个呃文学与历史啊
[21:48] 我喜欢就是看那些历史故事
[21:50] 我当时记得就是一中天讲三国
[21:52] 然后呃珠子百家
[21:54] 然后就是还是非常快乐的一段时间
[21:57] 我特别喜欢文学就是黄永裕
[21:59] 他有一本书叫大牙大牙宝胡同讲二号
[22:02] 然后比我老的老头呃就是那本书的书名
[22:05] 然后其中讲到了
[22:06] 这个呃中国的这个文艺界呃就是画家
[22:10] 然后作家
[22:11] 然后他们呃各种各样的画家
[22:13] 版画家雕塑家
[22:15] 然后呃他们都住在这样的一个北京的一个胡同里面
[22:18] 我妈妈她是她是北京的北京人
[22:20] 所以说我们家某种程度上我们虽然住在广州
[22:23] 然后又有受很多这种呃呃精神文化的这个影响
[22:27] 对
[22:27] 所以我发现你小时候自由注意力是很旺盛的
[22:31] 啊很很旺盛的自由注意力
[22:32] 嗯因为你并没有把所有的时间都集中在数学上
[22:35] 我
[22:36] 我对我也被数学教练小时候就批批评说不是最刻苦的那一个
[22:42] OK
[22:42] 但是我如果遇到一道题
[22:45] 这个题就是要跟这道题去死磕
[22:48] 我就就是某种程度上你如果看我花了多少时间在那道题上
[22:53] 你会说这个小孩很刻苦
[22:54] 哦
[22:54] 但这个过程中像玩一样
[22:56] 他不他不像work
[22:58] 嗯
[22:58] 就我觉得区分说是呃这个框框住了的这种呃限制性注意力和自由注意力的这个其实是一个主体感知
[23:06] 就是你到底觉得你是在玩还是在工作
[23:09] 然后我觉得呃我小时候大部分的事情都感觉是想玩
[23:13] 然后就是那些学校的作业就是一般课间就是写完
[23:16] 然后我放学之后就所有的时间我就是可以做一些其他的其他的事情
[23:21] 呃
[23:22] 后来就是大概是初一的时候呃发现就是可以去可以发现了一个一个事情
[23:28] 就我可以去找一些就是更高等的数学书看
[23:32] 就小时候是呃意识到说我一直要做数学竞赛吧
[23:36] 所以我要比如说三年级做五年级的数学竞赛提及就是一直做数学竞赛更更更更更高级的
[23:42] 但是到初中的时候就开始我为什么不去学学高等数学呢
[23:46] 所以就是开始看就是呃位积分呐就是等十分习负分习
[23:51] 哇
[23:51] 然后就觉得非常有意思
[23:52] 因为他不像是一个零和游戏了
[23:54] 就是做数学竞赛的时候总觉得
[23:58] 其实其实比如说在这个呃广东省的这种奥数这种这个训练环境下呃比较痛苦的一点
[24:05] 就是
[24:05] 你的同学们他们要跟你考同一场试
[24:08] 所以对于一个一个小孩来说
[24:11] 这种友谊的这种概念也比较复杂
[24:13] 就是竞争他就是特别存在
[24:16] 但是你如果是看高等数学这个你这他没有他不是一个零和游戏
[24:22] 他是个正和游戏
[24:23] 你你可以自己就是到你想到的这个深度广度
[24:26] 然后你可以找一些你们班里就是对这个比较感兴趣的同学们一块去讲
[24:31] 然后你们不需要某一天同时去参加某一个考试
[24:35] 所以那但是你还是要回来打这场零和游戏
[24:38] 对我还是要打这个零和游戏
[24:40] 然后这个就是零和游戏上就非常吃亏了
[24:42] 有些时候看到一个一个一个卷子吧
[24:45] 就是四道题最后一道你就发现是数论数论多美啊
[24:49] 你你可能刚最近看了这个高等高等数学里面去学了更多
[24:54] 就是数论的呃呃这种这种这种高级的这个这个概念
[24:59] 然后你就一套卷子你如果你的理智会告诉你
[25:02] 你要在这个零和游戏中取得高分
[25:04] 你应该先把
[25:05] 第一道欧式几何题把它做出来
[25:07] 接着你做第二道代数不等式
[25:09] 然后最后这道数论题大概率你是做不出来的
[25:12] 你要是做出来你就进省队了
[25:14] 然后所以呃你不应该拿到这个卷子的第一课先从最后这道题开始
[25:19] 但是我当时由于我呃就是课外的这种非常浓厚的兴趣
[25:23] 加上我非常的喜欢数论
[25:25] 我长大也是就是做数论
[25:26] 我我我觉得我非常非常的爱数论
[25:29] 于是我就会先从这道题开始
[25:31] 然后一般来说这个时间就开始流逝
[25:33] 然后在一个呃一个一个过程中
[25:35] 固定的一个比赛时长中
[25:36] 这是一个不是最优的策略
[25:39] 你是一个竞争力很强的人吗
[25:40] 因为你刚才也提到呃就是在打比赛的过程中
[25:46] 这是一场零和游戏也会影响一些友谊
[25:48] 你是一个竞争力很强的人吗
[25:50] 我觉得我在呃拒绝被驯化成为一个竞争力很强的人
[25:54] 你在拒绝
[25:54] 对我在拒绝被驯化成为一个
[25:55] 你初中的时候意识到的
[25:57] 我我意识到的
[25:58] 对我当时你你很难不意识到
[26:00] 你你小学数学奥奥数奥奥林匹克学校的时候
[26:04] 我记得
[26:04] 四年级到六年级对吧
[26:06] 每每一个月考一次试
[26:08] 然后每一个学期之后
[26:09] 他把你呃一班到二十四班全部重新排列
[26:12] 嗯
[26:13] 呃就是说你如果二十二二十三二十四班是重点班
[26:17] 呃然后就是呃一班在这个楼底
[26:19] 二十四班在楼顶
[26:21] 然后你每每学期之后就是把你这个呃
[26:24] 就是同学们就是换换教室
[26:27] 二十四班的下去了
[26:28] 下到十九班了
[26:29] 不是重点班
[26:30] 你楼梯也往下走
[26:31] 你这个心情肯定也不是特别好
[26:33] 你一般在哪
[26:33] 呃一般在楼底
[26:34] 呃一般在楼底
[26:34] 啊
[26:35] 我我当时进去的时候我是四班
[26:37] 然后我记得就是就在这个洗手间旁边
[26:39] 这个感觉就是说明这个我入学考试考的是真差
[26:42] 对吧
[26:42] 不是天赋型选手
[26:43] 就某足了就是想上这个二十二二十三二十四的那个楼顶
[26:48] 呃
[26:49] 听说楼顶这个风景也好
[26:50] 对吧
[26:51] 就
[26:52] 这个一个一个四年级的一个小朋友
[26:54] 他肯定是会呃有这种就是争强好胜心
[26:57] 就是在一个比较呃呃大家就会有这种压力的感受
[27:02] 然后呃我后面是觉得就是
[27:04] 这个不好玩
[27:05] 我不想玩这个后面是什么时候
[27:07] 呃初中吧
[27:08] 初初一初二就我开始看这个呃高等数学书的时候
[27:12] 我就开始不太想玩这个游戏了
[27:14] 嗯
[27:14] 那你做出了什么样的改变呢
[27:16] 在你不想玩这个游戏之后
[27:17] 嗯
[27:18] 就客观条件上你还是要去参加那些考试
[27:20] 你还是要去排名
[27:21] 你还是要去竞赛
[27:22] 我不是那么在意了
[27:24] 就是我一直不到初三
[27:26] 我没有就是初三要打初中数学联赛了
[27:29] 然后我就是呃开始初一到初
[27:33] 我0到0
[27:34] 初中
[27:34] 初中数学联赛我才开始准备初中数学联赛
[27:37] 最后好像好像也考得非常好
[27:38] 这个初中数学联赛
[27:40] 就是反正我当时还特别就是惊讶
[27:42] 我觉得我肯定是要考杂
[27:44] 但是呃初中数学联赛考得挺好
