[00:03] Kimi和DeepSick
[03:55] 接下来的时间就会交给他
[03:57] 总体来说
[03:58] 你觉得为什么DeepSick Kimi都选择在这个时间点发布有关于注意力机制的论文啊
[04:04] 注意力机制的改进在AGI路线图上有多么的重要
[04:07] 因为现在是2025年的开始
[04:10] 然后之前DeepSick发了一篇阿旺的文章
[04:14] 然后还有Kimi1.5也发了一篇
[04:18] 他们的技术核心就是说这种长的思维链
[04:22] 就是能够解锁
[04:23] 很多reasoning推理方面的能力
[04:27] 但是长的思维链呢
[04:28] 他的这个推理的开销是比较大的
[04:32] 因为Transformer这种模型
[04:35] 他采用了self attention的这种机制
[04:39] 所以他有一个平方的一个计算复杂度
[04:44] 和一个线性的那个KVCache的空间复杂度
[04:49] 然后他们这两篇工作的话
[04:52] 就是Kimi和DeepSick
[04:54] 他发的这两篇叫做动态吸收注意力
[04:58] Dynamic Spots Attention
[05:00] 他们这个就是可以用来解决这种
[05:03] 常温本的这种开销的问题
[05:07] 然后像MiniMax的话呢
[05:09] 他们就是采用了另外一种方案
[05:12] 他们是用一种叫做混合模型的一种方式
[05:16] 混合模型的话呢
[05:17] 就是线性和SoMath注意力他们的一个结合
[05:22] 这样的话呢
[05:23] 就是如果绝大多数的层都换成了线性注意力的话呢
[05:27] 那么整体的这种开销
[05:29] 尤其是推理上面
[05:31] 他这个解码上面的这个时间开销会缩短很多
[05:35] 这样的话呢
[05:36] 可能就是更加对test and scaling比较友好
[05:43] DeepSick、Kimi、MiniMax
[05:44] 这三篇注意力机制的改进策略
[05:46] 他们是共性更大还是差异更大
[05:48] 我觉得就是Kimi和DeepSick这两篇
[05:52] 还是共性更多一点的
[05:56] 他们的话都是动态吸收注意力
[05:59] 然后动态的话呢
[06:00] 就是说他们的这个吸收的这个性质呢
[06:05] 他不是事先预定好的
[06:08] 像之前很多这种叫做静态吸收注意力
[06:12] static sparse attention
[06:14] 他们的这种吸收的这种模式呢
[06:17] 就是事先给好了的
[06:20] 比方说像谷歌
[06:21] 之前有一篇工作叫做big bird
[06:24] 然后他们有一些就是固定的一些模式
[06:29] 比方说他们有一些就是像那种跳跃的那种sparse attention
[06:36] 或者说一些其他事先给好的pattern
[06:40] 在这边呢
[06:41] 就是动态的吸收注意力的话呢
[06:43] 就是说吸收的性能是由这个query
[06:48] 他来动态决定的
[06:50] 也就是说对于每个token呢
[06:51] 可能他的query不同的话
[06:54] 然后他所想要attain的到的这个key和value
[06:59] 他们就可能会不一样
[07:02] 这个就是动态吸收注意力的这种核心思想
[07:06] Kimi和这个DeepSig
[07:08] 都想把这种动态吸收注意力用在训练上面
[07:13] 所以他们是非常相似的
[07:15] 然后我们之后也会讲到
[07:17] 像minimax的话呢
[07:19] 就是另外一套思路了就是
[07:21] 用到的是线性注意力
[07:23] 线性注意力的话呢
[07:24] 它可以被写成rn的形式
[07:28] 然后在推理的时候呢
[07:29] 它是常数的空间复杂度
[07:32] 然后也是然后每一步也是一个常数的时间复杂度
[07:37] 这样子总体加起来的话呢
[07:39] 就是线性的总共的推理复杂度
[07:45] 我理解我们今天的节目很大一部分
[07:47] 都会围绕着注意力机制来展开
[07:50] 那能不能先在节目开始
[07:51] 给大家介绍一下注意力机制是什么
[07:54] 为什么attention对于大圆模型这么重要
[07:57] 注意力机制最早应该是
[08:01] 他们的这个起源有很多这种说法
[08:05] 一般公认的话可能是
[08:07] 之前有一篇paper
[08:09] 就是在lstm上面
[08:11] 在hidden state上面做了一个attention
[08:14] 然后把这个东西叫做注意力机制
[08:17] 可能是15年的有一篇工作
[08:20] 然后之后的话呢
[08:21] 注意力机制有谷歌把它发扬光了
[08:25] 就是那一篇非常知名的文章
[08:27] 叫做attention is all you need
[08:30] 他们用这一个架构就是完全取代了之前非常风靡的lstm
[08:35] 因为这个架构它训练起来
[08:37] 它那个并行度很高
[08:39] 所以它在GPU上面就是非常非常的高效
[08:42] 这样的话呢
[08:43] 它就能够被它的那个scalability
[08:47] 它就是很容易就是堆参数上去
[08:51] 均衡的更大
[08:52] 就比方说后面的bert
[08:54] gpt
[08:54] 乃至到现在的nash那个remodel
[08:57] 他们都是基于transformer这种架构
[09:00] 然后注意力的话呢
[09:01] 它简单来说的话呢
[09:03] 就是说对于每两个token来说
[09:05] 他们有一个那个score
[09:08] 就是这两个token
[09:09] 他们那个交互的那个score
[09:11] 然后每一个token呢
[09:13] 他就是要对所有另外的token
[09:16] 都要有一个score
[09:18] 这样子的话呢
[09:18] 我们就有每两个token之间呢
[09:21] 我们都会算出一个score
[09:23] 然后这个score呢
[09:24] 通常就会被叫成是注意力分数attention score
[09:29] 在自回归建模当中呢
[09:32] 然后我们一般会有一个cordial mask
[09:35] 就是来防止这些token去attent到后面的一些token
[09:42] 然后来保证它只能attent到前面的token
[09:46] 然后具体这个注意力分数怎么算呢
[09:48] 它一般是每一个token
[09:51] 它会有三个vector
[09:53] 有一个叫做query key和value
[09:56] query就是查询
[09:58] key呢就是键
[09:59] 然后value就是值
[10:01] 每一个token呢
[10:02] 就比方说在自回归里面
[10:04] 每一个token
[10:05] 它会用它的query去跟之前的所有的key
[10:10] 做一个类集
[10:12] 然后我们会得到一个scalar value的一个attention score
[10:17] 然后再做一个softmax的一个操作
[10:21] 就会得到它一个就是
[10:23] 就是规划的一个attention分数
[10:26] 最后再有这个attention分数
[10:28] 来对这个之前的这些位置
[10:32] 它们的value向量来做一个线性组合
[10:36] 最后再得到output
[10:38] 这大概就是注意力机制的核心思想
[10:42] 可以怎么更简单理解attention
[10:45] 更简单理解attention的话就是
[10:48] 我觉得attention的话就是
[10:51] 在这个token之间
[10:53] 我们要建模一个它们的这种交互
[10:57] 这样的话
[10:58] 这样一个其实我觉得都能叫attention吧
[11:01] 它就是一个pairwise的一个建模过程
[11:05] 它可以去建模这个序列里面
[11:08] 每两个位置的那种交互程度
[11:12] 你觉得我们今天讲的DeepSeq
[11:14] Keyme和Midmax
[11:15] 它们的注意力机制的改进
[11:17] 是在为后续的模型训练和产品做铺垫吗
[11:20] 比如说DeepSeq提出的NSA系数注意力机制
[11:23] 是为了DeepSeq V4直接的上下文域训练做铺垫吗
[11:27] 就是能不能从它们的不同的注意力机制的改进目标上
[11:31] 能看出这家公司后续的一些策略上的不同
[11:34] 我觉得DeepSeq这篇文章是有八成
[11:37] 是会为之后的V4来服务的
[11:40] 因为像大家都知道DeepSeq最近出了一个R1的工作
[11:44] 这个工作主要就是想有test and scaling
[11:47] test and scaling的话它就是说
[11:50] 我们在预训练的时候
[11:52] 这个scaling load已经快要失效了
[11:55] 所以我们需要将更多的这种计算
[11:58] 就是把它花费到这种inference time上面
[12:03] 然后在这个inference time的时候呢
[12:06] 然后我们就可能会采用一些
[12:08] 比方说那种长的思维链
[12:11] long train of thought
[12:13] 去把这个输出的长度整体把它拉到很长
[12:17] 所以这个就叫做test and scaling
[12:19] 就是这个叫做推理时间的这种扩展
[12:24] 然后因为test and scaling的话呢
[12:27] 它主要是一个de-coding的一个process
[12:30] 所以这就对这个de-coding的这个效率
[12:33] 就是对这个模型架构它的de-coding的效率
[12:38] 就是有很高的要求
[12:40] 就像普通的self-attention的话呢
[12:43] 大家都知道它de-coding的时候
[12:46] 它是一个比较慢的过程
[12:48] 所以这就是为什么
[12:50] 我觉得DeepSeek会花精力来研究
[12:54] sparse attention的这种机制
[12:56] 然后像Kimi的话呢
[12:58] 它其实它最近也有一篇工作
[13:01] 叫做Kimi1.5
[13:03] 它里面也有一些test and scaling的一些东西在里面
[13:07] 它那个思路是跟DeepSeek是比较像的
[13:11] 然后后面OpenAI也发布说
[13:13] 他们的那个做reasoning的那个模型的
[13:18] 思路也跟DeepSeek和Kimi两家是很像的
[13:23] 这是一方面
[13:24] 然后另外一方面呢
[13:26] Kimi它还有一个主打的一个功能
[13:29] 像之前Kimi就是以长文本建模为卖点
[13:33] 然后他们会提供很多长文本
[13:36] 比方说你可以输入一个document
[13:39] 然后Kimi会帮你处理这整个很长的document
[13:44] 这个就涉及到一个类似于pre-filling的
[13:48] 一个问题
[13:49] pre-filling的话呢就是
[13:51] 对已有的这些给定的tags
[13:54] 来进行一个建模
[13:57] 这个就有点像
[13:59] 就是像训练的一个forward前向的一个过程
[14:03] 这个过程呢因为attention的话
[14:06] 它是平方复杂度的
[14:09] 因为我们要建模pairwise的一个交互
[14:13] 所以这个平方的复杂度
[14:16] 在这个document的长度
[14:18] 很长的时候呢
[14:19] 它这个是吃不消的
[14:21] 这也是为什么Kimi想要研究这种spasattention的原因
[14:25] 因为它可以把这个pre-filling的这个时间
[14:29] 把它缩短很多
[14:32] 接下来连续的五天
[14:34] DeepSeek声称要开源五个项目
[14:36] 能不能对新项目做一些预测
[14:38] 我们节目可能会刚好在他们发项目的第一天或者第二天
[14:43] 我觉得他们应该会发一些infra的一些
[14:48] 框架吧
[14:49] 我看他们都已经有一个repo了
[14:52] 他们说是一个
[14:54] 我记得是一个软硬件协同设计的一个框架
[14:59] 我觉得更多是一些infra的一些工作
[15:02] 比方说可能有MOE之类的
[15:05] 然后还有他们前几天发的那个native spasattention的一些开源模型之类的工作
[15:14] 然后具体是什么呢
[15:15] 我也不太能预测出来
[15:18] 坚持算命哦
[15:20] 接下来时间就交给你交给松玲
[15:23] 由她来带领大家学习最新的三篇论文
[15:27] 那论文讲解的时候有些专业名词我们可能尽量的解释一下
[15:32] 但是也请大家见谅
[15:33] 因为有些专业名词可能确实不好翻译成中文
[15:36] 那好
[15:37] 现在我们来带大家来看一下native spasattention这篇文章
[15:44] 然后native spasattention的话呢
[15:46] 我觉得它从这个名字
[15:48] native来说呢
[15:50] 这个native是什么意思呢
[15:51] 它就是说它要做就是在硬件上面能够进行原生训练的这么一种spasattention
[16:01] 它可以说是现在这些里面第一个来把这种动态系数注意力来做预训练的一个模型
[16:10] 为什么之前的这些动态系数注意力它不能做预训练呢
[16:16] 我们后面会讲到
[16:17] 它训练的时候会遇到各种各样的困难
[16:22] 主要是它跟当前的这种硬件
[16:26] 它是不是非常的align
[16:29] 不是非常的对齐的
[16:32] 所以当前的主要的这些dynamic spacity的一些工作
[16:37] 都是主要用来加速inference
[16:39] 而不是从头开始预训练
[16:42] deep seek这篇文章
[16:44] 我觉得是开创性的
[16:46] 第一次来拿这种dynamic spacity
[16:50] 就是来做一个非常大规模的一个预训练
[16:55] 然后它用到的机制
[16:58] 它就是之后我们会提到它应该是主要是基于
[17:03] 它跟quest很像
[17:05] quest的话是一篇sml2014年的一篇文章
[17:09] 它是由韩松老师组mit的韩松老师组出品的quest呢
[17:14] 它是由韩松老师组mit的韩松老师组出品的quest呢
[17:15] 它的核心思想就是说
[17:18] 对于每一个token
[17:20] 它应该去动态的决定
[17:24] 它要去注意到的这个key和value的block
[17:29] 在什么地方
[17:30] 这个也很好理解
[17:32] 因为每个token
[17:34] 它可能需要的这种信息
[17:36] 它就不一样
[17:38] 那么quest它具体是怎么做的呢
[17:40] 它就是为了
[17:42] 就是跟硬件更加align一点的话
[17:45] 它是有一种就是
[17:47] 对于每一个query
[17:49] 它会去
[17:52] 往前面找一个key和value的一个block
[17:56] 那个block的话呢
[17:58] 它是一个连续的一个
[18:00] continuous的一个tronk
[18:03] 它里面有很多个token
[18:06] 它们是连续的
[18:07] 这样的话呢
[18:08] 硬件的上面的话呢
[18:09] 它们就可以做一些连续的读取
[18:12] 然后来避免一些
[18:15] 额外的开销
[18:16] 像Kimi和DeepSig这两篇文章呢
[18:20] 它其实都是可以当成是quest的一个follow up
[18:25] 然后把quest用来做预训练
[18:29] 接下来我们会看到这篇文章的话呢
[18:32] 就是针对这个quest的这一种
[18:36] space attention的这种机制
[18:38] 就是如何去进行一些
[18:41] hardware aware的一些design
[18:44] 也就是说
[18:45] 如何就是在算法设计的层面上面
[18:49] 就是让这个算法更加的去变得
[18:52] 硬件亲和
[18:54] 这样的话它就可能迅的
[18:57] 就是能够更高效
[19:00] 然后这一篇的卖点
[19:01] 我觉得它们也是在想
[19:03] 就是说
[19:04] 它们想把这个东西
[19:06] 就是在modern hardware上面
[19:07] 就是能直接
[19:09] 按to按的来迅
[19:11] 这样就迅得很好
[19:14] 然后最后它们可能发现
[19:16] 就这个东西呢
[19:17] 它们从头开始预训练
[19:20] 它们能够比follow attention
[19:23] 甚至还要好
[19:26] 最后达到一个就是
[19:28] 既快又好的一个目的
[19:30] 就它们野心非常的大
[19:32] 它们既要还要
[19:37] 然后我们可以简单的来看一下
[19:40] 它的这个最后的一个效果
[19:44] 这留三个benchmark
[19:46] 是表设长文本的一个benchmark
[19:48] 还有这种transferred reasoning
[19:51] 就像R1的这一种style的
[19:54] 一种reasoning的一个能力
[19:57] 这个的话呢就是一些其他能力了
[19:59] 然后我们可以看到
[20:01] 这个NSA的话
[20:02] 它几乎就是在这些benchmark上面
[20:05] 都是要压这个follow attention一头的
[20:09] follow attention的话呢
[20:10] 就是最传统的那种attention的机制
[20:16] 它就是直接建模每两个token之间的这种交互
[20:20] 它需要平方的时间
[20:22] 大部分大模型都是用的这个follow attention
[20:25] 对的
[20:26] 就是基本上所有的大元模型
[20:30] 基本上都是基于follow attention的
[20:32] 比方说千问
[20:34] 比方说nama的话呢
[20:36] 它们都是用的是follow attention的这些架构
[20:39] 但是值得一提的话呢
[20:41] 它们用到的是一些follow attention的变种
[20:46] 它们基本上用的是一种叫做GQA的一个架构
[20:50] 这个我们之后会稍微提一下
[20:53] 然后从右边的这个speed的这个比较来看
[20:59] 我们可以发现
[21:00] 这个lative sparse attention
[21:02] 它不仅在decode的时候要快
[21:05] 它在训练的这个前向和反向传播呢
[21:09] 都是要比follow attention要快很多的
[21:13] 然后这一篇
[21:15] 对
[21:16] 就是它的主要思想就是
[21:18] 要把这个它们的算法
[21:21] 去跟这个硬件做更多的align
[21:24] 然后它这个align
[21:26] 它要去考虑这个inference的这个time
[21:30] 它又要考虑这个training的这个友好程度
[21:34] 就是它既想在pre-filling上面加速
[21:38] 又想在做推力inference的时候
[21:41] 它也想加速
[21:44] 我们可以看到这个图2
[21:47] 图2的话呢
[21:48] 就是它们这个架构的一个核心思想
[21:52] 之前我们提到的话呢
[21:54] 就是说它想要每一个query
[21:58] 就是每一个查询的那个token
[22:00] 它想去attain的到不同的key和value的一个block
[22:06] 这就是Quest这篇工作的一个思想
[22:09] 所以的话呢
[22:11] 我们首先会把这个key和value分成
[22:15] 不同的这一类的
[22:17] 这种连续的这种block
[22:19] 我们可以在这里看到
[22:21] 它分成了四个block
[22:24] 这里是打个比方
[22:26] 对于每一个block呢
[22:28] 它会有一个compression的一个操作
[22:32] 也就是说呢
[22:33] 它想把这么一个block
[22:36] 里面所有的token
[22:37] 把它压缩到一个d-dimensional的一个表示里面去
[22:44] 之后呢
[22:45] 就是我们每一个chunk
[22:47] 它都有一个一个表示
[22:50] 然后这个query呢
[22:52] 它就是能够跟这些chunk的表示
[22:56] 进行一个self-attention
[22:59] 然后得到一个attention score
[23:02] 然后它这里它是先把key
[23:06] 它会压缩成一个表示
[23:09] tony
[23:10] 它会把value也把它压缩成一个表示
[23:14] 然后我们这里会得到一个
[23:17] attention matrix
[23:19] 不对attention score
[23:20] 就是给定一个query
[23:23] 它对每一个chunk的一个attention score
[23:26] 然后我们再apply这个causal mask
[23:30] 然后我们再对这个每个chunk的value
[23:35] 进行一个线性组合
[23:37] 会得到一个output
[23:39] 这个output呢
[23:40] 它会有一个
[23:42] 它会再过一个门空
[23:44] 因为这里它收到有一个叫做gated output
[23:47] gated output的话呢
[23:48] 就是说它这里有三个分支
[23:51] 它每个分支都会选一个门空
[23:54] 来决定它们对这个整体output的一个贡献程度
[23:59] 然后这个门空呢
[24:02] 就是一个由模型自己学的一个过程
[24:06] 它一般的话呢
[24:07] 就是说它会把这个input的一个representation
[24:10] 过一个projection
[24:12] 然后得到一个value
[24:14] 这个value呢
[24:15] 它是由模型这个token的表示来决定的
[24:19] 所以这个就是一个经典的门空的节制
[24:23] 然后这里我们就有第一个分支
[24:27] 第一个分支它就是
[24:29] 它就是有一个比较粗力度的
[24:32] 然后来对这个value
[24:34] 对每个chunk
[24:35] 它会得到一个chunk representation
[24:37] 其实它这个感觉就是做的是一个
[24:39] 类似于chunk level的一个attention
[24:43] 然后这种粗力度的这种attention做完之后呢
[24:48] 它们就会再想做一些
[24:50] 加犀利度的attention
[24:52] 但是如果就是所有的这种犀利度都要做的话呢
[24:56] 就要退化到了那种平方复杂度的那种fullattention
[25:01] 所以这里就是spacity的这个来源
[25:05] 就是说我们不想对所有的这个都做attention
[25:10] 我们只想把那个top n来做一个attention
[25:15] 就比方说在这个里面呢
[25:17] 它这个n等于2
[25:19] 然后我们会在这四个里面
[25:21] 选出两个attention最高的这个block
[25:25] 来做这个attention
[25:29] 更加犀利度的attention
[25:32] 像这里的话呢
[25:33] 我们选到第二个和第四个block
[25:36] 然后我们会把这两个block
[25:38] 它所谓的token呢
[25:40] 把它放到这里来
[25:41] 然后这个quadrate
[25:43] 在这些所谓的token
[25:45] 来算到一些representation
[25:48] 算到一些attention score
[25:51] 然后再对它们这些位置对应的value
[25:54] 来进行一个weighted sum求和
[25:58] 然后得到第二个分支的output
[26:01] 然后同样的
[26:02] 这个output它也会有一个门控机制
[26:06] 然后来决定它对这个整体output的一个贡献
[26:10] 最后呢
[26:11] 我们有第三个分支
[26:13] 它是一个sliding window attention
[26:15] 也就是一个划窗注意力的一个
[26:18] 分支
[26:19] 在这个分支里面呢
[26:21] 因为这个主要
[26:22] 我觉得这个主要是考虑到
[26:24] language modeling的话呢
[26:26] 它有一个inductive bias
[26:29] 就是说
[26:30] 就是说那些宁静的token呢
[26:33] 它往往它会更加重要
[26:36] 就像如果你把一个讯号的
[26:40] supermaxattention这种模型
[26:43] 然后你把它的attention map
[26:45] 把它做一个可视化的话呢
[26:47] 它往往很多这种注意力
[26:50] 会集中在这种sliding window上面
[26:54] 以及最开始的几个token
[26:57] 所以这个现象一般被叫做attention sink
[27:02] 是在那个streaming llm里面提出来的
[27:06] 这里的话呢
[27:07] 就直接就是利用到了这个inductive bias
[27:10] 然后直接就是默认就是去attend
[27:14] 这个sliding window attention的部分
[27:17] 然后我们会得到一个output
[27:19] 同理我们会对这个output
[27:21] 然后来做一个gating
[27:23] 然后最后我们会对三个分支
[27:26] 然后分别做gating
[27:27] 然后把它相加得到最后的output
[27:30] 这就是lative sparse attention
[27:33] 它的整体思路
[27:34] 那在这张图里面
[27:36] 它是如何平衡全局和局部信息的
[27:39] 比如说压缩selected
[27:42] 和sliding window
[27:43] 它这三个分支是怎么协同工作的
[27:46] 我觉得
[27:47] 这个的话呢
[27:48] 就是让模型自己来学出来的
[27:51] 因为模型它有一个门控机制
[27:53] 门控机制就是一个经典的一个字调节的机制
[27:57] 模型可以通过自己的一个representation
[28:00] 就是每个query
[28:01] 那个位置
[28:02] 它对应的那个表示
[28:04] 然后来自反馈的来学出
[28:09] 我每一个这种分支
[28:11] 应该去pay多少的attention
[28:15] 所以我觉得这个就是
[28:16] 它就是把
[28:18] 就是没有那些人为的那种inductive bias
[28:21] 就是说
[28:22] 就是因为很难定义
[28:23] 就是我具体每一个分支要选多少吗
[28:26] 所以我们不妨把这个选择直接交给模型
[28:30] 就是模型它可以自己学出
[28:33] 它需要focus on哪一个这种分支
[28:38] 然后这就是整体的一个核心架构
[28:43] 然后第二个分支的话呢
[28:45] 就其实
[28:46] 就第一个分支到这里
[28:48] 然后到第二个分支的话呢
[28:50] 它其实就是跟quest很像
[28:53] 因为quest的话呢
[28:55] 它也是需要把每一个trunk
[28:57] 把它得到一个representation
[29:00] 然后再通过这个query
[29:02] 去跟这个trunk做attention
[29:04] 然后来算这种top k
[29:06] 然后来做这个selection的一个
[29:08] 就是来做这个block selection的一个方法
[29:13] 对
[29:14] 然后对
[29:16] 所以这一篇工作呢
[29:17] 其实它的lowalty并不在于这一些机制
[29:23] 然后我后面应该会讲
[29:24] 因为这一篇呢
[29:25] 它主要是集中于如何去解决它的这个效率的问题
[29:32] 这些其他的这些机制
[29:34] 比方说sliding window attention
[29:36] 然后像这种粗粒度和细粒度的attention
[29:40] 我觉得都是应该是在yield这个literature里面
[29:43] 应该都是有的
[29:45] 它们的主要贡献应该是更多的集中在这种
[29:49] 如何让它变得更高效的上面
[29:52] 嗯
[29:53] 然后像这里的话呢
[29:55] 这篇工作也提到了quest
[29:57] 然后但是呢quest呢
[29:59] 它其实是有一个问题的
[30:02] 所以这篇工作把它叫做
[30:04] 就是它不能够很好的
[30:07] 跟这些更加
[30:09] 现代的这些attention机制
[30:12] 来
[30:14] 嗯
[30:15] 兼容
[30:16] 这是为什么呢
[30:17] 因为在quest里面
[30:19] 就是我们之前前面讲到了每个token
[30:22] 要去选
[30:23] 嗯不同的kvcash嘛
[30:25] 然后但是在quest里面呢
[30:28] 它每一个attention head
[30:31] 它都要去选到它自己的那个kvcash的一个字迹
[30:36] 我们可以在这里先简单的回顾一下
[30:39] 什么叫做
[30:41] group query attention
[30:43] 它就是说
[30:44] 我可以简单的
[30:47] 打开
[30:48] 我觉得这个图就比较好理解
[30:58] 像multi head attention的话呢
[31:00] 它是每一个query
[31:03] 它
[31:04] 就每一个head它有自己的key
[31:06] value和query
[31:08] 像multi query attention的话呢
[31:10] 就是说
[31:11] 我所有的对所有的head
[31:14] 它们的这个value和key
[31:17] 它们都是共享的
[31:19] 所以我们只有一份这个k和v
[31:23] 这样的话呢
[31:24] 就是我们在inference的时候
[31:26] 我们这个整体的kvcash
[31:28] 它的大小就是有原来的这么多
[31:32] 然后就缩小到只有一个query了
[31:35] 这样的话
[31:36] 它kvcash的大小会极大的缩小
[31:40] 嗯
[31:41] 然后这就是为什么mqa
[31:43] 它会在inference的时候高效很多
[31:47] 但是就是
[31:49] 因为你这个东西就是
[31:51] 其实就是缩减的有点太多了是吧
[31:54] 你就是把所有的query都来share
[31:58] 这同样的一个key和value的一个representation
[32:02] 这样的话呢
[32:03] 可能会带来一些
[32:05] 最后
[32:06] 结果performance上面的一些degradation
[32:11] 那为了缓解这个问题呢
[32:13] 我们就可以就是来折中
[32:15] 就是说我们
[32:16] 不要做
[32:17] 非常激进的这种sharing
[32:19] 我们可以做一些稍微温和一点的sharing
[32:22] 比方说
[32:23] 这里的话呢
[32:24] 我每两个hide之间
[32:26] 我去share一个这个key和value
[32:30] 这样的话呢
[32:31] 我们就把它叫做group query
[32:33] 所以
[32:34] 这个叫做group query attention
[32:37] 缩写就是gqa
[32:39] 然后回到这里
[32:40] 我们这里的话
[32:42] 我们是
[32:45] 在quest里面的话
[32:46] 对于MHA的话呢
[32:49] 因为它每一个注意力头
[32:54] 它的key和value它都不一样
[32:58] 这样的话
[32:59] 那我们对于每个hide来说呢
[33:01] 它反正都要去读不同的这个kvcache
[33:07] 那么的话呢
[33:08] 你每一个hide
[33:09] 它去选不同的这个kvblock
[33:14] 那样的话呢
[33:15] 它整体的这个读写是相同的
[33:18] 所以在MHA的情况下呢
[33:20] 就是你可以尽情的让不同的hide去选不同的kvblock
[33:26] 因为这样整体的这个kvcache的这个读取量
[33:30] 是很定的
[33:33] 对
[33:34] 然后你如果能让它这个不同的hide去读
[33:37] 不同的这种kvblock的话呢
[33:39] 你这个diversity和这个灵活程度都是更强的
[33:44] 所以这样更有利于模型去学到一个更好的model
[33:49] 但是这个呢
[33:52] 它只对MHA是成立的
[33:56] 因为MHA就像我们前面说到
[33:58] 它的每一个hide
[34:00] 它的这个key和value它都是不一样的
[34:03] 但是我们回到GQA
[34:05] 我们前面就说到了
[34:07] 它是在一个group里面
[34:09] 它是share这个key和value的
[34:12] 那也就是说呢
[34:14] 就是说你
[34:15] 如果你这个group里面
[34:17] 你不同的头
[34:18] 你去attend不同的kvblock
[34:21] 那你其实你是
[34:22] 因为你只有一份key和value的copy嘛
[34:25] 所以你就要
[34:26] 如果它去attend不同的kvblock
[34:29] 那我就要读不同的kvcache进来
[34:32] 但是说如果你这个不同的头
[34:35] 它去去选择同样的kvblock
[34:40] 那这样的话呢
[34:41] 它就需要读一份
[34:43] 那个共享的kvcache
[34:45] 这样的话呢
[34:46] 就能带来一些kvcache
[34:49] 读取上面的一些开销的缩减
[34:52] 也就是说在GQA的情况下呢
[34:56] 如果它这个group下面
[34:59] 它不同的hide
[35:01] 去选相同的kvblock
[35:04] 那它的那个读取量会少一点
[35:06] 也就是说这样的话
[35:07] 有可能会带来这种influence
[35:09] 上面的这种加速
[35:11] 所以这个地方的话呢
[35:12] 就是我们之后会反复强调
[35:14] 我强调这个地方会成为
[35:16] 这个native sparse attention
[35:19] 和Quest
[35:21] 和那个Kimi的MOBA
[35:24] 它们的核心不同
