[00:06] 然后我们这里可以看一下DeepSeek R1的paper
[00:09] 它的标题叫做
[08:19] 最近的这些流量也好或者讨论也好
[08:21] 我觉得甚至可能至少是跟O1当时是可比的
[08:24] 就是当整个技术路线对整个公众都是可以明示
[08:28] 而且没有
[08:29] 而且让大家都知道它的原理之后
[08:32] 整个大家的激情才真正的被点燃了
[08:35] 在业内人士看来
[08:36] DeepSeek R1是对OpenAI O1的复刻吗
[08:39] 现阶段的DeepSeek它究竟是一个追赶者
[08:42] 还是一个创新者的角色
[08:44] 我觉得至少在R1这个例子上
[08:46] 我觉得可能一个类似的事情是
[08:48] 就是这项是OpenAI在O1中给大家出了一个非常有意思的谜语
[08:53] 然后整个业界的所有厂商都开始想揭晓这个谜语的答案
[08:58] 然后DeepSeek是第一个也是第一个找出答案的
[09:01] 同时给出来的答案也非常的漂亮
[09:03] 然后但是您说
[09:04] 如果DeepSeek自己
[09:06] 是作为追赶者还是创新者的话
[09:08] 我觉得就是
[09:10] 其实我觉得它已经在做出一些非常杰出的创新
[09:13] 包括它之前V3里的
[09:14] 就是那些超级稀疏的MOE也好
[09:18] 就是专家模型也好
[09:20] 或者说是它的
[09:21] 就是它对于自助育育机制的创新也好
[09:24] 都非常非常出色
[09:26] 我觉得可能大家还缺的一点就是像OpenAI一样
[09:29] 可以持续的像ChatGPT也好
[09:31] Sora包括到现在O1一样出一系列的就是能够
[09:36] 改变Paradigm的一些创新
[09:37] 这个事情还没有出现
[09:39] 不过这个事情其实也就只有OpenAI这些年能长期
[09:42] 能持续突破
[09:44] 这个也是个非常高的要求
[09:46] 节前其实前后脚国内发两个模型
[09:48] 一个是DeepSeek R1和R1.0
[09:51] 然后还有Kimi 1.5
[09:52] 就它们之间的差距大嘛
[09:53] 为什么同时发布大家的关注全部在DeepSeek上
[09:57] 我觉得其实Kimi 1.5是个非常漂亮的工作
[09:59] 而且其实如果就是大家看了这两篇的工作报告的话
[10:03] 它们其实相似度非常高可以说是一个非常漂亮的工作 而且其实如果大家看了这两篇的工作报告的话
[10:03] 它们其实相似度非常高可以说是一个非常漂亮的工作
[10:07] 有异曲同工之妙
[10:09] 然后其实也很一样
[10:10] 就是感觉其实如果作为Moonchild团队的成员
[10:13] 当然就是就是这样的这么好的团队
[10:16] 肯定也该收到更好的关注和激励更好
[10:19] 我觉得就是如果从事后角度来分析的话
[10:21] 我能够看到几个方面
[10:22] 可能是一个是就是Kimi的团队
[10:25] 因为主要是在国内
[10:27] 应该他们的主要的就是产业是在国内
[10:30] 然后没有开源的传统
[10:32] 也没有过就是这种长期的论文
[10:33] 也没有过就是这种长期的论文
[10:33] 发表的情况
[10:34] 所以说在海外也好
[10:35] 或者说在就是研究社区里面
[10:38] 不存在这种自来水的粉丝
[10:40] 然后深度求索是一系列
[10:41] 从几年前一两年前开始
[10:44] 就开始有一些非常高质量的技术报告开始公布
[10:47] 同时也有模型公开
[10:49] 在就是各种社区里面有非常多的自来水
[10:51] 而且大家也可以就是跟着这些报告一点点读
[10:53] 然后对我觉得可能就是缺乏一点这样的后继播发
[10:57] 然后同时可能从R1的报告来讲
[10:59] 它更加的简洁易读一些
[11:02] K1.5它其实有非常多
[11:03] 非常多的研究人员
[11:03] 非常漂亮的一些技术细节的公布
[11:05] 而且就是你可以看到
[11:06] 它做了非常多漂亮的一些工程创新
[11:09] 但是可能就是缺乏像R1以及R10这样子的
[11:12] 就是非常爆款的一些
[11:13] 就是报告读起来就没有那么的爆款
[11:17] 以及令人激动
[11:19] 跟开源闭源有关吗
[11:21] 然后这也是Kimi
[11:22] 好像是他们第一次发技术报告
[11:26] 是的
[11:26] 我觉得其实如果就是
[11:29] 就比如说如果我们看梁文峰
[11:31] 他之前自己报道中的就是
[11:33] 他自己讲的思路我觉得是类似
[11:35] 就是开源其实会创造一个文化以及一种认同
[11:38] 我觉得这已经在深度求索上
[11:39] 已经得到一个非常明显的体现
[11:41] 因为它一直有这样的开源文化
[11:43] 因为它的技术报告可以被看到
[11:45] 因为它一直以来的这些开源的一些长期坚持
[11:48] 所以说其实在海外已经积累了一个非常好的名声也好
[11:52] 或者说就是大家对它的这种文化的拥触感也好
[11:56] 你觉得后面DeepSeek的这一系列举动
[11:59] 会让更多的公司开始开源吗
[12:01] 它会促进开源的生态进一步繁荣吗
[12:03] 对的对的 我觉得这是个非常好问题
[12:07] 而且就是目前看来真的会
[12:08] 就是这件事情我觉得就是
[12:09] 特别是对于我们这种在学校研究院来说
[12:11] 我们就会非常开心对吧
[12:12] 能够看到这些大厂就是自己折折这么久的一些东西
[12:16] 我们可以举些具体的例子
[12:18] 比如说昨天或者前天应该是
[12:20] Sam Altman在OSI Mini的一个
[12:23] 就是Ask Me Anything就是在一个论坛上
[12:26] 就是你可以问我任何问题的一个地方
[12:28] 有人问他说你们觉得开源怎么样
[12:30] 他们就说我们觉得我们之前的行为
[12:33] 站在了历史的错误的一面
[12:34] 我们后面会想想看是否要进行开源
[12:37] 然后后面有些他们的研究员补充说
[12:39] 可能他们会开始开源一系列的工作
[12:41] 以及把一些老旧的
[12:43] 已经不是那种用来赚钱的模型进行开源
[12:46] 然后同时的话就是我知道就是
[12:47] 包括Kimi也开始进行这样的开源举措
[12:49] 而且听说他们后面可能会进行更多的
[12:52] 这样子的就是技术八卦的公开行为
[12:55] 开源会对AI的整个生态带来哪些后续的影响
[13:01] 对我觉得这是个很好的问题
[13:02] 我觉得一个事情是可能就是
[13:05] 大家可以促进整个生态的更快的繁荣
[13:08] 而且有更少的这样子的折损
[13:10] 比如在开源之前的话
[13:11] 可能大家技术路线都要自己摊一遍也好
[13:14] 或者说如果特别是
[13:15] 如果有些公司愿意开源一些framework也好
[13:17] 大家就可以基于这些代码直接进行复用
[13:21] 而不用说每个团队自己都要重新摊一遍
[13:25] 各种技术细节以及各种代码的细节
[13:27] 这是一方面
[13:28] 然后第二个方面我觉得可能就是说
[13:30] 对于各就是对于开发者也好
[13:32] 或者说对于研究员也好
[13:34] 甚至说是对于大众来好
[13:35] 开源了之后这项技术一定会更快的普及
[13:38] 而且成本会降得更低
[13:40] 比如说现在深度求索的R1模型
[13:42] 本身他们的就是
[13:43] 他们已经是用
[13:44] 因为他们的推理架构就已经很便宜
[13:48] 所以说他们也可以以很低的成本进行部署
[13:50] 但现在大家网友也已经开始了
[13:52] 进行了自己的部署也好
[13:53] 或者说后面随着推理框架的继续开发
[13:57] 我非常相信说
[13:58] 就这样的技术成本会降得非常低
[14:00] 那如果都开源了的话
[14:01] 这些大模型公司
[14:02] 他们怎么挣钱
[14:04] 他们自己的商业模式会遇到问题吗
[14:06] 好问题
[14:06] 这个事情我觉得我没有特别多
[14:09] 就是能够有建设性的看法
[14:14] 对我觉得这非常好问题
[14:16] 我觉得可能一个事情
[14:17] 比如我跟就是之前跟OpenAI的
[14:19] 有些研究员聊
[14:20] 他们个人会觉得TrapGBT这个商业模式
[14:23] 比卖API棒非常非常多
[14:25] 我相信国内可能也有些
[14:27] 就是公司会有这样的共识
[14:29] 原因是因为如果你要卖API也好
[14:31] 那么你可能就要跟开源模型
[14:32] 去竞争
[14:33] 而且API现在大家都同志化非常严重
[14:35] 对吧
[14:36] 大家都是兼容OpenAI的API
[14:38] 你想换个API
[14:39] 你就只用改几个代码
[14:40] 然后给另一个公司充点钱就好了
[14:43] 它的可替换性非常强
[14:44] 而且你面临的竞争非常激烈
[14:46] 你要一直处在价格便宜
[14:49] 同时性能靠前的这样的地方
[14:51] 你才能够持续的卖你的API
[14:53] 对吧
[14:54] 但是对于TrapGBT
[14:55] 它其实可能会说
[14:56] 我每个月用户付一个费用
[14:58] 比如TrapGBT的20美金
[15:00] 然后你可以享受OpenAI
[15:01] 它最新一系列的API
[15:02] 包括它的这样子的推理模型O1
[15:05] 4O以及它的Sora
[15:07] 这样图片以及视频生成模型
[15:09] 一系列的东西
[15:10] 这更像是一个比较可持续的
[15:13] 而且竞争更少的
[15:15] 有一定护城河的一个商业模式
[15:17] 不过对我对这个地方
[15:18] 没有特别多的深入了解
[15:20] 也就只是抛砖引玉一下
[15:23] OpenAI Deepseek和Kimi
[15:25] 这三家公司
[15:26] 他们目前都在探索强化学习的路线
[15:29] 那这三家公司
[15:30] General来说
[15:31] 他们选择的技术
[15:32] 路线差异大吗
[15:34] 我觉得从目前来讲的话
[15:36] 其实大家的技术路线都很一样
[15:38] 我觉得一个原因可能是说
[15:40] 像这样的技术路线
[15:41] 它与其说是一个公司的发明
[15:43] 它更像是一种发现
[15:45] 这个发现其实简单来讲就是说
[15:47] 大家发现用强化学习
[15:48] 在足够强的语言模型上进行训练
[15:51] 会涌现出场思维链
[15:52] 同时能让模型学会推理
[15:54] 在一系列设计推理的任务上
[15:56] 性能要明显提升
[15:57] 这个像是个发现
[15:58] 所以说大家其实
[15:59] 目前的路线都还是挺一致的
[16:02] 好的那以上的问题是希望能帮助大家
[16:05] 做一个大致的定位
[16:06] 那接下来我们就把主场嘉贵佳怡
[16:08] 她来给我们讲解这几篇关键的技术报告
[16:13] 嗯好呀谢谢
[16:14] 那我们就开始吧
[16:16] 然后在这的话
[16:17] 我觉得可以从一些背景开始讲起
[16:18] 这样子能让大家对整个就是
[16:20] 为什么我们需要推理模型
[16:22] 以及它在就是整个技术眼睛上
[16:24] 的重要性有一些了解
[16:27] 其实我们可以从GPD-3开始看
[16:29] GPD-3的话我这边查的材料是
[16:30] 它是
[16:31] 2020年的
[16:32] 6月份发布的
[16:33] 然后大概在两
[16:36] 在两年半之后
[16:37] 也就是2023年的3月左右GPD-4发布了
[16:40] 然后我们现在是在2025年的2月了
[16:43] 其实也已经过去了近两年时间了
[16:45] 但是到现在我们还没有看到GPD-5的发布
[16:48] 然后同时就算是现在的
[16:50] 不管是DeepSync V3也好
[16:51] 或者说一些像Lama的400B
[16:53] 以及最近出来的一些其他模型也好
[16:56] 其实他们的就是基础模型能力
[16:58] 并没有明显的强过2023年
[17:01] 这个已经
[17:02] 是GPD-4模型的能力
[17:04] 可能更多的是说在后续链上进行了更多的
[17:07] 就是微调让这个模型更好能利用工具也好
[17:10] 或者说能够对其人类的价值让用户更习惯也好
[17:13] 在这些方面上有了非常大的进步
[17:16] 然后同时我们也可以看到说这样子的
[17:18] 这其实就是所谓的预训练的模型的一些技术进展
[17:21] 同时现在我们看到它这些预训练的模型算力
[17:24] 它其实已经用的非常庞大
[17:26] 在GPD-4的时代应该大家一般的估计是说在50M美金左右
[17:30] 然后当然现在说因为算法效率的提升了
[17:32] 然后当然现在说因为算法效率的提升了
[17:32] 提升像DeepSync V3可以用大概6M
[17:35] 也就是不到10%的钱就可以实现大概GPD-4的训练
[17:40] 然后同时芯片也在变便宜
[17:42] 然后但是如果我们要拓展到GPD-5
[17:45] 可能你会需要大家一般来说会希望说就是GPD-5
[17:48] 因为按照OpenAI的命名规律一代比一代会大概多100倍的有效算力
[17:53] 然后这样子的话它可能会需要更多更多的钱
[17:56] 一般猜测会在200M以上
[17:58] 但总而言之大家可以看到预训练它确实仍然在有进展
[18:02] 但总而言之大家可以看到预训练它确实仍然在有进展
[18:02] 虽然说伊利亚也有说就是预训练可能马上就要到头了
[18:05] 但是可能说我们还能再推一代左右
[18:07] 但它现在确实首先它要的成本非常非常高
[18:10] 其次它的迭代非常非常慢
[18:12] 不管什么原因已经有两年时间我们没有见到下一代模型了
[18:15] 尽管这个行业有如此巨大的投入
[18:18] 然后其实O1这种工作也就是在这个前提下开始展开的
[18:22] 其实它主要的问题是说除了预训练算力之外
[18:26] 有没有其他可以拓展的维度让我们丢入算力
[18:29] 让模型能够可拓展的有进一步的提升
[18:32] 然后其实O1这边工作就是learning to reason with ALMs
[18:36] 用语言模型的方式让模型学会推理
[18:40] 这篇工作里面就告诉我们有的
[18:42] 其实你用强化学习的方式
[18:44] 你就可以让你的后训练以及推理师
[18:46] 算力可以获得可拓展的提升
[18:49] 同时让你的性能呈现性的近似提升
[18:52] 然后我们这样走我们可以先从O1这边工作看起
[18:56] O1这边工作其实最重要的图
[18:58] 也就是它的第一张图
[19:00] 也就是它的
[19:02] 它的X轴是训练时的算力
[19:04] 然后同时它是取了对数
[19:06] 也就是说是你的
[19:08] 你第一个如果是10
[19:09] 第二个就是100
[19:10] 第三个就是1000这样子
[19:11] 然后它的横轴是训练时的算力
[19:14] 这里的训练不是预训练而是后训练
[19:16] 然后同时还有个是测试时算力
[19:18] 就是test time compute
[19:19] 它的横轴是这两个
[19:20] 然后它的纵轴是一个非常难的叫做美国数学邀请赛
[19:25] 大概是就是可能在国内就类似于高中
[19:28] 说高中奥数竞赛这样子一个邀请赛
[19:32] 一样的一个就是任务上的精度
[19:35] 然后我们可以看到说
[19:36] 在你没有进行任何的后训练以及推理时拓展的情况下
[19:40] 你的算力
[19:41] 你的性能大概是在百分之三十左右
[19:43] 然后当你一步步的投入更多的后训练以及推理时算力
[19:47] 你会发现基本上跟你的算力的对数呈现性的
[19:52] 它的AIME上的成绩也在稳定的提升
[19:56] 这是个非常漂亮的结果
[19:57] 因为可以看到它一路从百分之二十左右
[20:00] 百分之二十
[20:00] 百分之三十
[20:01] 一路走
[20:02] 一路升到快百分之八十
[20:03] 基本快把AIME这样子的难度提给解了
[20:06] 所以这是个非常非常漂亮的结果
[20:10] 然后我们可以再看看这个blog里面
[20:12] 他说了
[20:12] 他其实在这blog里面没有讲很多的技术细节
[20:16] 但是他其实从现在过来看
[20:18] 他其实主要的要点都讲了
[20:20] 他这个谜题设置的也就非常精妙
[20:22] 他强调很多点
[20:23] 第一个事情是他做到这个事情的方法是reinforcement learning
[20:27] 也就是强化学习
[20:30] 在这里我可以先快速讲一下
[20:32] 强化学习大概是什么
[20:33] 然后后面我们再遇到的话可以再进一步的讲
[20:36] 要讲强化学习
[20:37] 我们可以其实跟预训练或者sft
[20:39] 也就是监督微调进行一个对比
[20:41] 在预训练或者监督微调里面
[20:43] 更多事情是说我们给这个模型一段文字
[20:46] 这个东西大家已经写好已经知道答案
[20:48] 然后你教他怎么做
[20:49] 你教他模仿这段文字
[20:51] 比如说比如说你好
[20:53] 比如说你好他叫回你好
[20:54] 那么你可能就把你好这个词交给他
[20:56] 他就会学会好我要说你好
[20:57] 然后在强化学习中
[20:59] 这些更多事情是我们告诉模型
[21:02] 回复是好还是不好
[21:03] 然后让模型自己捣鼓出来
[21:05] 怎么样做会更好
[21:06] 让模型去做一个任务
[21:08] 然后如果这个他会自己试很多次
[21:10] 然后其中会有效果好的和效果差的
[21:13] 我们人或者说一个模型会告诉
[21:15] 他会告诉这要训练的模型
[21:17] 就是训练语言模型
[21:18] 这个效果还是好不好
[21:20] 如果效果好
[21:21] 我们就会鼓励模型多这么做
[21:22] 如果效果差
[21:23] 那么就让哎这个模型少这么做
[21:25] 这大概就是强化学习的原理
[21:27] 然后
[21:29] 然后在这里欧凡还告诉我们说
[21:30] 强化模型
[21:31] 模型
[21:32] 是
[21:32] 实现这个范式突破的重要途径
[21:34] 同时他给我们展示了一些他的这些长思维
[21:37] 链对在这里的话可能刚刚忘提的是说
[21:40] 我们这里是这里说就是他在
[21:42] 他不仅是在后训练时
[21:44] 随着算力的投入他的性能能够增长
[21:46] 同时还有个叫做推理时
[21:47] 随着算力的投入能够进行
[21:49] 进行更多增长
[21:50] 在这里是他是怎么做的
[21:52] 如果在训练中
[21:53] 我们知道就是你可把模型训练的越久
[21:55] 跑更多的次数
[21:56] 那他就会用更多算力
[21:58] 在推理时他做到的方式其实是说让模型
[22:00] 输出更多的
[22:01] 更长的
[22:02] 思维链
[22:03] 让模型先输出思维链
[22:05] 然后再回答
[22:06] 这个思维链其实一个比较简单的就是
[22:10] 以及直观的类比
[22:11] 其实就是慢思考以及快思考
[22:14] 模型可能会
[22:15] 在这个思维链中先说哦
[22:16] 我要这么做
[22:17] 让我先把这个任务给他
[22:19] 就是分成几个小任务
[22:21] 让我再一个个试
[22:22] 让我再试下这个题他是不是这么做
[22:24] 让我先试试方案 a
[22:26] 哦不对我试方案 a 中这一步可能有错
[22:28] 那让我再重新试一试
[22:30] 方案 a 好像不对
[22:31] 让我试试方案
[22:32] c 吧方案 c 好像也不对哦
[22:34] 我知道了可能我还试试方案 d
[22:36] 大概会在思维链中向人就是自己的
[22:39] 就是自己内心的思绪一样
[22:40] 就是一步步慢慢的
[22:42] 把这个问题一步步的解决
[22:44] 对这是慢思考
[22:45] 然后与其相对比其实是语言模型之前
[22:48] 也就是 chatgpt 或者就是标准的
[22:50] 就是之前大家用 chatbot
[22:52] 就是这些
[22:53] 聊天机器人他们其实是
[22:55] 目前看来的话更类
[22:56] 近似于一种快思考
[22:57] 就是他会一开始就给你答案
[23:00] 大概这样的对比是这样子的
[23:02] 对然后在这一会我们可以看到
[23:03] 就是说他能通过让模型学会慢思考
[23:05] 他能实现推理时的可拓展性
[23:08] 然后这里 open i 又给了一个非常
[23:10] 关键的词
[23:12] 他说 you learn to recognize and correct this mistake
[23:14] 啊这里我直接用中文吧
[23:16] 就是说这个模型他自己学会了
[23:19] 找出并且
[23:21] 也改正自己的错误
[23:22] 他学会了把复杂的难的步骤
[23:26] 给解构成更简单的步骤
[23:29] 他也学会了在
[23:31] 现在的步骤
[23:32] 做错的时候选择别的方法
[23:34] 这些而且他非常明确的提到了
[23:37] 这些东西是模型自己学到的
[23:39] 不是人教的
[23:41] 然后最后他还说
[23:43] 呃他们觉得我们正在这个技术的早期
[23:45] 他们认为这技术是可拓展的
[23:47] 而且后续会有很多很多的技术迭代突破
[23:52] 这大概就是 open i 在这篇就是 blog post
[23:54] 以及在欧万发布时给出来的所有信息
[23:57] 预训练加 sft
[23:59] 其实这快思考其实有限的是人类的智商
[24:01] 是吧
[24:02] 我可以这么简单的理解吗
[24:03] 他其实是智力提升
[24:05] 对我觉得就是如果从现在看的话
[24:07] 其实预训练
[24:08] 更多的是说你教会了模型很多
[24:10] 就是关于世界的知识
[24:12] 以及教会他的说
[24:13] 你有这些就是思维的一些模式也好
[24:15] 或者说你知道一些
[24:16] 很多这些世界上的一些各种信息也好
[24:19] 更相对于是就是吸收整个信息
[24:21] 以及同时就是
[24:23] 储备各种就是可能有用的思维模式的
[24:26] 这种模板
[24:26] 我觉得可能
[24:27] 现在用现在理解
[24:29] 或者预训练可能是在做这样的一件事情
[24:32] 嗯那强化学习呢
[24:34] 强化学习其实可以看两段
[24:36] 一段是像在
[24:37] rhf 也就是之前就是我们做这种就是
[24:39] 聊天机器人这个阶段
[24:40] 以及现在的就是
[24:42] o1这样子就是推理模型阶段
[24:44] 其实他的目标都还是挺一致的
[24:46] 叫做说我们已经有了这样一个
[24:48] 非常大的一个
[24:50] 就是数知识库
[24:52] 他储存了非常多的就是
[24:53] 不管说是网上大家的各种就是
[24:56] 事实
[24:56] 事实信息啊
[24:57] 或者说就是各种就是推理的知识的
[24:59] 就是模板也好
[25:01] 然后但是
[25:02] 我们的目标是让他用来做某件事情
[25:05] 然后在做聊天机器人的时候
[25:07] 我们的目标是让他能够作为一个非常
[25:09] 友好同时没有杀伤性的
[25:11] 一个就是能陪我们聊天的机器人
[25:14] 然后在推理了吗
[25:15] 我们就希望他能够
[25:16] 解决某一个就是非常复杂的问题
[25:19] 然后我们用强化学习的方法
[25:21] 就像我们刚刚说的
[25:21] 就是强化学习他更多的是我们
[25:23] 告诉他要去做什么
[25:25] 而且我们告诉他他做的好不好
[25:27] 模型会自己
[25:28] 也通过各种尝试的方法找出哦
[25:30] 我其实该这么做啊
[25:31] 我该这么做
[25:31] 我该那么做
[25:32] 这样子
[25:33] 然后其实我们可以看就是说强化学习
