[00:03] Hello 大家好,我是小骏
[00:04] 2026年,大模型战争全面升级,揭开了第二幕
[09:56] 我觉得这是它非常核心的一个产品的逻辑
[09:59] 所以后面我们直接就把
[10:02] 把我们的模型
[10:04] 就是其实memo vr flash
[10:05] 当时并没有做很多针对训练的训练
[10:07] 给它接到opencode里边去
[10:09] 甚至把我们最近训练的一个很小很小的一个
[10:13] 端册的3B模型进去训练
[10:15] 发现在这一套很复杂的skateboard
[10:18] 或者说agent的框架情况下
[10:21] 它依然能做那些
[10:23] 我自己认为不可能是一个非常小的模型
[10:26] 能够做出来的事情
[10:28] 所以这是我第一次感受到就是
[10:31] 原来一个非常复杂的一套
[10:33] agent框架设计
[10:35] 它是能够弥补非常多模型能力的短板
[10:38] 然后当然了
[10:41] 我觉得这是opencode本身
[10:43] 它这个框架的一个
[10:45] 相较于cloudcode的一个差异化的优势
[10:49] 但是其实对于如果说我们要去追求
[10:53] 你怎么在不同的这个skateboard框架下去
[10:59] 模型都有一个
[11:01] 超预期的非常稳定的表现
[11:04] 那么就回到了另外一个命题
[11:07] 就是当你有非常多
[11:12] 现在其实是市场上的agent框架非常丰富
[11:15] cloudcode opencode
[11:17] keylogode opencode等等
[11:19] 当你面临这么多很复杂的agent框架的时候
[11:23] 你怎么让你的模型
[11:24] 在不同框架上都有一个
[11:26] 非常稳定和超预期的表现
[11:28] 然后你怎么让你的后续链的范式
[11:30] 对应与之做适配和迁移
[11:33] 然后就是我们在这个事的context的冲击下
[11:37] 快速的去思考第二个问题
[11:39] 然后所以我们对应的整个后续链范式
[11:42] 就要从所谓的chart到agent这样的一个迁移
[11:47] 所以你对opencloud的认知发生了一个非常大的变化
[11:51] 这个是在春节期间发生的
[11:53] 对
[11:54] 为什么开始是抵触的呢
[11:56] 我觉得如果要追求非常
[11:59] 顶尖的编程的体验
[12:03] 对code的体验
[12:05] 就是哪怕是当下
[12:07] 哪怕是当下
[12:08] 也是cloud code加cloud ops4.6是最好的
[12:12] 所以如果你是在这样的一个终局去思考的话
[12:16] 就其他的任何agent框架
[12:18] 其实确实都可以忽略掉
[12:20] 但是
[12:23] 但是一个问题是
[12:26] code它是一个
[12:28] 泛化性非常强的一个场景
[12:32] 就是你针对它去做了非常多agent的设计也好
[12:36] 或者说模型的训练也好
[12:38] 它都是有价值的
[12:39] 但并不代表说
[12:41] 它这个泛化性能保证你在非code的场景
[12:44] 能够做到非常高的准确率和完成度
[12:50] 所以我觉得
[12:52] 我老板虽然也会用code来做一些非code的东西
[12:56] 但是我并没有期待说
[12:58] 它在这套框架上能给我一个很高的完成度
[13:01] 因为我知道我会去帮它补充这套框架不具备的一些短板
[13:07] 但是我去用opencloud的时候
[13:09] 我觉得我不用考虑这些
[13:11] 它完全在agent框架本身就去弥补掉了很多模型的短板
[13:17] 我能理解opencloud是让coding的能力泛化出来的一个产品吗
[13:22] 它在很多设计逻辑上
[13:25] 比如说它有更多的
[13:28] message的channel
[13:29] 比如说它有更自主的一些
[13:33] 比如说像地址任务 心跳任务
[13:35] 然后这些更适合日常场景
[13:39] 因为你写代码你通常不会需要一个心跳任务吧
[13:43] 然后但是如果你是日常生活
[13:46] 你心跳任务就很关键
[13:48] 它确实有很多框架的设计去为了让它去适应更好的日常的任务
[13:54] 但是我觉得它也没有去丢弃掉说
[13:57] 一个好的agent的框架本身的一些最基本的特点
[14:01] 这些最基本特点我觉得后面是被Cloud Code给吸纳进去的
[14:05] 就比如说它的持久化的一个记忆
[14:08] Cloud Code之前是它的记忆还是for
[14:11] 它的整个记忆系统设计还是for软件工程的
[14:14] 就比如说它会在session内
[14:16] 可能session快满的时候
[14:18] 我会有一个压缩的动作
[14:19] 然后把它记忆进去
[14:21] 然后我在完成任务的时候
[14:22] 根据我的plan可能会有一些记忆的动作
[14:25] 然后保证我过程中会有记忆进去的动作
[14:27] 然后在我跨session的时候
[14:29] 它的context是共享是更好的
[14:31] 所以你能看到Cloud Code它的所有的agent框架设计
[14:34] 其实都是非常的for软件工程的
[14:37] 就怎么去更好写好代码
[14:40] 但是Open Cloud它的设计之初我觉得是借鉴的思想
[14:45] 但是它更想的是它怎么更好端端端的去完成所有的任务
[14:49] 并且怎么去弥补当下模型在端端端完成任务上的短板
[14:54] 然后去设计的
[14:55] 所以像这种持久化
[14:57] 它记忆到会不会这种你能通过一个更好的remote的界面
[15:04] 能够去操控它
[15:05] 然后等等这些所以很好的设计
[15:08] 会不会陆续这一两个月完全被Cloud Code给吸纳进去了
[15:13] 我觉得这也是一个双向的一个触动
[15:15] 因为这些设计其实它对于编程或者说泛编程
[15:19] 泛编程就是指可以通过编程去完成一些
[15:22] 看似跟代码无关的任务
[15:25] 然后它是有帮助的
[15:27] 对
[15:28] 但它背后是模型能力的提升吗
[15:31] 它激发了中层的模型的上限
[15:34] 它激发中层模型的上限
[15:36] 就可能我们如果没有这么一套很复杂的一锦楼框架
[15:40] 可能中层的模型它达不到近似于Cloud的Sunlight或Ops的水平
[15:45] 但是你借助了这样一个非常好的一锦楼框架
[15:48] 那么你就能在绝大部分的场景除了那种非常难的
[15:53] 需要长程任务的或者说真的需要
[15:55] 我称为演员的任务
[15:57] 就是严肃编程
[15:59] 就是比如说写算子优化
[16:01] 就算是严肃编程
[16:03] 对
[16:04] 然后像这种场景的话
[16:05] 它确实可能距离顶端的模型还有差异
[16:08] 但是在绝大部分的生活的场景
[16:10] 或说只需要借助代码去提效的场景
[16:14] 那么其实这样一套新的一种框架
[16:18] 再加上一个中层的模型
[16:20] 中层就是可能在85%的任务上
[16:25] 能够达到跟Cloud的Sunlight一样水平的任务
[16:27] 那么其实它借助这样一个框架
[16:30] 已经能发挥非常大的作用
[16:32] 我听过一种说法就是
[16:34] 他觉得OpenCloud如果是看作一个壳
[16:37] 它释放了现在比较强的模型的能力
[16:40] 是一个最好的壳
[16:42] 这个模型就是Cloud的OPPO 4.6
[16:44] 其实我觉得你的整个表述不认可这个观念对吗
[16:47] 认可认可
[16:49] 我觉得它的上限一定是Cloud的4.6 Ops带来的
[16:54] 就包括我在跟它
[16:56] 高强度合作的那一周
[17:01] 我只用Cloud的4.6 Ops
[17:04] 因为只有它能给我带来惊艳的感受
[17:07] 但是当我用Cloud的4.6 Ops
[17:11] 沉淀下来那一堆经验
[17:15] 那些不管是skills
[17:17] 还是在Edges.md一边的一些
[17:20] 关于它怎么
[17:21] 我甚至自己去改了它的整个Edges的架构设计
[17:25] 因为它是开源的
[17:27] 所以你可以自己改
[17:28] 这也是Cloud的另外一个弊端
[17:30] 它的整个Edges的架构设计是个黑盒
[17:32] 这样黑盒就导致你
[17:34] 你肯定改不了它的记忆系统
[17:36] 你也改不了它的整个Edges的workflow
[17:39] 但是因为Open Cloud它太open了
[17:43] 你可以自己尝试去改
[17:45] 比如说我会让它自己去帮我设计一个重新的Memory系统
[17:49] 我会让它
[17:50] 我觉得它现在
[17:52] 当时二点几版本的那个Multi-agent的
[17:54] 它的整个逻辑
[17:56] 我认为是很混乱的
[17:57] 然后我自己去让它给我设计
[17:59] 新的Multi-agent的系统
[18:01] 我自己可以去改我所有的这个源码
[18:03] 就这样的一种
[18:04] 这种原生的这种可操纵性
[18:07] 给我的那种冲击感是很大的
[18:09] 但这些事情基本上只有Cloud Office 4.6才能改
[18:12] 但我让Cloud Office 4.6给我改好过后
[18:15] 这套框架本身是很好用了过后
[18:17] OK
[18:18] 我再切换到Sunhead
[18:22] 再切换到国内的一些模型
[18:24] 就是我们当时正在训的VR Pro
[18:27] 我就觉得它就非常强大了
[18:30] 所以这也是我为什么觉得
[18:32] 顶尖的模型
[18:33] 应该跟顶尖的这种agent的框架
[18:35] 是共同的往前去进步
[18:38] 或者说
[18:39] 这也是我最近对
[18:41] 所谓的自学习
[18:43] 以及反正前段时间
[18:45] 有很多很火的这个概念的一个思考
[18:48] 就是我在这个事情上
[18:49] 是第一次感受到了一个
[18:54] agent的自学习到底是怎么个发生的
[18:57] 就大概一个发生的途径就是说
[19:00] 你确实需要这个模型本身
[19:03] 跟你这个agent的架构本身
[19:05] 同步的往前走
[19:08] 然后模型在进步的时候
[19:10] 就不管是通过强化学习训练
[19:13] 或其他训练方式在进步的时候
[19:15] 它其实也是在去改变你的整套agent的框架
[19:21] 这个agent的框架包含
[19:24] 它送给模型的静态的信息
[19:27] 这些静态的信息
[19:28] 比如说memory就是静态的信息
[19:30] 只要你写死了
[19:31] 哪些东西应该送到
[19:33] 起一个新的session的时候
[19:35] 你应该送到模型里边去
[19:37] 或者我们叫skateboard吧
[19:38] 这个东西其实是
[19:40] 在训练过程中应该是变化的
[19:42] 还有一些动态的信息
[19:43] 动态的信息包含你整个agent的
[19:46] 本身的这个架构的设计
[19:49] 对
[19:50] 然后我觉得针对不同的场景
[19:52] 就比如说
[19:53] calcode的这种for软件工程的场景
[19:56] 和其他比如说做金融分析等等其他场景
[20:02] 我觉得它的agent的架构的设计会有差异的
[20:05] 然后你怎么在提升模型能力的同时
[20:08] 再去提升你的整个agent的框架的
[20:11] 跟这个模型的一个适配程度
[20:14] 或者说一个泛化能力
[20:16] 对
[20:17] 然后这是我现在思考的自学习
[20:20] 你说的这个智能体的框架agent的框架
[20:23] 是不是就是我们理解的产品
[20:25] 不是
[20:26] 它跟产品差异蛮大的
[20:27] 怎么理解这个agent的框架
[20:29] 产品跟agent之间的边界
[20:31] 现在我不知道怎么去界定
[20:33] 它有点模糊
[20:35] 对
[20:36] 就是我觉得产品可以定义成是说
[20:40] 你直接人交互能感受到那一层的东西
[20:44] 但agent的框架它确实是有在去定义你的交互层
[20:49] 但是它同时又在去定义
[20:52] 你怎么跟模型沟通那一层
[20:55] 对
[20:56] 然后它甚至能知道模型能力的长板短板
[21:00] 然后它能知道怎么去更好做调度
[21:04] 就比如说for成本优化的调度
[21:07] 它相当于是一个中间层
[21:10] 人和模型之间的中间层
[21:12] 对
[21:13] 然后这个中间层它可以做的非常的厚重
[21:16] 然后反而那个前端的UI展示它是最薄的一层
[21:20] 它已经不是很关键了
[21:21] 对
[21:22] 所以open cloud其实是展示了智能体的这个框架可以怎么做
[21:26] 对
[21:27] 这个框架的想象空间非常大
[21:29] 以前有人做过吗
[21:30] 其实cloud code它一直是一套很复杂的agent框架
[21:34] 只是因为它是黑盒
[21:36] 所以我们不知道它怎么设计的
[21:38] open cloud是开源的
[21:40] 所以你知道它是怎么设计的
[21:41] 然后并且你可以去改它
[21:43] 就改它这个事是非常激发人的创造力的
[21:48] 你知道它框架怎么设计的
[21:50] 你让它去改
[21:51] 你自己限列一个新的框架出来
[21:53] 你可以给它限列一个新的框架出来
[21:55] 这是为什么open cloud从二年级版本
[21:58] 我当时用它的时候
[21:59] 我自己觉得它并不好用
[22:00] 所以我花了好几天时间去改它
[22:02] 到三年级版本
[22:05] 就三月十多号的版本已经非常易用
[22:08] 就你基本上基于三年级后的版本
[22:12] 接一个还不错的模型
[22:15] 你都会觉得它很强大
[22:17] 而不是只有借靠的模型
[22:18] 你会觉得它很强大
[22:19] 就是因为它整个agent的架构
[22:21] 受一堆人开发者也好
[22:25] 或者说本身像我这种
[22:27] 并不是属于是一开始这个框架的开发者
[22:33] 只是使用者我都能去改进它
[22:36] 我服务我自己的场景去做改进和优化
[22:38] 所以我觉得这是这个
[22:41] 或者说这是开源agent框架本身的价值和意义
[22:46] 在你高强度的那一周
[22:48] 就是跟opencloud交互的那一周
[22:50] 你消耗了多少美金的oppa4.6
[22:53] 第一天反正就是快一千块钱
[22:55] 一千刀
[22:56] 对
[22:57] 因为大概用了四五个小时
[22:59] 然后我中途疯狂也会切
[23:02] 因为它太贵了
[23:03] 然后我会切Sunlight
[23:04] 但是我发现真不行
[23:06] 然后我就又只能去用ops
[23:09] 然后只有ops能带来那种经验感
[23:12] 但后边
[23:13] 但现在慢慢慢慢逐渐我发现不是这样了
[23:17] 就是因为它带给我经验感的那些东西发生在变化
[23:24] 我觉得人的信心真的是非常强的
[23:27] 我第一天感受到很惊艳的东西
[23:29] 我第二天立马觉得不惊艳
[23:31] 我刚跟你讲的时候
[23:32] 我都觉得我刚刚讲的第二三天的东西
[23:34] 我怎么觉得这么boring
[23:36] 但它确实是我三天发生的事情
[23:38] 当下我确实觉得很惊艳
[23:41] 那现在我自己也觉得不惊艳了
[23:43] 因为你是一个很优秀的人
[23:46] 很优秀的框架能力是非常强的
[23:49] 所以我现在已经可能让ops帮我把我的已经框架给打造好过后
[23:56] 然后让我经验的事情就越来越少了
[23:58] 所以我现在觉得反而缺乏的是
[24:00] 第一个是想象力
[24:02] 就是我要疯狂去想
[24:03] 还有什么事情它做不了
[24:05] 然后第二个就是
[24:08] 我怎么去
[24:10] 当它这些
[24:11] 那些能做的事情都能做的时候
[24:12] 我怎么去优化它的成本
[24:14] 优化它的速度
[24:16] 我就在考虑这些事情了
[24:18] 这些说的所有的发生都是在春节期间发生的
[24:21] 我觉得大量的思考是在那个时间发生的
[24:24] 但是我觉得一个人通常是薄弱的
[24:31] 或者说你还是会有自己的认知的一个探索
[24:36] 就你探索到
[24:37] 虽然我那几天高度兴奋
[24:39] 兴奋到我觉得
[24:40] 我在群里面给大家发号
[24:43] 说强烈推荐大家去使用
[24:45] 但没有人搭理我
[24:46] 明天在过年了
[24:47] 对
[24:48] 大家确实在陪家人
[24:50] 然后我也不希望打了大家
[24:52] 所以我都说强烈推荐
[24:54] 然后后面过半年回来
[24:56] 我发现真正用的人是很少的
[24:58] 因为大家对新奇事物这种
[25:00] 尤其我真的觉得它有点玄幻
[25:02] 玄幻
[25:03] 对就是不太适合
[25:05] 就不像不忍tech
[25:06] 对大家会觉得故意玄幻的东西太不真实了
[25:09] 我也是这个感觉
[25:10] 所以你就不想去接触它
[25:12] 然后所以
[25:15] 一开始推动是蛮难的
[25:17] 然后但是我觉得
[25:19] 第二天我觉得不行了
[25:21] 就是我觉得必须让大家去用
[25:23] 然后OK
[25:24] 我就给大家下了一个指令
[25:26] 我就说
[25:27] 如果第二天opencloud对话次数不超过100轮的人
[25:33] 可以直接quit
[25:34] 但是我为了促进这个事情
[25:35] 前面做了非常多的
[25:37] 比如说
[25:38] 因为大家那会opencloud用整个部署期
[25:40] 还是需要几个小时的时间
[25:42] 我觉得没有必要大家
[25:43] 所有人都去花这么多时间
[25:45] 去折腾一个充满bug的一套
[25:49] 其实也没什么价值的一些事情
[25:52] 然后所以就买了几台mac mini
[25:54] 然后把它部署起来
[25:55] 然后把它
[25:57] 把大家都拉到这几个不同opencloud的群
[26:02] 让大家去分不同方向
[26:04] 强制在这个方向上
[26:06] 在大群里面
[26:07] 在一个非洲群里面
[26:09] 然后聊
[26:10] 然后为什么要在大群里面聊
[26:12] 就是因为个人的想象力真的是局限
[26:15] 但是当你看到别人用opencloud
[26:18] 居然能干成这个事情的时候
[26:20] 你就会激发你自己的想象力
[26:22] 所以我觉得大家想象力是一个成绩的作用
[26:25] 然后所以当我说这句话的时候
[26:29] 其实我觉得
[26:31] 我没有想过说第二天
[26:33] 有人对话次数没超过100
[26:35] 我真的会把他
[26:36] 我没有这个想法
[26:38] 没有这样的人是吗
[26:39] 因为我没有最终去考核
[26:42] 你没有办法验证这个事情
[26:43] 我有办法验证
[26:44] 但是我觉得验不验证不关键
[26:46] 我只是想给大家表达一种
[26:48] 一种态度是
[26:50] OK你不用
[26:51] 你可能真的要落后了
[26:53] 对
[26:54] 所以我第二天没有去
[26:55] 因为中途有人过来问我
[26:57] 那个CC你怎么去考核你的
[27:01] 对对对
[27:03] 我跟他们说
[27:04] 我说你们用就行了
[27:05] 我说我有我的考核方式
[27:07] 其实我的考核方式就是我不会考核
[27:09] 我只希望大家用起来就行了
[27:11] 然后所以那两天
[27:14] 春节回来过后两天
[27:15] 整个团队的人就在一天到晚
[27:17] 感觉不像在上班
[27:18] 就在群里边
[27:20] 那个这个
[27:23] 躁动
[27:24] 对可以叫躁动
[27:25] 就是你看别人能完成这个事情
[27:27] 让你也很想玩
[27:28] 然后大家在群里边
[27:29] 就是那个群消息
[27:30] 我只要十分钟不看
[27:31] 就9999加
[27:32] 那种
[27:33] 但也没有这么夸张
[27:34] 就是就很多
[27:35] 就大家一块在群里边玩
[27:36] 玩得非常happy
[27:38] 它是一个非常happy的一个旅程
[27:39] 一点都不残酷
[27:41] 就真的很好玩
[27:43] 然后OK
[27:44] 那么玩了两天下午
[27:46] 我后来发现
[27:47] 哇这个事这么好玩
[27:48] 那怎么办了
[27:49] 那搞啊
[27:50] 就所有人心目中想的是
[27:52] 那OK我要怎么去借助一个这么好的
[27:55] 一种框架去提升模型的能力
[27:57] 同时我怎么让我的模型去改变
[27:59] 现在的一种框架
[28:01] 就马上进入到这样的一个研究方式里边去
[28:04] 所以其实一旦进入这样一个研究方式
[28:07] 以及我刚才讲的
[28:09] 我们有Calculator的这种
[28:11] 其实在绝大部分场景
[28:13] 就是表现输出更稳定的这样一套框架
[28:15] 虽然它是黑猴
[28:16] 我们不知道
[28:17] 但它确实不管是for研究也好
[28:19] forcoding也好
[28:20] 它确实是一个比OpenCore更稳定的一个框架
[28:23] 更好的一个框架
[28:24] 然后那么你再在这个框架里边去激发
[28:27] 你的去扩展
[28:30] 延展你的研究的想法
[28:32] 并且让它帮你实现
[28:34] 然后并且快速的去训练
[28:37] 启动模型训练
[28:38] 这个事就会大幅的加速
[28:41] 所以我觉得
[28:42] 我们基本上可能在三四周的时间
[28:45] 做完了以前可能三四十周的时间
[28:48] 才能做到的事情
[28:50] 就在研究上
[28:51] 我觉得这个事儿
[28:54] 是我后边
[28:56] 而真的我们被这个框架点燃热情
[29:01] 到最后它产生价值
[29:04] 这个过程中
[29:05] 我觉得我从群体智能上
[29:08] 我觉得我的成长和收获会更大
[29:10] 对
[29:11] 在你们那个非常躁动的群里
[29:13] 探索的最好玩的几个任务是什么呀
[29:16] 现在听起来都不好玩
[29:17] 但当时的冲击感都很强
[29:19] 最让你有冲击的
[29:21] 最让我有冲击的还是
[29:22] 大家一块去改那个框架本身
[29:24] 就是你想的怎么去改进那个框架本身
[29:27] 因为当时那个框架真的问题很多
[29:29] 还有就是它的memory
[29:31] 真的做的非常的
[29:33] 智能
[29:34] 因为我们在一个群里边
[29:37] 大概有近一百个人
[29:39] 然后
[29:40] 然后
[29:41] 我觉得那个飞输了整个的
[29:44] message的channel
[29:45] 应该还是做的不是那么智能的
[29:48] 它至少没有那么把人跟人之间区分的很好
[29:52] 但是它的整个聊天的上下文
[29:54] 它对每个人的画像的把控
[29:57] 然后以及每个人的memory
[30:00] 我觉得都没有创的太厉害
[30:02] 就可用度非常高
[30:05] 我觉得这个是
[30:08] 模型能力强的表现
[30:10] 这个跟agent框架没有关系
[30:12] 因为在一个群里边
[30:13] 你想一百多个人在那聊天
[30:15] 然后一百多个人都有不同的背景
[30:17] 一百多个人都在疯狂改它
[30:19] 然后都没有把这个模型给改坏
[30:22] 都没有把这套agent框架给改坏
[30:25] 然后它还变得非常智能
[30:27] 我觉得这也是我第一次感受到
[30:29] 你怎么用一群人的智慧去提升一个事情
[30:33] 本身
[30:35] 然后
[30:36] 如果说我自己单一的去改这个agent框架
[30:39] 但是别人感受不到这个框架的智能
[30:43] 我觉得它好像差点意思
[30:45] 或者说这个框架本身的进步的速度是非常慢的
[30:48] 但如果一群人去改进
[30:50] 它进步速度非常快的
[30:51] 可能几个小时就跌了一轮
[30:53] 类似这种感觉
[30:55] 所以你会觉得
[30:57] 所以我们第三天第四天
[31:00] 把它接到我们自己的模型上去用的时候
[31:02] 发现
[31:03] 怎么也挺好用的
[31:05] 怎么还没迅就跟call的差不多了
[31:07] 当时第三四天就差不多了
[31:09] 就是这种感觉了
