[00:00] 就是蒋曾国藩从20多岁是一个儒家清流
[08:49] 那时候怎么看当时的创业环境
[08:51] 你当时有试水什么的东西吗
[08:53] 没有
[08:53] 当时是参加过一些就是学校里面的什么科创的这种比赛
[08:58] 挑战杯什么之类的
[08:59] 是那种就是科创类的竞赛
[09:01] 就是反正你有一个好的想法
[09:02] 然后你把它实现出来
[09:04] 是科创类的
[09:06] 然后
[09:07] 但是没有做什么就是可能事实上的创业的这种动作吧
[09:10] 然后
[09:11] 当时我上大学那会儿是
[09:13] 2011年到15年这个时间段嘛
[09:17] 然后就发现就是那个会儿最火的是
[09:20] 就是移动互联网
[09:21] 这块我记得就是15年那会儿就是外卖
[09:25] 然后之前是
[09:26] 11年那会儿可能是校内网
[09:28] 然后中间有一些什么那个打车呀什么之类的
[09:32] 对
[09:32] 然后就是过网单车到一轮轨迹
[09:35] 然后我当时也感觉就是这事挺厉害的
[09:39] 但我觉得跟我好像没啥关系
[09:41] 对
[09:41] 那时候就隐约感觉到
[09:44] 这个就是大机会
[09:45] 然后但是跟我没关系
[09:47] 为什么跟你没关系
[09:48] 我太年轻了
[09:49] 然后我这个啥也不懂啥也不会
[09:51] 然后现在做这件事的人都是可能
[09:56] 20多岁30来岁的人
[09:58] 可能是现在的
[09:59] 就当时那波的主力的创业者嘛
[10:01] 那时候最红的创业者90后创业者是戴威
[10:06] 16 17了
[10:08] 对对当时就开始读博了
[10:10] 我记得我读本科那会主要就是
[10:15] 王兴
[10:15] 星哥
[10:16] 还有陈伟
[10:17] 他们这一拨就是
[10:19] 对我觉得
[10:20] 对我就感觉这个应该不是我的机会
[10:22] 你觉得不一样在哪里
[10:25] 我觉得就还是一代人肯定有一代人机会
[10:28] 对人家累积了之前学了很多东西也做了很多事
[10:32] 所以到这个机会出现的时候
[10:34] 就是他的机会轮到他了
[10:36] 但是我觉得我们
[10:38] 其实我就那时候我就是大学生是还不懂
[10:40] 他不会
[10:41] 那肯定
[10:43] 想干也没法干啊也不可能
[10:45] 我也不可能赢
[10:46] 不可能能达到这个机会
[10:48] 所以当时就开始去想
[10:50] 就是说那创业到底做什么
[10:52] 然后
[10:54] 很巧
[10:55] 大四的时候
[10:57] 其实我大三的时候选专业嘛
[10:59] 我就选到那个
[11:00] 威纳电子还是秉承着想做集成电路的这个什么
[11:03] 初心啊
[11:04] 然后去选到威纳电子了
[11:05] 那是选专业不是换专业是吧
[11:07] 不是对他电子系是这样他是说到那个大三的时候
[11:10] 你可以选一个方向
[11:12] 然后我当时就选威纳电子了
[11:14] 然后
[11:15] 选完之后发现
[11:19] 今天学那些跟物理很多物理啊材料啊
[11:23] 固体物理什么之类的
[11:24] 就感觉
[11:25] 学的不是很带劲
[11:29] 然后呢
[11:31] 磁吸硬背的东西特别多我都发现
[11:33] 然后同时我也感觉这事拿芯片创业
[11:36] 那时候还没有国产替代的这一波
[11:39] 然后我就感觉拿
[11:40] 芯片创业又
[11:42] 看不到路径
[11:43] 看不到路径
[11:44] 所以
[11:45] 很巧就是
[11:47] 在你那时候还是想要创业的
[11:49] 想对是想的对
[11:51] 然后
[11:52] 也很巧就大四那会
[11:54] 正好有一个
[11:55] 正好有一个那个那个机会
[11:57] 就是
[11:58] 当时是商汤
[12:00] 在那个汤老师
[12:01] 在学校有一个小范围的交流
[12:03] 汤小欧老师
[12:06] 然后呢我就是有机会去跟汤老师
[12:09] 交流了一下
[12:10] 然后
[12:11] 那个就知道
[12:12] 做深度学习那是我第一次就知道深度学习
[12:15] 之前只是就听说过Deep Learning
[12:17] 这是我第一次好好的去
[12:20] 去认知这个概念
[12:21] 然后那个汤老师也特别好
[12:23] 给了我一个实习的机会我啥也不会
[12:26] 就是
[12:26] 从来没去过神经网络
[12:28] 什么也没有
[12:29] 然后我就
[12:31] 我就大四的那个
[12:33] 大四的应该是那个那个
[12:36] 12月份吧
[12:37] 25年的年初
[12:38] 23年底
[12:39] 我就去商汤开始了
[12:40] 实习
[12:41] 训第一个神经网络
[12:42] 就是开始接触AI
[12:44] 相当于是
[12:44] 当时这个吸引的是什么呢
[12:46] 既然你都没有接触过为什么
[12:48] 汤老师说了你马上就去了
[12:50] 对对对
[12:50] 这之前还有一个事
[12:52] 这之前还有一个事就是
[12:53] 大三暑假的时候呢
[12:54] 其实
[12:55] 我是有一个机会
[12:57] 就是说去那个
[12:58] 当时散服有一个
[13:01] 那个暑期实习的项目
[13:03] 叫UGVR
[13:04] 然后我就去
[13:05] 我就去那边去实习了
[13:06] 那当时去实习的时候还不是做的AI这个方向
[13:09] 做了些什么图像啊
[13:11] 医疗什么之类的
[13:12] 对
[13:12] 也挺杂的
[13:14] 然后
[13:15] 做完之后呢
[13:16] 那个
[13:17] 不知道为什么
[13:18] 到现在我也不知道为什么
[13:19] 然后那老师反正没给我写强推
[13:21] 然后就导致呢
[13:23] 我想上学校
[13:24] 就是反正他给我写推荐信的都没上去
[13:28] 然后最后当时就是有几个
[13:29] 我没让他写的
[13:30] 因为我觉得这些学校应该都很轻松很随意的
[13:33] 那包括
[13:35] UNC UCSD
[13:37] 还有一两个吧
[13:38] 反正就最后
[13:39] 就这几个
[13:40] 没让他写的
[13:41] 然后给了我offer
[13:43] 当时那段时间呢也是一个算是
[13:46] 小打击吧
[13:46] 第五期
[13:47] 对是个小打击
[13:49] 然后当时就开始反思
[13:51] 反思我这哪做错了
[13:53] 哪做错了然后
[13:55] 然后也看了很多书
[13:56] 我一直也比较喜欢看书
[13:57] 看什么书
[13:58] 因为喜欢看历史
[13:59] 看历史
[14:00] 那段时间呢我就是
[14:02] 反正看了很多吧
[14:03] 但是我记得住的现在记得住的就是看到曾国藩
[14:07] 曾国藩就是
[14:08] 就是讲曾国藩
[14:09] 这个
[14:10] 从20多岁是一个
[14:12] 这个
[14:12] 儒家清流
[14:14] 怎么到40岁变成一个
[14:17] 就是特别有这个事工的一个人
[14:20] 就是他特别会在
[14:21] 这个现实世界当中去带领
[14:23] 这个一个打的团队
[14:24] 而且当那个时候的困难也很多啊
[14:26] 他一个汉人
[14:27] 在
[14:28] 这个
[14:29] 清朝末年
[14:30] 然后抵抗太平天国
[14:31] 就在这
[14:32] 然后去
[14:33] 这个建立军队
[14:34] 是吧他训练军
[14:35] 一个
[14:36] 一个文人出身啊
[14:37] 他要去训练军队
[14:38] 他要怎么从一个儒家清流啊
[14:39] 变成了一个
[14:41] 这样的一个人
[14:42] 然后他当时自己的一个
[14:44] 当然也是那本书对他的一个描述
[14:46] 他的一个顿悟就是说
[14:47] 他发现最重要的还是
[14:49] 当你要做一件事的时候
[14:51] 你到底能有
[14:52] 能拉动多少资源
[14:53] 有多少人
[14:54] 多少资源愿意跟你一块
[14:56] 去做这件事
[14:57] 并且最后把这事做成
[14:58] 他发现这件事是最重要的
[15:00] 你当时是申请学校不如意为什么去看管理
[15:03] 怎么调度军队
[15:05] 不不不
[15:06] 其实就是因为
[15:07] 我大概有这样一个习惯吧就是
[15:09] 就其实从
[15:11] 很小的时候就是这样
[15:12] 就是有一些比如说
[15:14] 那个不顺利
[15:15] 对吧我就反思
[15:17] 但反思我得需要那个
[15:19] 思考的来源吧
[15:20] 养料啊
[15:21] 然后我就是看书
[15:23] 对反正就是看传记啊看历史啊
[15:25] 就乱七八糟看
[15:26] 然后呢就是通过看别人
[15:28] 在可能一些困难一些什么的
[15:30] 给自己
[15:31] 来点灵感吧
[15:32] 来点灵感
[15:33] 然后
[15:34] 所以那时候就刚好看到他
[15:36] 刚好看到他
[15:38] 然后我都发现
[15:39] 这事儿
[15:40] 值得参考
[15:41] 值得参考就是说
[15:43] 这个虽然我这件事没做好
[15:46] 失败了
[15:46] 就像他
[15:47] 发现他这个儒家清流这条路走不下去了
[15:50] 对但是他还是就是说能够去
[15:53] 建立另外一个
[15:54] 这个轨迹
[15:56] 这轨迹就是说我要去
[15:58] 真正的去在这个现实世界当中去做事
[16:01] 然后呢去拿到结果
[16:03] 对这事很重要
[16:04] 然后我就觉得这跟我想的其实是一样的
[16:07] 因为我本来就想创业嘛
[16:09] 只不过可能
[16:09] 那我在学校这条路上确实
[16:11] 去不了最好的学校了
[16:12] 那就是现在儒家清流做不了了
[16:14] 对吧
[16:15] 那我能干点啥
[16:17] 那我就觉得我要去
[16:19] 真正的从底层思考我未来到底要做什么
[16:22] 然后以及
[16:23] 我要为做这件事做什么准备
[16:26] 所以我当时我也就是系统性的开始看
[16:29] 各种各样的方向
[16:31] 然后看到
[16:32] 唐老师
[16:33] 给我的这机会
[16:34] 然后我觉得这事好
[16:36] 这事应该是有前途的
[16:37] 然后我就去尝试一下
[16:38] 然后
[16:41] 然后
[16:42] 而且一去
[16:43] 我就训练了这个神经网络
[16:44] 我发现这是一个事
[16:46] 太有魔力了
[16:47] 因为我发现这个
[16:49] 计算机可以从数据当中自己
[16:52] 提炼规律
[16:53] 那你说我们编程序
[16:55] 因为我大学也编程序嘛
[16:56] 编程序干啥
[16:57] 编程序很多时候就是人提炼规律啊
[16:59] 提炼规律写成一些规则语句
[17:00] if else什么之类的
[17:02] 现在不用人了
[17:03] 就机器学习
[17:05] 神经网络
[17:06] 自己从数据当中提炼规律
[17:08] 他把这些规律里边的所谓的if else
[17:11] 变成了自己神经网络当中的参数
[17:13] 这过程全都自动了
[17:15] 我觉得这事太强了
[17:17] 太牛了
[17:17] 我得做这个
[17:18] 然后当时我觉得人未来应该
[17:21] 不太会用
[17:22] 就很少会用编程了
[17:24] 然后我现在都很记得
[17:26] 当时那场景是我
[17:27] 有一天从那个
[17:29] 实习那地方出来
[17:31] 那实习地方的创业大厦就是
[17:32] 清华科技园里边的一栋楼
[17:34] 然后我就在想
[17:36] 当时训练完这个神经网络的一些感受
[17:38] 然后骑着自行车
[17:39] 然后突然就是想到这个
[17:41] 我感觉这以后
[17:42] 这个神经网络可以代替人
[17:44] 在数据当中发现规律
[17:46] 这个事太牛了
[17:47] 我以后得做这个
[17:49] 所以那个时候我就想好
[17:50] 我就一定要做这个事了
[17:53] 这是我怎么开始做AI的
[17:55] 也是那个时候其实
[17:57] 我特别感谢
[17:59] 到现在我就特别感谢
[18:00] 上苍的这种文化
[18:02] 其实给了我们这种
[18:04] 从来没有接触过的
[18:05] 还好学校也没接触过的
[18:07] 人家给你一个机会
[18:08] 可以去学习
[18:10] 你在上苍多久
[18:11] 小半年吧
[18:12] 四五个月
[18:14] 汤老师同时offer了几个人这样的机会
[18:17] 当时我汤老师肯定是跟
[18:20] 大概当时十几个人
[18:21] 然后这十几个人反正汤老师都是比较open的
[18:24] 想来都可以来
[18:25] 然后我就比较主动
[18:27] 然后去当时我是跟着那个
[18:30] 李成
[18:31] 鲁淑
[18:31] 然后去做的
[18:33] 当时我还记得我当时做的叫
[18:35] Post Estimation
[18:36] 就是预测人的这些
[18:38] 肩膀啊胳膊肘啊这些关节点
[18:40] 就做了这么一个
[18:42] 后来看这个工作本身
[18:44] 我当时我也没做出啥
[18:45] 但是是我的一个
[18:47] 就是开始做AI这个起点了
[18:48] 所以其实你
[18:50] 不管你
[18:50] 从小到大的这个成长轨迹
[18:52] 第一个重要的节点是
[18:54] 六年级到初中的时候
[18:56] 就是你第一次发现
[18:57] 我可能在考试上是有天赋的
[18:59] 因为我通过很短的时间就拿到了
[19:02] 年级前三的这个结果
[19:04] 然后第二次一个很重要的点是
[19:06] 你觉得从大学身体
[19:08] 博士学校不是足够好
[19:10] 然后让你转向了
[19:11] 你觉得可能学术这样的路不适合我
[19:13] 你想转向那个一条更现实的路是吗
[19:16] 对我觉得上听华那个
[19:18] 那个当时保护上听华也很重要
[19:20] 就是
[19:22] 哎我觉得这个
[19:23] 因为我
[19:24] 其实高中的时候我从来没想过我能上听华
[19:26] 从来没想过
[19:27] 从来没想过
[19:28] 它不是一个目标是吗
[19:29] 我觉得我很难上
[19:31] 就是
[19:32] 高考我不可能
[19:33] 我的那个语文和英语都不太好
[19:36] 然后
[19:37] 有多不好
[19:39] 多不好
[19:40] 哎呀多不好
[19:42] 对想起有一次考试
[19:43] 就是我一卷语文是一卷二卷嘛
[19:46] 一卷就是什么那个阅读理解呀之类的
[19:49] 二卷是作文嘛
[19:51] 一卷二卷分加起来可能跟
[19:53] 考的比较好的一卷的分一样高
[19:56] 就是满分可能150
[19:58] 我两个加起来
[19:59] 就100来分
[20:00] OK
[20:01] 然后别人一卷可能就90多分
[20:04] 然后
[20:05] 那物理竞赛对你很重要
[20:07] 很重要啊
[20:07] 我觉得当时我就这么想
[20:09] 就是物理竞赛要是考不上
[20:11] 考不上清华
[20:12] 那我就高考呗
[20:12] 高考我就说那我能上个
[20:15] 能上个四川大学
[20:17] 厦门大学这样的我都已经挺开心的了
[20:19] 啊
[20:20] 对
[20:20] 然后所以其实我觉得上清华那个是挺重要的
[20:23] 那
[20:24] 他就是当时我虽然没有这个目标但是我确实是很勤奋
[20:27] 可能别人就刷题嘛那时候就刷题
[20:29] 然后别人刷一遍的题
[20:31] 我刷两遍
[20:32] 别人刷两遍的我刷四遍
[20:34] 啊
[20:34] 就是这样然后总结归纳
[20:36] 我觉得其实我
[20:37] 去考试也好呀
[20:39] 啊就是就是应付这些东西我主要的
[20:42] 方法论就是
[20:44] 就是
[20:44] 归纳总结
[20:46] 就这些东西
[20:47] 嗯
[20:48] 上大学之后的那次小打击我觉得是
[20:52] 就是我觉得让我更
[20:54] 就是我从来也没有想过走学术的这条路线
[20:57] 但让我从更底层的去有一个机会
[21:00] 去想我应该去怎么选方向
[21:02] 然后我应该怎么去推进
[21:04] 我想去做这件事
[21:05] 我应该把什么当成目标
[21:06] 啊而不是把
[21:07] 一些表面的东西当成目标
[21:09] 在当时
[21:10] 清华
[21:11] 是杨志林也是你们同学
[21:12] 是
[21:13] 他是一个什么样的人
[21:14] 他就是高不可攀的大神啊这是
[21:17] 真的就是他一直都很厉害然后
[21:19] 他应该也是接近特长的一个
[21:21] 我觉得在清华里边也
[21:23] 我觉得也比较普通吧就是
[21:25] 年级在电子系就是大神也很多
[21:27] 我也就是Top
[21:29] 谈不上Top
[21:30] 百分之三四十
[21:31] 成绩大概就是这样
[21:33] 对
[21:34] 然后
[21:35] 呃
[21:35] 直林那一直都是很厉害的啊
[21:37] 我觉得他本科的时候就已经做了特别
[21:39] 特别棒的工作了
[21:41] 他的厉害是来自于什么呀
[21:43] 是天赋吗
[21:44] 我觉得是天才吧
[21:45] 我觉得确实清华里边就是说上了清华之后就是更
[21:49] 让自己见识到什么叫真正的天赋了
[21:51] 就是
[21:51] 就是
[21:52] 学物力竞赛的时候
[21:53] 已经见识到天赋了
[21:55] 就是我们学校有几个
[21:56] 最后他们拿全国一龙奖那几个人我觉得真的是天赋
[21:59] 就是
[22:00] 人家做一遍就会了
[22:01] 我反正就是
[22:03] 口不明白
[22:04] 对
[22:05] 然后然后上了清华之后更是这样
[22:07] 我们那一届
[22:08] 我们系我们班
[22:10] 有一个是韩沈
[22:12] 这可能那个叫韩衍俊
[22:13] 他就是更神的就是
[22:15] 就是他写的作业
[22:17] 我看他写的作业我就想学习一下我都看不太懂
[22:20] 我得换一个人作业抄一下
[22:21] 或者是参考一下
[22:23] 对
[22:23] 然后就我确实就是当时就感觉到就是这个这个
[22:26] 就是这个清华里边真的大神太多了所以我在清华里边就是
[22:30] 就是学到了就还是要
[22:32] 要谦虚吧
[22:33] 嗯要要要要低调啊
[22:35] 对因为确实是天外有天人的
[22:37] 天外有人
[22:37] 嗯
[22:38] 那个像直领那像
[22:39] 韩衍俊啊都是我觉得那一届里面最最杰出的
[22:44] 学生了
[22:44] 直领跟你是一届吗
[22:46] 是一届的
[22:47] 哦他也是一一级的
[22:48] 对对对
[22:49] 你大二头发白了是为啥
[22:52] 哎呀这个也其实也不知道就是有可能是当时那个
[22:56] 我比较喜欢搞科创吧就是参加挑战杯
[22:59] 然后
[23:01] 挑战杯反正当时那还行就是
[23:04] 学校里边拿了个一等奖
[23:06] 然后
[23:07] 然后弄完挑战杯有一天我发现
[23:09] 这个
[23:10] 就是这个位置
[23:11] 然后有有有有几根白头发了
[23:14] 啊
[23:15] 我说啊这可能是内的吧
[23:16] 然后我已经没管他了
[23:17] 然后后来反正就就出现就是越来越多
[23:20] 就这样
[23:21] 嗯
[23:22] 对所以好多人都觉得哎这个季洋你是不是染的啊其实不是染的啊
[23:27] 就是自然白的
[23:28] 你后来就没有动过了
[23:30] 啊没没管
[23:31] 我发现杨志玲跟你是有那个轨迹交错的
[23:34] 那你在上当实习的时候严俊杰当时在吗
[23:36] 我跟他不是很熟
[23:39] 我当时是就是我的直接的mentor是鲁叔嘛
[23:43] 然后的话当时我认识了曹旭东
[23:46] 啊
[23:46] 啊旭东
[23:47] 对
[23:47] 然后这也是后来我去
[23:49] 罗门塔
[23:49] 罗门塔的原因之一
[23:51] 他们当时在上当是一个什么样的状态啊
[23:54] 呃
[23:55] 旭东当时在上当应该已经是
[23:57] 就是那个就是核心的就是技术leader
[24:01] 啊之一了啊然后呢
[24:03] 当时做就是人脸这块的嘛
[24:05] 啊我
[24:06] 就是因为当时我就是个小实习生
[24:08] 其实跟人家也没有
[24:10] 特别多的直接的这个交流
[24:12] 但是感觉到就是说
[24:14] 当时的那一拨人
[24:16] 其实都很强
[24:17] 然后呢
[24:18] 那个那个而且他们不仅仅是说学术上
[24:20] 有自己的造诣
[24:21] 而且是在工程和
[24:23] 产品化上面也很强
[24:25] 啊对带团队组织管理上面都很强
[24:28] 他不是那种纯
[24:30] 学术型的
[24:31] 其实我也是当时有这个认知所以后来
[24:33] 回国的时候跟许东
[24:35] 聊的比较不快
[24:36] 后来去美国然后因为他做自动驾驶
[24:39] 我在
[24:39] VIMO也做自动驾驶嘛
[24:40] 然后就更熟了
[24:41] 有更多的共同语言了
[24:42] 后来你博士是为什么选择了就是CV这个方向
[24:46] 是在商堂实习完之后你开始
[24:48] 对就是在商堂
[24:49] 对对对就是在商堂实习的时候就做CV嘛
[24:51] 当时我也是想好
[24:53] 那个去
[24:54] 去UIC呢我就做这个方向
[24:55] 如果要是
[24:56] 我找不到合适的实验室或者老师
[24:59] 啊带我的话我就quit
[25:01] 都不读了
[25:02] 啊
[25:02] 对但很幸运反正到那之后我就到那之前吧我就开始看
[25:06] 我这个能找哪些学长
[25:08] 然后能联系一下
[25:10] 对然后
[25:11] 当时就找了那个孙晨
[25:13] 晨哥
[25:14] 然后我提前就联系他
[25:15] 他是
[25:16] 精华妻子班的
[25:18] 然后现在在那个布朗大学做教授
[25:21] 然后
[25:22] 那个我后来我就通过晨哥
[25:24] 孙晨然后进到那个
[25:26] RAM的实验室
[25:29] 为什么三年半毕
[25:31] 这也有归纳总结吧
[25:33] 归纳总结
[25:35] 这是人生重要的事
[25:36] 首先我觉得就当时我先给自己定的目标就我觉得
[25:41] 我觉得既然我已经
[25:42] 想好我
[25:43] 我要为了我的产业我要进入产业界
[25:46] 那读博士其实我是一个阶段
[25:49] 他是为了完成我的某些训练
[25:51] 而这个训练完成的时间肯定是越快越好的
[25:54] 那所以我就想那我能不能四年毕业
[25:57] 可能正常在美国读博士五年
[25:59] 可能甚至六年
[26:00] 我给自己定个目标我说四年
