[00:02] 我觉得是可能是有史以来
[02:45] 都能有些更好的结合
[02:46] 所以对我来说
[02:48] 也是个新的挑战
[02:48] 因为大模型这个战场
[02:50] 还是很残酷的
[02:51] 所以可能自己
[02:53] 也需要加倍努力
[02:54] 是谁邀请你参与街跃工作的
[02:57] 这个事情是怎么开始的
[02:59] 街跃其实从最早的策划角度
[03:00] 我觉得就有参与进来
[03:02] 那早期其实
[03:04] 应该还是23年
[03:05] 街跃是23年4月份成立的
[03:07] 所以在最早期就有深度参与
[03:10] 因为从当时身份角度来看
[03:12] 大模型是一个
[03:14] 第一其实是符合我自己
[03:15] 对AI的一个很终极的追求
[03:17] 对所谓这个技术的终极的AGI的
[03:20] 这样的一个使命的想法
[03:22] 同时这个技术的变革
[03:23] 也需要一个好的平台来去承接
[03:26] 所以最早我就有深度参与到这个平台里
[03:29] 那现在正式加入的话
[03:31] 对我来说也是一个很高兴的一个节点吧
[03:33] 你们当时的故事能不能跟我们讲讲
[03:36] 对最早期我觉得可能
[03:38] 当时其实我就是还是OpenAI的这个ChairGPT
[03:41] 引爆了大家对于大语言模型的
[03:43] 这样的一个技术的变革吧
[03:45] 22年底
[03:46] 22年底
[03:47] 其实我们在这个行业内
[03:48] 其实也都一直很关注
[03:49] 其实从GPT1开始
[03:51] 从OpenAI
[03:52] 甚至说从OpenAI创立开始吧
[03:53] 我们都也都很关注
[03:54] 其实项目矿水科技
[03:56] 本质上是大家叫
[03:58] 在
[03:59] 计算机世界领域
[04:00] 所以我们当时做的模型是
[04:02] 第一天就是深度学习的
[04:04] 所以其实技术上是非常非常延续的
[04:06] 但那个时候可能从模型的尺寸
[04:08] 和参数量都比较小
[04:09] 那语言模型其实在我们传统意义上来讲
[04:13] 是另外一个赛道
[04:14] 因为当我在学习AI的时候
[04:16] 当时AI分得非常非常细
[04:18] CV就是Computer Vision是一个领域
[04:20] 然后比如Data Mining是一个领域
[04:23] 自然语言处理是一个领域
[04:24] 每个领域都有各自的赛道
[04:26] 那我自己其实是对于跟物理世界结合
[04:29] 感兴趣
[04:30] 所以选择了CV这个赛道
[04:32] 所以在OpenAI真正CHP推出之后
[04:36] 我觉得一开始我对这个技术判断认为
[04:38] 可能还是一个局部的变革吧
[04:42] 认为它可能更多是跟语言相关
[04:44] 你开始觉得它是一个局部的变革
[04:46] 对
[04:48] 但后来其实深度体验完CHPT
[04:51] 包括我们也内部跟很多技术的核心的骨干
[04:54] 也做了很多讨论之后
[04:55] 觉得这还是一个
[04:57] 对于整个AI底层技术的一个变革
[04:59] 所以可能作为一个AI创业者
[05:01] 是不得不入局的一场战斗吧
[05:05] 多长时间发现这个事情
[05:07] 可能半年时间吧
[05:08] 因为坦诚讲
[05:09] 当我们在看那个机会的时候
[05:11] 我觉得我们都会从两个角度来评估
[05:13] 第一是技术上是不是最本质的技术变革
[05:16] 第二是从商业上是不是我们自己的赛道
[05:19] 如果第一个判断是非常非常确定的
[05:23] 可能第二个坦诚讲
[05:24] 我们在看大语言模型的时候
[05:26] 因为大语言模型
[05:27] 比如它的数据
[05:29] 它的模型参数量
[05:31] 和它所需要的算力
[05:32] 其实原则上讲
[05:33] 可能更适合已有的
[05:35] 比如像互联网公司
[05:36] 这些科技巨头来做
[05:38] 但是后来会发现
[05:39] 它其实是对于各个领域
[05:41] 包括语言
[05:42] 包括现在我们已经很熟悉的多模态
[05:44] 甚至是包含从现在比较热的物理
[05:47] 巨声这些
[05:48] 可能都是最底层的技术
[05:50] 那我们可能就不得不去
[05:52] 参与到这样一场大的变革当中
[05:55] 当时有想过在矿石的体系里做吗
[05:57] 而且为什么叫接约星辰
[05:59] 第一个我自己感觉就是
[06:01] 矿石自身的路径是非常清晰的
[06:04] 当时我们其实是认为
[06:06] 用AI跟IoT的硬件去做结合
[06:08] 所以那个时候我们的
[06:10] 不管是技术路线
[06:11] 整个组织的构建
[06:12] 其实构建的是一个
[06:13] 偏软硬结合的这样一套组织形态
[06:15] 我们的商业模式是面向弊端的
[06:17] 所以这些
[06:18] 我觉得已经经过十多年的时间
[06:20] 已经非常的清晰
[06:21] 某种程度上甚至说固化
[06:23] 所以它的这样一套组织
[06:25] 是并不适合去做一个
[06:27] 可能还是非常早期
[06:29] 非常大投入这样的一次
[06:31] 全新的创业的
[06:32] 就是这种research驱动的一个创业
[06:34] 对
[06:35] 就research驱动我们很熟悉
[06:36] 其实矿石早期的时候就是
[06:38] 我们其实当时人才密度是非常非常高
[06:40] 然后也非常research驱动
[06:43] 后来当一个组织成长
[06:45] 相当于从一个婴儿到一个少年
[06:48] 他其实可能已经选定了
[06:49] 自己的专业和方向的时候
[06:51] 我觉得可能本质上
[06:53] 大模型会是一个新的
[06:55] 一个诞生的一个组织和一个平台
[06:57] 所以最早期我们的想法是
[06:59] 矿石能跟积月有非常好的合作的
[07:02] 后来可能一步一步发展到今天
[07:04] 那我觉得也很高兴
[07:05] 能够正式加入到积月这里面
[07:07] 来推动它下一步的发展
[07:10] 然后积月本身这个名字的由来
[07:13] 其实它的英文叫step function
[07:16] 就是其实是一个积月函数
[07:18] 积月函数其实是代表着
[07:20] 从量变到质变
[07:23] 同时其实积月也代表着非线性了
[07:25] 其实在这个深度学习的
[07:27] 这样一张网络里面
[07:28] 其实它一个很重要的技术特性
[07:30] 就是非线性
[07:31] 就是很多非线性的叠加
[07:32] 所以某种意义上非线性的叠加
[07:34] 也是一种智能的本质
[07:36] 所以我觉得积月这个词非常好
[07:38] 那星辰可能也代表
[07:40] 其实做AI的人其实都得
[07:42] 还是有点星辰大海的追求的
[07:45] 所以这个星辰
[07:46] 我觉得我们也是很喜欢这个名字
[07:48] 从Day1做积月的时候
[07:49] 你们对于这家公司的预期是什么样的
[07:52] 我觉得可能两个预期吧
[07:53] 到今天我觉得也比较的一致
[07:55] 第一个我觉得还是要成为中国的
[07:57] 基础模型领域的最优秀的公司之一吧
[08:01] 就是Foundation Model做积模这件事情
[08:04] 是积月从第一天Day1的使命
[08:06] 这个也一直没有变
[08:08] 所以为了这个使命
[08:09] 其实它也需要从人才
[08:12] 从它的商业模型
[08:13] 包括从它的资本角度都要能去匹配
[08:16] 所以积模我觉得
[08:17] 探索整个智能的上限
[08:19] 是它的最重要的使命
[08:21] 其次我觉得也是希望
[08:22] 它是一个商业上闭环的公司
[08:24] 所以从积月最早期看的话
[08:26] 它所选择的商业化的商业模式
[08:28] 其实可能也都比较清晰
[08:30] 一直是AI或者大模型
[08:32] 跟终端的一个结合吧
[08:34] 所以不管是2B还是2C
[08:36] 都是在围绕着这种
[08:37] 终端这样一个大的应用场景来看
[08:40] 你现在给人感觉身份比较多
[08:42] 就是除了是积月的董事长
[08:44] 你在去年10月25日也出任了
[08:46] 千里科技的董事长
[08:47] 能不能梳理一下你这些多重的身份
[08:49] 以及这些身份之间的关联
[08:51] 对 因为早期大家可能比较熟知的是
[08:54] 矿石的创始人 联合创始人
[08:56] 现在我其实已经不再矿石任职了
[08:59] 所以现在的核心两个身份
[09:01] 就是千里的董事长和积月的董事长
[09:04] 所以这两个我觉得也是一个
[09:06] 相辅相成的一个角色吧
[09:08] 因为千里本质上是
[09:10] 关注AI跟车的结合
[09:12] 而所有车其实AI里面
[09:14] 最大的一个终端和一个赛道
[09:16] 而在千里的相关的
[09:18] 不管是制驾 制舱
[09:19] 以及为了robotaxi的这些领域里面
[09:21] 其实都需要有一个
[09:22] 很强大的大脑和模型来支撑
[09:24] 而这样一个大脑其实就是积月
[09:26] 所以我想可能千里可能所构建的
[09:29] 是一个更加核心的赛道
[09:31] 这个以车为核心
[09:32] 这样一个AI智能化的
[09:33] 这样的一个应用场景和一个赛道
[09:36] 而积月可能更像是它后面所支撑
[09:38] 它的基础模型大脑
[09:40] 和AI的底层能力
[09:41] 大概是这么一个关系
[09:43] 我的技术的大部分的底层的belief
[09:46] 是《来源》这本书
[09:47] 这本书其实本质上是以脑科学
[09:50] 和模拟上的进化科学为核心基础的
[09:54] 所以我总觉得
[09:55] 在AI这个领域里面
[09:56] 我认为还是人类要比较谦卑
[09:58] 所以本质上
[09:59] 我觉得对大脑的更多的结构
[10:01] 可能是最重要的那个牵引
[10:04] 所以为什么其实你看大脑的皮层的眼睛
[10:07] 这里面一定会要从早期大脑的发育
[10:11] 到新大脑皮层
[10:12] 从真正叫物理空间的生存
[10:16] 再到可能高阶的语言和推理
[10:19] 所以这些部分我觉得都不能跳过的
[10:21] 所以这是为什么我们也一直认为
[10:24] AI跟物理空间的结合
[10:26] 是走向最终AI AGI的一个必经之路
[10:29] 那你想做的具想化的是一个什么样的东西呢
[10:31] 是一个机器人
[10:32] 最终肯定是个机器人
[10:34] 但是这机器人其实太复杂了
[10:37] 机器人其实就像重构一个新的物种一样
[10:41] 所以它这里面所需要的
[10:42] 不管是大脑的神经方面的脑的结构
[10:46] 到未来的各种跟硬件的结合等等
[10:50] 我觉得包括这些传感器 硬件设备
[10:52] 其实需要非常非常多的核心基础
[10:53] 所以这样一个过程
[10:55] 我觉得需要把它拆解成不同的步骤
[10:58] 所以这是为什么第一
[10:59] 我们认为接约需要完成大脑的构建
[11:01] 同时大脑构建里面可能需要从像车
[11:04] 甚至像手机这样的终端开始做起
[11:06] 最终一步一步它就构建到
[11:08] 下一个更全新的一个计算平台
[11:10] 我们姑且叫它居生吧
[11:12] 但是我觉得需要一步一步来
[11:14] 对 我看到你们好像还在孵化一个终端公司
[11:17] 对这件事情是怎么规划的
[11:18] 终端公司的话就是就像我们刚讲的
[11:20] 我们的大战略其实也很显性
[11:21] 就是AI跟终端的结合
[11:23] 终端这里面我认为其实
[11:25] 大家之前讲的叫人车家
[11:27] 就是人还是以手机和穿戴式为核心的
[11:31] 然后车就是以车为重心
[11:33] 家可能原来是家用IoT
[11:35] 未来这个家可能会是一个
[11:37] 我自己认为未来巨生的核心场景
[11:39] 是在家这个场景下
[11:41] 所以如果看人车家的话
[11:43] 我们总体是认为车是我们第一个的切口
[11:46] 同时我们会希望跟一些更多的
[11:48] 手持和穿戴式的一些消费电子产品
[11:50] 作为我们第二个希望能跟大模型结合
[11:53] 的点
[11:54] 所以这个也是我们在千里和在街越
[11:56] 希望去做商业化的两个大的方向
[11:58] 上面说的是你的身份问题
[12:00] 那接下来我们聊聊你接下来要做的事情
[12:02] 你觉得在你看来
[12:03] 你觉得接下来要做的事情
[12:05] 心得真诚最困难的是什么
[12:07] 对最困难的是
[12:09] 我觉得这其实是一个
[12:10] 链条很长的一次创业和创新
[12:13] 就是它确实竞争是
[12:16] 我觉得可能是有史以来
[12:18] 最激烈的一次竞争的科技竞争
[12:21] 有史以来最激烈
[12:22] 对
[12:23] 这里面其实从不同的维度
[12:25] 比如第一从它的人才的人才密度
[12:27] 基本上全球最聪明人都在这样一个
[12:29] 科技的这样的一个比拼当中
[12:31] 第二它所需要的资源
[12:33] 这个资源其实包含资金
[12:35] 它其实是在整个的R&D里面
[12:37] 投入的资金的规模强度
[12:40] 可能都是历史上最高的
[12:42] 以及包含它的商业化的
[12:44] 可能你可以说在AI的
[12:46] 这样一个商业化的路径中
[12:48] 每个行业每个场景都会被变革
[12:50] 但是哪些会先哪些会后
[12:52] 这个节奏其实也是有高度不确定性的
[12:54] 所以它其实是一个高度竞争
[12:57] 极大的资源
[12:59] 同时在商业化上极度不确定的
[13:01] 这样一个竞争
[13:02] 所以我觉得不管是对我们
[13:04] 还是对所有的公司
[13:06] 不管是多大的科技巨头
[13:08] 我认为这场战斗都是非常挑战的
[13:10] 链条有多长
[13:11] 对 链条我觉得首先它
[13:13] 其实涉及到首先是一个所谓的
[13:15] 原节点的技术创新
[13:17] 所以它技术本身在快速演进
[13:19] 就像它的建一个房子
[13:20] 就像它的底层其实一直在
[13:22] 在变革
[13:24] 所以其实你在上面去搭它的产品
[13:26] 甚至说商业化
[13:27] 但发现技术往往一变化
[13:29] 可能上面很多都要被推倒重来
[13:31] 所以首先它的链条长
[13:33] 是源于它的原始技术
[13:35] 带到技术的产品化
[13:37] 带到商业化
[13:38] 带到整个的商业模式闭环
[13:40] 以及它还在快速的变化当中
[13:42] 所以这是一个
[13:43] 第一个就是链条长
[13:45] 第二个我觉得就是速度非常非常快
[13:47] 在链条这么长的一个竞争中
[13:49] 你觉得如果要抓原点的话
[13:51] 抓最重要的那个是
[13:52] 你自己应该抓什么
[13:53] 我觉得得抓两个点
[13:54] 就第一个点就是
[13:56] 在一个很长链条
[13:57] 以及很快变化里面
[13:59] 第一个点我觉得还是要抓
[14:00] 本质的技术竞争力
[14:02] 因为这个技术是这波变革的
[14:04] 唯一的变量
[14:06] 所以在这个变量里
[14:07] 如果你不能找到自己的
[14:08] 核心领先的声位
[14:09] 当这个领先声位既可以是说
[14:11] 是一个全面的领先
[14:13] 也可以是一个局部领先
[14:15] 但在技术上如果没有这个
[14:17] 用英文的它叫edge
[14:18] 就是没有这个
[14:20] 真正的你的
[14:21] 你的场面
[14:22] 没有你的长板
[14:23] 没有你的差异化
[14:24] 那我觉得后面的所有的
[14:25] 去构建东西都是没有基础的
[14:27] 第二个我觉得要抓的是商业模式
[14:30] 这个商业模式其实我自己感觉
[14:31] 其实不用特别复杂化
[14:33] 就是其实本账是做排除法
[14:35] 就是你的商业模式
[14:36] 不应该去做那些
[14:37] 可能投入产出肯定不成立的
[14:40] 什么呢
[14:41] 肯定不成立
[14:42] 比如说如果做基模公司
[14:44] 然后同时做2B
[14:45] 我觉得就肯定不成立
[14:46] 为什么
[14:47] 因为基模的投入非常大
[14:49] 而2B的整个商业化变现的
[14:51] 周期和它真正能够达到的
[14:54] 作为一家创新公司
[14:56] 一家新公司能够去达到的
[14:58] 这个收入和利润的上限都比较有限
[15:01] 算不过账来
[15:02] 对是投入产出会比较难
[15:05] 这是一个不能选的商业模式
[15:08] 还有别的吗
[15:09] 这还有一个模式就是
[15:11] 如果做基模
[15:12] 我前提刚才都是说做基模
[15:14] 就基模代表了你一年
[15:16] 至少我觉得可能
[15:18] 30亿人民币以上的投入
[15:20] 这已经是
[15:21] 一个非常高效的一个点
[15:23] 而且这个投入至少
[15:24] 会未来维持3到5年时间
[15:26] 所以基本上至少是一个
[15:27] 基础研发投入的100亿人民币
[15:29] 这已经是一个非常高效的投入
[15:32] 看各大厂其实的投入
[15:34] 是远高于这个
[15:35] 但这已经是个天文数字了
[15:38] 以这个为投入的情况下
[15:40] 我认为同时做C端的
[15:42] 纯软件的应用也是不成立
[15:45] 因为这里确实是已有的互联网
[15:47] 这些大厂的非常擅长的领域
[15:49] 他们有用户有数据
[15:50] 同时本身已经构建出
[15:52] 这样一个好的
[15:53] 那叫数据飞轮
[15:55] 因为有场景的话
[15:56] 其实最终很多模型的性能的
[15:58] 最终的决胜因素还是数据
[16:01] 数据是用用户场景来决定
[16:03] 所以这样的一些飞轮
[16:04] 创业公司不是完全没有机会
[16:06] 但也非常非常难
[16:07] 而且今天基础模型做的应用
[16:09] 似乎都找不到数据飞轮
[16:11] 也找不到网络效应
[16:13] 所以你排除了
[16:14] 一家基础模型公司
[16:15] 去做2C的软件产品
[16:17] 和它做2B的两种商业模式
[16:19] 那它可以有的是什么呢
[16:21] 我刚才讲的
[16:22] 其实有几个大的前提
[16:24] 第一个是一家创新公司
[16:25] 就已有的这些
[16:27] 已经有自己非常扎实的
[16:28] 应用场景领域的这些大厂
[16:30] 就是它可能会在自己上面
[16:32] 去做非常好的AI升级
[16:33] 那新公司的话
[16:34] 刚才讲到如果做基模
[16:37] 我认为做2B是不成立的
[16:38] 或者是单纯做2B是不成立的
[16:40] 然后如果做基模
[16:42] 单纯做C端的软件型应用
[16:43] 也是不成立的
[16:44] 所以我自己认为
[16:45] 可能也是我们
[16:47] 节约选择的一个路径
[16:48] 我觉得是
[16:49] 还是围绕着
[16:50] 偏软硬结合的场景
[16:52] C端来去做我们的商业化
[16:55] 但在这过程中
[16:56] 可能中间也会做
[16:57] 比较好的2B的一些服务
[16:59] 但最终的场景
[17:00] 应该都是AI加中端这个场景
[17:02] 就是一定要软硬一体
[17:04] 对
[17:05] 为什么软硬一体
[17:06] 是更好的商业模式
[17:07] 软硬一体可能本账
[17:08] 算是个交叉学科吧
[17:10] 就第一我自己认为
[17:11] 在大模型时代
[17:13] 硬件的角色
[17:14] 会变得越来越重要
[17:15] 大家一直在讲agent
[17:16] 其实我觉得未来
[17:17] 很多很多agent
[17:18] 他都会有
[17:19] 会有一些硬件的
[17:20] 本账具体化的载体
[17:21] 所以未来的硬件
[17:23] 更像是一个agent的一个
[17:25] 一个实体化的一个存在
[17:27] 且它未来会
[17:28] 其实是一个AI服务的壁画
[17:30] 所以就硬件
[17:31] 模型软件
[17:32] 本身就是一个
[17:33] 三维一体的东西
[17:35] 第二个硬件
[17:36] 我觉得它还是很难
[17:37] 赢者通吃的
[17:38] 不管我们是看手机领域
[17:40] 还是汽车领域
[17:41] 它还是会有多家的
[17:42] 如果有多家的话
[17:43] 对于创新公司
[17:44] 就有机会上牌桌
[17:46] 就有机会
[17:47] 我觉得可能能成为一个
[17:48] 相对的
[17:49] 具备一定规模化效应的
[17:51] 一个商业化的结果
[17:53] 硬件我能理解一个是车
[17:55] 千里子的事情
[17:56] 然后一个是机器人
[17:58] 那你觉得可以规划的硬件
[17:59] 还有哪些
[18:00] 其实我自己感觉
[18:02] 硬件未来的一些创新品类
[18:04] 会挺多的
[18:06] 就是听行业内的一位前辈讲
[18:10] 我觉得我也比较认可
[18:11] 就是未来可能比如在千万级
[18:13] 这个量级上的创新硬件
[18:15] 可能会挺多的
[18:16] 原来我们可能会比如像手机
[18:18] 或者是
[18:19] 像PC这些
[18:20] 可能是一年十亿这个级别
[18:22] 甚至过亿级别的
[18:23] 这样的一些新的硬件
[18:24] 其他一些硬件
[18:25] 可能更多就是在百万级
[18:27] 但未来AI起这件事
[18:28] 是因为AI本质上
[18:29] 重新定义了交互
[18:31] 所以原来如果比如说
[18:32] 你真的需要有块屏
[18:34] 那你大概逃不过
[18:35] 小一点的叫手机
[18:36] 中等的叫派的
[18:37] 再大一点的PC
[18:38] 对吧
[18:39] 这可能大概就是以屏的尺寸
[18:41] 去定义你的整个的硬件的体系
[18:43] 而未来如果AI的
[18:45] 这样更自然的交互方式
[18:46] 通过语音
[18:47] 通过多模态交互
[18:48] 能够把屏这件事
[18:49] 可能相对释放掉之后
[18:51] 那很多创新的硬件
[18:53] 都可能会有机会
[18:54] 所以我觉得还是会有
[18:55] 很多AI硬件
[18:56] 大家现在可能还没有想到
[18:57] 这里我觉得会有很多
[18:59] 新的机会吧
[19:01] 会是一个AI手机吗
[19:03] 我觉得上来可能不完全
[19:05] 会是个AI手机
[19:06] 我觉得还是得新的东西吧
[19:08] 你怎么看兜包的AI手机啊
[19:10] 我觉得肯定是个很好的尝试
[19:12] 然后我想这可能也是字节
[19:14] 在硬件上的第一步吧
[19:16] 可能后面它也是一个组合群
[19:18] 你觉得在AI时代做硬件
[19:20] 和之前做硬件
[19:21] 会有什么本质的不同吗
[19:22] 比如说其实就是AI来了以后
[19:24] 有几家硬件公司
[19:25] 大家关注比较多
[19:26] 比如说ploud
[19:27] 你觉得它跟之前的
[19:28] 上一代硬件公司
[19:29] 会有什么不一样吗
[19:31] 对我觉得其实
[19:32] 最早雷军雷总其实讲过
[19:34] 就是当年他在做小米手机的时候
[19:36] 讲到一个铁人三项的概念
[19:38] 就是当时讲到硬件软件
[19:40] 和互联网服务
[19:41] 但后来这个铁人三项
[19:43] 也做了一些新的革新
[19:44] 我觉得这一波做AI
[19:46] 其实有点像这个概念
[19:47] 就是硬件软件
[19:48] 和模型
[19:49] 这三件事情其实
[19:51] 会形成一个完整的服务
[19:53] 比方像ploud这些
[19:54] 我觉得是一个非常好的例子
[19:55] ploud其实就是从
[19:56] 解决这样一个
[19:57] 偏录音和办公效率
[19:59] 这样一个具象化场景为切口
[20:02] 所以最终会发现
[20:03] 它的软件和硬件
[20:04] 是为了把这项AI服务
[20:06] 用户体验做得更好
[20:08] 所以我觉得未来
[20:09] 可能很多AI硬件都会是这样
[20:10] 它会切一个很核心的领域
[20:12] 但这个领域里面
[20:13] 模型要很好
[20:14] 最终模型的占比会非常高
[20:16] 就最后因为用户用的
[20:18] 我们叫模型及产品
[20:19] 就是这个模型首先效果得好
[20:21] 同时它有它配套的软件
[20:23] 如果需要它会配套一个
[20:24] 专属的硬件来给它用
[20:26] 就这样的一个定义的理念
[20:28] 可能比较AI native一点
[20:30] 就是真正从AI的视角来定义的
[20:32] 这样的硬件
[20:33] 我觉得会越来越多
[20:34] 那你觉得
[20:35] 节约在训模型的时候
[20:36] 是以什么为目标呢
[20:37] 它是会以
[20:38] 你们要定义的产品为目标
[20:39] 还是以做更大的模型为目标
[20:42] 就是什么是牵引
[20:43] 节约做模型的
[20:44] 我们之前在讲大模型这件事
[20:45] 其实之前Sam Altman
[20:47] 其实也有
[20:48] 在也访谈过
[20:49] 就是说什么叫基础模型
[20:50] 就是比如说3.5比3好在哪
[20:53] 或者4比3.5好在哪
[20:55] 其实你会发现
[20:56] 就是基础模型是发现
[20:57] 会在可能100个领域
[20:58] 每个领域都会好10%
[21:00] 这是基模的这样的推进
[21:02] 所以我觉得在模型侧
[21:03] 我觉得是有两股力量
[21:05] 一个叫推一个叫拉
[21:06] 就推的角度是
[21:07] 是从技术的inside的角度
[21:09] 就是每一代技术
[21:10] 从模仿学习到强化学习
[21:12] 会有技术的变革
[21:13] 这些我觉得可能
[21:14] 在未来三年还是主因
[21:16] 就是还是因为技术
[21:17] 还是主因
[21:18] 还在快速的变化
[21:19] 底层还有很多很多创新
[21:20] 但是我觉得
[21:21] 可能另外一个因素
[21:22] 就是我们所谓的拉这个力量
[21:23] 其实会变得越来越重要
[21:25] 就一定是需要有场景牵引的
[21:27] 因为这种场景定义了你的
[21:28] 举个例子说你的模型的尺寸
[21:30] 不是越大越好的
[21:31] 最后的模型
[21:32] 比如说Gemini Flash
[21:33] 其实也证明
[21:34] 就是说其实肯定
[21:35] 参数量越大越好
[21:37] 但是其实就是
[21:38] 从应用角度的话
[21:39] 其实它的效率
[21:40] 成本
[21:41] 性能
[21:42] 和你真正
[21:43] 对于某些核心领域的
[21:45] 这种专项优化都很重要
[21:47] 所以
[21:48] 当然是一个平衡题
[21:49] 就是我到底需要
[21:51] 基于我的主场景
[21:52] 比如说我们在
[21:53] 终端场景下的话
[21:54] 我们就要做到两点
[21:55] 第一点我们的
[21:56] 基础模型的水平
[21:57] 一定要是世界一流的
[21:58] 但同时我们可能
[21:59] 不会很纠结于说
[22:00] 在某一些单点的
[22:02] 一些benchmark上
[22:03] 说我一定要刷到第一
[22:04] 而是我们更关注
[22:05] 这个模型从架构设计上
[22:07] 是不是能够更适配
[22:08] 我未来一些端子的场景
[22:10] 包括它的成本
[22:11] 和效率怎么样
[22:12] 所以我觉得这个理念
[22:14] 就会很不一样
[22:15] 所以现在大模型公司
[22:16] 都在讲分化
[22:17] 每个公司
[22:18] 就是有不一样的batch
[22:19] 那节约的batch是终端
[22:21] 可以这么简单的说吗
[22:23] 我觉得应该这么讲
[22:24] 首先节约的batch是基模
[22:26] 首先我觉得最大的分化
[22:27] 是做基模和不做基模
[22:29] 谁不做了
[22:30] 反正我们做吧
[22:31] 就谁不做别人不知道
[22:33] 然后这首先是一个大的batch
[22:36] 这个batch我觉得
[22:37] 在未来三年还能坚持下来
[22:39] 其实很难
[22:40] 所以未来三年
[22:41] 你们一定会做基模
[22:42] 会做更大的基模
[22:44] 会探索技术的边界
[22:45] 这个是一定的对吧
[22:47] 而且我们很有信心
[22:48] 我们在未来三年
[22:49] 一定还是能够保持在世界
[22:51] 最一流的基模的
[22:52] 这样一个行列当中
[22:54] 所以这首先是第一个batch
[22:56] 第二个batch就是我们的商业化
[22:57] 我们认为
[22:58] 如果我们的基模
[22:59] 往上去做场景牵引的话
[23:00] 我们就用终端来牵引
[23:02] 我们就是这两个
[23:03] 我们清晰的战略的路径
[23:06] 所以你觉得
[23:07] 节约跟其他人不一样
[23:08] 是想了一条
[23:09] 非常独特的商业化的路
[23:11] 我觉得最重要的
[23:12] 大模型公司都说
[23:13] 自己要做几座大模型对吧
[23:15] 对
[23:16] 那现在看起来的不同
[23:17] 就是商业化的路径是终端
[23:19] 我觉得这有点像是个淘汰赛
[23:21] 最早其实大家讲什么
[23:22] 大模型溜小虎什么的对吧
[23:24] 那现在可能就没有溜价了
[23:25] 慢慢的大家都
[23:27] 可能最早都抱着
[23:28] 通往AGI的这样一个
[23:30] 很美好的想象对吧
[23:32] 后来发现这个路径很残酷
[23:34] 然后需要很多钱对吧
[23:36] 也需要你的人才
[23:37] 没有足够能支撑
[23:38] 所以我觉得
[23:39] 这是一个逐渐进入决赛圈的
[23:41] 这样一个过程
[23:42] 现在到哪个圈了
[23:44] 我感觉现在可能赛程过半吧
[23:47] 你觉得大模型竞赛发展到今天
[23:50] 它的残酷比你想象的多还是少
[23:52] 程度
[23:53] 比当年可能23年
[23:55] 刚刚开始准备做节约的时候
[23:57] 对我觉得还是更残酷的
[23:59] 就是第一点
[24:00] 我觉得速度确实比想象的更快
[24:02] 然后第二大家因为快
