[00:02] 就在京都在鸭川边上
[03:19] 然后另外一个业务方向是在探索一些AI应用的机会
[03:22] 然后中间也尝试过一些产品
[03:25] 最近也是刚刚确定了自己的核心产品
[03:28] 在欧运一个新的Agent的生产力Agent的方向
[03:31] 能不能讲讲你过去的那些工作经历
[03:33] 我基本上算是赶上了移动互联网的黄金时代
[03:38] 所以刚毕业的时候
[03:39] 最开始就是植物宝无限
[03:41] 欧运无限的时期
[03:42] 后来也是比较早期的在字节
[03:44] 中间自己进行过一次创业
[03:46] 后来这个创业结束了之后
[03:48] 又回到了二进宫
[03:49] 回到阿里
[03:50] 待到23年底
[03:51] 可能大家相对比较了解我的
[03:53] 做了VR相机这样一个产品
[03:54] 在那结束之后就出来创办了现在的梦魇之语
[03:57] 你做产品经理做了多少年
[03:59] 十几年
[04:00] 对
[04:01] 至少10年
[04:02] 至少10年的互联网时代的产品经历
[04:05] 对
[04:05] 中间创业那段经历你们分享一下
[04:07] 中间创业的话
[04:09] 我是18年中旬离开的字节
[04:12] 当时创业一开始离开的时候
[04:14] 是想要去做短视频电商
[04:16] 因为我在18年的时候就觉得
[04:18] 短视频它其实
[04:20] 那个时候大家更多还把它看作一个内容平台来看
[04:23] 但当时我就觉得
[04:24] 短视频其实是一种信息媒介的升级
[04:26] 从文字到图片再到短视频
[04:28] 这是人类经历过的三代主流的
[04:30] 信息媒介
[04:31] 如果是一个信息媒介迭代
[04:33] 它就不会只用来做内容做娱乐
[04:35] 比如教育电商
[04:37] 所有的这些东西都会短视频化直播化
[04:40] 这当时我的一个比较大的判断
[04:42] 所以就觉得这个事很大
[04:44] 所以就出来自己创业了
[04:45] 当然因为第一次创业
[04:47] 所以很宏观的判断没什么问题
[04:50] 但是在切入的时候
[04:51] 我觉得切入的方式不好
[04:53] 当时我想我再造一个卖货的抖音出来
[04:56] 所以就其实今天回过头去看看
[04:58] 其实更正确的一个做法是去
[05:00] 做内容
[05:01] 因为用短视频卖货这件事是非常在
[05:04] 短视频平台自身的延长线上
[05:06] 对这个事我们做了一年
[05:07] 后来发现有一些问题
[05:09] 就开始去找一些坦白说
[05:11] 就要要谈谈面对一些转型
[05:13] 在19年初的时候
[05:15] 我看到了一款日本的游戏
[05:18] 叫做早安少年
[05:20] 早安我的少年
[05:20] 英文名叫SEIC
[05:22] 这个东西非常的有情怀了
[05:25] 我当时看到这个东西之后
[05:27] 是我第一次看到Live2D这个技术
[05:30] 被用的比较好
[05:31] Live2D这个技术就是让纸片动起来
[05:34] 这个在游戏行业非常常见
[05:35] 但那个时候是刚刚出来不久
[05:37] 那个游戏特别简单
[05:38] 你遇到了一个你买了一个机器人
[05:40] 这个机器人坏了
[05:42] 因为一些原因
[05:43] 他这个记忆系统出现问题
[05:44] 他就会作为你的助手
[05:46] 在你的手机里
[05:47] 你每天跟他通过一些对话和选择
[05:50] 他会逐渐恢复记忆
[05:51] 恢复一些能力
[05:52] 直到最后由于你的选择不同
[05:54] 会导致这个机器人的性格也会不一样
[05:56] 你戳他的话
[05:56] 他就会做一些动作并且说话
[05:58] 你可以理解为一种Live2D版的汤姆猫
[06:01] 对我看当时就很喜欢
[06:03] 基于这个我们当时做了一个
[06:06] 把这个做成了一个换装系统
[06:07] 我们允许用户自己给自己换装捏脸
[06:11] 做一个这种Live2D的形象
[06:12] 去跟别人连麦社交
[06:15] 这个产品在第二年做的这个产品
[06:17] 其实当时还是做的挺不错的
[06:18] 我们很快就做到了大几万的DAU
[06:22] 可能最高的丰盛数接近10万用户了
[06:24] 就10万DAU了
[06:25] 也有一些用户真的在往里面充钱
[06:27] 因为商业模式也很简单
[06:28] 买皮肤 买装扮
[06:30] 所以当时这个产品我做的时候
[06:33] 还是很开心的
[06:35] 因为我第一次真正的感受到了用户
[06:38] 你知道原来在大厂做产品
[06:40] 你更多看到的是数据
[06:42] 用户在你眼里是很抽象的
[06:44] 坦白说是很抽象
[06:45] 比如说字节做红包这个项目
[06:48] 我看到一天后台新增500万用户
[06:51] 一天有500万新增
[06:52] 很开心 所有人都很兴奋
[06:53] 但其实它只是个数字而已
[06:56] 原因就是那个产品叫原因
[06:57] 我当时创业那个产品叫原因
[06:58] 原因就是元气的元
[07:01] 就是福音的原因
[07:03] 你就会看到这些人真的就很活生生的
[07:05] 在你的QQ群里
[07:06] 每天都非常热情的讨论你的产品
[07:09] 最让我印象深刻的是
[07:11] 当我决定不再进行这次创业的时候
[07:13] 决定把这个产品关掉了
[07:15] 那些用户就自发发起首页的活动
[07:17] 我们那个产品决定夜里12点停服
[07:20] 所有的用户就在群里非常活跃
[07:22] 一起首页一起熬到12点等官服
[07:25] 真的关了服之后
[07:26] 所有人又跑到应用商店里去
[07:28] 写作文来纪念这个产品
[07:31] 这个产品是针对男生还是女生的
[07:33] 女性的
[07:34] 对 这个也很有意思
[07:35] 我觉得我做大部分产品都是个女生做的
[07:38] 对 所以那个时候你会感受到一个活生生的用户
[07:43] 就很活生生
[07:44] 你知道他们每个人多大
[07:45] 年龄多大
[07:46] 他在说些什么
[07:47] 为什么喜欢你
[07:48] 甚至你也知道他每个人捏的形象长啥样
[07:50] 所以在大厂的前面的这些工作的那种感受
[07:54] 和这个段的工作感受在一起
[07:56] 就比较构成了我的一个
[07:58] 产品的底层动力
[08:00] 我觉得我希望能做一些真的让用户感动的产品
[08:04] 当然最终也有数
[08:05] 两者是需要兼得的
[08:08] 对 其实一会也会聊到
[08:09] 很多人也知道我这次创业
[08:11] 其实又做了一款AI的仪女游戏
[08:13] 其实有一个重要的原因
[08:14] 就是上次做原因的情怀的延续
[08:17] 我们又做了一个Live2D的
[08:19] 因为我当时第一次看到早安少年这个产品的时候
[08:22] 我当时脑子里就冒出了一个想法
[08:24] 就真的是19年就冒出一个想法
[08:26] 这东西让人自由对话就好了
[08:28] 它是固定的
[08:29] 你点一下它就会固定出那几句话
[08:31] 它会给几个选择
[08:33] 你选了之后就有一些分支
[08:35] 我当时想这个东西我能随便跟他聊
[08:37] 这多好
[08:38] 所以我出来当时
[08:40] 我这公司成立的第一天
[08:42] 我就开始干仪女游戏这个事情
[08:43] 我们现在做的这个事情
[08:44] 我们做的第一个产品
[08:45] 我们现在内测的新缅这个产品
[08:48] 因为它其实是19年的小时候的想法
[08:51] 我当时就想
[08:52] 我靠 我就当时的一个幻想
[08:54] 居然是真的实现了
[08:55] 原因这个产品后来怎么样了
[08:58] 随着决定关掉公司回到阿里
[09:00] 就把它关闭掉了
[09:01] 为啥要做这个决定
[09:03] 因为当时决定停止创业
[09:05] 有两个核心理由
[09:07] 第一个我觉得最重要的理由
[09:08] 还是自己心力的消耗
[09:10] 坦白说我觉得创业挺消耗心力的
[09:13] 到最后有点困
[09:13] 上次创业到最后挺困惑的
[09:15] 就不知道自己为什么要创业
[09:16] 创了多久
[09:17] 两年多的时间
[09:19] 创到最后很困惑
[09:20] 不知道为什么要创业
[09:21] 你发现自己到底为什么会开始这次创业
[09:25] 我觉得上次真实的内心目的是不纯的
[09:28] 当时是怎么想的
[09:29] 今天回过头去看
[09:30] 我觉得更多就是想证明自己
[09:31] 我觉得我很牛
[09:33] 那个时候我觉得我很牛
[09:34] 所以我觉得我一定能做一个很牛的东西
[09:36] 就出来创业
[09:37] 你会发现很快结果就会直接打你的脸
[09:40] 你不牛
[09:42] 我没有觉得自己很牛
[09:44] 所以做到两年多之后
[09:45] 我发现好像并没有很能证明自己
[09:47] 你当时从阿里出来是一个什么样的状态
[09:50] 你是从阿里出来的
[09:51] 上次是从字节出来的
[09:52] 2018年是从字节出来的
[09:53] 经过阿里和字节之后出来创我业
[09:56] 对 再回到阿里
[09:57] 而且2018年出来的时候
[09:59] 我觉得字节是非常好
[10:00] 那个时候的字节是状态特别好的公司
[10:02] 我没有觉得字节有任何的问题
[10:04] 非常完美的公司
[10:06] 所以当时我要走的时候
[10:08] 我就找陈琳聊
[10:08] 我说我要走了
[10:09] 她就非常不能理解
[10:11] 我就说我要创业
[10:11] 我要干这个那个
[10:12] 她就说你把人招进来
[10:13] 让人在里面搞这个东西
[10:15] 你当时在字节负责什么
[10:17] 我在字节有两段经历
[10:20] 第一段经历是在一个叫做图形图像的部门
[10:23] 这个部门主要的产品是一款相册
[10:25] 叫时光相册
[10:26] 这个产品也已经关停了
[10:27] 它其实就是一个Google Photos类的产品
[10:30] 但实际上这是一个半研究型的部门
[10:32] 早先整个AI的
[10:34] 就AI Lab里面的视觉的部分
[10:35] 实际上是在这个部门
[10:36] 后来才被整合成了自己的AI Lab
[10:39] 当然其实我去字节的原因
[10:40] 就是因为我想去做AI
[10:42] 就是说图形
[10:43] 视觉AI
[10:45] 你去字节是想做AI
[10:46] 对
[10:47] 16年的时候
[10:48] 实际上我很想找一个做
[10:50] 因为16年那个时候
[10:51] 就是上一波
[10:52] 视觉四小龙那个时代
[10:54] CV那个时代刚刚起来
[10:56] 我就很想去看
[10:57] 视觉AI这个事
[10:58] 但是我就想说找一个做C端的公司
[11:01] 因为四小龙都是做2B的
[11:02] 对
[11:03] 结果我就找到了字节
[11:05] 当时有一个部门在招人
[11:06] 是用CV做一些什么图像特效
[11:09] 相册工具这样的事情
[11:10] 所以我就去了
[11:11] 对
[11:12] 所以我去字节其实是为了做图像AI去的
[11:15] 不是去做
[11:16] 当时其实主要的产品是金人头条
[11:18] 我并不是因为金人头条去的
[11:19] 后来因为这个部门在做了很长时间
[11:23] 后来抖音出现了
[11:24] 就整个字节决定
[11:26] 抖音短视频
[11:27] 就把很多的部门做了整合
[11:29] 包括图形图像的部门做了整合
[11:31] 研究部门被合并成了AI Lab
[11:33] 这边里面的很多人也都拆开了
[11:35] 我后来调到了金人头条这个大团队
[11:39] 但坦白说我一天金人头条的产品都没做过
[11:42] 对
[11:42] 我调过去之后就开始做专项
[11:44] 我先发起了一个红包的项目
[11:47] 春节的增长的项目
[11:48] 做专项做了几个月之后
[11:51] 18年春节之后
[11:53] 我又发起了一个字节的小商务品开的项目
[11:55] 小零品做到一半
[11:57] 就创业了
[11:58] 所以有两段经历
[11:59] 大概第一段就是在做图形图像相关的事情
[12:02] 第二段实际上都是在做一些0-1的大专项
[12:06] 字节待了多久
[12:07] 不到两年
[12:08] 之前在阿里呢
[12:09] 也差不多不到两年
[12:11] 所以你之前大概工作了差不多四年
[12:13] 步步更早的时间
[12:15] 我在一个师兄的SaaS公司
[12:17] 碰到以前
[12:17] 那个时期是微博刚出来不久的时候
[12:20] 你还做过SaaS
[12:22] 现在叫SaaS了
[12:23] 那个时候没有这个概念
[12:24] 对那个产品就是一个管理工具
[12:26] 那种
[12:27] 可以在很多个平台同时多发微博
[12:29] 收集一些素材
[12:30] 就帮你自动去帮你找图找素材
[12:33] 帮你拼一些微博定时发送什么批量发送
[12:36] 批量回私信
[12:38] 就这样的一个社交媒体管理工具
[12:39] 那是很早年12年的时候的事情
[12:41] 所以你是12年开始工作的
[12:43] 对对对
[12:43] SaaS公司叫什么
[12:45] 这个公司叫孔明
[12:46] 叫孔明科技
[12:47] 但我待的时间确实不久
[12:48] 待的时间没有很久
[12:49] 所以是从孔明后来到珠宝
[12:51] 再到字节
[12:53] 再到创业
[12:53] 很能折腾
[12:54] 所以你每段经历都不长
[12:55] 每段经历都不差
[12:57] 而且我记得你好像是学AI相关的专业的
[12:59] 我是基层机器的
[13:00] 我是清华基层机器的
[13:01] 对
[13:01] 但我学的确实不是AI
[13:03] 我在差不多到大三的时候就决定不coding了
[13:07] 就已经决定我不走coding这条路
[13:08] 你要做产品
[13:09] 其实没决定要做产品
[13:10] 我只是觉得我走不了这条路了
[13:12] 为什么
[13:14] 就有一次我看Azos有一个视频挺有名的
[13:16] 他说他原来是学物理的
[13:17] 后来决定不干这个了
[13:19] 因为他有一次遇到了一个
[13:21] 一条调题
[13:22] 一个偏微分方程就解不出来
[13:24] 然后死活解半之后
[13:25] 他就问了一个他的同学
[13:27] 这个同学很快就这样
[13:29] 就直接给他解出来
[13:30] 最后得到了一个完美的解
[13:32] 是一个是个派还是什么东西
[13:34] 我忘了
[13:34] 那就OK
[13:36] 我不在这条路上跟你卷了
[13:38] 其实我当时真的很像
[13:40] 因为基层机器它比较特别
[13:41] 里面有很多竞赛出来的同学
[13:43] 你能想象我们的第一门专业课
[13:45] 就C++程序设计入门这门课
[13:47] 你的同班同学就是你的助教
[13:49] 他们不仅免考
[13:50] 而且是给你出作业和考试题的人
[13:53] 对
[13:53] 从大一开始就是这样的状态
[13:55] 到大三的时候
[13:56] 就也是有
[13:57] 遇到了一个大作业
[13:58] 我印象蛮深的
[13:59] 那个大作业应该是一个
[14:00] 文本据类类的任务
[14:02] 人工智能方向的一个专业课
[14:04] 做一个K-means算法的这种
[14:06] 这种文本据类类的类的东西
[14:08] 我拿到数据集之后
[14:10] 写了code
[14:11] 就跑这个东西
[14:12] 跑了一天都没跑完
[14:13] 这个代码就没结束
[14:15] 到最后还挂了
[14:17] 最后程序还跑挂了
[14:18] 我就问我的
[14:20] 从苏设的另外一个人
[14:21] 我说你咋样了
[14:22] 那个哥们做的那个东西
[14:23] 20分钟就跑完了
[14:25] 我就觉得OK
[14:26] 我不想在这条路上
[14:26] 我就觉得OK
[14:26] 我不想在这条路上卷了
[14:27] 我卷不过你们
[14:29] 所以我当时比较明确的知道一点
[14:31] 我不想在这条路上去竞争了
[14:34] 因为对
[14:34] 我觉得天赋没在这里
[14:36] 我的天赋没在这里
[14:36] 我今天回头去看的话
[14:38] 我觉得我的天赋
[14:39] 可能更多是一半理性
[14:41] 一半感性的部分
[14:42] 而不是纯理性的部分
[14:43] 所以你当时想你要卷什么呢
[14:44] 还是你不卷
[14:46] 我觉得骨子里还肯定是个卷的人
[14:48] 没有办法不卷
[14:50] 对
[14:50] 但是其实在早期的时候也很混沌
[14:53] 我觉得早期的时候没有什么想法
[14:54] 让你干什么就干什么
[14:55] 包括
[14:56] 后来到珠宝去让你去干转账
[14:59] 干各种产品工作
[15:00] 坦白说都没有什么想法
[15:02] 比如说今天我去面试很多年轻的同学
[15:04] 我觉得今天的年轻同学
[15:06] 知道比我那个时候优秀多的多了
[15:08] 这都很有自己的想法
[15:10] 对
[15:10] 现在00后的小天才们
[15:11] 对
[15:11] 我反正我在高密的时候没有任何想法
[15:14] 是老板让我干什么
[15:15] 我就认真干
[15:16] 想办法年底我要
[15:17] 我要升职加薪
[15:19] 就非常简单粗暴
[15:20] 对
[15:20] 但直到
[15:22] 我觉得直到到这个字节工作
[15:25] 那个时候开始
[15:26] 才形成了
[15:27] 慢慢形成了自己的产品
[15:29] 第一为什么要做产品
[15:30] 第二是我的产品偏好是什么
[15:32] 就开始慢慢的形成
[15:34] 直到我觉得第一次创业结束
[15:36] 在这之后基本就已经比较稳定
[15:38] 没有变过
[15:38] 你前面这些所有的履历经历
[15:40] 它的逻辑是什么
[15:41] 你好像做过很多的产品
[15:43] 他们之间好像没什么关系
[15:44] 对
[15:45] 其实这就是
[15:47] 这次创业
[15:48] 我这次离开阿里
[15:50] 开启一个创业
[15:51] 最核心的一个理由
[15:52] 就是我在23年
[15:54] 10月1的时候
[15:56] 就去度假
[15:57] 就在京都
[15:58] 就在鸭川边上
[16:00] 有一天没睡着觉
[16:01] 我就自己一个人跑到鸭川边
[16:03] 在那坐着
[16:04] 那里很美
[16:05] 对
[16:06] 我从夜里2点一直坐到凌晨5点
[16:08] 就拿了一罐啤酒在那坐着
[16:10] 一个人是吧
[16:11] 就一个人
[16:12] 那天做了很多
[16:13] 想了很多事情
[16:14] 做了一些很重要的决定
[16:16] 其中一个很简单的逻辑
[16:17] 就是我当时就在回看
[16:19] 自己过去的这十几年的工作和生活
[16:23] 以及因为我马上
[16:24] 我是89年的
[16:25] 所以马上
[16:26] 当时就35岁了
[16:27] 所以如何过35岁到45岁
[16:29] 当时是一个很重要的问题
[16:32] 这过去十几年
[16:33] 我自己我觉得做的
[16:34] 有很多地方做的还可以
[16:36] 但其中我自己最不满意的
[16:37] 就是没有长波后续
[16:39] 不管是人还是事都没有
[16:41] 身边的同伴也换了很多
[16:44] 做的产品就像你说的
[16:45] 我做过很多类型的产品
[16:47] 做过资金类的产品
[16:48] 做过红包
[16:49] 做过相册工具
[16:51] 做过图像工具
[16:52] 做过社交
[16:54] 做过短视频
[16:56] 后来对在优酷还做过长视频
[16:58] 对这个做过内容
[17:00] 对后来又去比如说做描压
[17:01] 我其实又回到了AI图像产品
[17:04] 对很杂
[17:05] 所以我当时离开的最重要的原因
[17:08] 就是因为我给自己35岁到45岁
[17:10] 定了一个目标
[17:12] 立了个flag
[17:13] 就是我想35岁到45岁
[17:15] 跟同一群人做同一件事情
[17:17] 在大厂其实也是很难控制这个事情
[17:19] 这个事是你不受控的
[17:21] 你身边要跟谁在一起
[17:22] 到底要做什么
[17:24] 你当然可以有一个规划
[17:25] 你可以去
[17:26] 可以跟你的老板聊
[17:27] 但终究这个事情是有不可抗力的
[17:29] 而且我觉得在大厂里你去迎接变化
[17:31] 去拥抱变化
[17:31] 是一个我觉得大厂人的基本素质
[17:34] 由于想要实现后面那个目标
[17:36] 所以就只能是自己
[17:38] 自己来组织
[17:39] 到底要跟什么人在一起
[17:40] 到底要做一件什么样的事情
[17:42] 你在大厂属于很会往上爬的那种人吗
[17:46] 我觉得我很不是
[17:48] 说实话
[17:48] 我觉得满满
[17:51] 其实当然从结果上来讲
[17:53] 其实爬的还可以
[17:54] 坦白说
[17:55] 在务力职的时候是
[17:56] 我30岁就是啤酒了
[17:57] 对
[17:58] 所以
[17:58] 在压力
[17:59] 对
[17:59] 所以很早
[18:01] 我16年在入职自己的时候
[18:03] 也是3个2
[18:04] 我不知道现在这个算什么
[18:05] 反正就还算是
[18:07] 如果单纯从打怪升级的角度
[18:09] 其实是速度还可以
[18:10] 但坦白来说
[18:12] 我觉得我并不是很擅长这个游戏
[18:14] 我并不是很擅长这个游戏
[18:15] 以及我也不是很喜欢
[18:16] 那你是怎么打怪升级的呢
[18:17] 如果你不擅长的话
[18:19] 因为其实我觉得大厂当中
[18:22] 这个游戏有两种玩法
[18:24] 一种玩法
[18:24] 你
[18:26] 就会变成外部的敌人
[18:27] 来打怪升级
[18:28] 就是什么意思
[18:29] 在某某战役赢了
[18:31] 所以你达到结果
[18:32] 就是你打赢了
[18:33] 明确是你打的
[18:34] 那当然就会有结果
[18:35] 就是外部战役
[18:37] 还有一种方式就是内部战役
[18:38] 其实你并不需要真的打赢
[18:40] 外部的敌人
[18:41] 你只要打赢身边人就可以了
[18:43] 就是你361
[18:44] 因为是那个3
[18:45] 你就会成为升级的人
[18:47] 坦白说
[18:47] 就是4567890
[18:49] 这样的一个游戏
[18:51] 会让绝大部分人变成向内作战的人
[18:54] 这是我在大厂待了很多年
[18:56] 就发现一个很难克服的一个
[18:58] 这是一个地心引力
[18:59] 你只要有这套体系
[19:01] 人很难免的去想要用内部游戏去赢
[19:04] 外部游戏其实更难
[19:05] 对外部游戏一定是更难的
[19:07] 或者是这么说
[19:08] 有两个点
[19:09] 第一个点外部游戏肯定是更难的
[19:10] 有很多的不确定性
[19:12] 第二个原因是也跟周期有关
[19:15] 比如说你在
[19:16] 比如说我刚开始工作
[19:17] 12年13年15 16年
[19:19] 就全都是黄金周期
[19:20] 你在任何一个公司
[19:21] 任何一个大厂
[19:22] 因为大家经常比喻叫的
[19:23] 你在电梯上俯卧撑就可以了
[19:25] 因为这个电梯在我上
[19:26] 往上走
[19:26] 所以你有很多事情
[19:27] 可以去获得外部的结果
[19:29] 但到了18 19年
[19:32] 再比如说如果一个新的人
[19:33] 进入互联网行业
[19:35] 他确实面临很长一段时间的真空期
[19:37] 整个互联网行业没有什么新的事情
[19:39] 就从抖音之后
[19:41] 其实互联网很久没有出现过
[19:43] 那种真正意义上
[19:44] 能够改变很多事情的产品
[19:47] 所以外部游戏是需要周期的
[19:50] 就比如说今天AI的诞生
[19:52] 就又提供了外部游戏的机会
[19:54] 带来了增量
[19:55] 对
[19:55] 如果没有增量
[19:56] 那也很难免
[19:57] 大家会去变成内部游戏
[19:59] 所以你更擅长打外部游戏
[20:01] 还是内部游戏
[20:01] 我觉得是喜欢
[20:02] 喜欢外部游戏
[20:04] 对
[20:05] 比如说我再次回到阿里
[20:06] 我们团队也挺大的
[20:07] 多少人当时
[20:08] 我最多的时候
[20:08] 接近管理300个人
[20:09] 职能也挺全的
[20:11] 正常做一个管理层中层
[20:13] 其实是可以按部就班的去做的
[20:16] 但我几乎每年
[20:17] 坚持了要做一款新产品
[20:18] 我每年自己非要做一个新产品
[20:20] 所以没有
[20:20] 还不是我做的第一个
[20:21] 内部的新产品
[20:22] 我每年都做
[20:24] 只不过很多最后就也不行
[20:25] 因为各种各样的原因不行
[20:27] 我自己底层的快乐就在于此
[20:32] 就在于创造产品
[20:33] 如果不让我创造产品
[20:35] 内部游戏的话
[20:36] 我可能没有办法非常快乐
[20:38] 会很无聊
[20:39] 听起来你第一次创业
[20:40] 是第一次觉醒吗
[20:41] 但是没有觉醒彻底
[20:43] 我觉得第一次创业
[20:45] 到最后是很困惑的
[20:47] 但是我已经感受到了
[20:51] 自己什么东西是一定要去做的
[20:53] 创造的快乐对我人也非常重要
[20:55] 非常重要
[20:56] 在大厂为什么没有创造的快乐
[20:58] 在大厂也是有创造的快乐
[21:00] 一定是有的
[21:01] 但是有两个点
[21:03] 第一个点就是
[21:04] 你得遇到可以再做增量的周期
[21:08] 确实是一个大前提
[21:09] 还是要有个环境
[21:10] 对
[21:10] 就是整个社会环境
[21:12] 如果没有新要素
[21:13] 没有新变化
[21:14] 你确实也很难创造
[21:16] 因为如果你在一个大厂的话
[21:17] 你要创造的
[21:18] 最终一定是有机会
[21:20] 很大的事情才值得创造
[21:22] 你比如说我的一次创业
[21:24] 最后结束的那个产品
[21:25] 坦白说我认为
[21:27] 如果我是一个大厂的话
[21:28] 我是不会去做这个事
[21:29] 因为它上限就是不少
[21:30] 我们当时遇到最大的问题
[21:32] 就是我们的用户
[21:33] 有很低龄的问题
[21:34] 平均年龄应该就是个
[21:35] 一除二的样子
[21:36] 所以你会发现用户的up
[21:39] 是很难做的很高
[21:40] 它的商业模式就不是那么健康
[21:41] 因为都是未成年人充值
[21:43] 这也是我后来决定要关掉
[21:45] 它的一个主要的原因之一
[21:46] 所以你在大厂去创造的话
[21:48] 你一定是因为这个东西
[21:50] 还是有很高的天花板
[21:51] 所以如果又没有新要素
[21:54] 这个周期
[21:55] 那你就看不到大天花板的东西
[21:57] 其实你就很难去创造
[21:59] 很难去创造
[22:00] 当然AI肯定是打开了一个很大的天花板
[22:02] 所以我觉得今天的大厂内部
[22:03] 肯定也有很多创造的机会
[22:05] 不是说一定没有创造的机会
[22:07] 对
[22:07] 所以比如说我离开大厂创业
[22:09] 不是因为创造人生
[22:11] 而是因为10年的事情
[22:12] 我觉得今天的大厂内
[22:13] 一定是可以创造的
[22:14] 但比如说1819年
[22:16] 那个周期内是很难创造的
[22:18] 我还是很难理解
[22:19] 你第一次结束的时候
[22:20] 是觉得自己很困惑
[22:21] 不知道为什么要创业
[22:23] 对
[22:23] 其实你看一个人
[22:24] 到底为什么要创业
[22:25] 这个事有很多理由
[22:26] 抛开表象你说的理由
[22:28] 但内心深处你真实的理由
[22:30] 这个事情是很难骗
[22:32] 你至少不能骗自己
[22:33] 核心是不能骗自己
[22:35] 你看有的人其实为了发财
[22:37] 其实是为了赚钱
[22:39] 有的人是为了成名
[22:40] 或者叫证明自己
[22:41] 就像大家都知道
[22:42] 我很牛
[22:43] 我很厉害
[22:43] 有的人是就想当老板
[22:45] 我就是想当老板
[22:46] 我就是不想给别人打工
[22:47] 我就想当老板
[22:48] 有的人是就想实现某个愿望
[22:50] 我就一定要让这个东西发生
[22:53] 很多种理由
[22:54] 我觉得第一次出现
[22:55] 第二次创业结束的时候
[22:57] 之所以困惑
[22:58] 是因为我出发的时候的理由
[22:59] 是我觉得回看的话
[23:01] 现在真实理由
[23:02] 你就不要骗自己的话
[23:04] 然后证明自己
[23:05] 我觉得我很牛了
[23:06] 我要出名
[23:06] 我要让别人都看到我
[23:08] 我是个特别牛的人
[23:09] 你装上一个下行周期
[23:10] 我觉得周期是一方面
[23:11] 今天回看
[23:12] 我觉得是很难成功的
[23:14] 那个时间
[23:14] 我有很多地方是注定无法成功
[23:16] 但最后的困惑点就在于
[23:18] 好像那个目标被否定了
[23:19] 但我当时也没有找到另外一个动机
[23:22] 我没有立即切
[23:23] 没有能够顺利切换到
[23:25] 一个动机
[23:27] 比如说某一件事情
[23:27] 特别值得我去做
[23:29] 就我今天去有一个想法
[23:31] 我认为创业最好的理由
[23:32] 就是两个
[23:33] 一个很理性的
[23:34] 不谈道德的
[23:35] 可能只有两个理由
[23:36] 特别适合创业
[23:37] 一个是你就想当老板
[23:39] 你不想打工
[23:40] 你不想给别人供应
[23:41] 那你创业的第一天就成功了
