[00:02] 不能称作是AI bubble
[00:06] 更像是AI war
[00:07] AI可能就是得看作
[08:09] 2030年之前
[08:11] 他做到40亿的月火
[08:13] 25亿的周火
[08:15] 15亿的日火对吧
[08:16] 那假设他的订阅做到10%的付费率
[08:21] 那就是4亿用户
[08:22] 这个是非常合理的
[08:23] 就是因为对标office
[08:26] office应该也是3-4亿的付费用户
[08:29] 但很多是企业帮员工付费订阅嘛
[08:31] 那个4亿的付费用户
[08:33] 每个用户假设是200美金的年费
[08:37] 这其实是800亿美金
[08:38] 其实office也是几亿的付费订阅用户
[08:41] 几百亿美金的生意对吧
[08:42] 包括netflix也是几亿的付费订阅用户
[08:47] 其实我直观的感觉
[08:48] chatGPT应该比office和netflix要大
[08:52] 然后这是订阅
[08:55] 再算电商和广告
[08:57] 就假设不付费的用户就要看广告
[09:00] 那我们就假设每个周火他的up值
[09:04] 比如20美金50美金对吧
[09:07] 假设20多个亿的周火
[09:11] 那其实这也是500到1000亿美金的一个营收对吧
[09:14] 那第三个就是卖API
[09:18] 你拍脑袋也能做到500到1000亿美金
[09:20] 其实他们是很有规模效应的
[09:22] 其实模型就是新的云
[09:23] 这跟亚马逊当年有了电商业务自己做云
[09:27] 是一样的逻辑
[09:28] 那其他的可能还有一些agent的其他的收入
[09:31] 我觉得这几块都看不见的
[09:32] 差不多做到两三千亿美金营收一年对吧
[09:36] 那其实相当于今天的meta或者字节一样的
[09:41] 所以从这个角度看呢
[09:43] 就是只多了一个互联网平台其实也没啥意思
[09:46] 但那肯定也是抢了一大块存量的生意的
[09:49] 那个但他很大的也是增量的东西啊
[09:53] 你刚才说的这几个是看得清的收入
[09:56] 那看不清的潜在的未来的收入会有什么
[09:58] 对我觉得这个是比较有意思的
[10:00] 就是我们总是缺乏想象力的
[10:03] 就是再让我们回到AWS诞生的头几年
[10:07] 抖音诞生的头几年
[10:08] 其实大家都不会觉得这俩能做到千亿美金
[10:11] 营收对吧
[10:11] 包括再让我们回到2023年也不会想到
[10:15] OpenAI和AnswerPick估值能涨这么快
[10:17] 哪怕就回到今年年初
[10:19] 当时咱们播客提了那个coding
[10:21] coding agent是今年主题
[10:24] 就十个月前看AI coding这个单一行业
[10:27] 大家也不会觉得一年能涨十倍
[10:29] 硬生生涨出来一百亿美金对吧
[10:32] 我觉得AI的潜在的看不见的营收规模是很大的
[10:36] 我觉得是会有惊喜的
[10:37] 因为这可是全世界最聪明的一批人
[10:41] 最牛的科技公司和最厉害的大佬
[10:44] 都在努力搞这个市场对吧
[10:46] 那如果具体来说
[10:48] 我觉得OpenAI真的想赚钱
[10:49] 有两种演绎的潜在方向
[10:53] 一种是agent真的开始work了对吧
[10:56] 真的端到端替代劳动力了
[10:58] 赚到这个工资的预算
[11:00] 不再只是一个工具
[11:01] 比如说全球白领有十个亿
[11:04] OpenAI就靠输出十亿白领的价值
[11:07] 自动化白领的工作
[11:09] 那每个agent
[11:11] 白领这个工资比如说一千美金
[11:13] 或者到一万美金之间对吧
[11:15] 那就是一个T到十个T的营收
[11:16] 这个这就很大了
[11:18] 那其实你看白领里面
[11:21] 最快的还是软件开发市场
[11:23] 全球软件开发市场大概一千五百亿美金的吧
[11:26] 今年AI coding其实只有一百多亿美金
[11:29] 还不到10%
[11:30] 那未来几年涨到30%或40%的渗透率
[11:33] 我觉得未来肯定还会更高对吧
[11:35] 那另外还有一个比较星辰大海的就是
[11:38] 叫大规模做
[11:40] 人做不了的增量的高价值内容
[11:42] 比如说coding可以重新写CUDA对吧
[11:45] 这个科学发现治愈人类所有疾病对吧
[11:49] 帮我们研究比如说室温超导的材料对吧
[11:52] 这个AI做AI的科学家
[11:56] 技术物理很多东西
[11:57] 我觉得这些潜在价值都是非常非常高的
[12:00] 那这里的前提也是模型更加可靠
[12:03] 端到端能力更强对吧
[12:04] 也需要比如说online learning这个本质上突破
[12:07] 所以我们现在只能解释AI这件事说
[12:10] 更像国防或者战争的军备竞赛
[12:13] 这个未来的潜力巨大
[12:15] 每个人都输不起
[12:16] 所以那我们就说巨头每个都不会放弃
[12:20] 都会投光自己有的最后一分钱对吧
[12:24] 其实我觉得这个一定程度上是超越了商业回报
[12:28] 输了就有被颠覆的风险
[12:30] 正因为这个太重要
[12:32] 所以大家不会让Google一家独大
[12:35] 也不会让Open一家独大
[12:37] 所以英文达也好微软也好
[12:39] 亚马逊也好对吧
[12:40] 会继续支持Open和Anthropic对吧
[12:44] Anthropic这个就很像一个巨头的妻子的加持
[12:47] 因为任何一家都很大
[12:49] 都可能会对其他家造成威胁
[12:51] 所以这里面有很多巨头博弈的一个平衡
[12:56] 但我感觉商业上长期对AI的商业模式
[12:59] 还是要抱着一个乐观的态度
[13:01] 比如agent真的落地后
[13:03] 我就对传统流量平台生意还是会有很大影响的
[13:07] 就刚才提到流量平台
[13:09] 是一个非常短路的问题
[13:11] 你说Anthropic有巨头的妻子价值
[13:13] 那你觉得中国的这些公司有巨头的
[13:15] 在巨头间博弈的这种妻子价值吗
[13:18] 好像中国的巨头都很强
[13:21] 独立的模型公司没有显著的比巨头领先对吧
[13:27] 字节和阿里好像都很强
[13:29] 腾讯也在catch up
[13:31] 挖取了大神
[13:33] 你刚才说Open有几块收入
[13:35] 你觉得它做起来广告和电商的速度会乐观吗
[13:39] 其实就是时间问题
[13:41] 历史上只要是大流量有粘性的平台
[13:44] 最终都是能变现的
[13:46] 这个速度我觉得就取决于优先级的问题
[13:49] 可能广告和电商今天还不是最高优先级问题
[13:54] 我理解的最高优先级问题
[13:56] 是2020年底之前先做到10个亿的日货
[13:59] 我觉得这个是更重要的
[14:01] 我觉得Open今天是被低估的
[14:03] 就像当年很多人都觉得手机和短视频
[14:07] 是没法做太多广告的
[14:09] 屏幕太小
[14:11] 如果AI抢广告是一场存量的竞争
[14:14] 长期是要靠替代劳动力带来的收入
[14:17] 这部分的gap本质上是AI能力是否能顺利的
[14:21] 抢夺到劳动力市场
[14:23] 你怎么看这个问题
[14:24] 我觉得核心取决于AI的能力边界走到哪
[14:27] 到时候是AI便宜还是人便宜
[14:30] AI便宜其实本质上是电费是不是走不便宜
[14:34] 我觉得现有的范式现有的路径
[14:38] 还是有机会让模型比绝大多数的白领
[14:41] 或者知识工作者聪明的
[14:43] 我觉得这个确定性是非常高的
[14:45] 湾区你看朱涅的程序员已经找不到工作了
[14:49] 假如说你是一个A轮的创业公司
[14:52] 你要招一个马农
[14:53] 只要你抛出去这个岗位很多人看到
[14:55] 我觉得是轻轻松松收到几百个甚至上千个简历的
[14:58] 其实这个已经在发生了
[15:00] 就是工资劳动力的预算
[15:03] 你上面提到一个概念就是AI war
[15:06] 就是AI的战争
[15:07] 这是一场全球巨头都说不起的战争
[15:10] 现在纵观全局
[15:12] 你觉得这场战役的主要推动方有哪些
[15:15] 他们现在分成了哪些阵营
[15:17] 我们可以来做一个概览
[15:19] 简单的分就是两大阵营
[15:22] 英伟达的GPU和Google的TPU
[15:26] 你看Google首次推出真正的Solta的model
[15:31] 模型 芯片 云 产品端到端 基层
[15:34] 其实Google更像是AI时代的苹果
[15:37] 上一期播客咱们专门花了一部分讲Google被低估了
[15:40] 我觉得Google长期确实会很强
[15:42] 不过英伟达生态下支持的OpenAI和Anthropic
[15:47] 依然是优等生
[15:48] 我感觉这两家相比Google在人才密度上
[15:52] 还是会更优质一些的
[15:54] 其实英伟达更像是AI时代的安卓的位置
[15:57] 在这个生态下
[15:59] 这两大阵营可能是未来一段时间的主线
[16:02] 就是大家想研究AI的进展
[16:04] 还是围绕这两大阵营围绕最领先的这两三年
[16:07] 的增加模型
[16:08] 我觉得很多投资机会都是围绕这两条主线
[16:12] 去延展的
[16:14] 你从硬件的角度看
[16:16] 只要是需求远远的大于供给
[16:19] 英伟达和Google两家都应该配置
[16:22] 其实这两家不管是势均力低或者其他的
[16:26] 我们的一个感受叫交替领先
[16:29] 哪一边跌了其实都是加仓的时候
[16:32] 其实是应该有一些逆向的思考
[16:34] 今天这个时候英伟达和OpenAI被低估了
[16:37] 因为什么呢
[16:39] 因为GPU综合还是对比TPU是更好的
[16:43] 缺点就是贵了
[16:44] 但你也没办法
[16:46] 就是台积电产能就这么多
[16:48] 英伟达和OpenAI这条线其实还是被低估的
[16:52] 包括英伟达Ruby那一代卡
[16:56] 应该是能甩开TPU V8一个代际的声位的
[17:02] 而且英伟达已经提前占了台积电1.6nm的未来
[17:07] 其实长期GPU的优势还是会很强的
[17:11] 你看你分成了硬件层之争和应用层之争
[17:14] 硬件层之争是英伟达和Google
[17:16] 应用层之争是OpenAI和Google
[17:19] 那如果再往后推你觉得会有什么样的走势
[17:22] 你看Google越强越会形成一个反Google联盟
[17:26] OpenAI越强也会形成一个反OpenAI联盟
[17:29] 其实你看OpenAI诞生的初衷不就是为了挑战Google吗
[17:33] 马斯克当年提的
[17:34] 那所以AGI这个时候
[17:37] 不能只在极少数的一家或两家公司手中
[17:41] 也不能只在美国手中
[17:42] 这样世界才会更平衡一些
[17:44] 那接下来我们依照这个全球大模型机包的惯例
[17:48] 我们来梳理一下现在的模型格局
[17:51] 有没有一些比较重要的观察
[17:53] 闭上眼睛最想传递几个关键词吧
[17:56] 那个第一个就是叫交替领先
[17:59] 第二个就是Google和OpenAI的市值
[18:03] 两家公司总和能到10万亿美金
[18:05] 第三个就是
[18:07] 2026年能看到下一代新泛式的信号
[18:10] 第四个可能就是
[18:12] AGI是马拉松
[18:14] 现金流之战
[18:15] 这个待会可以展开讲讲
[18:17] 第五个我们可以聊聊就是AGI的
[18:19] 投资和创意的策略
[18:21] 就是叫压住到
[18:23] 技术成长的
[18:25] 最陡峭的之处
[18:26] 就是最领先的模型
[18:28] 最领先模型技术溢出的红利
[18:30] 最领先模型需要的算力
[18:32] 我觉得这几个是
[18:34] 最强烈的几个关键词的感受吧
[18:36] 我们可以一个个展开聊一下
[18:38] 嗯
[18:39] 你看今天全球这几个top的模型
[18:41] 包括GPT、Cloud、Gemina
[18:43] 它的格局似乎依然没有稳定下来
[18:46] 你刚才也说一个判断是交替领先
[18:48] 这个能不能展开讲讲
[18:50] 这会是一个常态吗
[18:52] 我觉得未来的一年
[18:54] 模型层面的交替领先
[18:57] 应该会是一个竞争常态
[18:59] 这里指的模型还是
[19:02] 全球最领先的三家模型
[19:04] GPT、Cloud、Gemina
[19:06] 你看这三家
[19:08] 你从它的营收角度看
[19:10] 年底差不多分别是
[19:13] 210亿美金
[19:15] 90到100亿美金
[19:16] 50亿美金对吧
[19:17] 总计差不多360亿美金的年化收入
[19:20] 占了全球AI native营收的80%到90%
[19:25] 我们预估全球其他所有大模型原生的收入
[19:28] 差不多400多亿美金出头
[19:30] 那XCI的Grog
[19:32] 可能3到10亿美金之间
[19:34] 其实还是很小的
[19:36] 所以还是叫最领先的三家模型
[19:39] 拿走了绝大部分
[19:40] 因为这三家的技术和品牌
[19:43] 都是有很强的溢价的
[19:45] 哪怕你领先3%、5%、10%
[19:47] 你可以放大效应
[19:49] 可以多赚很多钱
[19:50] 其实这个就很像体育里面的球员
[19:54] 为什么C罗梅西能力上
[19:57] 没有比其他球员强个几十倍
[20:00] 但他赚的钱比其他球员强个几十倍
[20:03] 我觉得这里面最关键的
[20:06] 最领先的三个技术模型
[20:09] GPT、Cloud、Gemini
[20:11] 未来一段时间还是会交替领先
[20:13] 本质的原因就是
[20:16] 在现有的方式下
[20:17] 就是预训练加强化学习
[20:19] 这俩
[20:20] 大家的know-how
[20:21] 大家的方法
[20:22] 彼此是甩不开的
[20:23] 人才也在流动
[20:24] 信息也在流动
[20:25] 想甩开就得新的方式了
[20:28] 其实
[20:29] 我内心认为Google还没有显著领先
[20:33] 但是呢
[20:34] XCI和Meta
[20:35] 还没有真正上第一梯队的牌桌
[20:38] 因为这两个战略
[20:40] 这个BAT还没有那么清楚
[20:43] 其实XCI和Meta呢
[20:45] 这事儿也有一个启发
[20:47] 你会发现
[20:48] 模型公司不是叫护城河很高
[20:50] 而是进入门槛非常高
[20:52] 因为要靠资本、人才
[20:55] 其实前三家
[20:57] 因为做得早
[20:59] 人才和资本的这个门槛比较高
[21:02] 那你觉得交替领先的这个模型格局
[21:05] 这个现象本身它说明了什么呢
[21:07] 就是现有的两个范式
[21:09] 喇叭差距
[21:10] 大家只能在战略定位上有差异化
[21:13] 上一期博客主题其实叫模型在分化
[21:16] 那这一次模型的主题叫做交替领先
[21:19] 你觉得这两个观点是替代关系
[21:21] 还是递进关系
[21:22] 这两个不矛盾
[21:24] 应该是一个递进关系
[21:25] 因为过去五到六个月
[21:27] 其实模型分化更明显了
[21:29] 也验证了我上期博客的一些判断
[21:31] 其实大家在通用能力上
[21:34] 你追我赶对吧
[21:35] 甩不开
[21:36] 但是都有了各自的战略的beta重点
[21:40] 你比如说Gemini3其实是在多摩泰是断档式领先的对吧
[21:46] 但是在tax和coding
[21:48] 包括agent
[21:49] 其实差不多也是追平opin和anthropic之前的模型
[21:53] 那个tax能力其实感觉像是优先级放后了
[21:58] 那个多摩泰战略放前面了
[22:00] 那你再比如说anthropic的
[22:03] 这个all in
[22:04] 就是opus4.5
[22:05] 它还是coding软件开发领域最好的这个模型
[22:09] opus4.5我觉得依然是被低估的一个
[22:12] 因为它做的任务更长
[22:14] 更可靠
[22:15] 也更好
[22:16] 还更省token
[22:17] 那个我估计还能后面能解锁很多东西
[22:20] 那再比如说chatgp的beta
[22:23] 其实它就是2c消费端
[22:25] 依然是断档式领先的
[22:27] 差不多4.85个亿的日活对吧
[22:30] 还是Gemini可能五六倍的关系
[22:33] gp长期想做一个10到20亿日活的个人助理
[22:37] 个人朋友
[22:38] 那这也是一个战略beta
[22:40] 我觉得他们会突出个性化能力对吧
[22:42] 所以你看google的多摩泰chatgp的朋友
[22:46] anthropic的coding和agent
[22:48] 那包括伊利亚的SSA
[22:51] 或者这个think machines
[22:53] 这个去搞下一代方式
[22:55] 所以我觉得这比较有意思的一个点就是
[22:58] 模型分化这个点一个启发就是说
[23:02] anthropic专注2b放弃了2c
[23:05] 专注coding和agent
[23:07] 这个战略beta是很值得AI创业者去学习的
[23:10] 不然的话anthropic早就在这么激烈的形势中挂掉了
[23:16] 所以大家在各自的战略beta之下
[23:20] 一定要做到鲜明的特点
[23:24] 都是要为战略beta以中为始的
[23:28] 有一个你优化的目标端到端的优化
[23:32] 那我们现在就来看看这个优化模型
[23:34] 那本质是优化数据
[23:36] 对吧
[23:37] 那你看chatgp在c端
[23:39] 其实体验明显还是比Gemini要好一些的
[23:42] 然后因为是对数据做了专门的优化
[23:45] 那cloud在2b企业或者知识工作者
[23:49] 这个体验也是更好的
[23:50] 那本质还是对数据做了优化
[23:53] 你说mirror的think machines lab
[23:56] 代表新一代方式
[23:57] 这个方式指的是什么
[23:59] 这个只是猜测
[24:00] 那个
[24:01] 他和Mirror
[24:02] John Schumann肯定是很懂openeye未来的roadmap的
[24:06] 其实这两个人没必要说再去catch up现有的model
[24:11] 肯定是想去拜访下一代的
[24:13] 不管说online learning也好
[24:15] continue learning也好
[24:17] 我觉得他们都是有自己的路线
[24:21] 和一盘大棋的
[24:23] 那你觉得今天再去争夺sota模型的位置还有意义吗
[24:28] 意义是什么呢
[24:29] 既然大家都是在交替领先
[24:31] 秀肌肉
[24:32] 我觉得我们就拿meta来说
[24:34] 就是你再退一个sota的model
[24:37] 只是交一个作业肯定是不够的
[24:40] 他得有个很牛的爆款产品才够的
[24:43] 起码得到chatgp这种量级吧
[24:46] 才算爆款
[24:47] 因为这样才能撑得起meta1200亿美金的明年的capex投入
[24:54] 你看meta现在账上现金大概500亿美金
[24:58] 明年利润可能600亿美金
[25:00] 但他明年要投入1200亿美金
[25:02] 其实只有一个sota model肯定是不够的
[25:06] 那包括今天的sota都是benchmark的sota
[25:11] 我觉得gemini3和gpt5.2都是有很大刷分的嫌疑的
[25:17] 因为很多模型都是得分很高
[25:19] 但低能高分低能
[25:22] 其实真的sota我觉得应该好的定义是
[25:26] 有多少营收有多少客户
[25:28] 输出多少的
[25:30] pokens来定义
[25:31] 而不是benchmark的榜单了
[25:33] 就是看有多少人用嘛
[25:36] 之前你在播客上有一个观点是说
[25:39] 基础模型攫取了价值链的大部分价值
[25:42] 那现在你还是这个观点吗
[25:45] 我觉得还是这个判断吧
[25:47] 就是这里面有一个偷懒的类比
[25:50] 就是基础模型公司就很像十年前的综合电商平台
[25:56] 你scale这个sq的时候
[25:59] 就是模型公司scale data
[26:01] 这个是更容易的
[26:02] 你最后看模型公司想做好哪些能力就是加数据
[26:07] 你比如说chatgpt也好coding也好
[26:10] 就很像amazon早年卖书一样
[26:13] 他通过卖书拉通了物流仓储和用户对吧
[26:17] 那接下来他横向的scale更多的sq
[26:20] 那今天领先的模型公司也是对吧
[26:23] 你看他自己都在努力的做好office里面的PPT
[26:27] excel数据分析
[26:28] 或者反档投研的对吧
[26:30] 其实基础模型公司他们scale data的效率是更高的
[26:34] 那个因为之前chatgpt做chat也好coding也好
[26:38] 其实都拉通了full stack
[26:40] 整个data的这个pipeline也比较好
[26:43] 所以我觉得理解基础模型公司的特点
[26:46] 尤其是他们未来半年模型公司内部的眼睛的目标
[26:50] 这个是很关键的
[26:51] 所以今天对投资和创业
[26:53] 我觉得意义很大的一个点就是说
[26:56] 你到底是做的一个
[26:58] 垂直电商还是一个小红书
[27:00] 你做垂直电商呢可能也能赚钱
[27:02] 但是要退的很灵活
[27:04] 但是历史上垂直电商没有很大的平台公司的
[27:08] 但是你看小红书是在综合电商平台之上
[27:12] 又构建出了一层叫消费价值很高的
[27:16] 叫内容资产对吧
[27:17] 我觉得这个是很有意义的
[27:19] 所以今天我们去思考perplexity也好
[27:22] 思考cursor也好对吧
[27:23] 包括一些agent的公司也好
[27:25] 所以他到底是垂直电商还是小红书
[27:27] 我觉得这个今天还没有答案
[27:29] 大家都在探索期
[27:30] 我觉得这个是比较有意思值得思考的一个
[27:33] 现在还太早了
[27:35] 是
[27:36] 今天这个时间点的一部分特殊性
[27:39] 是在于Gemina崛起了
[27:41] 大家会担心那OpenAI会怎么办
[27:43] 它会不会对OpenAI有很大的影响
[27:45] 你会怎么看待这两家公司的竞争
[27:47] 对我觉得这里的核心一个观点就是
[27:50] Google加OpenAI总市值能到10个T以上吧
[27:54] 我对OpenAI现在比较乐观
[27:57] 觉得被大幅低估了吧
[27:59] 我觉得有几个原因
[28:01] 第一OpenAI可能是过去20年里面
[28:04] 唯一一家有机会挑战Google的公司
[28:07] 微软并其实都没有真的挑战到Google
[28:10] 第二OpenAI还是今天当下最好的AI标的
[28:14] 如果OpenAI你不配置不投对吧
[28:17] 其实其他的风险是更大的
[28:20] 其实OpenAI的人才密度
[28:21] 包括产品的领先性都还是很好的
[28:23] 今年200多亿美金
[28:26] 明年四五百亿美金
[28:27] 其实你说很高的multiple也没有很贵
[28:31] 而且第三OpenAI还是有最高的概率
[28:36] 继续立的下一代泛式创新
[28:38] 对吧
[28:39] online learning或者下一代的探索还是最领先的
[28:42] 现在资本市场担心的无非是财务的亏损
[28:46] 我感觉财务亏损这个问题不用过度担心
[28:49] 因为过去几十年资本主义国家积累的财富是足够多的
[28:54] 你看今天除了AI还能投啥呢
[28:56] 我估计所有的钱都会砸到AI领域吧
[29:00] 我觉得至于Google的竞争
[29:03] 我觉得Google也不会一家独大吧
[29:05] 因为这个市场也不是一个零和博弈
[29:07] 因为Chatbot做了很多增量市场
[29:10] 就很像之前我们比喻的短视频
[29:13] 抖音至于优酷的竞争对吧
[29:16] 我觉得Google和OpenAI还是比较好的组合吧
[29:19] 未来在C端平衡天下
[29:22] 所以今天我觉得是Google短期高估
[29:25] OpenAI短期被低估
[29:28] 其实Google这一波因为推了一个salt model
[29:31] 它的估值是从十八九倍的PE
[29:35] 变成了一个二十八九倍的PE
[29:37] 其实是一个估值扩张的逻辑对吧
[29:39] 我觉得背后的原因还有很多的
[29:42] 你比如说GPT和Gemini
[29:45] 他们在模型上拉不开很大差距
[29:48] 假设模型是交替领先的
[29:51] 模型上都无法大赢
[29:53] 那
