[00:04] 我应该是公司第一个离职的人
[04:25] 大家要去把啤酒和尿不湿放在一起
[04:29] 它的销量就会变好
[04:31] 对它里面有一些数据分析的方法在里面
[04:34] 对那其实是国内最早的那一波AI
[04:37] 那再往后其实到了CV和深度学习
[04:41] 对那今天的预训练和大模型
[04:43] 其实我会把它看成是第三次的这个周期
[04:47] 那这三次周期
[04:48] 我恰好都在一些比较典型的
[04:51] 公司里面去工作过
[04:52] 在大数据的时代我是在百度
[04:55] 对我们那会做过很多比较偏底层的这种事情
[05:00] 包括什么
[05:00] 包括说给一个用户身上通过机器学习的方式
[05:03] 去计算非常多维度的标签
[05:06] 其实就是今天的user profile
[05:07] 它是推荐系统里面非常核心的一个模块
[05:10] 我们当时也做了基于这种用户的这种画像来去做了
[05:13] 比如对不同的这种用户能够去做差异化的定价和补贴
[05:18] 这样的
[05:19] 当时可能在行业里面
[05:20] 比较领先的事情
[05:22] 对那再往后到了CV的深度学习的这个时代
[05:27] 我先是去做
[05:30] 就是算法的这个开放平台
[05:32] 就是把各种算法能力API的方式能够对外提供
[05:35] 让这个外界的客户用户开发者
[05:39] 他们能够低成本的去使用到一些大厂才能拥有的这个模型能力
[05:44] 对那再往后做了开源的框架
[05:48] 就是类似于TensorFlow
[05:49] PyTorch
[05:50] 就是百度自由的这个框架
[05:53] 也是国内比较有名的一个开源的项目叫PyTorch
[05:57] 在国内叫飞甲
[05:59] 再往后的话
[06:00] 再往后的话
[06:01] 其实是在矿事去做跟AI算法生产力工具相关的事情
[06:07] 是CV那个时代了
[06:08] 对就是怎么能够更快更低成本的去生产出一个算法
[06:13] 也是在那个时候开始接触到我们今天叫大模型的东西
[06:17] 但是那会没有大模型的概念
[06:19] 那会叫预训练模型
[06:20] 我记得是2020年的时候
[06:23] 就是应该是五六月份
[06:25] GPT-3出来
[06:26] 对所以是从那个时候我开始关注到就是预训练模型这个技术
[06:30] 对因为当时GPT-3对我的这个冲击是非常大的
[06:34] 我之前一直在做的工作的一条主线都是去让用户更低门槛
[06:39] 更方便的去获得某种算法能力
[06:41] 当看到GPT-3的时候
[06:43] 突然意识到这种技术
[06:45] 它似乎可以让任何一个用户用极低的门槛
[06:48] 比如说是一个Prompt
[06:50] 一个Fill Shot
[06:50] 它就能得到某种算法的API
[06:53] 对因为你可以就是把GPT-3去变成一个翻译的API
[06:57] 变成一个Summary的API
[06:59] 对吧
[06:59] 只要你有这个Fill Shot和这个Prompt的能力
[07:02] 对所以当时就觉得这个技术还是就是非常吸引我
[07:07] 从那个时候开始去关注这个技术
[07:10] 那再往后
[07:12] 其实我是就是从矿市是加入了一个
[07:16] 就是在国内算非常早的预训练的STARUP叫兰州科技
[07:20] 它是之前MSRE的副院长周明周老师出来创业的项目
[07:25] 对从兰州科技开始的话算是正式的接触预训练模型
[07:29] 那那会的预训练它的技术是和今天不太一样的
[07:34] 就是它的技术是非常不收敛的
[07:36] 所以在社区里面它会出现非常多的模型
[07:39] 会有不同的这种算法架构的探索
[07:42] 对所以那会也没有所谓的这个参数量这么大
[07:47] 训练量这么大的模型
[07:48] 它会有很多的
[07:50] 这种技术方向可以去选
[07:52] 所以我们当时是从社区里面来去观察
[07:56] 到底有哪些模型是适合我们去把它做商业化
[08:01] 那我们做商业化的方式一方面是先去把来自于社区里面的模型
[08:06] 去做中文的复现
[08:07] 然后再去对它做一些轻量化的处理
[08:10] 让它的使用成本变得更低
[08:12] 对所以在那个时间点我们尝试了非常多的技术方向
[08:16] 包括文本的生成
[08:18] 然后包括文图的生成
[08:19] 其实在SD的发展和ChatGPT出来之前
[08:24] 我们都做过相关的探索
[08:26] 并且有一些商业化的承担
[08:29] 其实ChatGPT是一个很大的
[08:34] 我们今天去回顾它是一个很大的历史事件
[08:37] 所以当时对整个行业
[08:38] 包括很多的公司都带来了一些冲击和影响
[08:42] 也是在那个时间点
[08:44] 是23年的年初
[08:46] 我去到了Moonshot
[08:48] 对在Moonshot的话
[08:49] 会更接近你说的
[08:52] 就是模型产品经理这样的一个角色
[08:55] 其实主要工作也比较简单
[08:57] 就是把模型当成是产品一样去design它
[09:02] 那design它的什么呢
[09:03] design它的效果和能力
[09:06] 并且尽可能要确保你design的这些效果和能力
[09:11] 它是可以被训练出来的
[09:13] 最终用户是可感知的
[09:15] 这大概是我的一个经历
[09:16] 以及你刚才说到的模型产品经理
[09:19] 这样的一个岗位
[09:21] 我对它的理解
[09:22] 这个很有意思
[09:23] 因为我们之前聊过很多人
[09:24] 他们其实都是从技术的角度来聊
[09:26] 这个AI 1.0 2.0 3.0的这个浪潮
[09:29] 那作为一个产品经理的角度
[09:30] 你觉得AI从1.0到3.0
[09:32] 它的变化给你带来的改变是什么
[09:34] 有没有一些切身的体会
[09:36] 这个很快了十年十几年
[09:39] 是的
[09:40] 从我自己的经历来讲的话
[09:42] 今年刚刚是我接触AI的第十年
[09:45] 对
[09:45] 但我可能不是以1.0 2.0或者是3.0来去区分的
[09:49] 我会以是否能够拟合
[09:52] 就是你拟合的数据到底是结构化的还是非结构化
[09:55] 来去做这个判断
[09:57] 因为我会认为说
[09:58] 就是比如说传统的机器学习那个时代
[10:01] 包括深度学习去做CV
[10:04] 比如说人脸这种物体检测
[10:08] 然后这个图像分类
[10:09] 那个时候的数据我会认为它是结构化的
[10:14] 比如说我们去做CV的这种算法的时候
[10:18] 你需要去打上
[10:19] 非常多细腻度的这种标签
[10:21] 这些标签它是确定性的
[10:24] 比如说是一个矩形它的这个坐标
[10:28] 比如说这个物体它到底属于什么类型
[10:30] 那今天的大模型会非常不一样
[10:33] 因为它拟合的是非结构化的数据
[10:36] 非结构化的数据它代表着什么呢
[10:38] 它代表的是这个数据对整个世界的表达能力会更加丰富
[10:44] 它的表达能力也会更加的连续
[10:46] 因为我们的世界
[10:47] 它不是一个一个离散的点
[10:49] 我们这个世界是非常连续的
[10:50] 比如说语言这个东西它就是一个非常连续的东西
[10:53] 然后一个视频一张图像它本身上也是非常连续的东西
[10:57] 所以如果你以结构化的方式
[10:59] 就是只能拟合结构化的数据来去得到的模型
[11:03] 它是没有办法去表达这样一个连续的世界的
[11:06] 所以我会以是否能够拟合非结构化数据来去作为这个划分的节点
[11:12] 那当然今天我们看到的所有的技术生成类的技术
[11:16] 它都是在去拟合非结构化的数据
[11:19] 所以我认为这是一个很大的变化
[11:21] 还有确证感受是
[11:23] 确实我们赶上了一个很好的时代
[11:28] 这个很好的时代里面
[11:30] 它有很多的新的技术
[11:34] 然后它会带来和之前的产品
[11:38] 它的方法论
[11:39] 它的思考方式
[11:40] 很不一样的一些新的东西
[11:43] 因为AI这个行业
[11:47] 它是游戏的
[11:49] 它是游戏的行业
[11:49] 而且大部分的时间
[11:51] 它对于一个产品经理来讲
[11:53] 它是一个相当无趣的工作
[11:56] 因为大量的AI产品经理在历史上
[11:59] 大家做的都是中后台的事情
[12:00] 你很难去走到前台
[12:03] 有一个完全以AI为主体的产品
[12:06] 可能更多时候都是去做偏中后台的数据的支持
[12:10] 然后算法能力的提供
[12:13] 然后可能数据的标注
[12:14] 策略的制定
[12:15] 可能去做这样一些事情
[12:16] 但是今天的话
[12:17] 我们其实是以
[12:19] 有一个站到前台的机会
[12:21] 就是以AI的能力往前去看
[12:24] 那么从技术的角度
[12:26] 从模型能力的角度
[12:29] 它能够去解决什么样的问题
[12:30] 它能够成为一个什么样的独立的产品
[12:32] 甚至它有可能成为一个非常厉害的产品
[12:36] 对吧
[12:36] 像Mainas
[12:38] 对像ChatGPT
[12:39] 所以这是一个很大的体感的不同
[12:42] 就是大家赶上了一个好时代
[12:45] 或者说终于等到了一个好时代
[12:48] 所以你是觉得在AI时代
[12:49] 在产品经理的能力是被放大了是吗
[12:51] 还是说被缩小了
[12:52] 因为从技术的角度来
[12:54] 会觉得今天模型就能定义产品
[12:56] 那你觉得产品经理的价值是变大了还是变小了
[13:00] 我自己的观点当然是在变大
[13:02] 为什么呢
[13:03] 因为首先模型及产品这个概念
[13:07] 我在挺早的自己一篇文章里面也有去提过
[13:11] 那可能也是国内比较早去讨论这个问题的一个文章了
[13:15] 但是我今天的这个观点
[13:19] 他并不是
[13:20] 就是我说这个产品经理他的能力是在被放大
[13:24] 他并不和模型及产品这个观念产生任何的相悖
[13:28] 为什么呢
[13:29] 因为我们去想说模型
[13:32] 它本质上是一个
[13:33] 如果我们对标到人的智慧来讲
[13:34] 它本身上是一个System 1的东西
[13:37] 因为它把大量的信息先提前的压缩进了这套系统里面
[13:42] 所以它可以更快的更本能的来去对你的输入去进行反应
[13:48] 对
[13:49] 那这个时候其实产品它的角色变成了什么呢
[13:52] 它变成了就是两个很重要的角色
[13:55] 一个很重要的角色是说
[13:56] 那这个System 1它到底应该是什么样的
[14:00] 对
[14:02] 就是因为模型所有的能力来源都是它的数据
[14:05] 它的数据分布决定了这个模型它具有什么的效果
[14:09] 它的效果是否好
[14:10] 是否不达标
[14:12] 对
[14:12] 那这意味着说本身这件事情是值得被抵赞
[14:17] 也可以被抵赞的
[14:18] 那
[14:19] 这个其实是产品经理一个非常重要的工作内容
[14:22] 就是System 1的部分它到底应该是什么样的
[14:26] 对
[14:27] 刚才有提到说模型产品经理它的工作内容是要保证
[14:33] 第一你要能去设计能力
[14:34] 第二你的能力它要能被实现出来
[14:37] 让用户能够感知到
[14:38] 这个其实就是一个对于System 1来说
[14:42] 我甚至认为它会越来越重要的一个能力
[14:44] 而不是比如说前期跟技术更相关的那些工作部分
[14:49] 比如说Evaluation评测这件事情
[14:52] 我们应该是聊过很多次
[14:54] 就是比如说我们第一次聊的时候
[14:56] 我就跟你去讲过对评测的一些理解
[14:59] 可能那个时候它在行业里面还没有太多的讨论
[15:03] 可能直到去年下半年到今年的上半年
[15:06] OpenAI然后ZeroPig
[15:08] 他们里面的这些产品负责人出来去聊说
[15:11] 说产品应该去写Eval
[15:14] 然后应该去定义模型能力
[15:16] 慢慢变成共识
[15:17] 对
[15:18] 所以
[15:18] 这是第一块
[15:19] 就是产品经理
[15:20] 他本身就会对System 1
[15:22] 它的能力到底是什么样
[15:23] 产生决定性的影响
[15:24] 然后第二块
[15:25] 其实是跟我们现在正在做的事情
[15:28] 就会更相关了
[15:29] 就是说当你有了一个好的System 1之后
[15:33] 那如何去把它的价值能够释放出来
[15:37] 因为我们知道说模型
[15:39] 所谓叫Next Token Prediction
[15:41] 那也意味着说
[15:43] 它最终能够实现的效果
[15:45] 它的输出内容取决于前面
[15:48] 它有哪些Token
[15:50] 这意味着说前面的Token会决定后面的效果
[15:53] 那这个Token它其实是有两种产生方式的
[15:57] 一种产生方式是通过模型自己生产
[16:00] 就是它在完成你的任务的时候
[16:04] 去产生更多有效的Token
[16:06] 比如说今天的Rezign的模型
[16:07] 它本质是把用户的简单的需求
[16:11] 基于自己的理解
[16:13] 变成一个Rezign的过程
[16:14] 来去增加有效的Token的数量
[16:17] 最后来去达到这个Token的效果
[16:18] 来达到一个更好的效果
[16:20] 那这个Token它也可以是来自于模型之外的
[16:24] 比如我们今天大家去做Workflow
[16:26] 然后去做Agent框架
[16:28] 然后去建各个领域的所谓的这种专库
[16:32] 它本质上都是在模型之外
[16:34] 来去提供更多有效的Token
[16:37] 或者是叫Context
[16:39] 对
[16:39] 那这一部分
[16:41] 它和前面的模型System1能力构建就不一样了
[16:47] 它完完全全就是
[16:48] 一个产品问题
[16:50] 就是不管是Agent的框架
[16:52] 还是你的Workflow
[16:53] 还是你的专业领域的这种知识的专库
[16:57] 它跟技术没有太大的关系
[16:59] 就是从这个Context
[17:03] 从这个Prompt Engineering
[17:04] 到今天的Context Engineering
[17:07] 它的这个概念一直在变化
[17:09] 但是其实它在技术层面
[17:11] 并不是一个很复杂
[17:13] 或者说是有巨大挑战性的一种系统
[17:18] 其实更多的是你对于这个业务的理解
[17:20] 你对于这个行业的Know-how的理解
[17:22] 如何把它变成System1
[17:25] 它在去生成内容的时候
[17:28] 可以被有效理解
[17:29] 并且在经济上面更具优势的一种Context的一个输入
[17:35] 对
[17:35] 所以就是这两部分
[17:37] 我会认为说
[17:38] 其实今天的产品经历
[17:40] 它的价值反而是被放大了
[17:42] 因为不管是在System1还是在System2
[17:45] 它都有产品能够发挥巨大价值
[17:48] 并且可能是要以产品为主导的这样一个工作模式
[17:51] 你刚才是不是讲到了兰州科技
[17:55] 然后后来你又去了蒙尚
[17:56] 这一段经历你能不能也给大家讲讲
[17:58] 对
[18:00] 兰州其实是国内
[18:02] 应该算最早的几个以预训练技术
[18:06] 来作为核心的Startup
[18:09] 刚才其实有讲
[18:10] 是在ChiaraDB出来之前
[18:13] 兰州科技就已经成立
[18:14] 并且做了很多有价值的这种尝试了
[18:18] 对
[18:18] 但其实公司
[18:21] 周老师他是非常有自己的理念的人
[18:24] 他的理念是模型应该被用起来
[18:29] 而不是应该把它变成是一个越来越大
[18:32] 大家可能都没有办法去用
[18:34] 没有办法去调的一个
[18:36] 这样一个庞然大物
[18:37] 所以兰州他一直有一个理念
[18:39] 就是模型应该越做越小
[18:40] 所以这个是兰州的一个理念
[18:43] 就是可能在ChiaraDB刚出的时候
[18:45] 大家会认为
[18:46] 模型应该越做越小了
[18:48] 模型是不是应该之后越做越大了
[18:50] 但其实今天我们也看到有越来越多的模型
[18:52] 它在落地的时候是朝越来越小的方向去走
[18:55] 对
[18:57] 所以这个是兰州的一个情况
[19:00] 但是它是不是应该先做大再做小
[19:02] 而不是直接就是小的
[19:04] 这是一个路径的问题
[19:08] 我们刚才其实在讲的可能是
[19:11] 最终它要被使用的时候的一个状态
[19:14] 所以它可能是一个终点的问题
[19:16] 路径先做大
[19:18] 再做小
[19:18] 或者是先做小再做大
[19:20] 其实都是有的
[19:23] 比如说小模型它可以去验证一些技术原型
[19:26] 然后通过验证一些技术想法之后
[19:28] 再去scale它的数据和它的参数量
[19:32] 大模型它要为了更好的去商业化
[19:36] 在一些特定的场景里面
[19:38] 它就必须要去做小
[19:39] 所以这里面我觉得它并没有谁对谁错
[19:42] 它是一个路径的问题
[19:45] 然后从兰州的一个路径的问题
[19:46] 然后从兰州的一个路径的问题
[19:48] 从兰州到 Moonshot 这段经历的话
[19:52] 确实和 Child GPT 有比较大的关系
[19:55] 因为当 Child GPT 出来的时候
[19:58] 第一时间大家都认为是 AGI 要来了
[20:04] 可能很快就 AGI 了
[20:06] 没有人能够在那个时间点去抵御说
[20:09] 有机会能够去为 AGI 做一些什么事情的冲动
[20:15] 那我自己在那个时间点去抵御说有机会能够去为 AGI 做一些什么事情的冲动
[20:15] 那我自己在那个时间点去抵御说有机会能够去为 AGI 做一些什么事情的冲动
[20:16] 那我自己在那个时间点去抵御说有机会能够去为 AGI 做一些什么事情的冲动
[20:18] 那我自己在那个时间点去抵御说有机会能够去为 AGI 做一些什么事情的冲动
[20:18] 那我自己在那个时间点去抵御说有机会能够去为 AGI 做一些什么事情的冲动
[20:18] 那我自己在那个时间点去抵御说有机会能够去为 AGI 做一些什么事情的冲动
[20:18] 其实有两个选择
[20:20] 一个选择就是在那个时间点就去抽烟
[20:22] 当然我也去做了一些尝试
[20:25] 因为在 Child GPT 出来之前
[20:28] 我们那会已经有 GPT-3 了
[20:30] 它的接口已经很成熟
[20:32] 包括海外有很多用 GPT-3 来去做出来比较成功的产品
[20:36] 像那会的 Jasper 然后 Copy
[20:39] 包括 Replicar
[20:40] 他们都做得很好
[20:42] 所以当时我们也在去尝试用 GPT-3 的能力
[20:48] 比如去做写作的辅助
[20:50] 去做这种写作的辅助助手
[20:51] 比如在 Notion 里面
[20:53] 可以在你写文字的时候
[20:55] 来去给你提供一些文字的处理能力
[20:58] 来去提供一些补全的能力
[21:00] 这是当时我自己尝试的第一个方向
[21:02] 然后这个方向做了没多久
[21:04] 就是它刚刚跑通
[21:06] 恰恰 GPT 就出现了
[21:08] 那
[21:10] 当时的这个风向就变成说
[21:13] 像 Jasper 像 CopyEye 这类的产品
[21:16] 大家可能都做不下去了
[21:18] 因为你在恰恰 GPT 里面
[21:19] 就可以完成之前所有各种的文章的写作
[21:22] 我自己的话
[21:24] 也是在思考这个事情
[21:26] 就觉得说
[21:27] 可能这个事情它就不 work
[21:29] 你需要去调整一下思路
[21:32] 那去做什么呢
[21:33] 我们就常说
[21:33] 诶
[21:34] 那文字它能够生成的很好
[21:36] 我们就去做它现在生成不了的东西
[21:38] 比如什么呢
[21:39] 比如说
[21:40] 跟代码相关的
[21:41] 就是coding
[21:42] 就跟今天的coding不太一样
[21:44] 就是今天这个coding是另外一个层次的代码的生成
[21:48] 我们当时想的是说
[21:49] 我们去找一个比较简单的代码的场景
[21:55] 就是比如说帮你去画一个很好的图表
[21:59] 就是你输入一个Excel
[22:02] 然后这里面有很多数据
[22:04] 那你想去画一张很漂亮的图
[22:05] 那怎么办呢
[22:06] 对
[22:07] 那这个时候我们就说
[22:08] 诶
[22:08] 那用模型
[22:09] 用当时的这个codex的这个接口
[22:11] 你输入数据
[22:12] 然后你去描述你想要一个什么样的图表
[22:14] 那我去帮你自动生成这样的一个图表
[22:17] 嗯
[22:17] 当然当时的技术是不那么成熟的
[22:20] 里面还是需要去做挺多的优化
[22:22] 才能去把这个好的图表给画出来
[22:24] 嗯
[22:25] 那这个项目
[22:26] 这个demo刚做了一段时间
[22:29] 我们刚刚看到它能够画出一张图表
[22:33] gpt4就出了
[22:35] 嗯
[22:36] gpt4它也能写代码了
[22:37] 它能写Circle了
[22:39] 对
[22:39] 所以这对我们来说就是
[22:42] 又是一次踩到了这个OPI的迭代路径上
[22:45] 啊
[22:46] 因为它已经能写Circle了
[22:47] 啊
[22:48] 那它一定
[22:48] 就当时它也能画图了
[22:50] 只不过它画的可能没有那么好
[22:51] 但它一定会画的更好
[22:52] 对吧
[22:53] 那我就继续去想说
[22:55] 既然上层它的生成能力
[22:58] 未来我假设它什么东西都能生成出来
[23:00] 啊
[23:01] 那就意味着说我们不应该在这一层
[23:03] 再去做任何的产品
[23:05] 嗯
[23:05] 而应该是什么呢
[23:06] 而应该我们把
[23:07] 呃
[23:08] 产品形态往下去
[23:09] 乘一层
[23:10] 啊
[23:10] 因为我们用Longchain用的很早
[23:12] 啊
[23:12] 就是在
[23:13] 恰恰应该是在
[23:15] 二三年的
[23:16] 应该是二二年的年底的时候
[23:18] 我们就开始尝试去用Longchain
[23:21] 啊
[23:21] 呃
[23:22] 会发现说
[23:23] 我们觉得当时可能Longchain的路走歪了
[23:25] 因为
[23:26] 它把一件可能没有那么复杂的事情
[23:28] 慢慢变成像一门编程语言一样复杂的东西
[23:31] 它走了跟当年TensorFlow很像的路
[23:34] 啊
[23:35] 那
[23:35] 这里面就存在机会
[23:36] 我们就说
[23:37] 哎
[23:37] 那有没有可能是把
[23:39] 呃
[23:39] 这种
[23:40] 呃
[23:41] 就今天叫agent啊
[23:42] 当时其实就叫
[23:44] 呃
[23:44] 当时其实叫workflow
[23:45] 就是怎么去把模型的能力
[23:47] 怎么去把
[23:48] 呃
[23:48] 数据源变成一个一个的节点
[23:51] 把这些节点能够串联起来
[23:52] 对
[23:53] 所以我们做了一个比较偏中间层的事情
[23:55] 啊
[23:55] 就是你可以去定义
[23:57] 呃
[23:58] 一个workflow中的节点
[23:59] 然后这个节点你可以去给它指定数据源
[24:01] 然后每一个节点你可以去指定它的prompt
[24:03] 你可以把这些节点给连起来
[24:05] 嗯
[24:06] 啊
[24:06] 啊
[24:07] 其实就很像今天的
[24:08] 呃
[24:08] Code
[24:09] DeFi在做的事情
[24:10] 呃
[24:11] 那这个项目当时也是刚操完demo
[24:13] 啊
[24:14] 呃
[24:15] 当时有机构也是在推这个融资的流程
[24:17] 要商会什么的
[24:18] 那个plugin就出了
[24:20] OK
[24:22] 啊
[24:22] plugin
[24:23] 它本身上是一个非常简单的workflow
[24:26] 但是啊
[24:27] 这代表OK在想同样的问题
[24:29] 嗯
[24:30] 对
[24:30] 所以呃
[24:31] 就是在一在二不在三
[24:33] 但是我已经在所谓这个大模型公司的迭代路径上连续采了
[24:38] 呃
[24:38] 呃
[24:38] 呃
[24:38] 呃
[24:39] 呃
[24:39] 呃
[24:39] 呃
[24:39] 呃
[24:39] ,
[24:39] 呃
[24:39] 三次精准的采到了它迭代路径上
[24:41] 所以呃
[24:42] 我就去反思说这里面到底是什么问题
[24:45] 对吧
[24:46] 那最后我把它总结为说
[24:48] 虽然之前做了这么长时间的这个AI
[24:51] 呃
[24:52] 虽然可能在下跌GPG出来之前就在做预训员模型
[24:56] 但是我对今天的这个模型能力
[24:59] 呃
[24:59] 它到底是怎么出来的啊
[25:01] 它未来会朝什么方向去发展啊
[25:05] 那你做的事情到底和这个模型的能力
[25:08] 它的关系呢
[25:09] 就是你跟它的距离
[25:11] 然后呃
[25:12] 你和它的这个方向啊
[25:13] 是不是match这些这些问题我完全不得而知
[25:17] 对完全没有任何的答案
[25:19] 嗯
[25:19] 啊
[25:20] 那这对于一个产品来讲它是非常危险的事情啊
[25:23] 相当于你是在一个非常虚无的地基上面来去构建你的各种想法
[25:29] 对
[25:29] 所以这是在那个时间点我这个这个放弃掉创业创业这个想法的原因
[25:37] 就觉得还是应该去一个
[25:39] 能够能够近距离观察模型能力的地方
[25:42] 那那刚好是在那个时间点呃
[25:45] 就是和摩根士奥茨内部就是有之前矿石的朋友
[25:49] 呃
[25:50] 对他们这个拉我一块去啊
[25:52] 当时虽然摩根士奥茨还呃不是那么有名
[25:55] 就是当时没有六小龙的说法
[25:58] 但是可能有其他的这个大模型公司他们的资源会更充足
[26:01] 呃
[26:02] 对他们的这个声量会更大啊
[26:04] 但是呃
[26:05] 就是和摩根士奥茨的这个团队接触完之后呃
[26:09] 会觉得说这个应该是我能够更好的去实现刚才说的那个目标的地方
[26:14] 嗯
[26:14] 你刚才说那些产品的尝试都在上下公司尝试的是吧
[26:19] 还是你自己尝试的
[26:20] 呃
[26:20] 是在就公司内有一些尝试
[26:23] 也有一些是在公司外和朋友去尝试的
[26:25] 所以你一直在其实在导致这些事情
[26:28] 对啊
[26:28] 嗯
[26:29] 就是你你一直觉得你自己会创业是吧
[26:31] 啊
[26:31] 是的是的
[26:32] OK
[26:32] 好
[26:33] 然后你去了越芝安面
[26:34] 嗯
[26:34] 当时是几月份啊
[26:35] 二三年的年初应该是应该是三四月份吧
[26:39] 啊
[26:40] 对
[26:40] 是跟team啊
[26:42] 就周星宇
[26:42] 对
[26:42] 因为因为我们是矿事的同事
[26:45] 啊
[26:45] 对
[26:45] 对
[26:45] 之前在矿事的时候也在呃
[26:48] 一些业务上面是一块搭档过
[26:50] 嗯
[26:50] 对
[26:51] 所以
[26:52] 呃
[26:52] 对
[26:52] 所以当时是他来找我说
[26:54] 哎
[26:54] 他们做了一家新的这个模型公司啊
[26:57] 然后看要不要一块去做一些事情啊
[27:00] 然后包括就是就是是从他这里我去了解到了压缩的这个概念
[27:06] 哈哈
[27:07] 对
[27:07] 当时
[27:08] 当时
[27:09] 当时是呃
[27:10] 就是我们俩一块吃饭啊
[27:12] 应该是他跟我讲了差不多三个多小时
[27:14] 这个压缩到底是怎么回事
[27:15] 在哪吃呢
[27:16] 就在五道口的龙仁居啊
[27:19] 啊
[27:19] 对
[27:20] 一直吃到他们下班啊
[27:21] 对
[27:22] 我是完全没有听懂啊
[27:24] 因为因为他讲的全都是公式啊
[27:27] 压缩机智能是吗
[27:29] 对压缩机智能
[27:29] 他后来写了一篇很长的文章里面全都是各种数学公式
[27:34] 他那天大概就是把那篇文章里面的东西用语言的方式
[27:38] 给我讲了一遍啊
[27:39] 所以我完全听不懂
[27:41] 但是但是我大受震撼
[27:44] 对虽然没有听懂
[27:45] 但是大受震撼
[27:46] 呃
[27:47] 那就开始去研究这个事情
[27:49] 就研究压缩的这个概念
[27:51] 往下去往下去想
[27:53] 就找到了那个jake ray的
[27:56] 他有一个视频啊
[27:57] 就是专门去讲呃
