[00:03] 我思考所有的人类的经济史的时候
[07:44] 另外一件事我记得很清晰就是我的一个同学
[07:48] 当时我同学是理科的学这个光学
[07:51] 然后他就跟我说说有一个
[07:54] 网站特别好用
[07:55] 比Yahoo还好用
[07:57] 因为Yahoo当时只能大头是做分类
[07:59] 分类所以
[08:00] 然后他当时说这个
[08:02] 这个网站可以帮你这个搜索
[08:05] 然后当时我就第一次用了Google
[08:07] 然后那时候开始我就开始
[08:09] 广泛的使用这些
[08:11] 互联网的产品
[08:12] 那后来很快就是
[08:14] 国内的这些
[08:15] 这些互联网产品也都在出来
[08:17] 从这个
[08:18] 像百度啊
[08:19] 新浪啊网页
[08:20] 就
[08:21] 这些就
[08:22] 都慢慢都出来了
[08:24] 就是当时我对互联网产品的一个
[08:26] 非常频繁的使用
[08:27] 实际上
[08:28] 构成我当时生活的一个主要方式
[08:31] 所以你上大学的时候刚好是人类开始触网
[08:34] 对
[08:34] 那个背景
[08:35] 上了大学
[08:37] 对
[08:37] 你看你很早学编程
[08:39] 然后又很喜欢上网
[08:40] 你为什么没有想过要去做一个
[08:42] 财经理或者做一个公司
[08:44] 做产品为什么没有成为你的选择
[08:46] 因为我们
[08:47] 相当于怎么说应该是上个世纪
[08:50] 最后一波大学毕业生
[08:52] 我是九云的大学毕业
[08:53] 在那个时候我认为整个在这个工作的
[08:56] 在找工作这个
[08:58] 环境当中可能还是更倾向于去找一些
[09:02] 传统的这个财经类的这个
[09:03] 专业人士的工作
[09:05] 当时并没有
[09:07] 但当时其实在美国这个互联网泡沫已经起来了
[09:10] 就当时这个
[09:11] 那三个指数也都很高了
[09:14] 00年前后
[09:15] 对就00年前后
[09:16] 所以当时是很想
[09:17] 但的确没有所以最后还是
[09:19] 选择了中规中矩就是
[09:21] 进这个外企做了审计
[09:23] 但是当时
[09:24] 我几乎会试用所有的互联网产品
[09:27] 就我可能比一个
[09:28] 互联网的这个
[09:30] 从业的人员可能用互联网产品还
[09:32] 用得更多
[09:34] 所以这是当时的一个
[09:35] 生活的一个现状吧
[09:37] 对那时候的毕业生来说是不是去互联网公司的人非常少
[09:41] 对因为当时互联网公司本身也不多
[09:43] 也没有兴起特别是在国内
[09:45] 对但当时已经起来了
[09:46] 当时几乎一线城市
[09:47] 很多人已经开始可以去
[09:49] 当时的一线大厂
[09:51] 就是这些门户公司
[09:53] 去工作已经开始有了
[09:55] 对于你们来说去金融公司还是一个更好的选项
[09:57] 对当时普遍的这个
[09:59] 应该是这样的
[10:00] 那你做审计
[10:01] 期间就是在你前面几份工作中间有什么有趣的事情吗
[10:05] 因为做审计呢其实
[10:08] 其实对我的这个
[10:09] 影响是很深远的
[10:10] 因为我这个人就是说本身的
[10:14] 文科背景会比较重
[10:16] 所以说对于数字
[10:18] 对于很多这个
[10:20] 非常有逻辑
[10:21] 非常有这个
[10:23] 闭环的这个事情实际上当时的关注度是不够的
[10:26] 所以审计
[10:27] 反正我每次跟我的朋友或者说就是在
[10:30] 我性格方面是非常深远的影响了我
[10:33] 就如果没有审计那段时间的这个培养可能之后
[10:37] 做投资要费劲非常多
[10:39] 他应该变得更理性
[10:40] 当你思考一个问题的时候因为审计它是一个很
[10:44] 严肃的一个
[10:45] 工作所以他会把所有的这个
[10:47] 证据就像写论文你要有各种证据最后你要检查证据然后你还要把所有
[10:53] 当时我们叫
[10:54] 这个cross reference你要把所有的这个
[10:57] 这个参考
[10:58] 指向然后全部把它变成一个
[11:01] 一个闭环
[11:02] 所以这个事情对我是有一个
[11:04] 很大的影响
[11:05] 而且当时
[11:07] 我觉得所以我刚才说好像一切都有点
[11:10] 都也是安排就当时我还从事另外一个跟审计业务有关但是
[11:16] 但是其实当时在审计里面不主流的就是这是一个合规性的一个检查
[11:20] 这个合规性检查是干什么的就是当时
[11:23] 又回到刚刚主题因为加入到WTO之后呢很多
[11:27] 这个全球的名牌在中国去生产
[11:30] 生产它的这个产品
[11:32] 中国是这个全球的制造基地嘛
[11:35] 那这样他就要看这些工厂是不是合规
[11:38] 所以呢当时的这个
[11:40] 国际会计师事务所就要接
[11:43] 接这样的工作去看是不是合规
[11:45] 所以当时我
[11:46] 有很长一段时间是做这方面工作的
[11:49] 所以我当时跑遍了
[11:51] 江浙
[11:52] 山东
[11:53] 上海周边北京周边的这些工厂
[11:56] 就造什么都有
[11:57] 就看他们是不是合规这个跟财务审计不太一样
[12:00] 就当时有做衣服的
[12:02] 做玩具的
[12:03] 做电子产品的
[12:05] 领带的就是什么什么都有
[12:07] 所以到后来
[12:09] 做这个工作可能只是我职业生意当中很短一段时间
[12:14] 但是后来
[12:15] 就当我接触到有一些
[12:17] 带工厂的这个项目或者带这个
[12:20] 材料类
[12:21] 其实
[12:22] 这段经历对我的帮助是非常大的
[12:24] 因为我对中国的所有的这些工厂
[12:26] 它是有一个
[12:27] 直观的印象
[12:28] 因为你去看合规的时候你要每个厂
[12:31] 每个区域每个生产线你都要去看
[12:33] 你甚至要去看这个
[12:35] 员工的这个区域
[12:37] 所以我说那段时间就
[12:39] 到我真正做投资到我真正去看第一个新材料公司
[12:44] 我再回到工厂的时候其实已经过去
[12:47] 小十年了
[12:48] 所以这个对我的帮助
[12:50] 非常大我突然想起原来我当年还有这么一段工作经历
[12:53] 那你那个审计的职业生涯有多长
[12:56] 我审计了三年
[12:58] 后来我又做了三年的这个管理咨询
[13:01] 就流程类的这个管理咨询
[13:04] 对因为当时其实这也是就是后来
[13:07] 在投SaaS的时候呢就是
[13:09] 我也回头看就是
[13:11] 我才突然想起其实当时我那段
[13:14] 这个管理咨询很像是SaaS里面的定制化的一个过程
[13:17] 因为当时
[13:18] 第一波的这个全球的软件产品进中国
[13:21] 就是包括SAP啊
[13:23] Oracle
[13:25] 然后当时还有PeopleSoft
[13:26] 当时还有比如像做预算软件叫Hyperion
[13:29] 就大量的软件进中国进中国之后呢
[13:33] 就怎么说就用咱们后来的话说就说这些标准产品是需要别人来实施的
[13:37] 你需要帮客户去定一流
[13:39] 让流程跟软件相配合
[13:42] 其实现在看就定制化对吧
[13:44] 对所以当时就干了很长时间这个工作
[13:47] 这个很有意思所以当2018年
[13:50] 18 19年就当时我去看也是去看这个SaaS的软件市场的时候
[13:55] 这段经历又在我这个记忆里复活了
[13:58] 当时我也干了差不多三年时间
[14:00] 所以我做这个
[14:02] 这个英文叫professional就是做了六年时间
[14:05] 然后才转向做这个投资相关的工作
[14:08] 所以这六年给我这个印象
[14:09] 是很深的而且这六年
[14:12] 又是中国互联网高速发展
[14:13] 然后所有的产品我拼命用
[14:15] 然后美国的产品我也用
[14:17] 只要有空就都用这些产品
[14:19] 我觉得你前面这六年的工作经历其实非常的偏理性
[14:23] 非常偏流程但是好像你这个人给人的感觉不是这个style对吧
[14:26] 还是非常偏直觉派的
[14:29] 就为什么会有这种就是反差呀
[14:31] 这个反差当时这六年基本是两条线嘛
[14:35] 我就是一方面我可能是一个
[14:37] 最好的
[14:38] 最好的之一
[14:39] 就是互联网的试用人员
[14:42] 所有新产品我都用
[14:44] 然后另外一条线呢
[14:45] 产品承监官
[14:46] 对
[14:47] 后来就是
[14:49] 另外一条线就是我在实际工作当中呢
[14:52] 又是要完全精确到小数点后两位
[14:55] 我们当时这个
[14:56] 然后所有的数字全部要配屏
[14:58] 然后所有的证据要全部具备
[15:00] 那做这个
[15:02] 流程的这顾问的时候那所有的这些流程的文档
[15:05] 最后你都要非常细致的交付给这个客户
[15:08] 嗯
[15:09] 所以这就是
[15:10] 两线的这个性格特点吧
[15:13] 你当时做这些工作的时候你觉得喜欢吗
[15:17] 呃当时
[15:19] 当时算一个知之者
[15:20] 叫知之者不如好之者
[15:22] 我当时应该算是兴趣不大
[15:25] 但是呢
[15:25] 我觉得我也能干的还可以
[15:27] 是这样一个状态
[15:29] 怎么转向投资的
[15:31] 当时其实还是有一些
[15:34] 机缘巧合吧
[15:35] 就说因为当时在
[15:36] 05年的时候其实中国互联网的这个
[15:39] 第一波这个门户的这个
[15:42] 战斗基本上这个格局相对
[15:44] 固化然后呢新一代的这个
[15:47] 公司纷纷登场
[15:48] 无论是腾讯在那个时代腾讯阿里
[15:51] 盛大这都是新一代的公司
[15:53] 所以当时
[15:55] 我正好我同学是在这个
[15:57] 盛大工作
[15:58] 啊当时是然后他有一天跟我说我印象特别深
[16:01] 他说
[16:02] 他说其实这个盛大是中国最大的互联网公司
[16:05] 他超过所有的这个
[16:07] 其他这个互联网公司收入的总和
[16:09] 当时我非常吃惊
[16:10] 然后当时我就
[16:11] 第一次想我已经
[16:13] 每天这个
[16:14] 这个在工作之余已经上了6年网了
[16:17] 为什么我自己不到一个互联网公司去工作呢
[16:20] 对所以当时
[16:22] 正好盛大也给了我一个机会啊
[16:23] 就当时我去盛大因为我
[16:25] 整个这个工作背景
[16:26] 不太适合
[16:27] 上来就直接做这个
[16:29] 产品
[16:30] 其实我还挺喜欢做产品
[16:31] 所以当时
[16:32] 盛大也是
[16:34] 刚刚组建投资部不久
[16:36] 所以当时我就加入这个盛大投资部去做这个
[16:39] 投资
[16:40] 那时候做投资是一个什么样的感觉在市场上
[16:42] 市场上项目多吗投什么呢
[16:44] 那时候市场项目
[16:46] 其实没有那么多
[16:47] 但其实创新点还是足够的
[16:49] 然后呢大家可能每年就是
[16:51] 投个
[16:52] 小几个项目
[16:53] 只是我的感受啊
[16:54] 不代表这是这个当时的这个
[16:56] 这个统计
[16:57] 所以当时
[16:58] 我在盛大
[16:59] 投资部的时候正好是整个
[17:01] 盛大孵化包括后来的阅文
[17:04] 当时是
[17:05] 叫起点
[17:06] 然后当时还有一些
[17:08] 比如说动态的
[17:09] 这个密码技术
[17:10] 这都是我当时印象
[17:11] 印象比较深的
[17:13] 然后还有这个
[17:15] 当然游戏类的就更多啊还有这个比如线下的这个
[17:19] 网吧类的游戏
[17:20] 然后还有各种各样这个对战类的游戏
[17:23] 所以当时是
[17:24] 怎么说呢就说在
[17:26] 中国互联网第一波基础设施完成之后
[17:29] 第一次这个百花齐放就各种各样新的应用出来了
[17:32] 电商
[17:33] 游戏
[17:34] 然后包括QQ
[17:36] 所以在第一波之后出来的这样一个阶段
[17:39] 从05年到10年左右吧
[17:42] 现在回看05年到10年最值得投的几个项目是谁
[17:46] 当然可能是现在那几个巨头
[17:48] 但那时候他们其实已经上市了
[17:50] 就但是如果那时候买股票很可能比这个
[17:53] 比VC的这个回报还要好一些
[17:55] 投二级
[17:56] 对就当时
[17:57] 就当时在他们那个估值下和这个发展前景下就大家都没有想到后面是
[18:01] 这么大一个数字宝的朗充
[18:04] 你觉得在盛大的那几年你学到最多的是什么呀
[18:07] 这是第一段投资生涯
[18:09] 因为在盛大的时候是
[18:12] 这可能是我到目前为止唯一一次进入到一个实体公司
[18:17] 既不是一个专业公司也不是一个投资公司
[18:19] 它是一个实体公司
[18:21] 所以它也构成了可能
[18:24] 之后很多年我对一个互联网公司的想象
[18:27] 你部门之间怎么合作
[18:28] 然后
[18:29] 怎么推一个新产品
[18:31] 然后比如说怎么去做这个商务的拓展
[18:34] 怎么跨国家或者跨地域去
[18:38] 做这种运营的
[18:39] 或者是运营的增值服务
[18:41] 反正见到了很多
[18:42] 这也是一个宝贵的财富
[18:46] 因为之后我再也没机会
[18:47] 因为每个人的人生都很有限了
[18:49] 你没有机会再进入到另外一个大厂去看了
[18:51] 当时的确是中国
[18:53] 最领先的
[18:55] 最领先和规模最大的互联网公司
[18:57] 你当时有觉得我这一辈子就要干投资这个事了吗
[18:59] 因为前面有做过审计有做过咨询
[19:02] 投资其实是第三次尝试嘛
[19:03] 你当时觉得
[19:04] 我觉得我更适合干这个事情
[19:06] 有这种感受吗
[19:07] 对
[19:09] 2007年的时候呢
[19:10] 2007年的时候当时
[19:11] 也是我们一波上大同事
[19:13] 等于说做了
[19:15] 一个基金那个
[19:16] 知心资本
[19:17] 当时我们跟着这个
[19:18] 当时上大前CFO我们做了
[19:20] 这个知心资本
[19:21] 是这样过去的
[19:22] 对
[19:23] 然后
[19:23] 从那时候开始的转成这个
[19:26] 财务的这个投资
[19:27] 那转成财务投资之后
[19:29] 我印象比较深
[19:31] 什么时候我觉得
[19:32] 这可能是我一辈子的这种工作
[19:34] 就是因为
[19:35] 的确
[19:36] 多半对我的印象是很大的
[19:38] 因为当时
[19:39] 整个
[19:40] 在
[19:41] 第一波PC互联网完成之后呢
[19:43] 其实进入到了web2.0的时代
[19:45] 其实就是
[19:46] 现在看就是review的这个时代
[19:49] 这个相当于是用户的评价
[19:51] UGC的内容
[19:52] 然后来
[19:53] 构成这个网站主要的这个
[19:56] 无论是内容也好平台也好
[19:57] 当时我对这个形态是非常非常感兴趣
[20:00] 因为当时我第一次看到
[20:02] 应该是美国的网站Delicious
[20:04] Delicious它是一个评价这个网站的一个
[20:08] 这么一个
[20:09] 平台
[20:10] 但是当时我就会发现在这上可以找到很多很多小众的网站
[20:13] 这个
[20:14] 是原来
[20:15] 像雅虎这样的分类
[20:17] 分类目录和像谷歌这样的主动搜索
[20:20] 你都是不可能找到的
[20:21] 主动搜索你必须要知道你要找什么
[20:24] 但是这样就可以让你知道很多很多你原来不知道的东西
[20:27] 然后就在这个时候
[20:29] 我发现了这个多半
[20:31] 当这个过程
[20:32] 不是发生07年
[20:33] 其实在05年
[20:34] 就多半05年上线我就发现了
[20:36] 所以在整个那个过程当中
[20:38] 我就一直对这个是充满了兴趣
[20:41] 然后我想这个应该属于
[20:43] 非常人类
[20:44] 前沿的这种行为模式的探讨
[20:46] 那这个事情就非常符合
[20:49] 就是我想
[20:50] 想了解这个世界是怎么运作的这样一个事情
[20:52] 所以从那时候开始我觉得有可能这是我
[20:55] 有可能是我这个终身的职业
[20:58] 05年为什么没有出售
[21:00] 你说为什么没有投豆瓣
[21:02] 05年其实我写过一个报告
[21:04] 豆瓣出售的时候我是在内部写过一个报告
[21:07] 这个形式
[21:08] 非常新颖
[21:10] 然后
[21:11] 当然其实当时05年我也开始
[21:14] 比较多的使用点评
[21:16] 所以当后来
[21:17] 这两个
[21:20] 公司无论是我原来
[21:22] 在这个之前还是后来在
[21:24] 这个
[21:24] 红杉
[21:25] 基本上
[21:26] 我们这两个基金也都是
[21:27] 这两家公司股东
[21:29] 就是这两个公司实际上对我的
[21:31] 当时的这个
[21:32] 对职业方向的这个判定是有很大的影响
[21:35] 因为我觉得太有意思了
[21:36] 同时他可能是个milestone吧
[21:38] 就是从那个时候开始我意识到了
[21:41] 一些东西我意识到了
[21:43] 因为他之前的互联网实际上都是人的一个主动行为
[21:47] 就我主动看
[21:48] 主动搜索
[21:49] 当那个时代我突然发现
[21:51] 原来
[21:52] 这个世界是可以向你反馈
[21:54] 你喜欢但你不知道的东西
[21:56] 这个触动你的是什么
[21:58] 这个最触动你的是什么
[21:59] 最触动我的是对认知形态的一种改变
[22:04] 同样我今天人工智能也是这样就他
[22:07] 就像我刚才说的无论你看不看得到什么
[22:08] 或者看网页搜索网页
[22:10] 这本来都是你单向行为
[22:12] 突然通过UDC和这样一个简单的方法
[22:15] 其实他当时
[22:16] 我认为并不涉及
[22:17] 很多很复杂的
[22:19] 这个技术的革命
[22:21] 没有
[22:22] 当时的所有的这个
[22:24] 最开始薄厚的后来宽带
[22:26] 所有的技术设施是完善的
[22:27] 在这种情况下
[22:28] 出现了巨大的
[22:30] 产品创新
[22:32] 但同一时期你看美国这个Facebook这些
[22:35] 这些都是产品创新对吧包括
[22:37] LinkedIn
[22:38] 所以我当时就觉得这是一个
[22:41] 探索人类行为模式和理解世界的一个好的方法
[22:44] 你当时见阿北是一个什么样的场景
[22:46] 你喜欢他吗
[22:47] 当时我觉得我见到他的时候可能
[22:51] 的确他就反映了这个产品的气质
[22:54] 他本人和这个产品是
[22:56] 是完全合一的
[22:58] 他完全是
[22:59] 怎么说呢就说
[23:00] 这可能是他内心
[23:02] 内心世界的一个投射
[23:04] 对一个投射
[23:06] 你们有什么样的交流
[23:07] 你还印象比较深的吗
[23:08] 当时都比较深
[23:09] 当时
[23:11] 当时我跟他在这个
[23:13] 我还记得就当时是在
[23:15] 北京望京的这个雕刻时光的这个咖啡馆然后
[23:18] 然后我们俩
[23:19] 聊了很久
[23:19] 就关于这个产品
[23:20] 就那天我印象很深
[23:22] 第一次见面
[23:24] 对第一次见面是
[23:25] 09年
[23:26] 其实当时
[23:28] 点评和作伴应该是
[23:30] 微博2.0的极大成者吧
[23:33] 在当时那个时间就
[23:35] 差不多09年到11年都应该是极大成者
[23:38] 所以后来我也
[23:40] 也有幸认识这个
[23:42] 点评的这些诸位创始人
[23:43] 包括这个
[23:44] 张涛啊对
[23:46] 你第一次见张涛是一个什么样的创建
[23:48] 你觉得张涛的气质和阿北
[23:50] 是不是很不一样
[23:52] 对如果你说
[23:53] 因为我并不是那么早的见到了
[23:55] 张涛
[23:57] 所以我是11年见到
[23:58] 张涛的时候
[24:00] 当时他公司其实有一定规模
[24:02] 我觉得张涛
[24:04] 应该是一个更
[24:06] 更成熟的这个
[24:07] 有
[24:08] 这个有敏感产品洞察力的企业家风格的
[24:11] 一位企业家
[24:13] 这是我当时的一个很深的感受
[24:14] 就当时
[24:15] 点评是
[24:16] 非常成建制的一个团队
[24:19] 反正我觉得那段时间是我最集中思考这个微博2.0的这个
[24:24] 创业
[24:25] 但现在回头看微博2.0实际是在
[24:28] 人类社会第一次数字化之后
[24:30] 然后做了一波
[24:32] 线上内容的产品创新
[24:35] 所以到再下一步的时候
[24:37] 到这个
[24:38] 比如说共享经济
[24:39] 混单车的时候实际上是相当于是又做了一次
[24:42] 线下的一个大规模的创新
[24:44] 就线上线下
[24:46] 结合的大规模创新
[24:47] 所以这个还是
[24:49] 非常有意思
[24:50] 对
[24:51] 就那时候是纯线上
[24:52] 一开始
[24:53] 这个大家都是一些信息的交往
[24:55] 你是不是经济史爱好者
[24:57] 对
[24:58] 我非常喜欢经济史
[25:00] 把过去20年你所经历的这个中国风投的
[25:02] 整个周期你会划分成那几个阶段
[25:05] 尤其是里面的一些代表案例你们跟我们分享一下
[25:08] 其实我划分这个呢
[25:10] 我是这样想
[25:11] 就是
[25:12] 一开始呢
[25:13] 我觉得应该是05年以前
[25:14] 05年以前实际上是一个
[25:16] 非常初创
[25:18] 非常
[25:19] 这个
[25:20] 从零开始的阶段
[25:21] 因为在那个阶段
[25:23] 整个的这个相当于是
[25:25] 信息都没有线上化
[25:27] 所以在那个阶段
[25:28] 出现了大量的门户
[25:29] 这个跟美国是一样的
[25:31] 像新浪啊搜狐啊
[25:33] 网易啊就出现了大量这个
[25:35] 门户公司
[25:36] 门户公司把这个
[25:38] 第一波互联网流量
[25:40] 就等于说占据了
[25:41] 那这个格局实际上就是在
[25:44] 05年以前就形成了
[25:46] 当时的创业公司就应该是像这个
[25:48] 腾讯
[25:49] 掌握了这个信息
[25:51] 信息的这样一个入口
[25:52] 百度掌握搜索
[25:53] 因为他们都不是单纯的
[25:55] 这个门户流量
[25:57] 然后盛大掌握了这个
[25:59] 盛大掌握了游戏
[26:01] 甚至当时盛大也签了很多的
[26:03] 这个音乐的版权
[26:04] 内容的版权
[26:05] 因为当时起点也在盛大
[26:07] 就是今天的
[26:08] 乐闻
[26:08] 所以当时这一批公司实际上是创新的公司
[26:11] 你应该这样看
[26:12] 他们在门户时代的这个流量里面
[26:15] 他们把这些流量
[26:17] 抢回去了
[26:18] 做划分
[26:19] 然后他们
[26:19] 崛起
[26:20] 其实当时他们也就是
[26:22] 以今天的估值看
[26:23] 可能当时这个购买力评价不一样
[26:25] 以今天的估值看
[26:26] 其实他们当时也就是
[26:27] 独角兽公司
[26:29] 或者可能是
[26:30] 小几个编程的公司
[26:32] 其实今天看他们
[26:33] 在那个时代是创新者
[26:35] 对
[26:35] 那么到了
[26:36] 05年到10年
[26:37] 那就是这些
[26:38] 公司大放异彩
[26:39] 他们占据了主要的这个
[26:41] 流量的高低
[26:42] 他们把这个PC时代的这个
[26:46] 流量格局把握了
[26:48] 那么10年之后
[26:49] 一个崭新的这个流量入口开启
[26:51] 对吧
[26:52] 然后就开始
[26:53] 把新的一波的移动回来我们的革命
