[00:05] Hello 大家好,我是小骏
[00:07] AI 业界有两个尧舜宇
[00:09] 一个从OpenAI跳槽到了腾讯
[02:29] 最重要的特质就是靠谱
[02:32] 对自己做的事细
[02:34] 然后对自己做的事负责任
[02:35] 这是最重要的特质
[02:42] 硅谷不是有两个姚舜宇吗
[02:44] 你要不要先给大家介绍一下你自己
[02:46] 然后给大家科普一下两个姚舜宇的区别
[02:50] 可以
[02:51] 对就是
[02:52] 我叫姚舜宇
[02:53] 然后
[02:54] 显然也有一个跟我
[02:55] 几乎同名的
[02:57] 朋友
[02:57] 然后
[02:58] 我们俩主要履历也有一些overlap
[03:01] 所以说可能
[03:02] 看起来非常的难以区分
[03:03] 然后
[03:04] 我是我以前是做学物理的
[03:07] 然后我本科时候在清华
[03:10] 那时候做云太理论
[03:12] 然后后来去斯坦福
[03:14] 做
[03:15] 理论高能物理
[03:16] 然后和量子信息
[03:17] 黑洞相关的一些方面
[03:19] 然后离开斯坦福之后去
[03:22] 伯克利短暂的待了
[03:24] 两个星期的postdoc
[03:25] 过后
[03:26] 然后就离职了
[03:28] 去了Anthropic
[03:29] 然后在Anthropic待了一年
[03:32] 去年9月底10月初的时候加入了Gemini
[03:36] 对然后
[03:37] 如果大家非要区分的话
[03:39] 我觉得最大的区分就是
[03:40] 那个顺宇他一开始就是一直都是做
[03:43] CS就是计算机相关的
[03:45] 然后
[03:46] 我其实
[03:46] 从某种意义上来说是个半道出家
[03:49] 对就是
[03:50] 我之前是做理论物理为主的
[03:52] 你们是不是好朋友
[03:54] 你们好像大学就认识而且是一级的对吧
[03:56] 他是一个什么样的人你是一个什么样的人
[03:58] 评价一下他
[03:59] 你也评价一下自己
[04:01] 对我们本科就认识
[04:02] 因为我们本科是一级的然后在清华
[04:04] 但他一开始就是
[04:05] 学计算机的嘛
[04:06] 所以他在那个摇班
[04:07] 我就在计算机科学实验班
[04:08] 然后
[04:09] 我学物理所以我在计算机班
[04:11] 对然后
[04:12] 后来他去了普林
[04:13] 我去了斯坦福
[04:14] 这可能也是
[04:15] 另一个有点
[04:16] 令人费解的点就是
[04:18] 好像这个
[04:19] 普世世界里觉得斯坦福应该是学计算机的人该去的地方
[04:23] 然后觉得普林斯顿是学物理的人该去的地方
[04:25] 但我俩之后反过来
[04:27] 所以说也可能
[04:28] 产生了一些费解的事情对
[04:30] 然后我俩其实
[04:31] 也
[04:32] 还真的挺不一样
[04:33] 我觉得他是一个比我有趣的多的人
[04:35] 我觉得我从他身上也是
[04:37] 在过去也是能学习到了一些
[04:40] 和我很不一样的点
[04:41] 比如说他可能花了很多时间去
[04:43] 思考比如在AI方面他花了时间去思考就是人和AI的
[04:48] 交互呀然后包括一些
[04:49] 产品上的事情
[04:51] 然后我觉得
[04:51] 其实对我来说
[04:53] 是一个很不一样的朋友
[04:54] 然后我也从他那儿学到了很多东西
[04:56] 你们之前在硅谷的时候多久见一次面了
[04:58] 你们现在是不是还频繁打电话
[05:00] 多频繁
[05:01] 我们在硅谷的时候
[05:04] 见面确实挺频繁的
[05:06] 可能没几个现面
[05:07] 有几个星期吧
[05:08] 但是好像
[05:10] 见面主要是为了凑一块玩
[05:11] 玩啥
[05:13] 就是
[05:14] 真的就是纯玩
[05:15] 就是可能出去散散步
[05:17] 扯扯有的没的
[05:18] 然后
[05:19] 可能有时候吃个饭打个牌之类的对
[05:22] 对然后他回去之后其实我们也
[05:25] 也还是经常会打电话
[05:27] 最近一次电话聊事了
[05:28] 好像就是前一两个星期
[05:31] 你怎么知道的
[05:32] 可能就是
[05:34] 会过几个月然后
[05:36] 然后就开shop在家
[05:37] 大家最近的近况吧
[05:40] 他是不是多次想把你拉过去
[05:45] 可能有这个意思吧
[05:46] 但是我觉得
[05:48] 不关键不关键
[05:50] 你为什么不去
[05:51] 我觉得
[05:52] 对我自己来说我没想清楚吧
[05:55] 我觉得多半是我自己的原因
[05:57] 然后
[05:59] 我也没有去任何
[06:01] 中国的地方
[06:02] 然后我觉得主要原因是因为
[06:04] 在
[06:05] 去年的
[06:07] 九月或者八九月这个时候我觉得
[06:09] 那时候我离开
[06:10] 离开Answerfic然后
[06:12] 离开之后
[06:13] 决定要去哪时候最大的动机是
[06:16] 我想学一些不一样的东西
[06:18] 对我来说我可能就没有去考虑
[06:21] 没有没有更着重的去考虑说
[06:24] 能够我去领导一个项目
[06:25] 或者领导一个project之类的
[06:27] 我更多的是
[06:28] 是那个时候更多的是
[06:30] 优先去学习一些东西
[06:31] 所以那个时候选择去了Gemini
[06:34] 我发现你们两个老辈放在一起
[06:36] 比较和讨论
[06:37] 对你来说是困扰更多还是享受更多
[06:39] 我没什么感觉
[06:40] 然后
[06:41] 因为我这个人
[06:43] 也
[06:44] 不太关注社交媒体
[06:46] 所以我其实真的没什么感情
[06:50] 因为那个顺宇他之前在去年的时候说
[06:53] AI进入了
[06:54] the second half
[06:55] 进入下半场这个
[06:56] 成为了一个非常
[06:58] 有名的观点
[06:59] 你觉得今天的AI在一个什么样的时期
[07:01] 你能给他一个定义吗
[07:03] 对我觉得
[07:04] 对我来说我可能
[07:06] 看的没有那么清楚什么叫做上半场什么
[07:09] 叫做下半场或者说这个定义一直以来对我并不是特别清楚
[07:12] 对我来说确实现在AI进入到了一个阶段就是
[07:16] 我觉得大家都已经开始不那么担心一件事AI是不是能够做得到
[07:21] 而是担心这件事是不是被良好定义
[07:24] 对我觉得这是一个很大的区别
[07:26] 比如说我觉得一年之前就是
[07:29] 可能去年年初的时候
[07:30] 那时候
[07:31] 我在Atopia然后
[07:33] 大家可能
[07:34] 担心的事情还是说
[07:36] OpenAI这个
[07:37] reasoning做的这么强我们有没有机会能够追上
[07:40] 然后有多大的
[07:41] 机会能够超越它
[07:42] 大家还很担心这个事
[07:44] 我觉得现在就是在任何
[07:46] 至少在Gemini
[07:47] OpenAI和Sorbet这三家当中我觉得没有哪一家
[07:50] 会真的担心自己追不上
[07:53] 然后我觉得可能现在对大家更难的事情是
[07:57] 是想明白要去做什么
[07:59] 这个是一个
[08:00] 我觉得是一个
[08:02] 是一个Bat是一个赌
[08:03] 但是也是
[08:05] 我觉得也是一个很
[08:06] 需要人的insight的事情
[08:10] 那这也意味着模型的能力被拉平了对不对
[08:14] 它变得同质化变得商品化所以模型没有
[08:16] 很大的
[08:18] 区别
[08:18] 就是在好坏上没有很大的区别但是它需要分化
[08:23] 我觉得从用户的实际体验上来说
[08:27] 这三家的模型是能够感受到区别的
[08:29] 但是
[08:31] 难的一点是过去这个区别在纸面上也能看出来
[08:35] 在纸面上是指
[08:37] 就是比如说像
[08:37] 公开的有很多这种Benchmark
[08:39] 这种测量的规范
[08:41] 然后比如说大家以前能够去看SweatBench
[08:44] 对对对能看SweatBench
[08:46] 然后可能数学大家那时候会比
[08:48] 像简单一点的AME
[08:50] 然后难一点的像AMO
[08:51] 那个时候感觉就是
[08:53] 你从纸面上就能看出来
[08:54] 这个模型好像reasoning强一点
[08:56] 那个模型好像coding强一点
[08:58] 那个模型这个强一点
[08:59] 现在就是纸面上大家其实都比较相近
[09:02] 然后你去看那个纸面上的消息
[09:04] 比如看SweatBench你会发现
[09:06] 好像好的会比不好的可能高一点
[09:07] 或者一个百分点或者两个百分点
[09:09] 但其实大家都在80%附近
[09:10] 那个附近数字高一点低一点
[09:13] 其实主要是noise
[09:16] 就主要是噪声而不是信号
[09:19] 但是从另一方面来说
[09:21] 大家使用上确实还是能体现出区别的
[09:23] 我觉得就我个人了解到的信息而言
[09:29] Cloud目前仍然是比较通用的这种工具使用类的
[09:34] agent表现最好的
[09:37] 然后
[09:37] 在纯粹coding的方面可能
[09:40] 最近codex稍微追上了一点
[09:43] 把这个中间的gap变小了一点
[09:45] 然后Gemini可能在纯的reasoning
[09:49] 然后和一些比较日常的使用环境下
[09:53] 可能目前还是比较好的
[09:55] 然后在coding和agent上还处于一个比较在
[09:59] 在接近的这个状态
[10:01] 这些能力他们是有意选择我优先发展哪个方向
[10:04] 还是说他就是好和坏的区别
[10:07] 还是说他就是好和坏的区别
[10:07] 就是他是能力问题还是意愿问题
[10:10] 我觉得其实是有意愿的成分在的
[10:14] 尤其在过去的情况下主要是意愿
[10:17] 就是当大家能从纸面上就看出区别的时候
[10:21] 那时候意愿肯定是占大多数的
[10:24] 因为可能像Cloud就一直更看重这种使用工具的能力
[10:30] 然后包括coding
[10:32] 可能OPI有一段时间非常看重reasoning
[10:34] 当然现在也开始看重coding了
[10:36] 那时候肯定是意愿的成分
[10:37] 因为你花你更有意愿的话就意味着你能花更多的精力去
[10:41] 因为你花你更有意愿的话就意味着你能花更多的精力去
[10:43] 构建合适的基础设施合适的infra
[10:43] 构建合适的基础设施合适的infra
[10:45] 构建合适的数据
[10:47] 然后尤其数据他是一个
[10:50] 从某种意义上来说很花时间很花精力的事情
[10:53] 对所以说
[10:54] 那个时候肯定是意愿专注的
[10:56] 但是到现在这个时候呢
[10:59] 我觉得两方面其实都有
[11:01] 因为
[11:02] 其实
[11:04] 因为纸面都看起来差不多
[11:06] 然后
[11:06] 其实甚至你就
[11:07] 做一些更内部的测试来说这个数字
[11:11] 也都变得
[11:12] 差别没有那么大了
[11:13] 然后
[11:14] 这时候更难的事情就是
[11:17] 你该怎么去定义问题
[11:18] 定义你想要的行为
[11:20] 然后
[11:21] 在这个事情没有定义的那么清楚的时候
[11:24] 模型的很多差异其实来自于一些
[11:28] 其实是你想想不到的事
[11:31] 想象不到的事指的是
[11:33] 我觉得
[11:35] 当然想象不到的事就是
[11:37] 你现在
[11:37] 现在去问其实我很难给你一个特别清楚答案
[11:40] 可能过一段时间之后回过头来看我才能给一个清楚答案
[11:43] 但是
[11:43] 我可以举一个
[11:46] 想象不到的例子吧
[11:47] 就是比如说
[11:49] 比如说退回往回退可能一年两年甚至三年的时候
[11:53] 那时候如果你比如说去网上
[11:56] 取这些预训练的数据的话
[11:59] 你可能训练一个模型就会发现模型在
[12:02] 写代码那时候当然没有这种agentic的写代码
[12:05] 他都是写一段代码
[12:06] 那时候你会发现模型好像是一段代码
[12:07] 写代码会写得很好
[12:09] 但是可能那时候大家不知道为什么
[12:11] 但是
[12:12] 这个里面意外的原因可能就是你从网上随便的去
[12:14] 如果不做任何的
[12:16] 数据的筛选的话
[12:17] 自然的这个code data的质量就会比别的高一点
[12:22] 因为你去看网页你会发现
[12:24] GitHub的
[12:25] 质量是显著比别的正常网页要高的
[12:28] 那在进入我们今天主题之前我想先聊聊我们最近模型的一系列的禁闻
[12:33] 就是
[12:34] 你看最近大家都在考论opencloud
[12:36] 嗯
[12:36] 你作为一线的
[12:37] 研究员你对这个新的产品形态是怎么看的
[12:40] 你周围有哪些讨论
[12:42] 我觉得
[12:43] 有趣的是
[12:45] 我感觉这个事情在
[12:47] 业外的讨论
[12:49] 好像比业内的讨论更激烈
[12:51] 哦业内没有人讨论
[12:53] 业内有人讨论
[12:54] 但是
[12:55] 我觉得
[12:55] 对于业内的人来说他并不是一个
[12:58] 特别令人惊讶的事
[13:00] 我怎么说
[13:01] 就是可能在公司内部也有人
[13:04] 已经做了
[13:05] 类似的
[13:06] 这种这种实验
[13:07] 或者这种demo
[13:08] 只是可能并没有作为一个
[13:10] 呃
[13:11] 产品去很认真的宣发然后把它打磨然后发出去
[13:15] 对然后
[13:16] 当然实实情况就是你去看这个opencloud
[13:18] 最早版本的github的那个code
[13:20] 其实那个code也就
[13:22] 呃
[13:23] 从某种意义上说写的也不是特别的干净
[13:25] 但是我觉得他很重要的事是他
[13:28] 呃
[13:28] 给大家展示了这种可能性
[13:30] 嗯那可能
[13:31] 展示这种可能性之后未来
[13:33] 呃
[13:34] 像opencloud作者自己也加入了我来然后呢
[13:37] 可能就是这些呃模型的
[13:40] 的实验室或者说一些
[13:42] 呃大一点创业公司会很快跟上
[13:44] 然后把这个东西打磨成一个真正可用的产品
[13:46] 嗯对
[13:46] 所以我理解其实在opencloud发布之前
[13:48] google就已经有人在做这个事情了
[13:50] 只是还没有发布
[13:51] 因为大公司的流程比较长
[13:53] 对我我我的我至少我个人
[13:57] 呃
[13:57] 所
[13:58] 所得到印象是这样的
[14:00] 所看到的是这样对
[14:01] 所以这种类opencloud这种产品形态背后
[14:04] 它本身说明了什么
[14:05] 在今年出的这个时间点上
[14:07] 我觉得
[14:08] 其实
[14:10] 其实呃
[14:12] 我觉得技术上来说其实并不能说明什么
[14:14] 就是说
[14:14] opencloud这个
[14:16] 这个产品当然它依赖于
[14:18] 模型能做的很多事情
[14:20] 嗯
[14:20] 但是那些事情的能力其实并不是到今年
[14:23] 年初才
[14:24] 准备重组
[14:25] 我觉得可能在去年就是像
[14:27] opus发布4.5然后
[14:30] 呃然后
[14:32] 当然那时候opus其实比比
[14:34] openai和Gemini3在to use的能力上都要强一些
[14:37] 嗯
[14:37] 在那个时间点其实你做这个事这个事就已经是可以展示出来
[14:40] 嗯然后其实它
[14:42] 它
[14:43] 一开始发布也没有立即就活
[14:44] 它就是发布了之后过一段时间才活起来
[14:47] 嗯所以说
[14:48] 呃我觉得可能
[14:50] 对我来说技术上它并不是一个
[14:52] 呃
[14:53] 并不是一个就是说
[14:55] 那么令人惊讶的事
[14:57] 它是模型能力的自然益处
[14:58] 对对对我会这样觉得但是我觉得它可能
[15:01] 一个对于大家的惊喜是说以前可能大家都没有意识到
[15:04] 嗯
[15:05] 它让大家意识到这件事可以做
[15:06] 意识到什么
[15:07] 就意识到了这个你可以
[15:09] 让模型做很
[15:10] 就是你可以控制很多不一样的模型
[15:12] 然后做很多不一样的事情
[15:13] 然后把这个事情汇总
[15:14] 汇总之后做一个很长很长很长
[15:16] long horizon的这种
[15:17] 这种工作
[15:18] 嗯我觉得可能呃以前
[15:20] 呃大家并没有
[15:21] 并没有广泛的
[15:22] 对这个事产生共识呢这个事情
[15:25] 呃给大家展示了这样一种可能性
[15:28] 你看从去年出火的是minus今年出火的是opencloud
[15:31] 就是从minus的opencloud变化是什么
[15:33] 是模型能力的变化还是产品的变化
[15:35] 这也是一个我其实一直没理解的
[15:37] 嗯
[15:38] 就是
[15:42] minus和opencloud之间的
[15:45] 质的区别是什么
[15:46] 是一个我其实自己没开没太看明白的事情
[15:49] 说实话
[15:50] 哈哈哈哈
[15:51] OK啊
[15:52] 就是或者换句话说就是
[15:55] 可能
[15:56] opencloud这个事
[15:58] 火了
[15:59] 但是如果你要回头问我说为什么minus做不了这个事
[16:03] 我不明白minus为什么做不了
[16:06] 嗯啊
[16:06] 可能只是他
[16:07] 没做
[16:08] 对
[16:09] 但是你看不管是minus还是opencloud他们都选择了minus卖给了meta
[16:13] opencloud卖给了openi
[16:14] 这个形象说明说明什么呢
[16:16] 为什么他们都卖了
[16:18] 我觉得呃我自己的
[16:20] 我自己的感受是一个
[16:22] 东西如果要
[16:24] 呃
[16:25] 长久的生存
[16:26] 还是需要考虑一些壁垒的
[16:29] 壁垒是模型
[16:30] 呃我觉得
[16:31] 呃
[16:32] 至少目前
[16:34] 来说很多壁垒都是在模型侧
[16:36] 但是未来会不会产生产品侧的壁垒
[16:38] 我觉得是说不说不说不定的
[16:40] 就因为大家
[16:42] 市场上就是这个都老生常谈的话题
[16:44] 就很多人
[16:44] 就要谈论这个什么数据飞轮啊之类的事情
[16:47] 呃目前来说我觉得没有哪一个
[16:51] 场景啊
[16:52] 真正的形成了数据飞轮
[16:54] 甚至
[16:55] AI
[16:56] 纯粹原生的应用场景
[16:58] 我觉得目前除了
[16:59] agentic coding
[17:00] 就写写代码之外
[17:02] 没有哪个场景
[17:03] 是AI真正原生的场景
[17:05] 变得非常成功吗
[17:06] 因为从某种意义上来说
[17:08] chartbot其实是搜索的一个延伸
[17:12] chartbot是搜索延伸
[17:13] 对
[17:14] 它为什么不是独立于搜索的
[17:15] 它是因为
[17:17] 因为你想大家其实和chartbot
[17:19] 最多的
[17:21] 交互
[17:22] 是我有一个问题
[17:24] 啊就问这个chartbot
[17:26] 然后这个其实是搜索本来干的事
[17:28] 但是它带来的比搜索要
[17:30] 远强的一个事情是它变得非常interactive
[17:33] 就是它有交互性
[17:35] 你可以追问
[17:36] 然后它甚至可以帮你
[17:38] 总结出一些
[17:39] 通过它获取的一些信息
[17:41] 帮你把它压缩成浓缩成
[17:42] 回答你的问题的那个信息
[17:44] 对这个是以前搜索给不了你的
[17:47] 但它
[17:50] 当然就不是完全一样的需求
[17:52] 但是从需求
[17:53] 从大的需求上来说
[17:54] 是比较类似于搜索之前的需求
[17:57] minus和opencloud
[17:58] 我觉得都是现在最有名的壳
[18:01] 但是壳最后都卖给了模型
[18:03] 那是不是说明壳
[18:04] 还是难以逃脱模型的掌心
[18:06] 这个逃运速度不够不够快是不是
[18:10] 我觉得
[18:12] 我觉得壳在目前这个情况下
[18:16] 活下来有
[18:18] 有两种我大概能想象的方式
[18:21] 一种想象的方式就是像你刚才说的
[18:23] 逃的足够快
[18:25] 就是
[18:26] 我
[18:26] 增长速度足够快以至于在模型公司反应过来的时候
[18:31] 我其实已经占领了大量用户心智
[18:34] 然后
[18:35] 在
[18:36] 模型公司追你产品形态的时候
[18:38] 我又自己演发出了自己的模型
[18:40] 我觉得Cursor就是仕途在走这条路
[18:44] 那
[18:44] Cursor其实
[18:45] 在这种AI原生程里面
[18:47] 几乎是我能想到的创业公司里增长的最快的
[18:51] 就算这样的公司
[18:52] 它现在也很有危机感
[18:54] 它有多有危机感
[18:57] 反正我的感觉是
[18:59] 对Cursor来说现在
[19:01] 和Anthropic已经进入了一个非常微妙的关系
[19:05] 就是
[19:06] 曾经他们是
[19:08] 亲密无间的合作伙伴
[19:10] Anthropic提供模型
[19:11] Cursor提供产品
[19:12] 后来Anthropic自己有了Cloud Code
[19:14] Cloud Code现在变得非常成功
[19:16] 然后Cursor现在又自己试图做自己的模型
[19:18] 所以Cursor在努力的训他的composer
[19:21] 所以说
[19:22] 我觉得
[19:24] 都不用说贵
[19:25] 其实现在就是他们已经处于一种比较竞争的关系了
[19:28] 那如果
[19:29] 在竞争中输掉的话
[19:32] 我觉得是比较麻烦的
[19:33] 因为
[19:33] 代码这个事情
[19:35] Coding这个事情
[19:35] 其实
[19:37] 它本质上是一种服务于专业用户的专业需求
[19:40] 是一种效率工具
[19:41] 效率工具
[19:42] 很容易出现的一个场景就是
[19:45] 赢家通吃
[19:47] 我觉得这个是
[19:49] 不管对
[19:50] Cursor还是对Anthropic还是对任何一些做Coding的公司来说
[19:53] 可能都是他们比较担心的事
[19:55] 嗯
[19:56] 对然后
[19:56] 这是刚才说的就是一条路
[19:58] 要快
[19:59] 就是对
[19:59] 你长得够快
[20:00] 你在
[20:01] 你在
[20:02] 别人还没想吃你的时候
[20:04] 就疯狂长
[20:05] 等他想吃你时候已经足够大
[20:07] 另一种方式就是
[20:09] 这市场足够的小
[20:10] 小到模型公司根本懒得去管
[20:13] 我觉得Mid-Journey就是这个一个例子
[20:15] 嗯
[20:15] 就是这个
[20:16] 这个市场小到可能
[20:19] 虽然你说
[20:20] 咱们来努力吧
[20:21] 能不能做Mid-Journey这个事
[20:22] 可能花一些精力花一些钱花一些Data
[20:25] 是能做到的
[20:26] 但是足够小以至于
[20:28] 可能咱们来就
[20:29] 不是很会
[20:30] 在那上面
[20:31] 花时间了
[20:31] 看不上
[20:33] 对
[20:34] 哈哈哈
[20:34] 我觉得那可能也是一种活下去的
[20:36] 方式
[20:37] 对
[20:39] 所以哪怕是克里斯特今天也没有逃逸出
[20:42] 模型
[20:43] 的收涨性
[20:44] 有谁成功逃逸了吗
[20:46] 呃
[20:47] Mid-Journey
[20:47] 我觉得大的就
[20:49] 我目前还没看到
[20:50] 小的可能
[20:51] Mid-Journey这个例子
[20:52] 当然肯定有别的例子
[20:53] 只是我还没看到
[20:54] 对
[20:54] 小的我觉得会有
[20:55] 会有例子
[20:56] 那FAT算吗
[20:57] 呃
[20:59] 我觉得他们有机会
[21:01] 他们有机会
[21:02] 对
[21:03] 反正就
[21:04] 不能做那种通用的场景
[21:06] 我觉得
[21:08] 就是
[21:09] 我觉得这是Founder要自己要
[21:12] 要决定的一件事
[21:13] 就是
[21:14] 你要不要
[21:17] 抱着万分之一的生存几率去赌一票大的
[21:19] 嗯
[21:20] 还是
[21:21] 抱着百分之一的生存几率去先吃另一个小的
[21:25] 事情
[21:25] 如果是你你会怎么选
[21:28] 哈哈哈哈
[21:30] 如果是我
[21:31] 我内心肯定是想
[21:32] 吃一票大的
[21:33] 但是我
[21:34] 呃
[21:36] 真诚的想
[21:37] 是
[21:38] 我觉得
[21:38] 第一步是不能一步等天
[21:40] 所以如果是我我会选择去吃一个
[21:42] 先吃一个小的
[21:43] 但是我会选择一个
[21:44] 有
[21:45] 想象空间的小的
[21:48] 你说OpenR为什么要收
[21:50] OpenCloudMeta为什么要收minus
[21:52] Google为什么谁也不收
[21:54] Google也收了
[21:55] Google买了WinServe
[21:56] 的人
[21:57] OK WinServe OK
[21:59] 呃
[22:01] 我不理解
[22:02] 哈哈哈
[22:03] 什么叫你不理解
[22:04] 说实话就是我不理解
[22:07] 我
[22:07] 我觉得
[22:10] 呃
[22:11] 我觉得
[22:12] Meta买minus这个事
[22:14] 呃
[22:15] 我觉得对他们来说最大的
[22:17] 用处
[22:18] 就是
[22:18] 如果如果抛掉花了多少钱之外
[22:21] 最大用处是获得了一批
[22:23] 很好的在亚洲的
[22:24] 的产品团队
[22:26] 在亚洲说明什么
[22:27] 因为
[22:28] 呃我觉得一方面就是
[22:32] 显然
[22:32] 大家都知道
[22:33] 中国的AI人才出轨还是很
[22:36] 很丰富的
[22:37] 虽然可能目前
[22:38] 从技术上纯技术上来说中国的AI还
[22:42] 没有真的追上美国
[22:44] 但是
[22:45] 呃显然中国是有很多好的人的不管是从纯技术上还是从产品产品上我觉得可能中国的
[22:53] 本质上人才是比美国要更好
[22:55] 对
[22:56] 所以对他来说我觉得
[22:57] Mindos成为了他在新加坡的一个一个锚点
[23:00] 就他可以从那里吸引一些比如从中国的或者是
[23:04] 新加坡或者东亚的人才
[23:06] 然后
[23:07] 呃
[23:08] 我其实
[23:10] 没有特别看明白
[23:13] 这个产品本身对
[23:15] Meta来说有多重要
[23:17] 或者换句话说就是为什么他不能自己干这个产品
[23:20] 但是不管是Mindos和
[23:22] 还是OpenCloud他事实上就是
[23:24] 诞生于外面的团队为什么不是硅谷的这一帮研究员
[23:27] 做出来的呢
[23:28] 有没有反思过这个问题
[23:29] 对我觉得对我来说这样这个问题其实
[23:33] 呃
[23:35] 我觉得一个一个公司一旦变大了之后他的负担也变大
[23:40] 就说
[23:41] 我可能作为
[23:42] 一个
[23:44] 一个研究员
[23:45] 然后
[23:45] 我们可以可以做些很
[23:48] 看起来很有趣很有
[23:49] 很有特点的产品
[23:51] 但是我一旦把这个产品去公开给
[23:54] 公众
[23:54] 那要负责的事情是非常多的
[23:56] 你这个产品不可能说
[23:58] 一上线然后
[23:59] 告诉所有
[24:00] 用户
[24:01] 你得再去买一台电脑
[24:03] 干这个事
[24:04] 否则他就有可能会获得你电脑上所有的权限
[24:06] 然后把你系统搞崩
[24:07] 这就作为一个大公司来说
[24:09] Google是不可能提供这样的产品出去的
[24:12] 然后
[24:12] 所以你产品要花很多时间打磨然后你要
[24:15] 确认法律上他没有
[24:17] 一些风险然后
[24:19] 用户上又不会损坏自己的品牌然后
[24:22] 你如果
[24:24] 如果把他送出去了你可能还要
[24:26] 给他
[24:27] 就是比较固定的一些资源去去SERP这个模型或者SERP这条产品的线
[24:33] 所以
[24:34] 对大公司来说我觉得
[24:35] 还是有挺多负担
[24:37] 但是对于个人来说无所谓
[24:38] 就是
[24:39] 我反正是一个开源的项目
[24:41] 我代码垃圾又如何你帮我来一起写吧
[24:46] 但是我觉得不管是minus还是opencloud他其实指的一个方向
[24:49] 就是可能这也是2026年的某种叙事的可能性
[24:53] 你对2026年怎么样思考和预期的
[24:58] 我觉得
[24:59] 其实有
[25:00] 太多的可能性
[25:01] 然后
[25:02] 对我来说
[25:03] 从
[25:04] 从模型能力上来说
[25:06] 我觉得
[25:08] 模型
[25:10] 就是我有时候特别爱说这个口号
[25:12] 我觉得模型做到
[25:14] trim with finite context
[25:16] use as infinite context
[25:18] 就是换句话说就是你用有限的这个contact lens去训练它
[25:23] 但是可以在使用的时候用非常非常长甚至接近于无限的contact lens
[25:27] 我觉得这件事
[25:29] 今年是有机会能够实现的
[25:32] 然后这件事情实现之后我觉得会
[25:34] 会解锁很多新的应用
[25:37] 也会
[25:37] 因为因为举一个最简单的例子就是
[25:40] 你有可能可以让这个模型跟你持续的交互然后持续的获得你的信息
[25:44] 然后他在运行过程中会持续的根据当前的场景和你的绘画可能把那些
[25:50] 他觉得不重要的信息扔掉
[25:52] 然后
[25:53] 就成了
[25:54] 就是大家梦想中的个人助手
[25:57] 对
[25:57] 我觉得这个从技术上来说我觉得这件事是会今年是无论如何是会实现
[26:02] 但是当然我觉得现在
[26:03] 大家
[26:05] 没有达成共识的是技术上怎么去实现这个事
[26:08] 显然是有很多技术路线但是
[26:11] 现在我觉得更多是处于在
[26:13] 尝试哪条路线能够
[26:16] 跑通的同时
[26:18] 可能有好几条路线都能跑通那我们到时候就要去
[26:21] 实验上去测在
[26:23] 用户常用的使用场景下哪条路线的效率是最高的
[26:28] 对我觉得
[26:29] 现在更多处于这个阶段而不是
[26:31] 说
[26:32] 大家没有想法
